Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile3.HipFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile3.HipAbduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile3.HipExternalRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile3.KneeFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile3.AnklePlantarFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile3.SubTalarEversion
 5.958333333333333e+000, 8.040747158984546e-001, 2.307741240553329e-002, 4.340413300688804e-001, 1.304098855338903e+000,-2.527109438657614e-001, 3.106212602820915e-001
 5.966666666666667e+000, 8.133089113894753e-001, 2.412741056500556e-002, 4.372794006770254e-001, 1.298273806549209e+000,-2.546527796504832e-001, 3.124763701820869e-001
 5.975000000000000e+000, 8.217690216504192e-001, 2.529689051931716e-002, 4.408291871888068e-001, 1.290982440039608e+000,-2.556464408898216e-001, 3.143281318644824e-001
 5.983333333333333e+000, 8.294505184549113e-001, 2.657035671470620e-002, 4.446767814457502e-001, 1.282297234021520e+000,-2.557430476682192e-001, 3.161258235010697e-001
 5.991666666666666e+000, 8.363535479882178e-001, 2.792591978064807e-002, 4.487967904753089e-001, 1.272300568977544e+000,-2.549962140284957e-001, 3.178003162208520e-001
 6.000000000000000e+000, 8.424848866643722e-001, 2.933514762676115e-002, 4.531546402357382e-001, 1.261081994668173e+000,-2.534624037353440e-001, 3.192731471834701e-001
 6.008333333333333e+000, 8.478586227727388e-001, 3.076253013551344e-002, 4.577087433326013e-001, 1.248735287459301e+000,-2.511988122137089e-001, 3.204651153444024e-001
 6.016666666666667e+000, 8.524959943080371e-001, 3.216492184806818e-002, 4.624124998954675e-001, 1.235355492218566e+000,-2.482573774683588e-001, 3.213047989647261e-001
 6.025000000000000e+000, 8.564239207035408e-001, 3.349296442159089e-002, 4.672166144484848e-001, 1.221036660769235e+000,-2.446772811951803e-001, 3.217359207881523e-001
 6.033333333333333e+000, 8.596719930487364e-001, 3.469671751630243e-002, 4.720718520650010e-001, 1.205871541265420e+000,-2.404798343579169e-001, 3.217207311284335e-001
 6.041666666666666e+000, 8.622693707069524e-001, 3.573374575313171e-002, 4.769316205049389e-001, 1.189953136465237e+000,-2.356661568488852e-001, 3.212380781227883e-001
 6.050000000000000e+000, 8.642434003117657e-001, 3.657462704363157e-002, 4.817534930864733e-001, 1.173376821325417e+000,-2.302162473186596e-001, 3.202784159580053e-001
 6.058333333333333e+000, 8.656198846296123e-001, 3.720403247776338e-002, 4.864993104379398e-001, 1.156242341933903e+000,-2.240899267479769e-001, 3.188397965644905e-001
