---- AnyBody Output File ---------------------------------
Study: Main.Studies.MarkerTracking
Operation: Main.Studies.MarkerTracking.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile3.UpdData = 2
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile3.FileName = "..\..\..\knee_grand_challenge_4th\MoCap_FDK_TKA\Output\\jw_stairupf1-euler-rightlegtd.txt"
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile3.NumberFormat.Digits = 15
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile3.NumberFormat.Width = 23
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile3.NumberFormat.Style = ScientificNumber
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile3.NumberFormat.FormatStr = "%23.15e"
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile3.Values = 
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile3.Search = 
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile3.Format = 0
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile3.SepSign = " "
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile3.SepSpaceAutoOnOff = On
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile3.LineSepSign = ""
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile3.Header.TitleSectionOnOff = On
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile3.Header.ConstSectionOnOff = On
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile3.Header.ConstSectionSaveOptionsOnOff = On
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile3.Header.VarSectionOnOff = On
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile3.Header.ColumnNamesOnOff = On
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile3.Header.LinePrefix = ""
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile3.Header.ShortenNamesOnOff = Off
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile3.Header.ColumnIDString = "col"
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile3.ConstSectionSaveOptionsOnOff = On
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile3.SuppressTimeColumnOnOff = Off
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.MarkerTracking.t
col1  Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile3.HipFlexion
col2  Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile3.HipAbduction
col3  Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile3.HipExternalRotation
col4  Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile3.KneeFlexion
col5  Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile3.AnklePlantarFlexion
col6  Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile3.SubTalarEversion
----------------------------------------------------------
Main.Studies.MarkerTracking.t Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile3.HipFlexion Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile3.HipAbduction Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile3.HipExternalRotation Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile3.KneeFlexion Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile3.AnklePlantarFlexion Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile3.SubTalarEversion
5.958333333333333e+000 7.292478769009684e-001 -8.857501167883886e-002 3.672430713563782e-001 1.130407389314904e+000 -3.016796035284504e-001 3.129571809611241e-001
5.966666666666667e+000 7.387324222378709e-001 -8.765606171780482e-002 3.707917004931203e-001 1.124138372893655e+000 -3.027400442044749e-001 3.139407323162465e-001
5.975000000000000e+000 7.474295237599755e-001 -8.662643044419460e-002 3.745781398193578e-001 1.116403596183510e+000 -3.028691847223503e-001 3.149558272907264e-001
5.983333333333333e+000 7.553382552153466e-001 -8.549874801744073e-002 3.785931951351446e-001 1.107272125455845e+000 -3.021072808819038e-001 3.159153664724947e-001
5.991666666666666e+000 7.624614646611442e-001 -8.429147998994657e-002 3.828165583750228e-001 1.096822313234151e+000 -3.005000239651335e-001 3.167325365869982e-001
6.000000000000000e+000 7.688064100290279e-001 -8.302951797713809e-002 3.872188291120941e-001 1.085138444717506e+000 -2.980972671829117e-001 3.173303678824306e-001
6.008333333333333e+000 7.743851026028594e-001 -8.174501536379109e-002 3.917633099463777e-001 1.072307357559160e+000 -2.949494415953934e-001 3.176496507604454e-001
6.016666666666667e+000 7.792142481334835e-001 -8.047801245015585e-002 3.964072506380652e-001 1.058416120014479e+000 -2.911015967368963e-001 3.176535695651921e-001
6.025000000000000e+000 7.833145893739280e-001 -7.927500727302039e-002 4.011035228899190e-001 1.043551474733565e+000 -2.865875680998113e-001 3.173279138473733e-001
6.033333333333333e+000 7.867094092624191e-001 -7.818349928175872e-002 4.058035880004480e-001 1.027801316316270e+000 -2.814270061352006e-001 3.166771063423836e-001
6.041666666666666e+000 7.894229550454148e-001 -7.724417397853478e-002 4.104611866891555e-001 1.011257193689987e+000 -2.756247095683379e-001 3.157165117653737e-001
6.050000000000000e+000 7.914798229623584e-001 -7.648535462424588e-002 4.150352576004999e-001 9.940165678946817e-001 -2.691704364768336e-001 3.144627941135241e-001
6.058333333333333e+000 7.929052630694852e-001 -7.592154532629358e-002 4.194910274015113e-001 9.761847813424252e-001 -2.620394449807120e-001 3.129267725702510e-001
6.066666666666666e+000 7.937259306113094e-001 -7.555410469738777e-002 4.237993988557570e-001 9.578772578030314e-001 -2.541952888114764e-001 3.111120723763293e-001
6.074999999999999e+000 7.939707347567705e-001 -7.537261156130160e-002 4.279358432690182e-001 9.392213633294713e-001 -2.455949093282871e-001 3.090185351668459e-001
6.083333333333333e+000 7.936711206824894e-001 -7.535667420924730e-002 4.318790129388825e-001 9.203569276538469e-001 -2.361945870473388e-001 3.066476679083724e-001
6.091666666666667e+000 7.928607729385889e-001 -7.547841670058619e-002 4.356090896506710e-001 9.014354139700200e-001 -2.259560117096775e-001 3.040087600101571e-001
6.100000000000000e+000 7.915753391035008e-001 -7.570478352891441e-002 4.391062719692793e-001 8.826183879185398e-001 -2.148535115343681e-001 3.011244854368754e-001
6.108333333333333e+000 7.898524887716597e-001 -7.599938516593841e-002 4.423509793240460e-001 8.640749865665908e-001 -2.028829530806734e-001 2.980352641872233e-001
6.116666666666666e+000 7.877318281275993e-001 -7.632450121428036e-002 4.453258875439613e-001 8.459778927882008e-001 -1.900713540640491e-001 2.948018164575591e-001
6.125000000000000e+000 7.852542144748527e-001 -7.664389552325202e-002 4.480179680978371e-001 8.284982884385864e-001 -1.764854578632156e-001 2.915047130678664e-001
