---- AnyBody Output File ---------------------------------
Study: Main.Studies.MotionOptimization
Operation: Main.Studies.MotionOptimization.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.UpdData = 1301
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.FileName = "..\Trials\jw_ngait_og3\FullBody-jw_ngait_og3-euler-leftlegtd.txt"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.NumberFormat.Digits = 15
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.NumberFormat.Width = 23
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.NumberFormat.Style = ScientificNumber
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.NumberFormat.FormatStr = "%23.15e"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Values = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Search = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Format = 0
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.SepSign = " "
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.SepSpaceAutoOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.LineSepSign = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Header.TitleSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Header.ConstSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Header.ConstSectionSaveOptionsOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Header.VarSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Header.ColumnNamesOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Header.LinePrefix = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Header.ShortenNamesOnOff = Off
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Header.ColumnIDString = "col"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.ConstSectionSaveOptionsOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.SuppressTimeColumnOnOff = Off
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.MotionOptimization.t
col1  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.HipFlexion
col2  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.HipAbduction
col3  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.HipExternalRotation
col4  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.KneeFlexion
col5  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.AnklePlantarFlexion
col6  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.SubTalarEversion
----------------------------------------------------------
Main.Studies.MotionOptimization.t Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.HipFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.HipAbduction Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.HipExternalRotation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.KneeFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.AnklePlantarFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.SubTalarEversion
1.858333333333333e+000 -6.763732083885363e-002 -2.403110370322015e-002 4.005617701842910e-001 1.668253864772093e-001 -2.584755932671500e-001 -5.451909137770673e-002
1.866666666666667e+000 -8.338404679678725e-002 -2.582705898924820e-002 4.074004198824112e-001 1.583236134239034e-001 -2.663804727352453e-001 -5.797375920271206e-002
1.875000000000000e+000 -9.966338167439359e-002 -2.807899585552987e-002 4.145719742118658e-001 1.494372295435209e-001 -2.742328839822136e-001 -6.214140052116687e-002
1.883333333333333e+000 -1.164914073059780e-001 -3.080328749702677e-002 4.220473049160531e-001 1.401376279729899e-001 -2.820332644080799e-001 -6.705205269002659e-002
1.891666666666667e+000 -1.338984806334927e-001 -3.400663282394389e-002 4.297890612024935e-001 1.303888231934432e-001 -2.897818512148057e-001 -7.270993593878963e-002
1.900000000000000e+000 -1.519217505803141e-001 -3.768369618948020e-002 4.377481469052332e-001 1.201568682504144e-001 -2.974775567009010e-001 -7.909055790646728e-002
1.908333333333333e+000 -1.706060830314817e-001 -4.181520682869078e-002 4.458694456447276e-001 1.094163922891837e-001 -3.051165289444724e-001 -8.614236746813617e-002
1.916666666666667e+000 -1.899554133685309e-001 -4.636073243022310e-002 4.540736365610268e-001 9.817563568878529e-002 -3.126973341878465e-001 -9.378257682265356e-002
1.925000000000000e+000 -2.099731929223085e-001 -5.126183204141221e-002 4.622917642910044e-001 8.646780130744136e-002 -3.202180154504197e-001 -1.019119864233582e-001
1.933333333333333e+000 -2.306179020757272e-001 -5.643540955263671e-002 4.704517738087901e-001 7.437343268818721e-002 -3.276834035958264e-001 -1.104172771232727e-001
1.941666666666667e+000 -2.518023423367269e-001 -6.177499332073921e-002 4.784883329996242e-001 6.202410149835672e-002 -3.351075528886351e-001 -1.191787859429941e-001
1.950000000000000e+000 -2.733909809774631e-001 -6.715636001423730e-002 4.863465917994469e-001 4.960337031456696e-002 -3.425146743283467e-001 -1.280751246424161e-001
1.958333333333334e+000 -2.952055862325051e-001 -7.244728583327098e-002 4.939843537371757e-001 3.734140675118470e-002 -3.499376144876997e-001 -1.369894920642650e-001
1.966666666666667e+000 -3.170387726331058e-001 -7.751851914631325e-002 5.013729966403682e-001 2.550378197191150e-002 -3.574148182605169e-001 -1.458196116651962e-001
1.975000000000000e+000 -3.386719129997022e-001 -8.225323728139600e-002 5.084993096059316e-001 1.437566999999723e-002 -3.649861483666766e-001 -1.544898673073095e-001
1.983333333333333e+000 -3.598924639846427e-001 -8.655300667588728e-002 5.153698407650508e-001 4.243622314770100e-003 -3.726871596175509e-001 -1.629621226419942e-001
1.991666666666667e+000 -3.805074162903976e-001 -9.033994388370914e-002 5.220158153467460e-001 -4.622879651182021e-003 -3.805418300688703e-001 -1.712415286302815e-001
2.000000000000000e+000 -4.003520370538219e-001 -9.355590333805486e-002 5.284941377076808e-001 -1.198781568153010e-002 -3.885547226421516e-001 -1.793743879926759e-001
2.008333333333333e+000 -4.192935898563548e-001 -9.615893446225110e-002 5.348806358752937e-001 -1.766017508512094e-002 -3.967035948177081e-001 -1.874365671138533e-001
2.016666666666667e+000 -4.372295472172758e-001 -9.811670460243138e-002 5.412540661169532e-001 -2.149907580569086e-002 -4.049329609277805e-001 -1.955126646311106e-001
2.025000000000000e+000 -4.540818919282743e-001 -9.939837888282055e-002 5.476705295899454e-001 -2.341391016766560e-002 -4.131483228420930e-001 -2.036654531755332e-001
2.033333333333333e+000 -4.697917848254777e-001 -9.996964127566477e-002 5.541317807754850e-001 -2.336268411638897e-002 -4.212095124539983e-001 -2.118972638068982e-001
2.041666666666667e+000 -4.843158701491229e-001 -9.979464139886640e-002 5.605593787916064e-001 -2.134814720776639e-002 -4.289239321970792e-001 -2.201134301842036e-001
2.050000000000000e+000 -4.976197793373006e-001 -9.884339664231368e-002 5.667890114218711e-001 -1.740635222719637e-002 -4.360463430229476e-001 -2.281017935869774e-001
