---- AnyBody Output File ---------------------------------
Study: Main.Studies.MotionOptimization
Operation: Main.Studies.MotionOptimization.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.UpdData = 1301
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.FileName = "..\Trials\jw_ngait_og3\FullBody-jw_ngait_og3-euler-rightlegtd.txt"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.NumberFormat.Digits = 15
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.NumberFormat.Width = 23
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.NumberFormat.Style = ScientificNumber
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.NumberFormat.FormatStr = "%23.15e"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Values = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Search = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Format = 0
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.SepSign = " "
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.SepSpaceAutoOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.LineSepSign = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.TitleSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.ConstSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.ConstSectionSaveOptionsOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.VarSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.ColumnNamesOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.LinePrefix = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.ShortenNamesOnOff = Off
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.ColumnIDString = "col"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.ConstSectionSaveOptionsOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.SuppressTimeColumnOnOff = Off
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.MotionOptimization.t
col1  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipFlexion
col2  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipAbduction
col3  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipExternalRotation
col4  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.KneeFlexion
col5  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.AnklePlantarFlexion
col6  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.SubTalarEversion
----------------------------------------------------------
Main.Studies.MotionOptimization.t Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipAbduction Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipExternalRotation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.KneeFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.AnklePlantarFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.SubTalarEversion
1.858333333333333e+000 3.970064204002113e-001 3.312844949844873e-002 3.779388685212137e-001 8.250445991527573e-001 -7.360545018791972e-002 3.086661579721085e-001
1.866666666666667e+000 4.008037232897324e-001 3.211504159672951e-002 3.783113470511996e-001 7.750043814824703e-001 -8.191004020129285e-002 2.967741460452188e-001
1.875000000000000e+000 4.028109757994366e-001 3.158034809255028e-002 3.800608661494950e-001 7.228093726022131e-001 -8.920331965751545e-002 2.840572553894294e-001
1.883333333333333e+000 4.030610571350968e-001 3.155189399371405e-002 3.834198700185655e-001 6.688429419288346e-001 -9.563584835316145e-002 2.704259994895003e-001
1.891666666666667e+000 4.016391478459951e-001 3.202672997745371e-002 3.886109070326722e-001 6.135438614493300e-001 -1.013442770218611e-001 2.556910845418633e-001
1.900000000000000e+000 3.986823774457940e-001 3.297288073904059e-002 3.958446335873393e-001 5.574200948754937e-001 -1.064447487803446e-001 2.395637096148852e-001
1.908333333333333e+000 3.943731585879368e-001 3.432800314416551e-002 4.053016201541148e-001 5.010619812563352e-001 -1.110352859820927e-001 2.216737908233848e-001
1.916666666666667e+000 3.889686553690572e-001 3.600674344127963e-002 4.171165193879081e-001 4.451530195346833e-001 -1.151974054700451e-001 2.016167328245047e-001
1.925000000000000e+000 3.827595614785445e-001 3.789362566335819e-002 4.313039668366929e-001 3.904682884365168e-001 -1.189999320723399e-001 1.790459889865490e-001
1.933333333333333e+000 3.760851302101089e-001 3.985541898031975e-002 4.477071159859328e-001 3.378582509823354e-001 -1.224925831229650e-001 1.538018959478326e-001
1.941666666666667e+000 3.693086731386734e-001 4.175366826489158e-002 4.659291063378465e-001 2.882132137050535e-001 -1.257011098935008e-001 1.260559919288975e-001
1.950000000000000e+000 3.627902130235842e-001 4.346718827377494e-002 4.852943829530845e-001 2.424135180145458e-001 -1.286272070236087e-001 9.642293902077617e-002
1.958333333333334e+000 3.568533461715873e-001 4.491730372041203e-002 5.048635695934547e-001 2.012723892413929e-001 -1.312563191202452e-001 6.599255943242402e-002
1.966666666666667e+000 3.517533129667918e-001 4.608653205773328e-002 5.235200370133426e-001 1.654807421818167e-001 -1.335706411171485e-001 3.624512196235621e-002
1.975000000000000e+000 3.476560637575993e-001 4.702250012034814e-002 5.401212224023685e-001 1.355639928615275e-001 -1.355597294283801e-001 8.845948728280970e-003
1.983333333333333e+000 3.446350992848486e-001 4.782384268888662e-002 5.536738443740775e-001 1.118572132512593e-001 -1.372193121480181e-001 -1.463062905031665e-002
1.991666666666667e+000 3.426850224900327e-001 4.861233774007512e-002 5.634748429541875e-001 9.449833062170715e-002 -1.385351854280018e-001 -3.295865648765526e-002
2.000000000000000e+000 3.417432865006462e-001 4.950078913360123e-002 5.691768812701692e-001 8.343340007487959e-002 -1.394595855746265e-001 -4.541956471092171e-002
2.008333333333333e+000 3.417099216572991e-001 5.056570961782092e-002 5.707761483059207e-001 7.842582769838570e-002 -1.398904859972978e-001 -5.183429108854184e-002
2.016666666666667e+000 3.424602258677023e-001 5.183021286667011e-002 5.685520260430504e-001 7.906547213776512e-002 -1.396599521827574e-001 -5.249410247187321e-002
2.025000000000000e+000 3.438520654044953e-001 5.325977186651532e-002 5.629938933377591e-001 8.478215799085806e-002 -1.385348940628454e-001 -4.804070252092980e-002
2.033333333333333e+000 3.457312507676947e-001 5.477073335596217e-002 5.547310663407847e-001 9.487157488369942e-002 -1.362323125210093e-001 -3.933419312108777e-002
2.041666666666667e+000 3.479371828604296e-001 5.624693529212044e-002 5.444610183101700e-001 1.085355292403931e-001 -1.324475518014817e-001 -2.732045241196420e-002
2.050000000000000e+000 3.503113158240712e-001 5.755756115878397e-002 5.328724003985260e-001 1.249326201274890e-001 -1.268909848114119e-001 -1.290378367960995e-002
2.058333333333334e+000 3.527094171156294e-001 5.857196424143885e-002 5.205745844397253e-001 1.432343673787858e-001 -1.193289042823442e-001 3.153966624358238e-003
