---- AnyBody Output File ---------------------------------
Study: Main.Studies.MotionOptimization
Operation: Main.Studies.MotionOptimization.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.UpdData = 783
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.FileName = "..\Trials\jw_stairupf1\FullBody-jw_stairupf1-euler-leftarm.txt"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.NumberFormat.Digits = 15
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.NumberFormat.Width = 23
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.NumberFormat.Style = ScientificNumber
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.NumberFormat.FormatStr = "%23.15e"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.Values = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.Search = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.Format = 0
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.SepSign = " "
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.SepSpaceAutoOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.LineSepSign = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.Header.TitleSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.Header.ConstSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.Header.ConstSectionSaveOptionsOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.Header.VarSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.Header.ColumnNamesOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.Header.LinePrefix = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.Header.ShortenNamesOnOff = Off
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.Header.ColumnIDString = "col"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.ConstSectionSaveOptionsOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.SuppressTimeColumnOnOff = Off
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.MotionOptimization.t
col1  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.SternoClavicularProtraction
col2  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.SternoClavicularElevation
col3  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.SternoClavicularAxialRotation
col4  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.GlenohumeralFlexion
col5  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.GlenohumeralExternalRotation
col6  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.GlenohumeralAbduction
col7  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.ElbowFlexion
col8  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.ElbowPronation
col9  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.WristFlexion
col10  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.WristAbduction
----------------------------------------------------------
Main.Studies.MotionOptimization.t Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.SternoClavicularProtraction Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.SternoClavicularElevation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.SternoClavicularAxialRotation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.GlenohumeralFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.GlenohumeralExternalRotation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.GlenohumeralAbduction Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.ElbowFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.ElbowPronation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.WristFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.WristAbduction
5.978333333333333e+000 -7.247443275859948e-001 4.303538905529214e-002 -3.490658503988651e-001 6.321105013817725e-001 2.651539982019285e-001 1.320779245762075e+000 1.330060292025932e+000 3.297547900357721e-001 1.129167252679744e-001 3.710713841084509e-001
5.986506666666666e+000 -7.247513659017736e-001 4.268665097421742e-002 -3.490658503988346e-001 6.313723968641609e-001 2.639099280577599e-001 1.319707331102625e+000 1.335306817947149e+000 3.292014830811765e-001 1.123577235016744e-001 3.702979842572732e-001
5.994679999999999e+000 -7.248361789618566e-001 4.237715296278410e-002 -3.490658503988320e-001 6.305584063861640e-001 2.625728408705816e-001 1.318568124910843e+000 1.340667609135935e+000 3.284411537852357e-001 1.117966397045485e-001 3.695115402233300e-001
6.002853333333333e+000 -7.249983155319997e-001 4.210806680990054e-002 -3.490658503988333e-001 6.296639464950582e-001 2.611699409184694e-001 1.317366858873411e+000 1.346154611451551e+000 3.274941499496128e-001 1.112373957883706e-001 3.687072215556188e-001
6.011026666666666e+000 -7.252366189477657e-001 4.187854065037966e-002 -3.490658503988336e-001 6.286883720868404e-001 2.597276207876654e-001 1.316106900502702e+000 1.351771559614584e+000 3.263835011704903e-001 1.106824627452314e-001 3.678769663173938e-001
6.019200000000000e+000 -7.255509244413688e-001 4.168750190755577e-002 -3.490658503988359e-001 6.276348471931232e-001 2.582705661202758e-001 1.314789072431476e+000 1.357513502892967e+000 3.251365637410600e-001 1.101333251559864e-001 3.670119157580289e-001
6.027373333333332e+000 -7.259418408337712e-001 4.153474527867140e-002 -3.490658503988366e-001 6.265097029628852e-001 2.568219373016769e-001 1.313410933565267e+000 1.363368105482974e+000 3.237857946028255e-001 1.095897828823915e-001 3.661039192995182e-001
6.035546666666666e+000 -7.264095729086911e-001 4.142099427099777e-002 -3.490658503988401e-001 6.253221204868118e-001 2.554046281301968e-001 1.311967045952265e+000 1.369317684649869e+000 3.223666741617181e-001 1.090495522055530e-001 3.651455510272377e-001
6.043720000000000e+000 -7.269527211328966e-001 4.134736629210556e-002 -3.490658503988444e-001 6.240839260634958e-001 2.540426251304478e-001 1.310450087082797e+000 1.375341722117225e+000 3.209139721628451e-001 1.085084347293048e-001 3.641291392725744e-001
6.051893333333332e+000 -7.275675781366521e-001 4.131475907495674e-002 -3.490658503988521e-001 6.228084067896882e-001 2.527615623178720e-001 1.308852088870766e+000 1.381420186199958e+000 3.194592434160542e-001 1.079612477136240e-001 3.630455402226641e-001
6.060066666666666e+000 -7.282480260174515e-001 4.132342617625873e-002 -3.490658503988593e-001 6.215080708265894e-001 2.515880074437195e-001 1.307165655546755e+000 1.387537039153604e+000 3.180300939816810e-001 1.074032124062379e-001 3.618831862077615e-001
6.068239999999999e+000 -7.289860509430812e-001 4.137291154692591e-002 -3.490658503988681e-001 6.201928181125966e-001 2.505473163557445e-001 1.305385412218873e+000 1.393682538570280e+000 3.166497754688272e-001 1.068311996106746e-001 3.606282595894549e-001
6.076413333333333e+000 -7.297725611735949e-001 4.146210477623202e-002 -3.490658503988791e-001 6.188695165895526e-001 2.496603214886475e-001 1.303509439443756e+000 1.399853787867745e+000 3.153362878845727e-001 1.062442939273833e-001 3.592665825835900e-001
6.084586666666666e+000 -7.305978403534834e-001 4.158890340940169e-002 -3.490658503988918e-001 6.175423876924766e-001 2.489398573020145e-001 1.301540160759687e+000 1.406054211518795e+000 3.141011740824763e-001 1.056435403670444e-001 3.577865591566359e-001
6.092759999999999e+000 -7.314513567315739e-001 4.174961446662207e-002 -3.490658503989054e-001 6.162131994385671e-001 2.483883910279487e-001 1.299484508903712e+000 1.412292823813161e+000 3.129489282280364e-001 1.050315427055573e-001 3.561814578464592e-001
6.100933333333333e+000 -7.323214823007518e-001 4.193896649288664e-002 -3.490658503989226e-001 6.148811658922315e-001 2.479972097013046e-001 1.297353580020892e+000 1.418583308228100e+000 3.118779338615539e-001 1.044125873087989e-001 3.544500318563692e-001
6.109106666666666e+000 -7.331958067148544e-001 4.215108155366876e-002 -3.490658503989398e-001 6.135431712034474e-001 2.477467568026022e-001 1.295161946946509e+000 1.424942351564192e+000 3.108825990625400e-001 1.037924958411682e-001 3.525963245819541e-001
6.117279999999999e+000 -7.340620691180361e-001 4.238069013793200e-002 -3.490658503989580e-001 6.121944660933738e-001 2.476078354612529e-001 1.292926526163465e+000 1.431387357987686e+000 3.099559251908007e-001 1.031770990386491e-001 3.506294398785901e-001
6.125453333333333e+000 -7.349094804207073e-001 4.262383309899209e-002 -3.490658503989791e-001 6.108293234810516e-001 2.475437128076692e-001 1.290665208675052e+000 1.437934282283704e+000 3.090919277967257e-001 1.025702706465708e-001 3.485623321845072e-001
6.133626666666666e+000 -7.357302678134814e-001 4.287800594511571e-002 -3.490658503990015e-001 6.094413339845755e-001 2.475130510545398e-001 1.288395940784921e+000 1.444596242861676e+000 3.082867218378096e-001 1.019732697907554e-001 3.464095372050559e-001
6.141799999999999e+000 -7.365207805992561e-001 4.314202253349020e-002 -3.490658503990265e-001 6.080232444370526e-001 2.474732343849187e-001 1.286136240250057e+000 1.451383564833198e+000 3.075374128338801e-001 1.013853371793896e-001 3.441860694106397e-001
6.149973333333333e+000 -7.372814943460033e-001 4.341561370986624e-002 -3.490658503990534e-001 6.065663292852941e-001 2.473832755867631e-001 1.283902372546664e+000 1.458305166116279e+000 3.068397186754810e-001 1.008043921554298e-001 3.419080924662057e-001
6.158146666666666e+000 -7.380159947078017e-001 4.369861898157090e-002 -3.490658503990823e-001 6.050596955482974e-001 2.472059655057710e-001 1.281707947838653e+000 1.465370313503043e+000 3.061864039196706e-001 1.002275510082977e-001 3.395932592291133e-001
6.166319999999999e+000 -7.387293893206363e-001 4.399004721891764e-002 -3.490658503991148e-001 6.034896952257149e-001 2.469094429660123e-001 1.279562511430086e+000 1.472590316408986e+000 3.055678123834892e-001 9.965187238345141e-002 3.372597620468876e-001
6.174493333333333e+000 -7.394268488700715e-001 4.428782006018239e-002 -3.490658503991488e-001 6.018389165003661e-001 2.464672242720911e-001 1.277470723511117e+000 1.479980086826453e+000 3.049739156263787e-001 9.907530408374665e-002 3.349246251180553e-001
