---- AnyBody Output File ---------------------------------
Study: Main.Studies.MotionOptimization
Operation: Main.Studies.MotionOptimization.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.UpdData = 2207
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.FileName = "..\Trials\jw_stairupf1\FullBody-jw_stairupf1-euler-leftlegtd.txt"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.NumberFormat.Digits = 15
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.NumberFormat.Width = 23
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.NumberFormat.Style = ScientificNumber
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.NumberFormat.FormatStr = "%23.15e"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Values = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Search = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Format = 0
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.SepSign = " "
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.SepSpaceAutoOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.LineSepSign = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Header.TitleSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Header.ConstSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Header.ConstSectionSaveOptionsOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Header.VarSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Header.ColumnNamesOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Header.LinePrefix = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Header.ShortenNamesOnOff = Off
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.Header.ColumnIDString = "col"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.ConstSectionSaveOptionsOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.SuppressTimeColumnOnOff = Off
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.MotionOptimization.t
col1  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.HipFlexion
col2  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.HipAbduction
col3  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.HipExternalRotation
col4  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.KneeFlexion
col5  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.AnklePlantarFlexion
col6  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.SubTalarEversion
----------------------------------------------------------
Main.Studies.MotionOptimization.t Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.HipFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.HipAbduction Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.HipExternalRotation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.KneeFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.AnklePlantarFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2.SubTalarEversion
5.978333333333333e+000 -7.961382785050833e-002 3.056138407994280e-002 6.708203549075510e-001 1.668514839779791e-001 -2.529254711975583e-001 -3.115510629233947e-001
5.986506666666666e+000 -8.366472737263875e-002 3.293275078971925e-002 6.701327911735028e-001 1.674428395616947e-001 -2.553540677959550e-001 -3.132295292266594e-001
5.994679999999999e+000 -8.765057508299699e-002 3.503366194859869e-002 6.692603781193617e-001 1.680239983143704e-001 -2.578612701699433e-001 -3.145573470092670e-001
6.002853333333333e+000 -9.152403477170018e-002 3.687103365758260e-002 6.682219787277376e-001 1.686348561390021e-001 -2.604944499986328e-001 -3.155246299360087e-001
6.011026666666666e+000 -9.525718175564564e-002 3.846424753032784e-002 6.670530500063249e-001 1.693153264761840e-001 -2.633093184859919e-001 -3.161529876311879e-001
6.019200000000000e+000 -9.883724655858828e-002 3.984183559929955e-002 6.658054189633146e-001 1.701029610883242e-001 -2.663672553274560e-001 -3.164901239270857e-001
6.027373333333332e+000 -1.022641888787768e-001 4.103758185372430e-002 6.645433621424671e-001 1.710289350733276e-001 -2.697309497941738e-001 -3.166024643877191e-001
6.035546666666666e+000 -1.055486600701436e-001 4.208589785664141e-002 6.633340341171649e-001 1.721144828530568e-001 -2.734578539233802e-001 -3.165652725044657e-001
6.043720000000000e+000 -1.087092771554143e-001 4.301743169270367e-002 6.622359574600677e-001 1.733694007132636e-001 -2.775925319531405e-001 -3.164520766661038e-001
6.051893333333332e+000 -1.117694093698154e-001 4.385599500159265e-002 6.612918958813299e-001 1.747919795638983e-001 -2.821593513818719e-001 -3.163271258320901e-001
6.060066666666666e+000 -1.147543157407464e-001 4.461670731761558e-002 6.605275238444617e-001 1.763688807214753e-001 -2.871557815229547e-001 -3.162424802568409e-001
6.068239999999999e+000 -1.176889101486701e-001 4.530492400237862e-002 6.599525517033744e-001 1.780747729865736e-001 -2.925465873381250e-001 -3.162378280543776e-001
6.076413333333333e+000 -1.205962658884059e-001 4.591610448343264e-002 6.595618832370118e-001 1.798722407232913e-001 -2.982601505289274e-001 -3.163409521303501e-001
6.084586666666666e+000 -1.234971686040471e-001 4.643673199457155e-002 6.593370399110844e-001 1.817121948536946e-001 -3.041882195611451e-001 -3.165687467829272e-001
6.092759999999999e+000 -1.264105592596039e-001 4.684583941489695e-002 6.592484872112236e-001 1.835351575553229e-001 -3.101898172217007e-001 -3.169290485909719e-001
6.100933333333333e+000 -1.293538874111097e-001 4.711668386775103e-002 6.592584663642214e-001 1.852741006935966e-001 -3.160994242233175e-001 -3.174224967733099e-001
6.109106666666666e+000 -1.323426037538894e-001 4.721870601374545e-002 6.593238249234508e-001 1.868590419109217e-001 -3.217389869621083e-001 -3.180436986761922e-001
6.117279999999999e+000 -1.353893157373486e-001 4.712026531213831e-002 6.593992102840640e-001 1.882226146090803e-001 -3.269327496446736e-001 -3.187822896585381e-001
6.125453333333333e+000 -1.385035305675924e-001 4.679226553726301e-002 6.594411024701450e-001 1.893055884230543e-001 -3.315233892517402e-001 -3.196249454129799e-001
6.133626666666666e+000 -1.416920966118975e-001 4.621201919292584e-002 6.594123106776076e-001 1.900617005042900e-001 -3.353875617652629e-001 -3.205583892515719e-001
6.141799999999999e+000 -1.449599339587916e-001 4.536641284432053e-002 6.592860890766822e-001 1.904612017262980e-001 -3.384490026284425e-001 -3.215724403345079e-001
6.149973333333333e+000 -1.483106371190264e-001 4.425378397805591e-002 6.590489857387206e-001 1.904926782768118e-001 -3.406877268991755e-001 -3.226619947748971e-001
6.158146666666666e+000 -1.517467704527879e-001 4.288454202387038e-002 6.587018630476123e-001 1.901633801736220e-001 -3.421441006027396e-001 -3.238276731165211e-001
6.166319999999999e+000 -1.552696157630609e-001 4.128064640683005e-002 6.582591657222365e-001 1.894985820419729e-001 -3.429166816619067e-001 -3.250760086763884e-001
6.174493333333333e+000 -1.588772604749672e-001 3.947282237947158e-002 6.577456636740265e-001 1.885401672278229e-001 -3.431536398701861e-001 -3.264190045944060e-001
6.182666666666666e+000 -1.625608275698357e-001 3.749523225475193e-002 6.571898869133083e-001 1.873446184875004e-001 -3.430396442128230e-001 -3.278703971275199e-001
6.190840000000000e+000 -1.663015619557806e-001 3.538070632687185e-002 6.566169792194809e-001 1.859804817614065e-001 -3.427807065720023e-001 -3.294375213114280e-001
6.199013333333332e+000 -1.700714486237215e-001 3.315893599279485e-002 6.560449431459066e-001 1.845237369572930e-001 -3.425856220916694e-001 -3.311143447060227e-001
