---- AnyBody Output File ---------------------------------
Study: Main.Studies.MotionOptimization
Operation: Main.Studies.MotionOptimization.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.UpdData = 1773
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.FileName = "..\Trials\jw_stairupf1\FullBody-jw_stairupf1-euler-rightlegtd.txt"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.NumberFormat.Digits = 15
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.NumberFormat.Width = 23
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.NumberFormat.Style = ScientificNumber
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.NumberFormat.FormatStr = "%23.15e"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Values = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Search = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Format = 0
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.SepSign = " "
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.SepSpaceAutoOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.LineSepSign = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.TitleSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.ConstSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.ConstSectionSaveOptionsOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.VarSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.ColumnNamesOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.LinePrefix = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.ShortenNamesOnOff = Off
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.ColumnIDString = "col"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.ConstSectionSaveOptionsOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.SuppressTimeColumnOnOff = Off
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.MotionOptimization.t
col1  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipFlexion
col2  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipAbduction
col3  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipExternalRotation
col4  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.KneeFlexion
col5  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.AnklePlantarFlexion
col6  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.SubTalarEversion
----------------------------------------------------------
Main.Studies.MotionOptimization.t Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipAbduction Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipExternalRotation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.KneeFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.AnklePlantarFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.SubTalarEversion
5.958333333333333e+000 8.065288464990157e-001 2.914662099560417e-002 3.979596377753220e-001 1.298410402051507e+000 -2.292412205372603e-001 2.967069733840295e-001
5.966666666666667e+000 8.148572371664834e-001 2.965378000645136e-002 4.027450644743660e-001 1.291221399114559e+000 -2.285219930304871e-001 2.996658697106999e-001
5.975000000000000e+000 8.222254264525746e-001 3.023027613734008e-002 4.079151577235780e-001 1.282308728342048e+000 -2.271502555862389e-001 3.033389614517656e-001
5.983333333333333e+000 8.287395988422607e-001 3.091097981397351e-002 4.133512030385232e-001 1.271943800460729e+000 -2.252012465859413e-001 3.072543703441390e-001
5.991666666666666e+000 8.344764694932387e-001 3.170851874578329e-002 4.189517283398628e-001 1.260354693254783e+000 -2.227301293202721e-001 3.110409212659053e-001
6.000000000000000e+000 8.394960629745545e-001 3.261698501325827e-002 4.246304112159465e-001 1.247731214959233e+000 -2.197785581330677e-001 3.144190088420713e-001
6.008333333333333e+000 8.438466735057536e-001 3.361390709132550e-002 4.303128676276372e-001 1.234230175246861e+000 -2.163785331175537e-001 3.171911310994414e-001
6.016666666666667e+000 8.475684716510635e-001 3.466201400332536e-002 4.359339919206591e-001 1.219980153635994e+000 -2.125513987636867e-001 3.192324886849396e-001
6.025000000000000e+000 8.506953814450192e-001 3.571267023005453e-002 4.414364937450009e-001 1.205085962552106e+000 -2.083041118968287e-001 3.204814085540284e-001
6.033333333333333e+000 8.532552158338110e-001 3.671304595796121e-002 4.467709400322159e-001 1.189633820649551e+000 -2.036266044865326e-001 3.209279809040875e-001
6.041666666666666e+000 8.552695932433428e-001 3.761525969389057e-002 4.518965352006493e-001 1.173697366344389e+000 -1.984908929121074e-001 3.206001700736332e-001
6.050000000000000e+000 8.567552205005018e-001 3.838270350519535e-002 4.567811541579313e-001 1.157343644029566e+000 -1.928509165972965e-001 3.195492959793149e-001
6.058333333333333e+000 8.577261841593576e-001 3.899189309017537e-002 4.613999522502401e-001 1.140638440746191e+000 -1.866437780014505e-001 3.178384223104959e-001
6.066666666666666e+000 8.581963105902605e-001 3.943216437614217e-002 4.657331859848775e-001 1.123650919489807e+000 -1.797936564346612e-001 3.155355353795790e-001
6.074999999999999e+000 8.581813087175846e-001 3.970501435512341e-002 4.697641647837169e-001 1.106457268948228e+000 -1.722180436113864e-001 3.127104273121991e-001
6.083333333333333e+000 8.577002069321453e-001 3.982288678426071e-002 4.734777151713457e-001 1.089142638237209e+000 -1.638346016514360e-001 3.094339455956813e-001
6.091666666666667e+000 8.567756035040006e-001 3.980713416579573e-002 4.768591187296296e-001 1.071801547263905e+000 -1.545682447653417e-001 3.057791496743872e-001
6.100000000000000e+000 8.554332392987246e-001 3.968577218606062e-002 4.798936877227630e-001 1.054537973851251e+000 -1.443598806550529e-001 3.018234600863033e-001
6.108333333333333e+000 8.537016875659089e-001 3.949150171962912e-002 4.825674525862083e-001 1.037465368393015e+000 -1.331772225139693e-001 2.976508967947998e-001
6.116666666666666e+000 8.516120074077208e-001 3.925957609794728e-002 4.848688544996366e-001 1.020705733811006e+000 -1.210263137825989e-001 2.933539812270810e-001
6.125000000000000e+000 8.491967584925401e-001 3.902495155619667e-002 4.867905724248996e-001 1.004387371351600e+000 -1.079617388835383e-001 2.890339354325239e-001
6.133333333333333e+000 8.464885525974131e-001 3.881895775394861e-002 4.883307004008054e-001 9.886417718945828e-001 -9.409239040291148e-002 2.847978163744267e-001
6.141666666666667e+000 8.435190552244170e-001 3.866606788068938e-002 4.894929113941627e-001 9.736003142523610e-001 -7.957954861586439e-002 2.807541542298182e-001
6.150000000000000e+000 8.403191652638059e-001 3.858129289055245e-002 4.902858480270947e-001 9.593912811852506e-001 -6.462687028993315e-002 2.770094102498496e-001
6.158333333333333e+000 8.369199989373767e-001 3.856877405080073e-002 4.907226143184668e-001 9.461372027834416e-001 -4.946520152250384e-002 2.736651620330767e-001
