---- AnyBody Output File ---------------------------------
Study: Main.Studies.MotionOptimization
Operation: Main.Studies.MotionOptimization.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.UpdData = 2207
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.FileName = "..\Input\FullBody-jw_stairupf1-euler-leftarm.txt"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.NumberFormat.Digits = 15
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.NumberFormat.Width = 23
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.NumberFormat.Style = ScientificNumber
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.NumberFormat.FormatStr = "%23.15e"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.Values = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.Search = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.Format = 0
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.SepSign = " "
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.SepSpaceAutoOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.LineSepSign = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.Header.TitleSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.Header.ConstSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.Header.ConstSectionSaveOptionsOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.Header.VarSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.Header.ColumnNamesOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.Header.LinePrefix = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.Header.ShortenNamesOnOff = Off
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.Header.ColumnIDString = "col"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.ConstSectionSaveOptionsOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.SuppressTimeColumnOnOff = Off
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.MotionOptimization.t
col1  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.SternoClavicularProtraction
col2  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.SternoClavicularElevation
col3  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.SternoClavicularAxialRotation
col4  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.GlenohumeralFlexion
col5  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.GlenohumeralExternalRotation
col6  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.GlenohumeralAbduction
col7  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.ElbowFlexion
col8  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.ElbowPronation
col9  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.WristFlexion
col10  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.WristAbduction
----------------------------------------------------------
Main.Studies.MotionOptimization.t Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.SternoClavicularProtraction Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.SternoClavicularElevation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.SternoClavicularAxialRotation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.GlenohumeralFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.GlenohumeralExternalRotation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.GlenohumeralAbduction Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.ElbowFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.ElbowPronation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.WristFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.WristAbduction
5.978333333333333e+000 -7.550006087192982e-001 1.556899190942529e-002 -3.490658503988661e-001 6.718369509328146e-001 3.070337320569564e-001 1.336396092920460e+000 1.282928489713472e+000 3.494549095920271e-001 1.113318839173396e-001 3.882724436902064e-001
5.986506666666666e+000 -7.551660949667964e-001 1.562020744049786e-002 -3.490658503989979e-001 6.709836072790090e-001 3.055608106267453e-001 1.335381134780859e+000 1.288235152783018e+000 3.489111143357483e-001 1.106846309748828e-001 3.874634479712321e-001
5.994679999999999e+000 -7.553959289547376e-001 1.570124189659583e-002 -3.490658503990213e-001 6.700560374893834e-001 3.039733946042473e-001 1.334270903390625e+000 1.293658285364049e+000 3.481576776515549e-001 1.100272756937477e-001 3.866417548565666e-001
6.002853333333333e+000 -7.556848622090689e-001 1.580464526648018e-002 -3.490658503990385e-001 6.690523236607975e-001 3.023005033879561e-001 1.333066559588773e+000 1.299210994381972e+000 3.472153929632556e-001 1.093696813858174e-001 3.858035263007212e-001
6.011026666666666e+000 -7.560298120259315e-001 1.592462664587635e-002 -3.490658503990531e-001 6.679737731370148e-001 3.005720486146727e-001 1.331771216246488e+000 1.304897442083477e+000 3.461072201956246e-001 1.087146151711680e-001 3.849407343195018e-001
6.019200000000000e+000 -7.564306629111636e-001 1.605802218342745e-002 -3.490658503990700e-001 6.668245753295099e-001 2.988176516846324e-001 1.330388279841706e+000 1.310712824895309e+000 3.448604266060854e-001 1.080640161175712e-001 3.840446176676175e-001
6.027373333333332e+000 -7.568895520972111e-001 1.620478081418653e-002 -3.490658503990859e-001 6.656115955861934e-001 2.970659604901775e-001 1.328919724394608e+000 1.316644560910265e+000 3.435075964122821e-001 1.074182518034323e-001 3.831071375509741e-001
6.035546666666666e+000 -7.574091455446543e-001 1.636719795882691e-002 -3.490658503990998e-001 6.643443820864787e-001 2.953448734913359e-001 1.327365177539280e+000 1.322674380464320e+000 3.420846840894348e-001 1.067756398166102e-001 3.821209433743218e-001
6.043720000000000e+000 -7.579906152467696e-001 1.654814231002932e-002 -3.490658503991144e-001 6.630348319050121e-001 2.936821466179942e-001 1.325721859579248e+000 1.328781188541799e+000 3.406271582895910e-001 1.061325440906960e-001 3.810784103558337e-001
6.051893333333332e+000 -7.586319934914453e-001 1.674943827495801e-002 -3.490658503991274e-001 6.616956915928078e-001 2.921055375152352e-001 1.323984927788324e+000 1.334944771388663e+000 3.391672769741587e-001 1.054842458142664e-001 3.799704240588169e-001
6.060066666666666e+000 -7.593276783014292e-001 1.697137788407965e-002 -3.490658503991414e-001 6.603382332179848e-001 2.906419800648900e-001 1.322148495526959e+000 1.341149382463991e+000 3.377332487848466e-001 1.048262893914869e-001 3.787853952135317e-001
6.068239999999999e+000 -7.600693377723450e-001 1.721334352011072e-002 -3.490658503991544e-001 6.589706316005888e-001 2.893157053922448e-001 1.320207659362374e+000 1.347385792597041e+000 3.363488535348552e-001 1.041557097609054e-001 3.775093960974969e-001
6.076413333333333e+000 -7.608473889664684e-001 1.747449054117389e-002 -3.490658503991664e-001 6.575978105899303e-001 2.881456782501823e-001 1.318160830034627e+000 1.353651562715153e+000 3.350325429008643e-001 1.034716019105646e-001 3.761280675169270e-001
6.084586666666666e+000 -7.616519111381890e-001 1.775346722019755e-002 -3.490658503991771e-001 6.562219577091977e-001 2.871431695931492e-001 1.316011301155306e+000 1.359950491379873e+000 3.337961030131721e-001 1.027748829059780e-001 3.746296288792980e-001
6.092759999999999e+000 -7.624727062140593e-001 1.804756468619728e-002 -3.490658503991891e-001 6.548427967643877e-001 2.863101741168557e-001 1.313767741491901e+000 1.366291971826271e+000 3.326439256764687e-001 1.020679075024900e-001 3.730072107317189e-001
6.100933333333333e+000 -7.632992575513539e-001 1.835268901990905e-002 -3.490658503992008e-001 6.534577179086520e-001 2.856387590092192e-001 1.311443999712075e+000 1.372689968918562e+000 3.315739678319034e-001 1.013546223654189e-001 3.712594642478799e-001
6.109106666666666e+000 -7.641211720751836e-001 1.866444626445674e-002 -3.490658503992151e-001 6.520623062185464e-001 2.851111177513266e-001 1.309058356862050e+000 1.379161120215588e+000 3.305800267921352e-001 1.006404688487188e-001 3.693903373726411e-001
6.117279999999999e+000 -7.649288259265142e-001 1.897918303864965e-002 -3.490658503992307e-001 6.506512196931102e-001 2.847003633774701e-001 1.306631880848946e+000 1.385722366986214e+000 3.296544313324508e-001 9.993091030644008e-002 3.674088396063168e-001
6.125453333333333e+000 -7.657141994789422e-001 1.929418843667374e-002 -3.490658503992501e-001 6.492188037811091e-001 2.843723286196772e-001 1.304186340672785e+000 1.392388925695094e+000 3.287904825301070e-001 9.922950693576627e-002 3.653278547353875e-001
