---- AnyBody Output File ---------------------------------
Study: Main.Studies.MotionOptimization
Operation: Main.Studies.MotionOptimization.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.UpdData = 2207
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.FileName = "..\Trials\jw_stairupf1\FullBody-jw_stairupf1-euler-leftarm.txt"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.NumberFormat.Digits = 15
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.NumberFormat.Width = 23
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.NumberFormat.Style = ScientificNumber
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.NumberFormat.FormatStr = "%23.15e"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.Values = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.Search = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.Format = 0
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.SepSign = " "
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.SepSpaceAutoOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.LineSepSign = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.Header.TitleSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.Header.ConstSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.Header.ConstSectionSaveOptionsOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.Header.VarSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.Header.ColumnNamesOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.Header.LinePrefix = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.Header.ShortenNamesOnOff = Off
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.Header.ColumnIDString = "col"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.ConstSectionSaveOptionsOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.SuppressTimeColumnOnOff = Off
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.MotionOptimization.t
col1  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.SternoClavicularProtraction
col2  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.SternoClavicularElevation
col3  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.SternoClavicularAxialRotation
col4  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.GlenohumeralFlexion
col5  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.GlenohumeralExternalRotation
col6  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.GlenohumeralAbduction
col7  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.ElbowFlexion
col8  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.ElbowPronation
col9  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.WristFlexion
col10  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.WristAbduction
----------------------------------------------------------
Main.Studies.MotionOptimization.t Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.SternoClavicularProtraction Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.SternoClavicularElevation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.SternoClavicularAxialRotation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.GlenohumeralFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.GlenohumeralExternalRotation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.GlenohumeralAbduction Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.ElbowFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.ElbowPronation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.WristFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.WristAbduction
5.978333333333333e+000 -7.617767235831918e-001 2.601084178041591e-002 -3.490658503988661e-001 6.687054283213509e-001 3.049797659263732e-001 1.343507562419008e+000 1.281872880931283e+000 3.496546225516160e-001 1.116614261682520e-001 3.881019101574169e-001
5.986506666666666e+000 -7.618086173543647e-001 2.576023027274998e-002 -3.490658503988002e-001 6.679019421652477e-001 3.035961300986529e-001 1.342391921638499e+000 1.287208337284109e+000 3.490828929993285e-001 1.110154164498207e-001 3.873072090664814e-001
5.994679999999999e+000 -7.619152201368585e-001 2.556310854561961e-002 -3.490658503988584e-001 6.670199115307303e-001 3.020907756381629e-001 1.341187072120781e+000 1.292658449328510e+000 3.483037437820448e-001 1.103596616202380e-001 3.864986370235134e-001
6.002853333333333e+000 -7.620886121784278e-001 2.540640832003294e-002 -3.490658503988989e-001 6.660585489276527e-001 3.004945066057898e-001 1.339892129379439e+000 1.298236674907222e+000 3.473375356524434e-001 1.097034539489115e-001 3.856725056760659e-001
6.011026666666666e+000 -7.623234564521665e-001 2.527944557242523e-002 -3.490658503989294e-001 6.650201389717774e-001 2.988388484991060e-001 1.338508581895265e+000 1.303947520098650e+000 3.462068818584220e-001 1.090495903124866e-001 3.848210186984157e-001
6.019200000000000e+000 -7.626177127277870e-001 2.517486256334123e-002 -3.490658503989512e-001 6.639097158209766e-001 2.971548109637336e-001 1.337038505637786e+000 1.309786499550505e+000 3.449387409164946e-001 1.084000320937899e-001 3.839356228864190e-001
6.027373333333332e+000 -7.629719823952443e-001 2.508925580011501e-002 -3.490658503989716e-001 6.627348285782193e-001 2.954721502482914e-001 1.335482859289734e+000 1.315741307083405e+000 3.435654424749407e-001 1.077551599462467e-001 3.830084533966488e-001
6.035546666666666e+000 -7.633878756884628e-001 2.502259624207603e-002 -3.490658503989872e-001 6.615055020961997e-001 2.938195299442010e-001 1.333840632357713e+000 1.321793883445664e+000 3.421227580996222e-001 1.071132966602584e-001 3.820322878719789e-001
6.043720000000000e+000 -7.638660859176727e-001 2.497664235586194e-002 -3.490658503990028e-001 6.602338547191091e-001 2.922250750165514e-001 1.332108865264742e+000 1.327923253611032e+000 3.406460605316937e-001 1.064708060082911e-001 3.809995724684116e-001
6.051893333333332e+000 -7.644048002315492e-001 2.495341966391074e-002 -3.490658503990167e-001 6.589325742625363e-001 2.907165027448729e-001 1.330283046899376e+000 1.334109214513341e+000 3.391676074273339e-001 1.058229668841650e-001 3.799011994287475e-001
6.060066666666666e+000 -7.649991749469107e-001 2.495465961491061e-002 -3.490658503990294e-001 6.576126127833168e-001 2.893203313204892e-001 1.328358108343264e+000 1.340335918524107e+000 3.377156981870313e-001 1.051653226444567e-001 3.787255240001663e-001
6.068239999999999e+000 -7.656421266010303e-001 2.498219502246735e-002 -3.490658503990434e-001 6.562816198208989e-001 2.880600669240105e-001 1.326330348284268e+000 1.346593938311335e+000 3.363142764623708e-001 1.044949114702269e-001 3.774585116946883e-001
6.076413333333333e+000 -7.663256613436142e-001 2.503834997085863e-002 -3.490658503990550e-001 6.549438571876904e-001 2.869537208932037e-001 1.324199636764849e+000 1.352880562886586e+000 3.349820067288444e-001 1.038108382591756e-001 3.760856601526343e-001
6.084586666666666e+000 -7.670416414856360e-001 2.512537200179654e-002 -3.490658503990680e-001 6.536007754210269e-001 2.860114676632682e-001 1.321970870713131e+000 1.359199269867963e+000 3.337309137352246e-001 1.031140380962505e-001 3.745950234497432e-001
6.092759999999999e+000 -7.677817151920274e-001 2.524432502060070e-002 -3.490658503990836e-001 6.522513381262978e-001 2.852341437984105e-001 1.319654369399160e+000 1.365559106751520e+000 3.325656347435149e-001 1.024068923095161e-001 3.729795569651293e-001
6.100933333333333e+000 -7.685371508440509e-001 2.539481571087987e-002 -3.490658503991014e-001 6.508922012031215e-001 2.846126725420313e-001 1.317265576964763e+000 1.371973693975848e+000 3.314843624869382e-001 1.016933823077388e-001 3.712377389084648e-001
6.109106666666666e+000 -7.692991460913663e-001 2.557580501624579e-002 -3.490658503991216e-001 6.495182936506243e-001 2.841281985674084e-001 1.314824194831670e+000 1.378459356037447e+000 3.304811022238171e-001 1.009789911250385e-001 3.693733598379061e-001
6.117279999999999e+000 -7.700593464528228e-001 2.578636931067146e-002 -3.490658503991469e-001 6.481237432694962e-001 2.837529685733102e-001 1.312352423434159e+000 1.385032781437033e+000 3.295483441003198e-001 1.002692285490714e-001 3.673953006577024e-001
6.125453333333333e+000 -7.708106102165396e-001 2.602572980344697e-002 -3.490658503991761e-001 6.467025159806221e-001 2.834521923172048e-001 1.309872821271654e+000 1.391709010600969e+000 3.286794928595020e-001 9.956770350807198e-002 3.653163532798964e-001
