Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisPosX,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisPosY,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisPosZ,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisRotVec[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisRotVec[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisRotVec[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.SacrumPelvis[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.SacrumPelvis[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.SacrumPelvis[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L5Sacrum[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L5Sacrum[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L5Sacrum[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L4L5[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L4L5[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L4L5[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L3L4[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L3L4[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L3L4[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L2L3[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L2L3[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L2L3[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L1L2[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L1L2[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L1L2[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T12L1[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T12L1[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T12L1[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T1C7[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T1C7[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T1C7[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C7C6[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C7C6[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C7C6[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C6C5[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C6C5[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C6C5[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C5C4[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C5C4[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C5C4[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C4C3[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C4C3[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C4C3[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C3C2[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C3C2[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C3C2[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C2C1,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C1C0
  5.500000000000000e+00, -5.062103567634103e-01,  5.665018700004248e-01,  2.316513926803444e-01, -1.913361559489055e-02,  2.091362818969448e-01,  2.266747067896774e-03, -3.106244356931225e-17,  9.976709351461262e-17, -6.297430883376474e-03, -7.502806315824870e-17, -2.545207778381341e-17, -2.017802881636911e-02, -1.231718827321588e-16, -5.855001467901916e-18, -3.563212656948407e-02, -1.717564335345851e-16, -1.001912528951746e-16, -5.126770400317690e-02, -2.324953126230227e-16, -6.289518718346697e-17, -6.613379412005127e-02, -2.949834874265626e-16, -2.602795477293199e-18, -8.093065838426189e-02, -2.984701099208065e-16, -3.817640940847524e-17, -8.862610762214661e-02, -1.110223024625156e-16, -2.602085213965210e-17,  0.000000000000000e+00, -8.326672684688673e-17,  2.081668171172168e-17,  0.000000000000000e+00, -1.110223024625156e-16,  6.938893903907227e-18, -5.551115123125781e-17, -1.040834085586084e-16, -1.734723475976807e-18, -5.551115123125783e-17, -8.326672684688674e-17, -1.214306433183765e-17,  0.000000000000000e+00, -9.020562075079397e-17, -2.428612866367530e-17, -5.551115123125783e-17, -3.469446951953613e-18,  0.000000000000000e+00
  5.505000000000000e+00, -5.052819007759832e-01,  5.666196914321431e-01,  2.320478903957350e-01, -2.148224465545332e-02,  2.083309075655496e-01, -1.775393829143778e-04, -1.994935293805744e-17, -9.557257942879146e-17, -6.297430883376389e-03, -6.592061040493527e-17,  4.071248224844276e-17, -2.017802881636883e-02, -1.231718827321588e-16,  7.828353814491080e-17, -3.563212656948361e-02, -1.630818661843535e-16, -2.949352899078734e-17, -5.126770400317617e-02, -2.220850747443800e-16,  9.499342064261564e-17, -6.613379412005040e-02, -2.463979718504228e-16,  5.205590954586398e-18, -8.093065838426074e-02, -2.707054485328245e-16,  6.767636213320612e-17, -8.862610762214547e-02, -1.040834085586084e-16, -6.938893903907228e-18,  1.110223024625157e-16, -7.632783294297951e-17, -2.081668171172169e-17,  5.551115123125783e-17, -8.326672684688674e-17, -4.510281037539698e-17,  2.220446049250313e-16, -1.110223024625157e-16,  7.632783294297952e-17,  0.000000000000000e+00, -6.938893903907227e-17, -2.775557561562891e-17,  3.885780586188047e-16, -1.040834085586084e-16,  5.204170427930421e-18,  1.665334536937735e-16, -9.194034422677075e-17,  4.440892098500625e-16
  5.510000000000000e+00, -5.043175553078451e-01,  5.667674875843891e-01,  2.324568809846070e-01, -2.405465318627561e-02,  2.074104426597028e-01, -2.575317909795292e-03, -7.264166558966566e-18, -1.082171081592314e-16, -6.297430883376386e-03, -6.808905153667656e-17,  4.038721607868156e-17, -2.017802881636884e-02, -1.197022522326614e-16,  6.971788784927654e-17, -3.563212656948361e-02, -1.613469527143072e-16, -3.296335593087997e-17, -5.126770400317623e-02, -2.290252333301419e-16,  4.380975107262184e-17, -6.613379412005034e-02, -2.706907296384927e-16,  8.068665979608919e-17, -8.093065838426086e-02, -2.915289445738110e-16,  1.908820470423762e-17, -8.862610762214541e-02, -7.632783294297950e-17,  1.908195823574487e-17,  1.110223024625156e-16, -9.020562075079394e-17, -1.734723475976807e-18,  1.110223024625156e-16, -9.020562075079394e-17, -1.908195823574487e-17,  1.665334536937735e-16, -1.040834085586084e-16, -1.214306433183765e-17,  2.220446049250313e-16, -1.249000902703301e-16,  5.724587470723462e-17,  0.000000000000000e+00, -6.245004513516504e-17, -4.336808689942017e-17,  2.775557561562891e-16,  5.030698080332739e-17,  4.996003610813203e-16
  5.515000000000000e+00, -5.033167431446591e-01,  5.669487749400038e-01,  2.328777832569303e-01, -2.684970240861215e-02,  2.063707739441957e-01, -4.923180918531607e-03, -2.623773592940162e-17,  1.257676598268838e-17, -6.297430883376392e-03, -6.115003991510444e-17, -1.433339588080994e-16, -2.017802881636883e-02, -1.292437361062794e-16,  1.875768988790800e-16, -3.563212656948365e-02, -1.769611739447241e-16,  4.055360236233259e-17, -5.126770400317626e-02, -2.116748368657372e-16, -4.684607045389266e-17, -6.613379412005038e-02, -2.880426994871141e-16,  1.422861527586949e-16, -8.093065838426086e-02, -2.707054485328244e-16,  2.776466138798199e-17, -8.862610762214551e-02, -8.326672684688674e-17,  1.040834085586084e-17,  1.110223024625157e-16, -1.179611963664229e-16,  5.030698080332739e-17,  1.110223024625156e-16, -1.040834085586084e-16, -2.081668171172168e-17,  1.665334536937735e-16, -9.714451465470120e-17,  4.510281037539698e-17,  1.110223024625157e-16, -1.110223024625156e-16, -3.469446951953613e-18,  2.220446049250313e-16, -7.632783294297950e-17,  6.938893903907227e-18,  1.110223024625156e-16, -1.040834085586084e-17,  4.440892098500626e-16
  5.520000000000000e+00, -5.022792451117035e-01,  5.671669593207209e-01,  2.333098205078745e-01, -2.986330614224579e-02,  2.052077477291909e-01, -7.220409811076927e-03, -3.187559654233090e-17,  1.038125295553804e-16, -6.297430883376402e-03, -4.727201667196017e-17, -1.792216595384178e-16, -2.017802881636884e-02, -1.431222581042691e-16,  8.674076248743582e-17, -3.563212656948364e-02, -1.786960874147704e-16,  1.006249812626862e-16, -5.126770400317628e-02, -2.186149954514990e-16,  3.513455284041949e-17, -6.613379412005037e-02, -3.227466391843567e-16,  1.518297361754366e-16, -8.093065838426090e-02, -2.707054485328244e-16,  1.093233542151791e-16, -8.862610762214551e-02, -1.179611963664229e-16, -1.734723475976807e-18,  1.110223024625156e-16, -1.040834085586084e-16,  1.040834085586084e-17,  1.665334536937735e-16, -9.714451465470117e-17, -3.642919299551294e-17,  1.110223024625156e-16, -1.179611963664229e-16, -1.734723475976807e-18,  1.110223024625157e-16, -1.040834085586084e-16,  1.214306433183765e-17,  1.110223024625157e-16, -1.040834085586084e-16, -6.245004513516506e-17,  1.665334536937735e-16,  3.816391647148975e-17,  3.885780586188047e-16
  5.525000000000000e+00, -5.012052424370262e-01,  5.674253226955618e-01,  2.337520186577189e-01, -3.308834378263550e-02,  2.039172617193703e-01, -9.468696946188777e-03, -1.127572122585855e-17,  5.963121802136732e-19, -6.297430883376398e-03, -5.464471651988055e-17, -7.632912783729348e-17, -2.017802881636885e-02, -1.431222581042691e-16,  1.014866921102999e-16, -3.563212656948367e-02, -1.839008278249093e-16,  5.291486083641257e-17, -5.126770400317627e-02, -2.116748368657372e-16,  1.379356518920173e-16, -6.613379412005041e-02, -3.123354572751840e-16,  1.900040698424036e-16, -8.093065838426095e-02, -2.915289445738109e-16,  1.509703462971521e-16, -8.862610762214568e-02, -1.179611963664229e-16,  1.214306433183765e-17,  1.665334536937735e-16, -9.020562075079394e-17, -1.734723475976807e-18,  1.110223024625156e-16, -1.318389841742373e-16,  6.938893903907228e-18,  1.110223024625157e-16, -1.110223024625156e-16, -6.938893903907227e-18,  1.110223024625156e-16, -1.040834085586084e-16, -2.428612866367529e-17,  1.665334536937735e-16, -9.020562075079394e-17, -7.112366251504908e-17,  2.220446049250313e-16,  8.500145032286352e-17,  3.330669073875469e-16
  5.530000000000000e+00, -5.000953137585195e-01,  5.677270069224586e-01,  2.342032154356000e-01, -3.651473159396659e-02,  2.024954994087373e-01, -1.167217541854682e-02, -1.257676598268839e-17,  5.627018573289028e-17, -6.297430883376403e-03, -7.416068670555219e-17,  6.060792963216911e-17, -2.017802881636887e-02, -1.231718827321588e-16, -1.756500440370575e-17, -3.563212656948363e-02, -2.255387511060209e-16,  2.784536119424335e-16, -5.126770400317639e-02, -2.116748368657371e-16,  8.501694267558295e-17, -6.613379412005040e-02, -3.296874271238053e-16,  1.874012743651104e-16, -8.093065838426092e-02, -2.568231178388334e-16,  2.082349604098650e-17, -8.862610762214558e-02, -1.595945597898663e-16,  1.457167719820518e-16, -5.551115123125783e-17, -1.040834085586084e-16, -6.071532165918825e-17,  2.220446049250313e-16, -1.179611963664229e-16,  3.469446951953613e-18,  1.665334536937735e-16, -1.387778780781445e-16,  7.632783294297950e-17,  5.551115123125781e-17, -9.714451465470120e-17,  8.673617379884035e-18,  1.110223024625157e-16, -1.110223024625157e-16,  2.255140518769849e-17,  5.551115123125783e-17,  6.938893903907228e-18,  1.665334536937735e-16
  5.535000000000000e+00, -4.989504042710556e-01,  5.680750182897727e-01,  2.346620907409007e-01, -4.012966600417840e-02,  2.009392242458607e-01, -1.383730256198637e-02, -2.038303452366738e-17, -4.336815856099442e-18, -6.297430883376398e-03, -6.678798685763180e-17,  3.361083754199003e-17, -2.017802881636889e-02, -1.387852199798973e-16,  1.004024325792069e-16, -3.563212656948367e-02, -1.995150490553261e-16,  1.661179647569345e-16, -5.126770400317634e-02, -2.116748368657371e-16,  8.935454179168412e-17, -6.613379412005048e-02, -3.019242753660111e-16,  2.273108050169394e-16, -8.093065838426092e-02, -3.123524406147974e-16,  2.498819524918379e-16, -8.862610762214579e-02, -1.457167719820518e-16,  9.020562075079394e-17,  5.551115123125781e-17, -1.249000902703301e-16,  2.602085213965210e-17,  5.551115123125781e-17, -8.326672684688673e-17, -1.561251128379126e-17,  1.110223024625156e-16, -1.110223024625157e-16, -3.122502256758253e-17,  1.110223024625157e-16, -1.249000902703301e-16,  9.194034422677078e-17,  1.110223024625157e-16, -1.110223024625157e-16, -3.989863994746656e-17,  2.775557561562891e-16,  1.144917494144693e-16,  2.775557561562891e-16
  5.540000000000000e+00, -4.977717893757687e-01,  5.684722401159361e-01,  2.351272165298921e-01, -4.391793601128807e-02,  1.992460472188431e-01, -1.597270152600579e-02, -2.602089513659666e-18, -1.410007255214332e-16, -6.297430883376400e-03, -9.194190398583077e-17,  1.703310508982785e-16, -2.017802881636890e-02, -1.101607683590435e-16, -6.288705280339095e-18, -3.563212656948368e-02, -2.185990972258356e-16,  2.242375660034861e-16, -5.126770400317635e-02, -2.255551540372609e-16,  1.422732510081184e-16, -6.613379412005048e-02, -3.366282150632537e-16,  2.706907296384927e-16, -8.093065838426101e-02, -2.984701099208065e-16,  2.863230705635643e-16, -8.862610762214575e-02, -1.179611963664229e-16,  5.204170427930421e-18,  1.110223024625156e-16, -1.179611963664229e-16,  1.561251128379126e-17,  1.665334536937735e-16, -1.249000902703301e-16,  3.122502256758252e-17,  5.551115123125781e-17, -1.318389841742373e-16, -1.040834085586084e-17,  1.665334536937735e-16, -1.110223024625156e-16,  3.122502256758252e-17,  1.665334536937735e-16, -1.665334536937735e-16,  7.285838599102589e-17,  5.551115123125781e-17,  4.163336342344336e-17,  2.220446049250313e-16
  5.545000000000000e+00, -4.965610330589799e-01,  5.689214531854385e-01,  2.355971220464685e-01, -4.786227492276645e-02,  1.974146590976855e-01, -1.808895727595106e-02, -2.992402940708616e-17, -2.125039769488727e-17, -6.297430883376413e-03, -8.413551591156212e-17,  6.722167508398004e-17, -2.017802881636889e-02, -1.092933607341691e-16, -2.819074780841663e-17, -3.563212656948367e-02, -1.943103086451872e-16,  2.229363809009514e-16, -5.126770400317636e-02, -2.671961055518321e-16,  2.914866606019987e-16, -6.613379412005053e-02, -2.915130934568383e-16,  1.665789105467648e-16, -8.093065838426095e-02, -3.331759366557839e-16,  2.654995745225778e-16, -8.862610762214573e-02, -1.179611963664229e-16,  3.816391647148975e-17,  5.551115123125781e-17, -1.387778780781445e-16, -1.734723475976807e-18,  1.110223024625156e-16, -1.179611963664229e-16,  4.163336342344337e-17,  1.665334536937735e-16, -1.457167719820518e-16,  2.949029909160572e-17,  5.551115123125783e-17, -1.526556658859590e-16, -1.040834085586084e-17,  1.110223024625157e-16, -1.110223024625157e-16,  6.591949208711867e-17,  1.110223024625157e-16,  7.979727989493311e-17,  3.330669073875470e-16
