Time(sec)	Fx	Fy	Fz	Tx	Ty	Tz	GON	GRFz
3.366667	2.33	1.47	162.88	-19.85	-9.27	0.75	3.0449	0.0675
3.375067	1.46	-0.05	162.19	-19.91	-11.14	-0.62	3.0469	0.0671
3.383367	1.61	-0.25	166.14	-15.91	-9.96	0.52	3.0654	0.0676
3.391667	2.22	-0.01	170.65	-12.49	-9.18	2.01	3.079	0.0681
3.400067	2.84	0.39	174.49	-10.66	-9.27	3.15	3.0663	0.0685
3.408367	2.62	0.8	176.27	-11.33	-9.78	3.13	3.0536	0.0689
3.416667	2.44	2.71	179.75	-11.26	-7.61	4.03	3.0661	0.0693
3.425067	2.67	6.34	184.66	-10.01	-3.31	6.28	3.0927	0.0697
3.433367	3.78	10.31	189.18	-8.86	0.76	8.77	3.106	0.0701
3.441667	6.04	14.18	193.11	-8.16	4.59	11.19	3.0766	0.0705
3.450067	8.57	16.63	193.71	-10	7.43	11.9	3.0472	0.0709
3.458367	10.6	17.41	189.68	-15.13	8.82	10.32	3.0591	0.0713
3.466667	11.4	17.45	184.79	-19.68	9.42	8.24	3.087	0.0717
3.475067	11.93	17.72	182.88	-20.41	10.28	7.76	3.0958	0.0721
3.483367	12.61	18.25	182.97	-19.29	11.08	8.22	3.0641	0.0725
3.491667	13.38	18.51	184.4	-18.15	11.71	8.52	3.0323	0.0729
3.500067	14.12	18.29	187.13	-17.27	12.22	8.39	3.0245	0.0741
3.508367	14.87	18.24	191.33	-15.87	13.18	8.37	3.0227	0.0755
3.516667	15.15	19.29	197.4	-13.15	14.68	9.09	3.0343	0.0767
3.525067	14.53	20.48	203.58	-8.71	16.4	10.69	3.0535	0.0778
3.533367	13.98	20.76	206.43	-5.49	17.88	12	3.0727	0.0789
3.541667	13.96	20.44	205.42	-4.37	19.01	12.67	3.0579	0.0802
3.550067	14.69	21.4	202.26	-3.8	19.97	13.18	3.0384	0.0816
3.558367	15.96	23.6	197.52	-2.69	20.93	13.92	3.0264	0.0829
3.566667	16.54	25.37	194.19	-1.82	21.32	14.61	3.0173	0.084
3.575067	15.84	26.07	193.05	-1.84	20.39	14.96	3.0147	0.0852
3.583367	14.27	26.16	191.31	-2.4	18.44	14.79	3.038	0.086
3.591667	12.64	27.03	188.15	-3.52	16.12	13.88	3.0613	0.0868
3.600067	11.13	29.07	184.24	-5.37	13.54	12.17	3.0646	0.0888
3.608367	9.24	30.96	182.18	-9.62	9.53	9.69	3.0628	0.0909
3.616667	6.28	30.67	181.64	-16.11	4.09	6.64	3.0622	0.0934
3.625067	3	28.78	183.66	-23.1	-1.05	3.88	3.0626	0.096
3.633367	1.08	27.34	185.94	-28.65	-4.13	2.29	3.063	0.0987
3.641667	0.77	26.76	187.22	-32.89	-5.18	1.67	3.0595	0.1017
3.650067	1.28	26.49	188.32	-37.48	-5.13	1.12	3.0556	0.1048
3.658367	2.2	26.09	191.82	-42.8	-4.32	0.73	3.054	0.108
3.666667	3.08	25.07	198.79	-48.3	-2.94	0.86	3.054	0.1113
3.675067	4.02	24.03	206.97	-51.95	0.15	1.68	3.0512	0.1147
3.683367	4.99	22.86	214.86	-53.27	4.91	3.17	3.0373	0.1183
3.691667	5.03	20.31	218.58	-53.36	9.02	4.38	3.0234	0.1219
3.700067	3.67	16.02	217.46	-53.36	11.33	4.74	3.0074	0.1267
