Time(sec)	Fx	Fy	Fz	Tx	Ty	Tz	GON	GRFz
1.683333	0.91	-1.87	305.86	-21	50.62	1.47	3.1134	0.1996
1.691733	5.59	2.75	308.07	-21.6	49.99	2.07	3.1144	0.1979
1.700033	10.48	7.78	308.87	-21.5	50.7	3.05	3.1367	0.1959
1.708333	13.78	12.92	307.28	-21.07	52.62	4.05	3.1572	0.1939
1.716733	15.73	18.12	303.75	-20.23	55.58	5.14	3.1363	0.191
1.725033	17.88	22.72	301.42	-18.84	58.76	6.42	3.1155	0.188
1.733333	19.92	26.57	300.34	-17.59	62.32	7.44	3.1258	0.1842
1.741733	21.54	28.96	300.85	-17.64	66.94	7.77	3.1536	0.1798
1.750033	21.78	29.3	300.02	-15.52	71.74	8.62	3.1744	0.1754
1.758333	20.73	28.15	298.19	-11.44	76.47	9.95	3.1443	0.1708
1.766733	20.89	28.39	300.15	-7.9	79.67	11.41	3.1142	0.1662
1.775033	23.43	30.16	307.71	-5.77	81.14	12.85	3.1137	0.165
1.783333	27.69	30.22	318.1	-5.54	81.23	13.58	3.1144	0.1639
1.791733	31.75	29.04	328.28	-8.22	80.97	12.96	3.1179	0.1629
1.800033	35	26.9	336.54	-13.43	80.59	11.35	3.1322	0.1624
1.808333	37.21	24.75	340.83	-19.5	79.6	9.57	3.1457	0.162
1.816733	38.29	22.73	341.37	-26.42	77.93	7.58	3.1369	0.162
1.825033	37.56	20.85	339.64	-34.42	75.58	4.85	3.1282	0.162
1.833333	34.63	16.77	334.25	-42.56	73.61	1.54	3.1309	0.1622
1.841733	29.32	10.4	324.99	-51.19	70.6	-2.62	3.1443	0.1626
1.850033	21.92	4.87	314.01	-60.22	65.37	-7.22	3.1579	0.1631
1.858333	12.94	0.4	302.14	-69.3	58.74	-11.95	3.1738	0.1639
1.866733	5.05	-2.37	294.39	-77.35	53.66	-15.92	3.1897	0.1647
1.875033	-1.21	-3.72	292.34	-84.76	49.91	-19.46	3.1828	0.1648
1.883333	-5.14	-3.18	296.76	-91.3	46.64	-22.09	3.1607	0.1643
1.891733	-5.83	-1.11	306.27	-96.46	43.68	-23.04	3.1441	0.164
1.900033	-4.03	1.55	318.48	-99.87	41.08	-22.5	3.1497	0.164
1.908333	-0.24	4.16	331.46	-100.81	40.31	-20.34	3.1552	0.164
1.916733	5.64	6.89	345.41	-99.02	42.32	-16.34	3.1532	0.1631
1.925033	11.9	8.82	357.48	-93.47	46.7	-11.47	3.1477	0.1617
1.933333	16.46	9.04	364.36	-85.6	50.24	-6.99	3.1429	0.1606
1.941733	20.19	8.27	366.58	-77.25	52.1	-2.95	3.139	0.1598
1.950033	23.02	6.45	363.5	-69.81	52.6	0.16	3.135	0.159
1.958333	24.57	3.31	354.89	-63.16	52.33	2.21	3.1371	0.1582
1.966733	24.69	-0.27	345.94	-55.76	53.03	3.95	3.1392	0.1573
1.975033	24.07	-3.4	338.88	-47.95	54.67	5.54	3.1493	0.1568
1.983333	22.36	-6.27	330.27	-41.08	55.99	6.64	3.1648	0.1564
1.991733	20.6	-8.29	320.51	-37.19	56.04	7.71	3.1792	0.1558
2.000033	19.09	-9.07	311.34	-36.34	55	8.75	3.1817	0.1538
2.008333	18.59	-7.38	311.43	-36.98	54.8	9.78	3.1842	0.1517
2.016733	18.5	-3.69	320.42	-37.86	55.99	10.85	3.1885	0.1497
2.025033	17.16	-0.38	330.97	-39.24	57.06	11.39	3.1937	0.1477
2.033333	15.46	2.59	340.29	-43.05	56.24	10.83	3.1979	0.1456
2.041733	13.24	5.01	347.42	-49.6	53.6	8.83	3.1969	0.1433
2.050033	10.39	6.34	352.78	-58.57	50.64	4.63	3.196	0.141
2.058333	7.08	6.68	357.98	-69.32	47.94	-1.58	3.1692	0.1414
2.066733	4.73	6.37	363.69	-77.94	45.37	-7.08	3.1424	0.1417
2.075033	1.82	3.5	360.8	-83.98	41.84	-11.69	3.1232	0.1422
2.083333	-1.28	-1.65	350.79	-87.77	37.83	-15.63	3.128	0.1431
2.091733	-2.49	-6.46	341.92	-89.49	35.07	-18.53	3.1328	0.144
2.100033	-1.95	-10.82	333.73	-89.28	33.66	-20.36	3.1358	0.1448
2.108333	-0.19	-13.87	324.71	-87.4	34.08	-20.62	3.1387	0.1456
2.116733	3.24	-14.88	317.9	-82.85	36.09	-18.21	3.1456	0.1458
2.125033	7.48	-14.44	313.41	-76.27	38.4	-13.95	3.1556	0.1453
2.133333	10.5	-13.49	308.87	-71.71	40.55	-10.83	3.1626	0.1446
2.141733	12.51	-11.63	304.52	-69.45	42.54	-8.91	3.1539	0.1421
2.150033	13.96	-7.86	299.95	-69.45	43.83	-7.8	3.1451	0.1396
2.158333	14.56	-2.41	294.02	-71.47	44.05	-7.34	3.1403	0.1351
2.166733	15.64	3.48	288.39	-74.09	44.81	-6.18	3.1367	0.1299
2.175033	18.11	8.96	285.73	-76.47	45.86	-4.23	3.1373	0.1247
2.183333	21.15	14.05	285.65	-79.12	46.77	-2.17	3.1511	0.1193
2.191733	23.9	19.4	287.17	-82.51	47.87	-0.66	3.1648	0.1139
2.200033	26.61	25.19	290.26	-86.43	49.59	0.56	3.1733	0.1123
2.208333	29.11	29.32	292.48	-88.54	51.01	2.23	3.1809	0.1115
2.216733	30.54	30.32	292.58	-88.33	52.09	4.24	3.1844	0.1117
2.225033	31.92	30.18	294.46	-88.05	53.84	6.27	3.1794	0.1138
2.233333	32.62	31.14	299.13	-90.25	55.14	6.77	3.1744	0.1158
2.241733	32.43	33.42	306.37	-95.17	55.65	5.49	3.1635	0.1208
2.250033	31.34	33.23	313.55	-98.21	55.18	4.51	3.1521	0.1261
2.258333	31.09	30.51	321.53	-98.25	54.66	5.31	3.1441	0.1314
2.266733	30.19	26.56	330.54	-96.47	54.35	6.57	3.1381	0.1367
2.275033	28	23.57	342.75	-95.56	55.26	7	3.132	0.142
2.283333	25.36	21.66	357.31	-95.89	57.56	6.7	3.125	0.1442
2.291733	23.07	18.76	368.09	-95.56	60.36	6.37	3.118	0.1464
2.300033	20.56	13.74	372.88	-93.3	63.11	6.19	3.1376	0.1467
2.308333	16.71	8.48	371.66	-90.2	65.42	6.17	3.1676	0.1463
2.316733	12.08	7.2	367.45	-90.6	67.82	4.93	3.1794	0.1465
2.325033	7.09	8.96	361.75	-93.69	70.22	2.29	3.1524	0.1481
2.333333	3.84	11.06	356.61	-97.02	72.19	-0.7	3.1254	0.1497
2.341733	2.93	13.02	351.93	-100.15	73.64	-3.54	3.1263	0.1527
2.350033	4.19	16	347.72	-104.29	75.53	-5.38	3.1342	0.156
2.358333	5.9	20.25	346.06	-109.25	77.84	-6.46	3.135	0.1609
2.366733	7.3	24.79	350.47	-115.15	79.74	-8.14	3.1251	0.168
2.375033	9.2	27.4	362.32	-120.96	81.27	-10.95	3.1152	0.1751
2.383333	12.16	27.75	380.42	-125.86	82.03	-14.42	3.1132	0.2061
2.391733	16.9	27.36	398.38	-128.47	80.11	-16.44	3.1123	0.2404
2.400033	22.78	27.64	413.94	-130.05	75.67	-16.76	3.1226	0.3146
2.408333	26.51	27.41	423.18	-131.67	71.21	-16.3	3.1373	0.4043
2.416733	26.57	25.24	426.17	-132.2	66.3	-16.32	3.1461	0.473
2.425033	23.53	21.24	424.37	-131.79	60.97	-16.86	3.1315	0.458
2.433333	19.88	17.09	417.67	-131.19	56.44	-16.36	3.1169	0.443
2.441733	15.93	13.19	404.7	-130.35	53.04	-14.29	3.1223	0.3879
2.450033	13.18	9.36	387.36	-126.67	52.08	-10.49	3.1326	0.3229
2.458333	10.74	5.01	370.62	-121.92	55.67	-6.78	3.133	0.2683
2.466733	8.41	1.15	354.15	-117.37	62.7	-3.54	3.108	0.2408
2.475033	9.14	0.69	341.28	-114.23	68.73	-0.48	3.083	0.2133
2.483333	13.31	3.24	333.73	-111.71	73.22	2.41	3.1034	0.2142
2.491733	18.48	5.7	333.13	-107.51	76.34	4.22	3.13	0.219
2.500033	22.91	7.36	336.08	-100.75	77.71	4.73	3.1358	0.224
2.508333	26.84	8.02	339.18	-91.16	77.49	5.4	3.1048	0.2296
2.516733	28.59	7.6	340.15	-81.77	74.94	6.29	3.086	0.2329
2.525033	28.26	6.47	338.91	-73.47	70.3	7.01	3.1162	0.2273
2.533333	26.98	4.55	335.83	-66.14	65.58	7.19	3.1463	0.2218
2.541733	25.1	0.1	331.5	-57.54	62.73	7.48	3.1367	0.2166
2.550033	22.46	-5.93	326.69	-49.48	61.22	7.57	3.1084	0.2116
2.558333	20.65	-10.62	318.91	-44.41	60.57	8.12	3.0952	0.2083
2.566733	19.6	-14.27	307.75	-41.42	60.55	9.44	3.121	0.2095
2.575033	18.96	-17.19	295.86	-39.18	60.54	10.6	3.1468	0.2107
2.583333	18.63	-19.29	284.84	-37.81	60.49	10.89	3.1308	0.2123
2.591733	18.94	-19.61	278.89	-37.14	60.9	11.36	3.1017	0.2139
2.600033	19.1	-18.82	278.77	-36.04	61.05	12.9	3.0837	0.2149
2.608333	18.79	-18.31	284.05	-34.3	60.92	14.14	3.0857	0.2145
2.616733	18.47	-19.02	293.04	-30.49	60.97	14.93	3.0877	0.2141
2.625033	18.2	-20.75	304.08	-24.61	61.15	15.57	3.0896	0.2117
2.633333	17.28	-21.74	311.43	-19.82	60.81	16.32	3.0914	0.2089
2.641733	15.85	-21.48	315.83	-17.73	60.38	16.65	3.1044	0.2053
2.650033	15.03	-20.62	320.03	-17.06	60.17	16.34	3.1227	0.2013
2.658333	14.47	-20.7	320.7	-17.15	59.41	14.56	3.1385	0.1974
2.666733	13.94	-21.75	316.84	-18.01	58.05	11.3	3.1414	0.1936
2.675033	12.9	-20.72	307.4	-20.21	57.07	8.76	3.1443	0.1899
