Main.Studies.InverseDynamicStudy.t,Main.Studies.InverseDynamicStudy.KneeTesterOutput.OutputFile.KneeFlexion,Main.Studies.InverseDynamicStudy.KneeTesterOutput.OutputFile.QcepsForce,Main.Studies.InverseDynamicStudy.KneeTesterOutput.OutputFile.ContactForceX,Main.Studies.InverseDynamicStudy.KneeTesterOutput.OutputFile.ContactForceY
6.503333333333333e+000,8.778507628212063e+001,6.145799953195468e+002,4.976223271442547e+002,1.723997802907352e+001
6.536679487179486e+000,8.781006148737951e+001,6.072237141040577e+002,4.883431046487781e+002,2.998378741313329e+001
6.570025641025640e+000,8.787812399245429e+001,5.574428062757714e+002,4.469825944951181e+002,3.966395155171299e+001
6.603371794871793e+000,8.801250110352584e+001,5.091968091543186e+002,4.079112926806514e+002,4.092219602928535e+001
6.636717948717947e+000,8.822210130803188e+001,4.769603811277249e+002,3.816121079326760e+002,3.214211664430093e+001
6.670064102564100e+000,8.845865433875787e+001,4.387054599405521e+002,3.506459829435991e+002,2.716896225142291e+001
6.703410256410254e+000,8.872998245252286e+001,3.732488516446204e+002,2.998487522035533e+002,2.611388458532609e+001
6.736756410256407e+000,8.903167556896112e+001,3.213765625091233e+002,2.612248835215802e+002,2.441346226918240e+001
6.770102564102561e+000,8.937692232628744e+001,2.782238310375303e+002,2.333110517533582e+002,9.748366854075481e+000
6.803448717948714e+000,8.967824917396800e+001,2.226664648899363e+002,1.993493037441622e+002,-9.099265805175147e+000
6.836794871794868e+000,8.991278620381071e+001,2.088795889557187e+002,2.029400983154459e+002,-1.143830830464623e+001
6.870141025641021e+000,9.015905005093414e+001,2.898091430541955e+002,2.920165729558794e+002,-2.311440647716182e+001
6.903487179487175e+000,9.037346658004282e+001,6.062321344448853e+002,5.804522616691993e+002,-3.597329593578072e+001
6.936833333333328e+000,9.036458937430034e+001,1.105858112730402e+003,1.027325642228153e+003,-6.290264700891368e+001
6.970179487179482e+000,9.005958978169412e+001,1.664123292537802e+003,1.517946058793924e+003,-9.861266893963884e+001
7.003525641025635e+000,8.956863505776444e+001,2.124046780764838e+003,1.918483902323463e+003,-1.131477592829441e+002
7.036871794871789e+000,8.910414115822765e+001,2.367822453784480e+003,2.136151805105286e+003,-1.407566681515935e+002
7.070217948717942e+000,8.863969986622753e+001,2.538082356997744e+003,2.281357116625162e+003,-1.291182363645513e+002
7.103564102564095e+000,8.784689276084886e+001,2.628068885895489e+003,2.349093697999461e+003,-9.938646271399387e+001
7.136910256410249e+000,8.652597315413723e+001,2.631819950504549e+003,2.345139009569381e+003,-4.698637784837899e+001
7.170256410256402e+000,8.472166439206926e+001,2.559331731498702e+003,2.281670186634960e+003,2.232776231501987e+001
7.203602564102556e+000,8.252916981119128e+001,2.442566454568959e+003,2.186050711992159e+003,1.007190638160708e+002
7.236948717948709e+000,7.993490975874245e+001,2.310151673529630e+003,2.074678576227213e+003,1.848575097906521e+002
7.270294871794863e+000,7.685044884883548e+001,2.139284295904551e+003,1.932443218385223e+003,2.725013421423369e+002
7.303641025641016e+000,7.321834606587535e+001,1.928185918721612e+003,1.751296611816162e+003,3.574342245334378e+002
7.336987179487170e+000,6.932516326797375e+001,1.727333294969420e+003,1.568870960846023e+003,4.315577079573448e+002
7.370333333333323e+000,6.512871978921601e+001,1.499304459213323e+003,1.363340176942015e+003,4.879467836710196e+002
7.403679487179477e+000,6.064413483806332e+001,1.235008924492523e+003,1.129085200670526e+003,5.120973301487668e+002
7.437025641025630e+000,5.602638877777570e+001,1.018897332301929e+003,9.342892485103107e+002,5.401344107657656e+002
7.470371794871784e+000,5.133123992358717e+001,8.427733947711387e+002,7.749970087643669e+002,5.609666748411418e+002
7.503717948717937e+000,4.670541665381725e+001,6.970203192863603e+002,6.426577991716699e+002,5.550896660912888e+002
7.537064102564091e+000,4.231125940082752e+001,6.215582352085003e+002,5.691346224151686e+002,5.797699182200271e+002
7.570410256410244e+000,3.807640731765666e+001,5.688157804045719e+002,5.157138392404563e+002,6.121159502657985e+002
7.603756410256398e+000,3.394439180997435e+001,5.252385993257695e+002,4.716496350497595e+002,6.486165884824088e+002
7.637102564102551e+000,2.993139511491445e+001,4.662535682346297e+002,4.196414793701471e+002,6.636082395275851e+002
7.670448717948704e+000,2.613128443725115e+001,4.121010362101772e+002,3.670087695123650e+002,6.797248466014362e+002
7.703794871794858e+000,2.268164834397143e+001,3.711502355916875e+002,3.205243308353726e+002,6.806360678952839e+002
7.737141025641011e+000,1.957989002297065e+001,3.309634437825694e+002,2.761125774486121e+002,6.499799447432058e+002
7.770487179487165e+000,1.686769757652242e+001,3.152284379483776e+002,2.512806377856673e+002,6.524430598049709e+002
7.803833333333318e+000,1.467529346422900e+001,3.045736843105914e+002,2.356924955511454e+002,6.658077625103928e+002
7.837179487179472e+000,1.303790137149551e+001,3.047928769944507e+002,2.306167025975339e+002,6.963592369221733e+002
7.870525641025625e+000,1.188402755114736e+001,3.003836322814546e+002,2.227967176536106e+002,7.042811164965124e+002
7.903871794871779e+000,1.112127049163311e+001,2.905033631835311e+002,2.135054299785390e+002,7.088138254691229e+002
7.937217948717932e+000,1.061665083402939e+001,2.807302246723918e+002,2.054742658109920e+002,7.128867324849175e+002
7.970564102564086e+000,1.032112819666053e+001,2.639501745046526e+002,1.941619413158730e+002,7.008359312332830e+002
8.003910256410240e+000,1.016176880906478e+001,2.482216754977775e+002,1.846526704038134e+002,7.132918429463471e+002
8.037256410256394e+000,9.908544795361379e+000,2.181375797778280e+002,1.655328300934273e+002,7.147318228185061e+002
8.070602564102547e+000,9.519503639931232e+000,1.813338463357179e+002,1.429181632241663e+002,7.038923528609413e+002
8.103948717948700e+000,9.065648883369049e+000,1.399577842501821e+002,1.181645786489018e+002,6.870082928686793e+002
8.137294871794854e+000,8.845139340300761e+000,1.129116837241134e+002,1.011354727118471e+002,6.692510163746923e+002
8.170641025641007e+000,8.945947721801979e+000,1.239542654256923e+002,1.073218929030354e+002,6.818796575724443e+002
8.203987179487161e+000,9.088235793525392e+000,1.455878593271667e+002,1.226158902523519e+002,7.173444766373306e+002
8.237333333333314e+000,9.136305532374214e+000,1.518454507028572e+002,1.287793909041896e+002,7.290137803488636e+002
8.270679487179468e+000,9.270080157203129e+000,1.647229558123346e+002,1.372134117923473e+002,7.388864376702547e+002
8.304025641025621e+000,9.549171194416623e+000,1.849598281659085e+002,1.470269307348118e+002,7.306388580206192e+002
8.337371794871775e+000,9.907844611478515e+000,1.999079505907230e+002,1.523195339673330e+002,7.124854503277094e+002
8.370717948717928e+000,1.022199312537761e+001,2.048399001765191e+002,1.551227529079180e+002,7.159541737854329e+002
8.404064102564082e+000,1.041471598140973e+001,1.943685701117641e+002,1.516573500347394e+002,7.109499361970284e+002
8.437410256410235e+000,1.051863848025809e+001,1.809173942979423e+002,1.458514640483394e+002,7.130218029094029e+002
8.470756410256389e+000,1.070970064131853e+001,1.769025303014363e+002,1.447958404779610e+002,7.151166734198217e+002
8.504102564102542e+000,1.114371335547714e+001,1.926983124996615e+002,1.559513500557728e+002,7.332286139795623e+002
8.537448717948696e+000,1.186145798319304e+001,2.063440988167908e+002,1.675485021015105e+002,7.281304129202183e+002
8.570794871794849e+000,1.280958942787257e+001,2.256857779333948e+002,1.849372727966494e+002,7.149221286233067e+002
8.604141025641003e+000,1.393731932711030e+001,2.567755831406538e+002,2.112450856951457e+002,7.293568231907830e+002
8.637487179487156e+000,1.535863563447998e+001,2.831562340423230e+002,2.381271846740558e+002,7.403568655930696e+002
8.670833333333309e+000,1.701562780177891e+001,3.095300011499641e+002,2.665007826428748e+002,7.350159538416335e+002
8.704179487179463e+000,1.867241620804944e+001,3.797023949745165e+002,3.207011797720890e+002,8.057088867451039e+002
8.737525641025616e+000,2.037545877110765e+001,3.817192819191916e+002,3.331363120938489e+002,7.684718372537246e+002
8.770871794871770e+000,2.219492579925721e+001,3.934214030736957e+002,3.529114839605179e+002,7.634364060427673e+002
8.804217948717923e+000,2.410856358211621e+001,4.095213026983350e+002,3.771535717123333e+002,7.641572475780478e+002
8.837564102564077e+000,2.595971626143184e+001,4.133829403720300e+002,3.930637231482002e+002,7.228537800436355e+002
8.870910256410230e+000,2.776645776649617e+001,4.416571029100876e+002,4.230703560188927e+002,6.938171332323165e+002
8.904256410256384e+000,2.966408583497923e+001,4.865519760134452e+002,4.642352258224011e+002,6.933585964580343e+002
8.937602564102537e+000,3.161354742714452e+001,5.066114981303959e+002,4.877517323597033e+002,6.465671697177600e+002
8.970948717948691e+000,3.363206451195194e+001,5.148443766716812e+002,5.019080257343687e+002,5.991497949631117e+002
9.004294871794844e+000,3.558513794912543e+001,5.084844206211479e+002,5.023026466995950e+002,5.470255430976349e+002
9.037641025640998e+000,3.752656161544389e+001,5.218669468895166e+002,5.150870600689710e+002,5.268311686812812e+002
9.070987179487151e+000,3.962173333230884e+001,5.448892365472698e+002,5.376275396799332e+002,5.120463537742833e+002
9.104333333333305e+000,4.182676718937714e+001,6.053334635937388e+002,5.853919706577493e+002,5.130735285221272e+002
9.137679487179458e+000,4.417299883158977e+001,6.960682084707224e+002,6.545474316302070e+002,5.241708583090659e+002
9.171025641025612e+000,4.653715921977540e+001,8.096009149682387e+002,7.444887428649104e+002,5.464224585066614e+002
9.204371794871765e+000,4.891824534307379e+001,9.458195187568412e+002,8.560131907262600e+002,5.762656515478534e+002
9.237717948717918e+000,5.132031577849361e+001,1.084083390590869e+003,9.741599956951156e+002,6.004969392618912e+002
9.271064102564072e+000,5.363275218935132e+001,1.217529431171482e+003,1.088510115682314e+003,6.142113315865595e+002
9.304410256410225e+000,5.590131197734600e+001,1.337832291223087e+003,1.195920360959398e+003,6.175102320246780e+002
9.337756410256379e+000,5.815802410816787e+001,1.441877974379469e+003,1.289212619622286e+003,6.078507966219630e+002
9.371102564102532e+000,6.045704442420462e+001,1.513038663899164e+003,1.359101070730827e+003,5.806435827630613e+002
9.404448717948686e+000,6.269616849724459e+001,1.598498526213964e+003,1.438011738820930e+003,5.530951119917977e+002
9.437794871794839e+000,6.468317214463109e+001,1.671019428520945e+003,1.509357477438914e+003,5.270749632384607e+002
9.471141025640993e+000,6.656326397985674e+001,1.708739260861498e+003,1.554661308553752e+003,4.927022533552172e+002
9.504487179487146e+000,6.849895285311375e+001,1.705135120374531e+003,1.564641429944063e+003,4.441135557958349e+002
9.537833333333300e+000,7.055592727986628e+001,1.711608613156603e+003,1.573971688003222e+003,3.923679001865257e+002
9.571179487179453e+000,7.262479690286459e+001,1.780316632086220e+003,1.628740752611288e+003,3.484899050238789e+002
9.604525641025607e+000,7.454999116869645e+001,1.871664122110789e+003,1.701150428731107e+003,3.079315749544962e+002
9.637871794871760e+000,7.629475570774146e+001,1.925947724551885e+003,1.742995984498120e+003,2.660304290977347e+002
9.671217948717914e+000,7.790416443272606e+001,1.940321772671345e+003,1.753654068433446e+003,2.222709652726517e+002
9.704564102564067e+000,7.935838013229761e+001,1.961562523984081e+003,1.768781302885748e+003,1.806171986291789e+002
9.737910256410221e+000,8.059819163521152e+001,2.016289851702410e+003,1.805425889510421e+003,1.468563775356603e+002
9.771256410256374e+000,8.168724714875900e+001,2.090381464840327e+003,1.860579879715743e+003,1.165774817744469e+002
9.804602564102527e+000,8.269619877475131e+001,2.154142393829529e+003,1.913413696013720e+003,8.530676393751890e+001
9.837948717948681e+000,8.366530734440600e+001,2.141282827973160e+003,1.909047963047196e+003,5.350803024494519e+001
9.871294871794834e+000,8.467620564211281e+001,2.080803683710389e+003,1.867118355419887e+003,1.945309446301400e+001
9.904641025640988e+000,8.570181953187780e+001,2.065493894013483e+003,1.857420685995669e+003,-1.347708367392141e+001
9.937987179487141e+000,8.680647910560872e+001,2.133260576560084e+003,1.909046660848030e+003,-5.191168771377568e+001
9.971333333333295e+000,8.806818404187990e+001,2.232704939075611e+003,1.991448910060847e+003,-9.769290044416852e+001
