Time(sec)	Fx	Fy	Fz	Tx	Ty	Tz	GON	GRFz
0.008333	6.45	18.81	25.9	3.06	3.21	-2.71	2.367	0.157
0.016633	6.62	18.04	23.76	2.61	0.28	-1.82	2.3753	0.157
0.025033	6.08	14.01	18.25	1.42	-2.39	-2.33	2.3828	0.157
0.033333	6.36	9.95	13.69	0.93	-3.31	-2.68	2.3899	0.157
0.041633	6.95	6.35	4.13	0.64	-4.08	-2.29	2.3925	0.157
0.050033	6.93	2.58	0	0.37	-4.97	-1.51	2.3838	0.157
0.058333	6.44	-1.49	0	-0.42	-5.77	-1.8	2.375	0.157
0.066633	5.88	-5.71	0	-2.09	-6.35	-3.78	2.37	0.157
0.075033	5.67	-8.99	0	-6.01	-7.25	-7.4	2.365	0.157
0.083333	6.01	-9.71	0	-10.83	-7.67	-10.89	2.367	0.157
0.091633	7.86	-6.69	0	-14.44	-6.8	-13.15	2.3738	0.157
0.100033	10.02	-2.5	0	-17.42	-6.15	-15.03	2.3792	0.157
0.108333	12	2.3	0	-20.13	-5.67	-16.65	2.3697	0.157
0.116633	12.1	5.42	0	-24.29	-4.77	-18.19	2.3601	0.157
0.125033	10.95	7.29	0	-29.77	-3.25	-19.41	2.3659	0.157
0.133333	10.42	8.7	0	-34.12	-2.46	-19.54	2.379	0.157
0.141633	10.17	9.24	0	-35.42	-1.53	-17.94	2.3893	0.157
0.150033	10.38	9.83	0	-34.31	-0.23	-15.36	2.3846	0.157
0.158333	10.26	10.28	0	-33.61	0.89	-13.69	2.38	0.157
0.166633	9.34	9.94	0	-34.13	1.51	-13.32	2.3717	0.157
0.175033	7.81	8.06	0	-33.61	2.22	-12.49	2.3633	0.157
0.183333	8.27	7.57	0.76	-30.12	2.68	-10.67	2.359	0.157
0.191633	10.47	8.65	11.53	-24.96	2.77	-8.38	2.359	0.157
0.200033	12.2	10.72	20.3	-22.06	3.71	-6.97	2.3598	0.157
0.208333	13.41	13.62	26.68	-20.72	5.55	-6.34	2.37	0.157
0.216633	13.74	16.08	28.9	-18.48	8.25	-5.45	2.3803	0.157
0.225033	13	17.08	26.12	-14.6	11.54	-3.52	2.3923	0.157
0.233333	11.28	16.28	19.43	-10.12	13.76	-1.23	2.4067	0.157
0.241633	8.89	14.82	11.06	-7.2	13.76	-0.4	2.4126	0.1569
0.250033	6.21	13.43	2.43	-5.82	12.31	-0.79	2.3967	0.1565
0.258333	4.13	13.21	0	-4.66	10.96	-1.44	2.3808	0.1561
0.266633	2.96	13.9	0	-2.08	9.89	-1.69	2.3903	0.156
0.275033	2.39	12.84	0	1.11	7.38	-1.7	2.4078	0.156
0.283333	2.5	9.86	0	3.1	2.95	-1.77	2.4143	0.1561
0.291633	3.09	6.37	0	3.65	-2.17	-2.04	2.4012	0.1565
0.300033	3.84	4.59	0	3.36	-4.78	-2.11	2.3881	0.1569
0.308333	4.73	4.68	0	2.48	-4.36	-1.81	2.393	0.157
0.316633	6.29	6.4	0	-0.98	-4.03	-2.29	2.4013	0.157
0.325033	7.94	8.51	0	-7.21	-5.4	-4.05	2.4065	0.1568
0.333333	9.29	9.05	0	-13.25	-7.01	-6.14	2.4077	0.1564
0.341633	10.58	10.24	0	-18.05	-6.75	-8.23	2.4089	0.156
0.350033	11.93	12.72	0	-21.45	-4.19	-10.05	2.3898	0.1564
0.358333	13.66	15.45	0	-22.73	-0.19	-10.57	2.369	0.1569
0.366633	16.05	16.66	2.99	-21.61	3.65	-9.62	2.3616	0.157
0.375033	18.04	17.75	13.82	-21.76	5.66	-9.3	2.3584	0.157
0.383333	18.54	18.48	23.48	-21.9	7.88	-9.12	2.3621	0.157
0.391633	17.59	17.39	29.98	-20.11	10.63	-8.49	2.3875	0.157
0.400033	15.85	13.4	29.38	-15.67	12.76	-7.32	2.4129	0.157
0.408333	13.45	7.11	21.4	-9.5	13.82	-5.9	2.4077	0.157
0.416633	10.89	3.93	12.99	-4.19	14.29	-3.75	2.3966	0.157
0.425033	8.1	3.98	11.16	-0.44	13.84	-1.7	2.3853	0.157
0.433333	5.4	6.51	14.71	1.82	12.75	0.07	2.3736	0.157
0.441633	4.34	9.05	16.94	6.33	13.07	3.36	2.3619	0.157
0.450033	4.49	10.59	16.29	13.59	14.45	8.02	2.3679	0.157
0.458333	3.77	10.25	12.22	21.27	14.63	11.9	2.3755	0.157
0.466633	1.91	11.03	7.8	25.67	13.34	13.94	2.3769	0.157
0.475033	1.39	14.96	8.61	25.59	11.6	14.77	2.369	0.157
0.483333	2.63	17.32	11.96	22.99	9.23	13.9	2.3652	0.157
0.491633	4.78	17.45	15.56	18.53	6.36	11.31	2.3743	0.157
0.500033	5.8	15.63	16.66	13.13	3.1	7.31	2.3834	0.157
0.508333	5.2	12.98	17.07	6.71	-0.92	2.18	2.392	0.157
0.516633	4.41	10.39	17.71	0.21	-4.88	-2.92	2.4003	0.157
0.525033	5.58	10.21	20.62	-5.57	-6.62	-6.16	2.4036	0.157
0.533333	8.56	12.24	25.43	-10.89	-6.36	-7.91	2.396	0.157
0.541633	10.61	14.16	25.93	-14.95	-5.53	-9.44	2.3885	0.157
0.550033	10.76	15.17	19.96	-17.27	-4.52	-10.98	2.393	0.157
0.558333	10.43	15.71	9.35	-18.92	-2.94	-11.77	2.4005	0.157
0.566633	11.38	16.2	0	-20.96	-1.08	-11.81	2.4072	0.157
0.575033	12.88	16.43	0	-22.78	0.53	-11.47	2.4128	0.157
0.583333	13.62	16.08	0	-24.71	1.42	-11.61	2.4183	0.157
0.591633	13.41	15.09	0	-26.94	1.53	-12.39	2.4105	0.157
0.600033	13.72	14.09	0	-28.44	1.65	-12.99	2.4009	0.157
0.608333	14.87	13.38	0	-28.77	2.18	-12.79	2.4009	0.1572
0.616633	16.21	12.65	0	-28.11	3.7	-11.39	2.4073	0.1576
0.625033	16.84	11.54	6.25	-25.92	5.91	-9.44	2.4137	0.158
0.633333	16.39	10.36	13.87	-21.9	8.57	-7.26	2.4056	0.158
0.641633	14.84	10.22	20.68	-16.12	11.77	-5.01	2.3968	0.158
0.650033	12.69	11.28	24.41	-8.99	15.86	-2.44	2.4008	0.158
0.658333	10.7	11.9	22.73	-2.04	18.98	-0.05	2.4108	0.158
0.666633	7.8	11.18	18.29	3.45	20.02	1.58	2.4173	0.158
0.675033	4.42	9.84	13.57	7.44	19.7	2.43	2.415	0.158
0.683333	2.12	9.56	13.83	10.07	18.81	2.07	2.4126	0.158
0.691633	1.19	10.47	19.58	11.4	17.07	0.32	2.4025	0.1577
0.700033	-0.24	12.16	24.24	10.65	13.93	-1.74	2.39	0.1573
0.708333	-1.82	13.71	25.24	7.15	9.68	-3.42	2.383	0.1571
0.716633	-2.24	14.56	25.66	1.76	4.56	-5.03	2.3858	0.1575
0.725033	-0.63	15.6	31.76	-2.91	0.74	-6.47	2.3886	0.1579
0.733333	2.56	17.43	42.93	-6.23	-1.11	-7.43	2.3995	0.158
0.741633	5.76	19.7	49.76	-7.52	-1.39	-7.03	2.412	0.158
0.750033	8.07	21.06	48.08	-6.75	-1.46	-5.24	2.4176	0.158
