                   t	       FemComp angle	    TibialTray angle	       Patella angle
            0.000000	            0.355798	            0.646332	            0.216741
            0.033333	            0.360249	            0.631411	            0.206724
            0.066667	            0.363980	            0.614915	            0.195295
            0.100000	            0.366443	            0.595676	            0.181393
            0.133333	            0.367283	            0.572323	            0.163822
            0.166667	            0.366421	            0.543529	            0.141482
            0.200000	            0.364092	            0.508271	            0.113613
            0.233333	            0.360793	            0.466002	            0.079941
            0.266667	            0.357165	            0.416700	            0.040703
            0.300000	            0.353846	            0.360793	           -0.003456
            0.333333	            0.351351	            0.299021	           -0.051672
            0.366667	            0.350006	            0.232271	           -0.103062
            0.400000	            0.349939	            0.161455	           -0.156915
            0.433333	            0.351103	            0.087475	           -0.212774
            0.466667	            0.353312	            0.011246	           -0.270409
            0.500000	            0.356277	           -0.066238	           -0.329645
            0.533333	            0.359628	           -0.143843	           -0.390096
            0.566667	            0.362960	           -0.220234	           -0.450906
            0.600000	            0.365909	           -0.293782	           -0.510572
            0.633333	            0.368239	           -0.362488	           -0.566956
            0.666667	            0.369920	           -0.424024	           -0.617514
            0.700000	            0.371142	           -0.476043	           -0.659734
            0.733333	            0.372247	           -0.516723	           -0.691711
            0.766667	            0.373603	           -0.545365	           -0.712687
            0.800000	            0.375449	           -0.562775	           -0.723362
            0.833333	            0.377809	           -0.571209	           -0.725830
            0.866667	            0.380482	           -0.573875	           -0.723124
