Time(sec),Fx,Fy,Fz,Tx,Ty,Tz,GON,GRFz
6.675000,-2.780000,2.110000,306.480000,-58.680000,150.090000,-18.100000,2.623700,0.000000,
6.683400,4.740000,6.360000,305.090000,-50.420000,161.780000,-16.140000,2.640300,0.000000,
6.691700,12.100000,10.970000,310.610000,-42.780000,171.750000,-14.130000,2.657000,0.000000,
6.700000,18.980000,15.750000,324.830000,-35.570000,179.870000,-11.700000,2.675900,0.000000,
6.708400,24.250000,19.270000,338.440000,-27.790000,186.400000,-8.660000,2.695000,0.000000,
6.716700,27.200000,21.530000,346.280000,-22.560000,191.080000,-7.920000,2.698300,0.000000,
6.725000,28.160000,22.550000,352.130000,-20.090000,192.540000,-9.490000,2.684400,0.000000,
6.733400,27.200000,23.040000,357.320000,-20.130000,191.300000,-11.990000,2.670600,0.000000,
6.741700,24.320000,23.050000,361.480000,-22.680000,187.610000,-15.240000,2.659200,0.000000,
6.750000,20.980000,22.020000,360.710000,-27.740000,182.240000,-19.000000,2.647900,0.000000,
6.758400,17.990000,19.470000,354.440000,-33.350000,175.370000,-22.480000,2.651700,0.000000,
6.766700,13.620000,15.970000,341.740000,-38.780000,166.980000,-25.630000,2.667100,0.000000,
6.775000,7.950000,13.300000,330.470000,-45.250000,156.810000,-29.180000,2.681500,0.000000,
6.783400,2.620000,11.360000,323.590000,-51.310000,145.820000,-32.490000,2.669400,0.000000,
6.791700,0.100000,9.840000,321.970000,-54.060000,137.180000,-34.430000,2.657300,0.000000,
6.800000,0.120000,8.700000,322.650000,-53.350000,131.970000,-34.980000,2.655200,0.000000,
6.808400,0.810000,8.640000,319.630000,-51.720000,130.500000,-35.280000,2.658800,0.000000,
6.816700,1.330000,9.830000,316.020000,-47.500000,132.160000,-34.890000,2.662400,0.000000,
6.825000,1.520000,11.710000,312.140000,-40.580000,136.450000,-33.950000,2.666100,0.000000,
6.833400,2.900000,12.990000,309.350000,-31.530000,142.740000,-32.660000,2.669900,0.000000,
6.841700,6.440000,13.340000,308.320000,-20.790000,150.990000,-31.000000,2.695500,0.000000,
6.850000,11.370000,13.320000,309.800000,-10.620000,159.010000,-28.740000,2.722100,0.000000,
6.858400,14.870000,13.180000,309.140000,-3.690000,165.050000,-27.030000,2.740700,0.000000,
6.866700,16.550000,13.080000,304.990000,0.660000,169.910000,-26.070000,2.749000,0.000000,
6.875000,17.930000,12.440000,302.230000,5.710000,174.020000,-24.900000,2.756200,0.000000,
6.883400,19.180000,11.460000,301.590000,11.010000,177.330000,-23.550000,2.737200,0.000000,
6.891700,21.120000,12.260000,306.170000,12.420000,180.160000,-22.370000,2.718100,0.000000,
6.900000,23.960000,15.570000,315.570000,9.820000,183.140000,-21.210000,2.707700,0.000000,
6.908400,26.580000,18.660000,326.390000,6.390000,183.900000,-19.950000,2.705200,0.000000,
6.916700,27.970000,20.610000,334.660000,3.460000,183.160000,-19.430000,2.702100,0.000000,
6.925000,28.120000,22.620000,338.530000,-0.640000,181.060000,-19.980000,2.694600,0.000000,
6.933400,27.400000,26.030000,337.020000,-8.750000,176.970000,-21.810000,2.687200,0.000000,
6.941700,26.140000,30.700000,331.380000,-21.490000,170.160000,-24.720000,2.687400,-0.000400,
6.950000,25.020000,35.370000,326.480000,-32.430000,162.950000,-27.330000,2.689100,-0.000800,
6.958400,23.440000,38.340000,319.350000,-37.050000,155.700000,-29.020000,2.689000,-0.000800,
6.966700,21.600000,38.360000,308.490000,-37.240000,147.000000,-30.040000,2.686600,-0.000400,
6.975000,20.750000,36.960000,295.740000,-37.880000,137.950000,-30.750000,2.684200,-0.000000,
6.983400,21.080000,34.650000,281.710000,-39.570000,129.000000,-31.200000,2.707800,0.000400,
6.991700,22.140000,35.410000,265.700000,-38.110000,120.900000,-30.140000,2.733600,0.000800,
7.000000,23.910000,37.730000,250.030000,-31.380000,113.450000,-27.170000,2.738600,0.000800,
7.008400,26.310000,38.240000,240.750000,-20.600000,106.720000,-22.930000,2.724300,0.000400,
7.016700,28.560000,37.380000,233.660000,-11.900000,98.410000,-18.880000,2.710000,0.000000,
7.025000,30.140000,35.340000,226.000000,-5.510000,87.930000,-14.910000,2.647000,0.000000,
7.033400,29.960000,33.640000,214.340000,1.010000,75.840000,-10.330000,2.584100,0.000000,
7.041700,27.820000,33.420000,200.080000,9.400000,63.450000,-4.940000,2.558000,0.000000,
7.050000,25.400000,35.810000,187.490000,18.290000,51.370000,1.810000,2.539000,0.000000,
7.058400,23.330000,35.750000,179.500000,25.040000,38.770000,9.050000,2.512400,0.000000,
7.066700,20.860000,32.470000,174.820000,29.050000,25.730000,15.630000,2.469900,0.000000,
7.075000,16.150000,27.330000,164.150000,30.010000,12.460000,19.300000,2.427400,0.000000,
7.083400,9.200000,20.990000,146.350000,28.170000,-1.070000,20.180000,2.417700,0.000000,
7.091700,1.670000,15.150000,128.890000,24.940000,-12.970000,19.690000,2.410900,0.000000,
7.100000,-5.370000,9.830000,117.390000,19.980000,-22.190000,17.610000,2.394900,0.000000,
7.108400,-11.180000,5.370000,112.250000,12.870000,-28.850000,14.280000,2.355300,0.000000,
7.116700,-16.940000,0.880000,109.450000,4.690000,-33.630000,9.390000,2.315700,0.000000,
7.125000,-22.770000,-3.620000,107.720000,-4.470000,-36.620000,2.880000,2.292100,0.000000,
7.133400,-27.880000,-6.920000,104.690000,-14.140000,-38.140000,-4.120000,2.270600,0.000000,
7.141700,-30.320000,-7.040000,103.660000,-22.790000,-38.420000,-8.700000,2.238000,0.000000,
7.150000,-30.320000,-3.920000,105.130000,-29.870000,-36.480000,-10.990000,2.198000,0.000000,
7.158400,-29.180000,0.660000,104.200000,-36.810000,-33.330000,-12.690000,2.167300,0.000000,
7.166700,-27.380000,6.010000,101.300000,-43.840000,-29.590000,-14.200000,2.174100,0.000000,
7.175000,-26.460000,10.720000,98.980000,-50.560000,-26.200000,-16.310000,2.180800,0.000000,
7.183400,-26.940000,14.550000,96.960000,-56.660000,-23.100000,-19.230000,2.162600,0.000000,
7.191700,-26.290000,17.960000,94.530000,-60.290000,-18.980000,-21.240000,2.132600,0.000000,
7.200000,-23.750000,20.690000,94.790000,-60.720000,-13.260000,-21.780000,2.111400,0.000100,
7.208400,-20.710000,22.150000,96.210000,-58.290000,-6.160000,-21.770000,2.113000,0.000500,
7.216700,-18.420000,21.660000,96.600000,-53.890000,1.100000,-22.070000,2.114600,0.000900,
7.225000,-16.730000,19.360000,95.950000,-47.980000,7.880000,-22.550000,2.136300,0.000700,
7.233400,-14.660000,17.660000,95.810000,-42.820000,12.840000,-22.400000,2.164400,0.000200,
7.241700,-11.380000,17.650000,93.250000,-38.410000,17.030000,-21.180000,2.187200,0.000000,
7.250000,-6.690000,18.300000,88.970000,-32.820000,21.030000,-18.480000,2.204300,0.000000,
7.258400,-2.950000,18.280000,85.130000,-26.400000,24.040000,-15.710000,2.219900,0.000000,
7.266700,-1.290000,17.550000,81.730000,-20.340000,25.420000,-13.680000,2.218300,0.000000,
7.275000,-1.960000,17.500000,77.500000,-17.640000,24.000000,-12.840000,2.216700,0.000000,
7.283400,-3.500000,18.740000,74.100000,-17.930000,20.030000,-12.200000,2.223900,0.000000,
7.291700,-3.970000,20.330000,74.040000,-18.440000,15.550000,-11.150000,2.238100,0.000000,
7.300000,-2.930000,19.860000,76.170000,-15.440000,13.410000,-9.950000,2.254900,0.000000,
7.308400,-0.820000,17.740000,79.200000,-9.830000,13.050000,-8.770000,2.285400,0.000000,
7.316700,0.760000,16.240000,78.390000,-6.270000,12.230000,-8.580000,2.316000,0.000000,
7.325000,1.660000,16.160000,73.210000,-6.270000,10.480000,-9.680000,2.319800,0.000000,
7.333400,1.450000,16.440000,67.360000,-8.950000,9.430000,-11.370000,2.308500,0.000000,
7.341700,1.740000,16.240000,63.770000,-11.000000,10.510000,-12.260000,2.304500,0.000000,
7.350000,2.970000,15.550000,62.430000,-11.560000,13.530000,-12.210000,2.323400,0.000000,
7.358400,4.050000,15.090000,60.550000,-11.370000,16.200000,-11.600000,2.342200,0.000000,
7.366700,3.850000,15.270000,56.550000,-11.930000,17.410000,-10.850000,2.391000,0.000000,
7.375000,2.140000,14.720000,50.540000,-13.690000,16.820000,-10.730000,2.441000,0.000000,
7.383400,0.300000,12.160000,46.570000,-13.880000,16.150000,-10.710000,2.472200,0.000000,
7.391700,-2.200000,7.570000,44.960000,-12.660000,15.460000,-11.020000,2.463400,0.000000,
7.400000,-4.930000,1.840000,42.690000,-10.350000,13.430000,-12.200000,2.456200,0.000000,
7.408400,-7.510000,-4.700000,39.980000,-6.880000,10.200000,-14.100000,2.486200,0.000000,
7.416700,-7.820000,-9.790000,39.310000,-2.440000,7.360000,-15.430000,2.516200,0.000000,
7.425000,-6.750000,-13.410000,40.700000,1.130000,5.310000,-16.490000,2.538400,0.000000,
7.433400,-5.970000,-15.850000,45.180000,2.190000,3.820000,-17.900000,2.556300,0.000000,
7.441700,-5.460000,-16.270000,54.280000,1.390000,3.660000,-18.960000,2.576800,0.000000,
7.450000,-4.870000,-14.470000,67.300000,-0.790000,4.820000,-19.520000,2.616300,0.000000,
7.458400,-2.230000,-9.480000,81.140000,-2.350000,7.230000,-18.690000,2.655900,0.000000,
7.466700,2.730000,-1.290000,95.630000,-3.180000,10.840000,-16.360000,2.664400,0.000000,
7.475000,8.570000,6.970000,109.560000,-4.140000,15.490000,-13.210000,2.660900,0.000000,
7.483400,12.460000,12.370000,120.240000,-6.050000,19.800000,-10.800000,2.658300,0.000000,
7.491700,13.560000,15.910000,126.900000,-10.510000,23.540000,-9.820000,2.660000,0.000000,
7.500000,12.780000,18.870000,127.850000,-17.270000,26.790000,-10.260000,2.661700,0.000000,
7.508400,10.940000,21.080000,123.450000,-25.070000,29.440000,-11.660000,2.634300,0.000400,
7.516700,8.680000,20.280000,119.840000,-29.940000,29.730000,-12.690000,2.599600,0.000800,
7.525000,4.570000,15.550000,119.810000,-33.780000,27.700000,-13.980000,2.588900,0.001000,
7.533400,0.110000,9.200000,118.850000,-36.170000,24.740000,-15.170000,2.600100,0.001000,
7.541700,-2.620000,5.560000,114.850000,-36.110000,21.780000,-15.490000,2.607900,0.001000,
7.550000,-3.770000,5.100000,108.930000,-34.560000,18.250000,-15.260000,2.590400,0.000600,
7.558400,-4.220000,5.780000,105.480000,-34.480000,12.120000,-15.550000,2.573000,0.000200,
7.566700,-3.190000,6.670000,105.230000,-34.410000,3.580000,-15.700000,2.577500,0.016000,
7.575000,-1.320000,6.430000,108.550000,-30.550000,-7.420000,-14.650000,2.596700,0.042700,
7.583400,0.140000,6.360000,110.570000,-25.260000,-19.300000,-13.290000,2.613300,0.071500,
7.591700,1.010000,6.960000,112.800000,-21.600000,-30.880000,-12.470000,2.620100,0.108800,
7.600000,-0.660000,7.280000,123.670000,-27.880000,-40.620000,-14.810000,2.626800,0.146100,
7.608400,-5.860000,5.780000,146.180000,-44.350000,-49.440000,-20.550000,2.630400,0.183200,
7.616700,-10.990000,3.600000,171.210000,-62.190000,-52.620000,-25.910000,2.632500,0.220300,
7.625000,-14.340000,1.770000,195.120000,-76.850000,-47.940000,-29.120000,2.626000,0.251100,
7.633400,-16.740000,-0.750000,218.530000,-87.950000,-36.990000,-30.520000,2.597500,0.265500,
7.641700,-19.200000,-4.180000,241.360000,-99.220000,-22.330000,-31.940000,2.569000,0.280000,
7.650000,-21.360000,-7.550000,263.180000,-112.730000,-3.790000,-33.880000,2.593600,0.273200,
7.658400,-21.520000,-9.140000,283.590000,-125.370000,17.750000,-34.140000,2.618200,0.266400,
7.666700,-19.220000,-10.270000,298.650000,-129.240000,39.310000,-30.490000,2.629600,0.265800,
7.675000,-14.390000,-10.880000,307.790000,-123.740000,59.310000,-24.090000,2.617300,0.276300,
7.683400,-10.200000,-11.780000,318.970000,-116.300000,72.840000,-18.820000,2.605200,0.287300,
7.691700,-6.840000,-13.320000,331.410000,-107.060000,80.040000,-14.530000,2.595600,0.304000,
7.700000,-4.480000,-16.200000,340.500000,-97.280000,83.260000,-10.160000,2.586100,0.320700,
7.708400,-1.640000,-18.600000,345.170000,-87.620000,85.330000,-5.140000,2.586800,0.331700,
7.716700,1.100000,-18.830000,352.120000,-81.040000,86.160000,-1.040000,2.592300,0.340000,
7.725000,2.230000,-19.140000,360.230000,-77.570000,85.460000,0.810000,2.594300,0.347100,
7.733400,2.190000,-19.290000,368.780000,-76.590000,83.960000,0.530000,2.577100,0.348100,
7.741700,2.290000,-18.580000,376.110000,-76.760000,85.640000,-0.300000,2.560000,0.349000,
7.750000,2.520000,-17.070000,382.490000,-78.380000,91.230000,-1.160000,2.549500,0.349000,
7.758400,1.530000,-17.020000,384.160000,-80.600000,99.040000,-1.560000,2.539000,0.349000,
7.766700,0.070000,-17.190000,384.280000,-82.430000,108.030000,-2.140000,2.539600,0.350000,
7.775000,-0.810000,-16.750000,385.970000,-83.190000,118.240000,-2.880000,2.575400,0.354200,
7.783400,0.160000,-16.900000,384.850000,-79.400000,129.770000,-2.320000,2.611300,0.358300,
7.791700,2.770000,-17.430000,380.340000,-71.920000,142.270000,-0.630000,2.607400,0.363400,
7.800000,5.420000,-17.470000,370.100000,-65.940000,153.040000,1.210000,2.596000,0.368700,
7.808400,6.740000,-17.760000,356.380000,-63.370000,159.720000,2.770000,2.594000,0.372400,
7.816700,7.330000,-19.080000,343.050000,-61.540000,162.950000,4.110000,2.599500,0.374900,
7.825000,9.040000,-19.210000,336.800000,-59.620000,164.670000,4.650000,2.602800,0.376600,
7.833400,11.830000,-17.770000,337.510000,-58.130000,165.280000,4.350000,2.595300,0.374200,
7.841700,13.590000,-15.910000,339.030000,-59.010000,165.060000,3.420000,2.587700,0.371900,
7.850000,13.500000,-14.280000,338.910000,-62.800000,163.990000,1.850000,2.602100,0.369400,
7.858400,12.390000,-13.060000,338.250000,-67.900000,162.810000,0.100000,2.628700,0.366900,
7.866700,11.650000,-13.330000,340.300000,-69.490000,163.570000,-0.850000,2.644100,0.365100,
7.875000,10.940000,-14.780000,344.300000,-69.120000,165.510000,-1.410000,2.623900,0.365500,
7.883400,9.230000,-16.200000,345.380000,-71.480000,167.000000,-2.170000,2.603700,0.365900,
7.891700,6.220000,-17.180000,341.460000,-77.920000,167.740000,-3.140000,2.621100,0.367300,
7.900000,3.320000,-17.480000,335.500000,-84.700000,169.510000,-3.390000,2.653100,0.369000,
7.908400,1.590000,-16.780000,330.570000,-90.540000,171.980000,-3.130000,2.667000,0.371100,
7.916700,1.170000,-16.150000,326.260000,-95.380000,174.610000,-3.200000,2.657800,0.373600,
7.925000,1.600000,-16.650000,321.640000,-99.830000,176.560000,-4.650000,2.649600,0.376100,
7.933400,2.420000,-17.860000,316.860000,-104.410000,177.660000,-7.430000,2.664700,0.378100,
7.941700,2.440000,-16.980000,315.100000,-109.090000,178.480000,-9.820000,2.679800,0.380000,
7.950000,2.110000,-14.440000,317.340000,-111.880000,180.010000,-11.290000,2.680900,0.381900,
7.958400,2.800000,-11.350000,323.100000,-110.730000,182.780000,-11.380000,2.669300,0.383500,
7.966700,4.380000,-8.570000,330.090000,-107.530000,185.320000,-10.730000,2.662000,0.384900,
7.975000,6.490000,-6.430000,337.700000,-102.640000,187.240000,-9.590000,2.686600,0.384100,
7.983400,7.470000,-5.120000,343.940000,-97.480000,187.480000,-8.210000,2.711200,0.383300,
7.991700,7.170000,-3.660000,349.210000,-92.160000,186.540000,-5.810000,2.720500,0.383300,
8.000000,5.840000,-1.590000,354.780000,-87.830000,185.110000,-3.380000,2.719700,0.383700,
8.008400,5.030000,-1.980000,358.370000,-83.070000,183.460000,-2.270000,2.715200,0.384300,
8.016700,5.370000,-4.510000,360.930000,-76.930000,181.800000,-2.050000,2.696400,0.385600,
8.025000,7.040000,-7.300000,365.330000,-69.190000,180.110000,-2.130000,2.677500,0.386900,
8.033400,9.090000,-9.600000,371.860000,-61.300000,177.980000,-2.850000,2.674300,0.388400,
8.041700,11.210000,-11.480000,371.060000,-55.810000,176.280000,-4.070000,2.672400,0.389900,
8.050000,14.900000,-11.650000,365.360000,-51.360000,176.590000,-4.740000,2.669800,0.391200,
8.058400,19.830000,-11.030000,361.010000,-47.430000,177.910000,-5.260000,2.665400,0.392100,
8.066700,25.750000,-11.130000,360.580000,-42.280000,178.900000,-5.100000,2.661000,0.393000,
8.075000,32.600000,-11.750000,363.780000,-36.000000,179.480000,-4.160000,2.678500,0.392600,
8.083400,39.070000,-10.080000,367.760000,-32.000000,179.060000,-2.700000,2.696000,0.392200,
8.091700,43.550000,-6.940000,370.070000,-32.700000,177.070000,-1.830000,2.692500,0.391800,
8.100000,44.850000,-4.720000,366.600000,-37.270000,172.470000,-2.190000,2.675100,0.391400,
8.108400,43.120000,-4.220000,365.450000,-42.450000,164.300000,-3.950000,2.659400,0.391000,
8.116700,38.830000,-5.280000,367.510000,-47.780000,152.970000,-6.860000,2.664000,0.390500,
8.125000,34.830000,-6.330000,371.140000,-51.500000,141.580000,-9.190000,2.668500,0.390100,
8.133400,31.340000,-6.740000,372.190000,-53.970000,130.790000,-10.680000,2.671900,0.389500,
8.141700,27.230000,-5.690000,372.100000,-56.200000,119.780000,-11.180000,2.674700,0.388700,
