Time(sec),Fx,Fy,Fz,Tx,Ty,Tz,GON,GRFz
4.333333,23.500000,37.590000,340.100000,-36.140000,154.270000,-28.430000,2.658400,0.001000,
4.341733,20.510000,33.560000,336.380000,-34.770000,153.630000,-29.800000,2.667500,0.000800,
4.350033,18.100000,30.210000,335.450000,-31.820000,154.880000,-30.630000,2.680800,0.000300,
4.358333,17.990000,27.430000,336.580000,-27.790000,157.020000,-30.570000,2.693700,0.000000,
4.366733,19.790000,24.980000,339.880000,-22.710000,159.480000,-29.660000,2.704100,0.000000,
4.375033,21.720000,22.850000,342.050000,-17.180000,161.640000,-27.940000,2.714500,0.000000,
4.383333,23.490000,21.490000,339.940000,-11.660000,164.320000,-25.430000,2.701300,0.000000,
4.391733,26.110000,21.230000,334.550000,-5.420000,167.980000,-21.880000,2.680700,0.000000,
4.400033,30.050000,23.780000,336.470000,-0.580000,171.130000,-17.510000,2.666700,0.000000,
4.408333,34.990000,28.890000,345.040000,2.150000,173.550000,-12.810000,2.673700,0.000000,
4.416733,38.790000,33.570000,353.740000,3.710000,174.300000,-8.870000,2.680700,0.000000,
4.425033,40.920000,37.010000,360.810000,4.670000,173.160000,-5.830000,2.671500,0.000000,
4.433333,41.670000,41.380000,366.840000,3.890000,170.520000,-3.310000,2.661600,0.000000,
4.441733,42.440000,47.290000,371.150000,1.440000,168.050000,-1.250000,2.668800,0.000200,
4.450033,43.030000,52.890000,373.180000,-1.530000,165.960000,-0.220000,2.698000,0.000600,
4.458333,42.340000,56.470000,373.470000,-5.100000,163.700000,-1.030000,2.726200,0.001000,
4.466733,40.270000,57.960000,372.180000,-9.490000,160.960000,-3.680000,2.730100,0.000600,
4.475033,36.660000,57.250000,370.830000,-15.300000,155.680000,-7.700000,2.734100,0.000200,
4.483333,31.950000,54.620000,370.240000,-21.620000,148.140000,-12.460000,2.735800,0.000200,
4.491733,27.100000,52.190000,368.720000,-28.000000,139.220000,-17.070000,2.735400,0.000600,
4.500033,22.900000,49.480000,364.370000,-33.040000,129.610000,-21.240000,2.733200,0.001000,
4.508333,18.990000,45.920000,358.540000,-35.570000,119.970000,-25.060000,2.718100,0.001000,
4.516733,15.100000,42.640000,353.480000,-35.260000,110.920000,-28.050000,2.703000,0.001000,
4.525033,11.420000,41.340000,349.720000,-33.180000,102.290000,-29.680000,2.692800,0.000700,
4.533333,8.870000,41.260000,341.300000,-31.050000,91.950000,-29.340000,2.685900,0.000300,
4.541733,8.040000,42.690000,326.870000,-27.700000,81.950000,-26.960000,2.679700,0.000000,
4.550033,8.740000,46.800000,309.150000,-23.710000,72.730000,-23.070000,2.674600,0.000000,
4.558333,9.830000,52.450000,292.320000,-20.000000,63.850000,-19.080000,2.669400,0.000000,
4.566733,10.680000,58.170000,277.480000,-16.840000,54.730000,-15.610000,2.659000,0.000000,
4.575033,9.580000,59.130000,261.990000,-12.020000,43.370000,-13.280000,2.648200,0.000000,
4.583333,7.000000,56.050000,244.110000,-7.000000,28.930000,-11.990000,2.614900,0.000000,
4.591733,4.900000,51.090000,222.700000,-2.950000,12.940000,-10.430000,2.561000,0.000000,
4.600033,3.770000,46.490000,202.810000,1.260000,-1.190000,-8.360000,2.507000,0.000000,
4.608333,3.270000,43.160000,186.290000,4.670000,-12.740000,-6.460000,2.499900,0.000000,
4.616733,3.050000,41.690000,173.270000,5.460000,-21.110000,-5.590000,2.492800,0.000000,
4.625033,3.280000,41.000000,161.210000,4.170000,-26.710000,-5.270000,2.448700,0.000300,
4.633333,2.780000,36.300000,147.720000,6.300000,-29.960000,-3.790000,2.379800,0.000700,
4.641733,3.330000,31.800000,133.510000,9.840000,-29.620000,-0.050000,2.330700,0.000900,
4.650033,5.030000,29.080000,118.450000,12.440000,-26.280000,5.040000,2.323600,0.000500,
4.658333,6.030000,28.360000,103.460000,11.710000,-22.380000,8.780000,2.316400,0.000100,
4.666733,5.020000,28.210000,89.330000,8.430000,-18.940000,10.300000,2.288300,0.000000,
4.675033,2.130000,26.290000,78.680000,4.740000,-16.620000,10.050000,2.255000,0.000000,
4.683333,-2.110000,20.610000,69.200000,3.160000,-16.500000,9.370000,2.216000,0.000000,
4.691733,-7.830000,11.700000,60.350000,3.230000,-18.380000,8.400000,2.168300,0.000000,
4.700033,-14.050000,5.220000,53.570000,-1.360000,-21.470000,5.700000,2.120700,0.000000,
4.708333,-20.350000,2.450000,49.230000,-11.920000,-25.650000,0.860000,2.109800,0.000000,
4.716733,-25.270000,2.560000,44.910000,-25.220000,-29.930000,-5.020000,2.103800,0.000000,
4.725033,-28.970000,3.140000,40.820000,-37.740000,-33.410000,-10.560000,2.089300,0.000000,
4.733333,-30.240000,3.750000,41.380000,-47.400000,-34.390000,-15.020000,2.059400,0.000000,
4.741733,-28.390000,5.700000,44.690000,-54.220000,-31.910000,-17.830000,2.031500,0.000000,
4.750033,-23.910000,9.140000,49.550000,-58.780000,-26.480000,-19.210000,2.024800,0.000000,
4.758333,-19.370000,13.360000,52.930000,-62.860000,-21.060000,-20.510000,2.018100,0.000000,
4.766733,-14.570000,17.450000,55.790000,-65.640000,-16.010000,-21.980000,2.018200,0.000000,
4.775033,-9.000000,21.290000,58.180000,-66.280000,-10.350000,-23.600000,2.021300,0.000000,
4.783333,-3.990000,24.090000,62.580000,-65.330000,-4.130000,-25.520000,2.023900,0.000000,
4.791733,0.360000,24.800000,68.600000,-61.480000,2.890000,-27.070000,2.023500,0.000000,
4.800033,2.700000,22.000000,71.120000,-54.420000,9.410000,-27.800000,2.023100,0.000000,
4.808333,2.450000,15.910000,68.050000,-45.130000,14.640000,-28.070000,2.017300,0.000000,
4.816733,-0.230000,10.210000,60.540000,-39.830000,16.610000,-29.120000,2.009800,0.000000,
4.825033,-2.690000,5.270000,52.140000,-36.540000,17.960000,-29.790000,2.008200,0.000000,
4.833333,-4.420000,0.970000,45.520000,-32.410000,19.330000,-29.510000,2.016900,0.000000,
4.841733,-5.420000,-2.780000,44.220000,-24.720000,20.490000,-27.580000,2.025600,0.000000,
4.850033,-5.960000,-6.080000,46.860000,-14.980000,21.090000,-24.440000,2.031000,0.000000,
4.858333,-6.110000,-8.260000,50.100000,-7.650000,20.910000,-21.770000,2.036100,0.000000,
4.866733,-5.740000,-7.430000,54.660000,-5.100000,19.540000,-20.780000,2.059200,0.000000,
4.875033,-4.590000,-3.450000,61.800000,-6.150000,17.710000,-21.040000,2.105000,0.000000,
4.883333,-2.060000,0.180000,72.250000,-3.100000,18.610000,-20.660000,2.142600,0.000000,
4.891733,1.610000,3.500000,83.910000,3.770000,21.480000,-19.290000,2.158900,0.000000,
4.900033,5.490000,7.000000,90.400000,10.630000,24.200000,-17.030000,2.175200,0.000000,
4.908333,8.920000,10.830000,88.350000,13.850000,25.940000,-14.580000,2.190500,0.000000,
4.916733,12.250000,12.330000,81.450000,15.160000,28.110000,-12.880000,2.204800,0.000000,
4.925033,15.680000,11.360000,73.830000,17.800000,30.990000,-11.140000,2.215300,0.000000,
4.933333,19.130000,9.100000,66.490000,21.830000,33.520000,-9.010000,2.218900,0.000000,
4.941733,22.260000,6.970000,59.380000,26.160000,33.640000,-6.510000,2.222400,0.000000,
4.950033,24.850000,4.830000,51.340000,29.720000,30.680000,-4.040000,2.243000,0.000000,
4.958333,27.430000,5.020000,45.680000,30.830000,26.140000,-1.580000,2.266700,0.000000,
4.966733,30.480000,7.410000,46.250000,30.270000,21.620000,0.390000,2.299400,0.000000,
4.975033,32.870000,8.920000,51.570000,28.310000,17.010000,0.910000,2.343400,0.000000,
4.983333,33.270000,9.470000,58.080000,24.640000,10.820000,0.420000,2.387500,0.000000,
4.991733,31.640000,9.600000,65.350000,19.160000,2.790000,-0.840000,2.393300,0.000000,
5.000033,28.360000,9.470000,72.860000,16.290000,-3.850000,-0.670000,2.395800,0.000000,
5.008333,23.520000,7.540000,79.360000,15.970000,-7.770000,0.510000,2.420700,0.000000,
5.016733,18.550000,5.770000,87.070000,14.220000,-8.520000,1.360000,2.466400,0.000000,
5.025033,13.410000,1.990000,95.180000,12.520000,-6.680000,1.320000,2.512000,0.000000,
5.033333,8.390000,-3.280000,103.770000,11.490000,-2.580000,0.660000,2.515700,0.000500,
5.041733,5.320000,-5.370000,114.730000,11.750000,3.340000,0.940000,2.519400,0.000900,
5.050033,5.230000,-1.450000,129.430000,13.070000,11.170000,3.070000,2.552300,0.000700,
5.058333,6.480000,4.370000,141.420000,14.410000,19.270000,5.060000,2.590800,0.000300,
5.066733,8.620000,10.380000,149.720000,11.180000,25.310000,4.200000,2.613300,0.000000,
5.075033,11.550000,16.890000,155.890000,4.570000,29.720000,1.460000,2.601600,0.000000,
5.083333,13.700000,22.420000,160.110000,0.300000,32.700000,-0.350000,2.589900,0.000000,
5.091733,14.800000,26.590000,161.950000,-0.870000,34.180000,-0.980000,2.570400,0.000000,
5.100033,14.920000,28.640000,159.830000,-2.690000,33.580000,-2.510000,2.550100,0.000000,
5.108333,13.380000,27.020000,153.350000,-6.020000,31.450000,-5.540000,2.536300,0.000000,
5.116733,8.910000,20.720000,141.900000,-10.590000,27.260000,-10.070000,2.532200,0.000000,
5.125033,1.770000,12.790000,131.300000,-15.010000,22.080000,-14.110000,2.528000,0.000000,
5.133333,-6.630000,4.520000,122.280000,-18.330000,16.610000,-16.760000,2.530800,0.000000,
5.141733,-13.550000,-2.460000,113.680000,-19.920000,11.610000,-17.490000,2.533600,0.000000,
5.150033,-18.840000,-8.620000,103.090000,-21.530000,6.420000,-17.730000,2.545700,0.006200,
5.158333,-22.150000,-12.660000,96.800000,-24.250000,0.600000,-18.340000,2.567900,0.019200,
5.166733,-23.790000,-14.220000,97.720000,-25.040000,-5.120000,-17.740000,2.578600,0.035700,
5.175033,-24.250000,-14.180000,104.530000,-24.000000,-11.100000,-16.040000,2.564700,0.060000,
5.183333,-23.010000,-12.910000,115.830000,-21.610000,-17.290000,-13.470000,2.550800,0.084200,
5.191733,-18.680000,-9.320000,132.250000,-18.190000,-23.130000,-10.030000,2.560700,0.122700,
5.200033,-14.000000,-4.390000,155.580000,-19.860000,-25.500000,-7.700000,2.576500,0.164800,
5.208333,-11.800000,-0.090000,185.690000,-29.170000,-25.070000,-8.170000,2.573600,0.204600,
5.216733,-10.480000,2.750000,221.460000,-41.580000,-21.420000,-10.160000,2.542700,0.241100,
5.225033,-8.670000,1.940000,255.450000,-51.070000,-13.630000,-11.430000,2.511700,0.277600,
5.233333,-6.430000,-2.870000,286.070000,-57.380000,-1.590000,-11.760000,2.502900,0.276500,
5.241733,-6.290000,-9.430000,308.280000,-63.750000,12.730000,-11.660000,2.497000,0.270300,
5.250033,-7.630000,-16.350000,323.800000,-70.150000,29.740000,-10.960000,2.504900,0.264900,
5.258333,-9.280000,-22.170000,335.540000,-77.620000,48.420000,-10.200000,2.527500,0.260500,
5.266733,-8.860000,-25.700000,343.840000,-81.680000,64.300000,-8.580000,2.550100,0.256200,
5.275033,-6.180000,-26.970000,348.280000,-81.480000,76.870000,-5.910000,2.549000,0.266400,
5.283333,-2.830000,-25.900000,347.030000,-78.190000,85.380000,-3.090000,2.546900,0.277200,
5.291733,-0.560000,-21.620000,341.300000,-76.730000,89.360000,-1.510000,2.528200,0.288400,
5.300033,-0.820000,-16.070000,333.550000,-79.100000,88.430000,-1.560000,2.496500,0.300000,
5.308333,-0.820000,-10.870000,330.500000,-82.230000,84.840000,-2.690000,2.466500,0.311200,
5.316733,-0.240000,-5.720000,331.000000,-86.280000,79.530000,-5.180000,2.478000,0.315300,
5.325033,0.050000,-1.460000,329.620000,-90.740000,74.970000,-9.080000,2.489600,0.319500,
5.333333,-0.840000,0.780000,324.050000,-94.790000,71.970000,-13.940000,2.488900,0.321000,
5.341733,-2.650000,-0.310000,321.260000,-96.330000,71.540000,-18.300000,2.486500,0.322200,
5.350033,-5.310000,-4.210000,325.520000,-98.290000,74.160000,-22.270000,2.492600,0.325100,
5.358333,-8.110000,-9.560000,333.200000,-100.900000,79.740000,-25.780000,2.513600,0.331100,
5.366733,-8.670000,-12.650000,337.230000,-102.450000,88.530000,-28.370000,2.534600,0.337000,
5.375033,-6.780000,-13.220000,337.270000,-102.650000,100.570000,-29.980000,2.541800,0.346000,
5.383333,-4.280000,-12.340000,333.910000,-101.260000,114.700000,-30.080000,2.546400,0.355600,
5.391733,-1.610000,-10.720000,329.590000,-97.730000,129.410000,-28.050000,2.559100,0.364800,
5.400033,0.500000,-9.550000,327.250000,-92.470000,141.750000,-25.410000,2.582100,0.373600,
5.408333,1.550000,-7.900000,320.950000,-87.870000,149.780000,-24.120000,2.605200,0.382300,
5.416733,1.950000,-5.340000,309.550000,-84.290000,153.850000,-24.120000,2.577600,0.386800,
5.425033,2.510000,-2.670000,297.130000,-81.290000,155.740000,-24.340000,2.545700,0.391000,
5.433333,2.300000,-1.640000,288.310000,-78.570000,155.580000,-24.860000,2.557600,0.390800,
5.441733,1.680000,-1.710000,283.320000,-76.480000,153.920000,-24.960000,2.583400,0.389200,
5.450033,2.340000,-2.050000,283.020000,-75.030000,151.240000,-24.710000,2.603100,0.387200,
5.458333,3.760000,-3.110000,286.760000,-74.330000,147.620000,-24.570000,2.603500,0.383900,
5.466733,5.210000,-4.770000,290.080000,-74.210000,146.200000,-23.930000,2.603900,0.380500,
