Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLegCustom.HipFlexion[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLegCustom.HipAbduction[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLegCustom.HipExternalRotation[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLegCustom.KneeFlexion[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLegCustom.KneeFlexion[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLegCustom.KneeFlexion[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLegCustom.AnklePlantarFlexion[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLegCustom.SubTalarEversion[0]
  2.583333333333334e-01, -1.473688110472147e-02,  9.321335123109420e-02,  1.248663848876175e-01,  8.732984546891118e-02,  2.971138060352496e-02, -1.756489576058824e-01, -6.481902334780959e-02,  1.616110743226808e-01
  2.666666666666667e-01, -1.483769607511642e-02,  9.322156787293046e-02,  1.248172653393493e-01,  8.731642751298062e-02,  2.974134190641653e-02, -1.756394422204012e-01, -6.481779171282097e-02,  1.616138366348573e-01
  2.750000000000000e-01, -1.494346426587253e-02,  9.321926323447283e-02,  1.247812320436071e-01,  8.730095455574487e-02,  2.977031614957792e-02, -1.756306686876656e-01, -6.481552491239165e-02,  1.616252999085840e-01
  2.833333333333334e-01, -1.505411682203837e-02,  9.320546832654242e-02,  1.247636920191406e-01,  8.728492795331369e-02,  2.979816087720444e-02, -1.756190817223355e-01, -6.481185716407345e-02,  1.616331838435666e-01
  2.916666666666667e-01, -1.516808655952725e-02,  9.318148354368616e-02,  1.247647118426462e-01,  8.726833240109788e-02,  2.982473610441660e-02, -1.756046210260668e-01, -6.480673931536808e-02,  1.616356181355541e-01
  3.000000000000000e-01, -1.528351328729909e-02,  9.314955645592593e-02,  1.247826525993836e-01,  8.725110034319367e-02,  2.984993519580037e-02, -1.755877656233249e-01, -6.480023588068751e-02,  1.616317812363106e-01
  3.083333333333333e-01, -1.539861865270035e-02,  9.311227694857149e-02,  1.248143744939264e-01,  8.723300964395070e-02,  2.987352152411327e-02, -1.755691203840840e-01, -6.479218642594539e-02,  1.616218206376279e-01
  3.166666666666667e-01, -1.551188061503908e-02,  9.307213328158559e-02,  1.248558422957831e-01,  8.721370303247675e-02,  2.989516442215567e-02, -1.755491094671209e-01, -6.478224095816223e-02,  1.616063524619526e-01
  3.250000000000000e-01, -1.562211654540333e-02,  9.303133657821561e-02,  1.249028632159869e-01,  8.719273626496628e-02,  2.991435783607233e-02, -1.755279012993028e-01, -6.476992326740276e-02,  1.615860811886016e-01
  3.333333333333334e-01, -1.572856846738738e-02,  9.299181778730148e-02,  1.249514267495196e-01,  8.716952593216663e-02,  2.993011708333282e-02, -1.755055198979986e-01, -6.475446489833268e-02,  1.615622087036678e-01
  3.416666666666667e-01, -1.583087763445749e-02,  9.295522375792165e-02,  1.249978032755544e-01,  8.714330771006178e-02,  2.994087844807924e-02, -1.754819359680062e-01, -6.473477181387449e-02,  1.615369113571712e-01
  3.500000000000000e-01, -1.592887610637168e-02,  9.292283240455612e-02,  1.250389023333195e-01,  8.711328677899574e-02,  2.994490220442270e-02, -1.754570242634206e-01, -6.470972487102798e-02,  1.615128891691021e-01
  3.583333333333334e-01, -1.602232974585697e-02,  9.289549663450702e-02,  1.250726813382803e-01,  8.707889489516496e-02,  2.994085660972301e-02, -1.754305277149607e-01, -6.467847224258405e-02,  1.614923820472657e-01
  3.666666666666667e-01, -1.611083766855198e-02,  9.287370351637758e-02,  1.250982056353266e-01,  8.703993166839774e-02,  2.992806330067577e-02, -1.754021331016218e-01, -6.464050221975536e-02,  1.614765165040660e-01
  3.750000000000000e-01, -1.619393063151946e-02,  9.285770075649324e-02,  1.251155551233430e-01,  8.699656762092119e-02,  2.990635147201903e-02, -1.753715736279379e-01, -6.459565475776417e-02,  1.614651288976630e-01
