Main.Studies.MarkerTracking.t,Main.HumanModel.BodyModel.Interface.Trunk.PelvisPosX.Pos[0],Main.HumanModel.BodyModel.Interface.Trunk.PelvisPosY.Pos[0],Main.HumanModel.BodyModel.Interface.Trunk.PelvisPosZ.Pos[0],Main.HumanModel.BodyModel.Interface.Trunk.PelvisRotVec.Pos[0],Main.HumanModel.BodyModel.Interface.Trunk.PelvisRotVec.Pos[1],Main.HumanModel.BodyModel.Interface.Trunk.PelvisRotVec.Pos[2],Main.HumanModel.BodyModel.Trunk.JointsLumbar.SacrumPelvisJnt.Pos[0],Main.HumanModel.BodyModel.Trunk.JointsLumbar.SacrumPelvisJnt.Pos[1],Main.HumanModel.BodyModel.Trunk.JointsLumbar.SacrumPelvisJnt.Pos[2],Main.HumanModel.BodyModel.Trunk.JointsLumbar.L5SacrumJnt.Pos[0],Main.HumanModel.BodyModel.Trunk.JointsLumbar.L5SacrumJnt.Pos[1],Main.HumanModel.BodyModel.Trunk.JointsLumbar.L5SacrumJnt.Pos[2],Main.HumanModel.BodyModel.Trunk.JointsLumbar.L4L5Jnt.Pos[0],Main.HumanModel.BodyModel.Trunk.JointsLumbar.L4L5Jnt.Pos[1],Main.HumanModel.BodyModel.Trunk.JointsLumbar.L4L5Jnt.Pos[2],Main.HumanModel.BodyModel.Trunk.JointsLumbar.L3L4Jnt.Pos[0],Main.HumanModel.BodyModel.Trunk.JointsLumbar.L3L4Jnt.Pos[1],Main.HumanModel.BodyModel.Trunk.JointsLumbar.L3L4Jnt.Pos[2],Main.HumanModel.BodyModel.Trunk.JointsLumbar.L2L3Jnt.Pos[0],Main.HumanModel.BodyModel.Trunk.JointsLumbar.L2L3Jnt.Pos[1],Main.HumanModel.BodyModel.Trunk.JointsLumbar.L2L3Jnt.Pos[2],Main.HumanModel.BodyModel.Trunk.JointsLumbar.L1L2Jnt.Pos[0],Main.HumanModel.BodyModel.Trunk.JointsLumbar.L1L2Jnt.Pos[1],Main.HumanModel.BodyModel.Trunk.JointsLumbar.L1L2Jnt.Pos[2],Main.HumanModel.BodyModel.Trunk.JointsLumbar.T12L1Jnt.Pos[0],Main.HumanModel.BodyModel.Trunk.JointsLumbar.T12L1Jnt.Pos[1],Main.HumanModel.BodyModel.Trunk.JointsLumbar.T12L1Jnt.Pos[2],Main.HumanModel.BodyModel.Trunk.JointsCervicalSpine.T1C7Jnt.Pos[0],Main.HumanModel.BodyModel.Trunk.JointsCervicalSpine.T1C7Jnt.Pos[1],Main.HumanModel.BodyModel.Trunk.JointsCervicalSpine.T1C7Jnt.Pos[2],Main.HumanModel.BodyModel.Trunk.JointsCervicalSpine.C7C6Jnt.Pos[0],Main.HumanModel.BodyModel.Trunk.JointsCervicalSpine.C7C6Jnt.Pos[1],Main.HumanModel.BodyModel.Trunk.JointsCervicalSpine.C7C6Jnt.Pos[2],Main.HumanModel.BodyModel.Trunk.JointsCervicalSpine.C6C5Jnt.Pos[0],Main.HumanModel.BodyModel.Trunk.JointsCervicalSpine.C6C5Jnt.Pos[1],Main.HumanModel.BodyModel.Trunk.JointsCervicalSpine.C6C5Jnt.Pos[2],Main.HumanModel.BodyModel.Trunk.JointsCervicalSpine.C5C4Jnt.Pos[0],Main.HumanModel.BodyModel.Trunk.JointsCervicalSpine.C5C4Jnt.Pos[1],Main.HumanModel.BodyModel.Trunk.JointsCervicalSpine.C5C4Jnt.Pos[2],Main.HumanModel.BodyModel.Trunk.JointsCervicalSpine.C4C3Jnt.Pos[0],Main.HumanModel.BodyModel.Trunk.JointsCervicalSpine.C4C3Jnt.Pos[1],Main.HumanModel.BodyModel.Trunk.JointsCervicalSpine.C4C3Jnt.Pos[2],Main.HumanModel.BodyModel.Trunk.JointsCervicalSpine.C3C2Jnt.Pos[0],Main.HumanModel.BodyModel.Trunk.JointsCervicalSpine.C3C2Jnt.Pos[1],Main.HumanModel.BodyModel.Trunk.JointsCervicalSpine.C3C2Jnt.Pos[2],Main.HumanModel.BodyModel.Trunk.JointsCervicalSpine.C2C1Jnt.Pos[0],Main.HumanModel.BodyModel.Trunk.JointsCervicalSpine.C1C0Jnt.Pos[0]
  2.583333333333334e-01,  4.583527020670393e-01,  4.693339194560280e-01,  1.050415462856254e+00,  1.583715636315981e+00, -1.775471204282728e-01,  1.423574272630418e-01,  6.857369561641721e-04, -1.670885767384631e-14, -1.089143640193753e-03,  2.197216661584472e-03,  5.342078044690156e-03, -3.489799596689441e-03,  3.880037187923623e-03,  1.177484183764915e-02, -6.162593088897788e-03,  5.582619316427299e-03,  1.845170731780664e-02, -8.866773577419572e-03,  7.201410784868989e-03,  2.503843068395377e-02, -1.143787087172245e-02,  8.812664143501330e-03,  3.106253268443912e-02, -1.399699552217078e-02,  9.650633473301846e-03,  3.759053962766651e-02, -1.532792709586991e-02, -1.344410693882025e-16, -2.775557561562891e-17,  3.747002708109902e-16, -3.543172699682628e-16,  0.000000000000000e+00,  3.469446951953613e-16, -2.298508605669269e-17,  2.775557561562891e-17,  4.024558464266191e-16, -2.645453300864631e-17, -5.551115123125783e-17,  3.747002708109903e-16, -5.741934705483231e-16,  2.775557561562891e-17,  3.191891195797325e-16, -1.348747502571968e-16, -5.551115123125783e-17,  3.608224830031759e-16, -1.387778780781445e-16,  1.040834085586084e-15
  2.666666666666667e-01,  4.583777027068411e-01,  4.693260530749441e-01,  1.050424691151477e+00,  1.583729315773340e+00, -1.776045620905636e-01,  1.424043900784993e-01,  6.855905496898369e-04, -1.484923398157643e-15, -1.090961354678042e-03,  2.196747550579559e-03,  5.333291236347243e-03, -3.495623859937032e-03,  3.879208790709787e-03,  1.175547422868067e-02, -6.172878081903172e-03,  5.581427413854458e-03,  1.842135740250628e-02, -8.881571683170497e-03,  7.199873266438388e-03,  2.499724673073193e-02, -1.145695998246384e-02,  8.810782618617771e-03,  3.101144010960306e-02, -1.402035565628842e-02,  9.648573039963023e-03,  3.752870959343565e-02, -1.535350847382451e-02,  3.222248856626919e-16, -2.775557561562891e-17,  1.942890293094023e-16, -1.235990476633475e-16, -2.775557561562891e-17,  1.665334536937735e-16, -8.673617379884035e-18,  5.551115123125783e-17,  2.220446049250313e-16, -1.301042606982605e-17, -2.775557561562891e-17,  1.942890293094024e-16, -1.240327285323417e-16,  0.000000000000000e+00,  2.081668171172169e-16,  1.001802807376606e-16, -2.775557561562891e-17,  1.387778780781446e-16, -1.942890293094024e-16,  6.245004513516505e-16
  2.750000000000000e-01,  4.584019390482684e-01,  4.693179689537170e-01,  1.050433881516670e+00,  1.583735182434417e+00, -1.776506011818768e-01,  1.424654211169353e-01,  6.855402907287987e-04, -1.568190131044489e-15, -1.092954194873228e-03,  2.196586512404072e-03,  5.323449400586058e-03, -3.502009255446598e-03,  3.878924415425550e-03,  1.173378116120583e-02, -6.184153971290900e-03,  5.581018253096891e-03,  1.838736338905048e-02, -8.897795496205506e-03,  7.199345461383544e-03,  2.495111784222758e-02, -1.147788821266212e-02,  8.810136721749408e-03,  3.095421287659712e-02, -1.404596639692849e-02,  9.647865726732397e-03,  3.745945566002515e-02, -1.538155446160701e-02,  2.090341788552052e-16, -2.775557561562891e-17,  2.359223927328457e-16, -4.588343593958655e-16,  0.000000000000000e+00,  1.942890293094024e-16,  3.222248856626919e-16, -5.551115123125783e-17,  1.942890293094024e-16, -1.301042606982605e-17,  0.000000000000000e+00,  2.081668171172169e-16, -9.107298248878237e-18,  2.775557561562891e-17,  1.804112415015879e-16, -1.344410693882025e-17, -2.775557561562891e-17,  1.942890293094024e-16, -1.665334536937735e-16,  5.412337245047638e-16
  2.833333333333334e-01,  4.584250874978783e-01,  4.693096743048387e-01,  1.050443080394884e+00,  1.583733284154833e+00, -1.776859056712660e-01,  1.425404882399892e-01,  6.856158152720334e-04, -1.665334652782388e-15, -1.095184124326735e-03,  2.196828505752018e-03,  5.313111532643327e-03, -3.509154324858111e-03,  3.879351748426018e-03,  1.171099475506486e-02, -6.196771359239672e-03,  5.581633102219231e-03,  1.835165606467793e-02, -8.915949464911043e-03,  7.200138598233306e-03,  2.490266404059247e-02, -1.150130628554415e-02,  8.811107316107493e-03,  3.089410136977122e-02, -1.407462406101172e-02,  9.648928611946101e-03,  3.738671130262297e-02, -1.541293709548051e-02, -1.214306433183765e-17, -2.775557561562891e-17,  1.942890293094023e-16, -1.125835535908948e-15,  0.000000000000000e+00,  9.714451465470120e-17,  6.574601973952099e-16,  5.551115123125783e-17,  3.053113317719180e-16, -1.257674520083185e-17, -2.775557561562891e-17,  1.526556658859590e-16,  6.539907504432563e-16,  0.000000000000000e+00,  3.053113317719180e-16, -1.170938346284345e-17,  0.000000000000000e+00,  2.081668171172169e-16, -1.665334536937735e-16,  6.661338147750939e-16
  2.916666666666667e-01,  4.584468756858137e-01,  4.693012406217494e-01,  1.050452222012322e+00,  1.583724661163194e+00, -1.777108764250764e-01,  1.426275789961828e-01,  6.858346826341288e-04, -1.554312342968987e-15, -1.097667314088437e-03,  2.197529793630370e-03,  5.302961578160126e-03, -3.517110882935780e-03,  3.880590143843873e-03,  1.168862254191133e-02, -6.210821744788515e-03,  5.583414912507971e-03,  1.831659779936496e-02, -8.936165238618744e-03,  7.202437079842230e-03,  2.485509099324165e-02, -1.152738402478283e-02,  8.813920063089902e-03,  3.083508252163008e-02, -1.410653646878838e-02,  9.652008814452924e-03,  3.731528923371573e-02, -1.544788395668930e-02, -5.689893001203926e-16, -2.775557561562891e-17,  1.249000902703301e-16,  3.213575239247035e-16,  0.000000000000000e+00,  2.359223927328457e-16,  3.204901621867151e-16, -5.551115123125783e-17,  2.359223927328458e-16, -3.430415673744136e-16,  5.551115123125783e-17,  1.665334536937735e-16, -9.974659986866641e-18, -2.775557561562891e-17,  1.249000902703301e-16,  2.090341788552052e-16, -2.775557561562891e-17,  2.081668171172168e-16, -1.665334536937735e-16,  5.134781488891348e-16
  3.000000000000000e-01,  4.584671221882902e-01,  4.692927848642834e-01,  1.050461237482320e+00,  1.583710863513759e+00, -1.777267471510544e-01,  1.427236832164325e-01,  6.862028138279040e-04, -1.471045610710175e-15, -1.100408265299065e-03,  2.198709347955805e-03,  5.293614180839634e-03, -3.525893352094876e-03,  3.882673103946804e-03,  1.166801930022864e-02, -6.226330596298109e-03,  5.586411887213869e-03,  1.828431159199396e-02, -8.958479461348784e-03,  7.206303086951107e-03,  2.481127954797058e-02, -1.155616870006106e-02,  8.818651055842241e-03,  3.078073029533178e-02, -1.414176146612348e-02,  9.657189662862338e-03,  3.724951450963696e-02, -1.548645839148515e-02,  3.235259282696745e-16, -2.775557561562891e-17,  1.942890293094024e-16, -7.892991815694472e-16,  0.000000000000000e+00,  1.249000902703301e-16,  4.323798263872191e-16,  2.775557561562891e-17,  2.775557561562891e-16,  1.010476424756490e-16, -2.775557561562891e-17,  1.665334536937735e-16, -1.244664094013359e-16, -5.551115123125781e-17,  1.387778780781445e-16,  9.757819552369537e-17, -2.775557561562891e-17,  2.220446049250313e-16, -1.387778780781445e-16,  5.551115123125782e-16
  3.083333333333333e-01,  4.584857394450710e-01,  4.692844267317163e-01,  1.050470093866336e+00,  1.583693600884655e+00, -1.777356275518873e-01,  1.428251402298010e-01,  6.867046863503896e-04, -1.401656667234977e-15, -1.103407183363225e-03,  2.200317432010491e-03,  5.285388788173765e-03, -3.535502390484929e-03,  3.885512799296804e-03,  1.164988914621625e-02, -6.243299075986523e-03,  5.590497656844116e-03,  1.825590082435226e-02, -8.982893805307901e-03,  7.211573606721437e-03,  2.477272696180435e-02, -1.158766246847463e-02,  8.825100808812356e-03,  3.073290217930559e-02, -1.418030169274478e-02,  9.664252703152755e-03,  3.719163498290767e-02, -1.552866329059889e-02, -1.301042606982605e-17,  0.000000000000000e+00,  2.081668171172169e-16, -5.659535340374332e-16,  2.775557561562891e-17,  9.714451465470117e-17, -1.301042606982605e-17, -2.775557561562891e-17,  1.942890293094023e-16,  9.900934239137625e-16, -2.775557561562891e-17,  2.636779683484746e-16, -7.914675859144180e-16,  0.000000000000000e+00,  1.110223024625156e-16, -3.434752482434077e-16,  0.000000000000000e+00,  1.249000902703301e-16, -1.665334536937735e-16,  5.967448757360216e-16
  3.166666666666667e-01,  4.585027221392670e-01,  4.692762627814361e-01,  1.050478814350824e+00,  1.583674506437448e+00, -1.777402510990243e-01,  1.429280279920377e-01,  6.873052975623195e-04, -1.304512146179434e-15, -1.106663166916867e-03,  2.202241891455478e-03,  5.278248292343065e-03, -3.545935109984026e-03,  3.888911177955432e-03,  1.163415028797657e-02, -6.261722083755986e-03,  5.595387263160165e-03,  1.823123732485340e-02, -9.009400932445972e-03,  7.217881051608325e-03,  2.473925930962437e-02, -1.162185586415991e-02,  8.832819489922620e-03,  3.069138240305249e-02, -1.422214556488355e-02,  9.672705330085067e-03,  3.714138953736042e-02, -1.557448596879698e-02,  7.632783294297951e-16, -8.326672684688674e-17,  2.636779683484747e-16, -2.346213501258632e-16, -5.551115123125783e-17,  1.387778780781446e-16, -5.637851296924622e-18,  8.326672684688673e-17,  2.081668171172168e-16, -4.579669976578771e-16, -1.110223024625157e-16,  6.938893903907228e-17,  4.341145498631960e-16,  0.000000000000000e+00,  2.220446049250313e-16, -6.774095173689430e-16,  5.551115123125781e-17,  1.249000902703301e-16, -1.665334536937735e-16,  5.551115123125782e-16
  3.250000000000000e-01,  4.585181327101634e-01,  4.692683735036731e-01,  1.050487471995833e+00,  1.583655027436135e+00, -1.777436363312875e-01,  1.430285163106766e-01,  6.879654618192257e-04, -9.853230043860476e-16, -1.110175061569320e-03,  2.204357168886483e-03,  5.271922758439718e-03, -3.557187811729765e-03,  3.892646519688754e-03,  1.162020774340310e-02, -6.281593087831875e-03,  5.600761693842173e-03,  1.820938872974808e-02, -9.037991444809029e-03,  7.224813905324835e-03,  2.470961140091444e-02, -1.165873676403975e-02,  8.841303509677299e-03,  3.065460137851606e-02, -1.426727824702879e-02,  9.681996069378546e-03,  3.709687872510890e-02, -1.562391017990478e-02, -9.974659986866639e-18, -2.775557561562891e-17,  1.249000902703301e-16, -8.239936510889832e-18,  0.000000000000000e+00,  1.804112415015879e-16,  3.235259282696745e-16,  0.000000000000000e+00,  1.942890293094024e-16, -2.341876692568690e-16, -5.551115123125783e-17,  1.526556658859590e-16, -3.430415673744135e-16, -2.775557561562891e-17,  8.326672684688673e-17,  3.243932900076629e-16, -2.775557561562891e-17,  1.804112415015879e-16, -1.110223024625156e-16,  4.857225732735059e-16
  3.333333333333334e-01,  4.585320822075717e-01,  4.692608348075717e-01,  1.050496172145117e+00,  1.583636403749090e+00, -1.777488249753181e-01,  1.431231457143421e-01,  6.886515566336220e-04, -8.743006943723735e-16, -1.113942844702980e-03,  2.206555532185015e-03,  5.266058339925050e-03, -3.569260423252222e-03,  3.896528581708032e-03,  1.160728157498985e-02, -6.302911960240445e-03,  5.606347226497915e-03,  1.818913284184751e-02, -9.068665158268065e-03,  7.232019074229357e-03,  2.468212474960247e-02, -1.169830493059296e-02,  8.850120772786543e-03,  3.062050159744148e-02, -1.431569944851607e-02,  9.691651739120051e-03,  3.705561263825140e-02, -1.567693560561942e-02, -2.311519031739095e-16, -2.775557561562891e-17,  1.249000902703301e-16,  2.129373066761531e-16,  2.775557561562891e-17,  2.220446049250313e-16, -6.761084747619606e-16, -5.551115123125783e-17,  0.000000000000000e+00,  2.090341788552053e-16, -5.551115123125783e-17,  2.220446049250313e-16, -1.188285581044113e-16,  0.000000000000000e+00,  1.249000902703301e-16,  4.341145498631960e-16, -2.775557561562891e-17,  2.081668171172169e-16, -1.665334536937735e-16,  4.024558464266192e-16
