Time(sec)	Fx	Fy	Fz	Tx	Ty	Tz	GON	GRFz
4.325	29.08	16.29	283.75	-27.03	199.38	10.73	2.8434	0.0004
4.3333	31.29	17.44	283.23	-23.57	199.34	11.89	2.8412	0.0008
4.3417	31.59	18.9	287.4	-21.95	197.41	11.45	2.8589	0.0008
4.35	31.38	20.39	294.9	-19.78	194.58	10.47	2.902	0.0003
4.3583	33.02	23.3	300.89	-16.48	192.2	9.77	2.9326	0
4.3667	35.84	27.26	304.47	-12.74	189.68	8.78	2.931	0
4.375	38.13	31.39	305.87	-9.74	186.28	6.52	2.9294	0
4.3833	39.19	35.38	307.37	-7.45	182.35	3.09	2.9246	0.0003
4.3917	38.14	39.2	308.22	-5.97	178.23	-0.55	2.9187	0.0007
4.4	35.3	41.64	306.42	-3.89	173.85	-3.82	2.9215	0.001
4.4083	31.26	41.03	301.56	-2.13	168.95	-7.05	2.9394	0.001
4.4167	25.6	36.68	293.46	-3.88	162.61	-11.42	2.9573	0.001
4.425	18.17	28.96	282.32	-9.75	154.69	-17.18	2.9808	0.001
4.4333	12.52	22.21	273.06	-15.46	148.51	-22.22	3.0045	0.001
4.4417	9.82	17.05	267.24	-19.79	145.08	-25.5	3.0101	0.001
4.45	7.87	13.14	262.99	-24.1	143.25	-28.01	3.0014	0.001
4.4583	6.51	9.84	259.22	-28.49	142	-31.06	2.9924	0.001
4.4667	5.99	7	256.13	-32.65	141.21	-34.52	2.9774	0.0006
4.475	7.14	5.37	255.53	-33.71	140.4	-36.87	2.9624	0.0002
4.4833	9.53	6.27	257.76	-30.9	139.77	-37.85	2.959	0
4.4917	13.84	10.23	263.76	-24.53	140.58	-36.84	2.9622	0
4.5	17.2	13.31	269.55	-18.21	140.18	-35.33	2.9669	0
4.5083	19.28	15.64	274.14	-13.34	138.22	-34.08	2.9826	0
4.5167	21.8	17.71	278.16	-10.35	135.46	-33.05	2.9984	0
4.525	25.96	19.69	282.65	-8.4	132.58	-31.69	2.9841	0.0004
4.5333	30.42	20.64	287.05	-5.37	130.17	-29.73	2.9687	0.0008
4.5417	33.75	21.51	289.95	-3.22	128.98	-28.36	2.9719	0.001
4.55	36.2	23.95	292.57	-3.44	128.42	-27.5	2.999	0.001
4.5583	37.19	28.78	294.9	-7.23	126.57	-27.75	3.0252	0.001
4.5667	36.78	35.59	296.96	-14.11	123.53	-29.07	3.0308	0.0006
4.575	35.83	41.46	300.19	-19.16	120.81	-30.05	3.0363	0.0002
4.5833	34.8	46.21	305.86	-20.58	118.82	-29.74	3.0193	0.0002
4.5917	32.33	49.78	309.26	-20.14	115.91	-28.73	2.9814	0.0006
4.6	29.3	53.18	309.87	-20.52	111.27	-27.56	2.9468	0.0009
4.6083	26.03	56.51	307.78	-21.48	104.88	-26.16	2.9372	0.0005
4.6167	25.81	59.12	302.77	-18.96	97.08	-23.85	2.9275	0.0001
4.625	28.41	59.51	293.72	-11.59	88.41	-20.71	2.9071	0
4.6333	28.72	57.43	281.9	-3.88	77.76	-18.37	2.8847	0
4.6417	25.76	55.65	266.98	0.31	63.89	-17.6	2.8609	0
4.65	20.49	54.17	248.22	1.45	47.07	-17.51	2.8225	0.0005
4.6583	16.79	53.1	228.48	2.41	29.69	-15.32	2.7841	0.001
4.6667	14.67	52.35	208.84	3.26	12.15	-11.2	2.7566	0.0007
4.675	12	50.97	190.48	1.86	-4.63	-7.38	2.7301	0.0003
4.6833	5.22	47.97	172.43	-4.4	-20.41	-4.6	2.6941	0
4.6917	-3.37	43.64	155.09	-12.56	-33.53	-2.71	2.634	0
4.7	-7.16	38.8	137.41	-16.62	-41.94	-0.05	2.5725	0
4.7083	-6.15	33.78	119.53	-17	-45.86	3.63	2.5019	0
4.7167	-3.04	29.66	103.21	-17.18	-46.75	7.95	2.4313	0
4.725	-0.33	26.45	90.31	-18.39	-45.37	10.67	2.373	0
4.7333	1	23.65	79.84	-20.12	-42.58	10.95	2.323	0
4.7417	2.17	21.82	70.15	-20.33	-39.61	10.4	2.2763	0
4.75	3.6	20.54	61.65	-18.6	-36.17	9.2	2.2425	0
4.7583	4	18.44	54.98	-16.8	-33.13	7.72	2.2088	0
4.7667	1.81	15.33	49.85	-16.89	-31.59	5.85	2.1719	0.0003
4.775	-2.64	12.09	47.06	-19.42	-31.77	3.51	2.1336	0.0007
4.7833	-7.65	8.01	45.93	-21.78	-32.66	0.24	2.0998	0.0009
4.7917	-12.29	3.68	46.97	-22.75	-33.18	-3.46	2.0776	0.0005
4.8	-13.68	0.74	51.95	-20.43	-30.71	-5.57	2.0553	0.0001
4.8083	-11.22	-0.5	61.26	-14.94	-24.89	-5.53	2.0456	0
4.8167	-9.58	-2.4	65.24	-9.13	-17.77	-4.74	2.0397	0
