---- AnyBody Output File ---------------------------------
Study: Main.Studies.MotionOptimization
Operation: Main.Studies.MotionOptimization.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.FileName = "..\Input\Subjects\PS\Overground Gait Trials\PS_ngait_og_ss3\PS_ngait_og_ss3-output-euler-leftarm.txt"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.NumberFormat.Digits = 15
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.NumberFormat.Width = 22
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.NumberFormat.Style = ScientificNumber
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.NumberFormat.FormatStr = "%22.15e"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.Search = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.Format = 0
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.SepSign = " "
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.LineSepSign = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.Header.TitleSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.Header.ConstSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.Header.ConstSectionSaveOptionsOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.Header.VarSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.Header.ColumnNamesOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.Header.LinePrefix = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.ConstSectionSaveOptionsOnOff = On
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.MotionOptimization.t
col1  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.SternoClavicularProtraction
col2  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.SternoClavicularElevation
col3  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.SternoClavicularAxialRotation
col4  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.GlenohumeralFlexion
col5  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.GlenohumeralExternalRotation
col6  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.GlenohumeralAbduction
col7  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.ElbowFlexion
col8  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.ElbowPronation
col9  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.WristFlexion
col10  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.WristAbduction
----------------------------------------------------------
Main.Studies.MotionOptimization.t Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.SternoClavicularProtraction Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.SternoClavicularElevation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.SternoClavicularAxialRotation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.GlenohumeralFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.GlenohumeralExternalRotation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.GlenohumeralAbduction Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.ElbowFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.ElbowPronation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.WristFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile6.WristAbduction
4.236666666666666e+000 -7.306082590090399e-001 2.203619271150779e-001 -3.490658496460864e-001 -6.959825617197346e-002 9.877793072452052e-001 2.651430695430083e-002 2.492696702923950e-001 2.107342425544702e-008 0.000000000000000e+000 0.000000000000000e+000
4.244738562091503e+000 -7.305469292107667e-001 2.195687122527450e-001 -3.490657512475558e-001 -7.207333595234333e-002 9.868122690326020e-001 2.414850582694317e-002 2.534389513860870e-001 1.490116119384766e-008 0.000000000000000e+000 0.000000000000000e+000
4.252810457516340e+000 -7.311797460713262e-001 2.183165976905048e-001 -3.490657463764759e-001 -7.381847420510979e-002 9.864538689883201e-001 2.238214122440017e-002 2.564954861587061e-001 0.000000000000000e+000 -6.661338147750939e-016 0.000000000000000e+000
4.260882352941176e+000 -7.319135570243001e-001 2.164745611389307e-001 -3.490657340198564e-001 -7.534447642390685e-002 9.862827898436554e-001 2.083902124702377e-002 2.589921222170031e-001 0.000000000000000e+000 -8.881784197001252e-016 0.000000000000000e+000
4.268954248366013e+000 -7.327252761875096e-001 2.140185913073047e-001 -3.490657190647145e-001 -7.675096487934208e-002 9.865651736024104e-001 1.947079959695323e-002 2.609470276657052e-001 0.000000000000000e+000 6.661338147750939e-016 0.000000000000000e+000
4.277026143790850e+000 -7.336044078836689e-001 2.110248511681894e-001 -3.490657014412957e-001 -7.807364582783327e-002 9.877317862853301e-001 1.832641734018519e-002 2.622881797537709e-001 0.000000000000000e+000 -2.220446049250313e-016 0.000000000000000e+000
4.285098039215686e+000 -7.345583971847761e-001 2.076613058523422e-001 -3.490656815987777e-001 -7.925629697769465e-002 9.902872246606562e-001 1.753009230121141e-002 2.628672491550208e-001 0.000000000000000e+000 -2.220446049250313e-016 0.000000000000000e+000
4.293169934640523e+000 -7.356121851213681e-001 2.041554174209073e-001 -3.490656604001443e-001 -8.014630743157247e-002 9.946503146200402e-001 1.724680807777588e-002 2.624951149220740e-001 -2.107342425544702e-008 0.000000000000000e+000 0.000000000000000e+000
4.301241830065360e+000 -7.367984549437452e-001 2.007560038502145e-001 -3.490656393264572e-001 -8.051681937632527e-002 1.001013195623288e+000 1.766725818762964e-002 2.609709226942275e-001 0.000000000000000e+000 4.440892098500626e-016 0.000000000000000e+000
4.309313725490196e+000 -7.381351276048008e-001 1.977044834592203e-001 -3.490656207582207e-001 -8.010073140051532e-002 1.009386555581831e+000 1.900221227337271e-002 2.580999120598498e-001 0.000000000000000e+000 2.220446049250313e-016 0.000000000000000e+000
4.317385620915033e+000 -7.396021930789302e-001 1.952183282245279e-001 -3.490656079074144e-001 -7.862067582111720e-002 1.019843525821838e+000 2.146911282013676e-002 2.537012704878118e-001 0.000000000000000e+000 2.220446049250313e-016 0.000000000000000e+000
4.325457516339870e+000 -7.411328282194782e-001 1.934721846144147e-001 -3.490656041159379e-001 -7.581784067433439e-002 1.032676516882392e+000 2.526152178324066e-002 2.476248264935161e-001 -2.580956827951785e-008 -2.220446049250313e-016 0.000000000000000e+000
4.333529411764706e+000 -7.426225914195758e-001 1.925706812485002e-001 -3.490656119817547e-001 -7.148376714722460e-002 1.048262578950619e+000 3.050146631598478e-002 2.397918144121874e-001 1.490116119384766e-008 -8.881784197001252e-016 0.000000000000000e+000
4.341601307189543e+000 -7.439440743729364e-001 1.925317264425841e-001 -3.490656330292982e-001 -6.548534304977416e-002 1.066817795800076e+000 3.719556319134905e-002 2.302358260084074e-001 0.000000000000000e+000 -4.440892098500626e-016 0.000000000000000e+000
4.349673202614380e+000 -7.449566037631885e-001 1.932978917917867e-001 -3.490656676369137e-001 -5.778072257634226e-002 1.088290899913855e+000 4.522042152839777e-002 2.191167802656775e-001 0.000000000000000e+000 -2.220446049250313e-016 0.000000000000000e+000
4.357745098039216e+000 -7.455178549133891e-001 1.947711586155572e-001 -3.490657147105393e-001 -4.843758936863929e-002 1.112413650122531e+000 5.434208807904001e-002 2.067152056088788e-001 2.580956827951785e-008 4.440892098500626e-016 0.000000000000000e+000
4.365816993464053e+000 -7.455067521105216e-001 1.968523008140735e-001 -3.490657714394305e-001 -3.765450735986287e-002 1.138730272784425e+000 6.425682326226322e-002 1.934252170504983e-001 1.490116119384766e-008 -4.440892098500626e-016 0.000000000000000e+000
4.373888888888890e+000 -7.448504903038720e-001 1.994638215836126e-001 -3.490658333783479e-001 -2.576251968369037e-002 1.166467985996886e+000 7.463390530836657e-002 1.797442743991358e-001 -2.107342425544702e-008 -6.661338147750939e-016 0.000000000000000e+000
4.381960784313726e+000 -7.435416656917575e-001 2.025445018938301e-001 -3.490658948668193e-001 -1.318400341940973e-002 1.194353225680985e+000 8.514652139954609e-002 1.662484132357276e-001 0.000000000000000e+000 1.110223024625157e-015 0.000000000000000e+000
4.390032679738563e+000 -7.416430414969012e-001 2.060280461970299e-001 -3.490659502468835e-001 -3.562368371741176e-004 1.220569645348858e+000 9.548938924964480e-002 1.535597374827064e-001 0.000000000000000e+000 4.440892098500626e-016 0.000000000000000e+000
4.398104575163400e+000 -7.392863819812270e-001 2.098318571559035e-001 -3.490659960347615e-001 1.234945433532264e-002 1.242977887794898e+000 1.053930379533643e-001 1.423104197838803e-001 -1.490116119384766e-008 8.881784197001252e-016 0.000000000000000e+000
4.406176470588236e+000 -7.366664955634146e-001 2.138615892437199e-001 -3.490660329122918e-001 2.467947720568176e-002 1.259580024976556e+000 1.146483597906655e-001 1.330868646439382e-001 2.107342425544702e-008 2.220446049250313e-016 0.000000000000000e+000
4.414248366013073e+000 -7.340198083375730e-001 2.180147078349026e-001 -3.490660659992444e-001 3.650634690167287e-002 1.268942684066426e+000 1.231297944695115e-001 1.263577011442967e-001 0.000000000000000e+000 6.661338147750939e-016 0.000000000000000e+000
4.422320261437910e+000 -7.315829195450235e-001 2.221753683395724e-001 -3.490661027412544e-001 4.780701124237297e-002 1.270253657383145e+000 1.307845341708798e-001 1.224274456283304e-001 0.000000000000000e+000 6.661338147750939e-016 0.000000000000000e+000
4.430392156862746e+000 -7.295473140824379e-001 2.262109731025492e-001 -3.490661490799107e-001 5.862651180690981e-002 1.263077734081260e+000 1.375917915181788e-001 1.214402789926159e-001 0.000000000000000e+000 -6.661338147750939e-016 0.000000000000000e+000
4.438464052287583e+000 -7.280318823449207e-001 2.299761058480703e-001 -3.490662062694608e-001 6.903595831450282e-002 1.247157651239326e+000 1.435328007257788e-001 1.234109812914700e-001 0.000000000000000e+000 0.000000000000000e+000 0.000000000000000e+000
4.446535947712420e+000 -7.270831341394283e-001 2.333221577257312e-001 -3.490662709657560e-001 7.910273449017868e-002 1.222505357554009e+000 1.485969433204308e-001 1.282476885792325e-001 2.980232238769531e-008 0.000000000000000e+000 0.000000000000000e+000
4.454607843137256e+000 -7.266931322551602e-001 2.361204569577957e-001 -3.490663386003501e-001 8.888579970489885e-002 1.189711411081971e+000 1.528179981031032e-001 1.357501932991538e-001 1.490116119384766e-008 4.440892098500626e-016 0.000000000000000e+000
4.462679738562093e+000 -7.268127953719059e-001 2.383012349984375e-001 -3.490664069929366e-001 9.843984092920732e-002 1.150068806716972e+000 1.563020534517058e-001 1.456108091388915e-001 -2.980232238769531e-008 0.000000000000000e+000 0.000000000000000e+000
4.470751633986930e+000 -7.273506234020616e-001 2.398870067852776e-001 -3.490664772162149e-001 1.078055329892569e-001 1.105302559263838e+000 1.592120713761206e-001 1.574484563301224e-001 -1.490116119384766e-008 2.220446049250313e-016 0.000000000000000e+000
4.478823529411766e+000 -7.281698537256338e-001 2.409960824412123e-001 -3.490665518934536e-001 1.169933615707490e-001 1.057222125866935e+000 1.617251008951416e-001 1.708505050749185e-001 -2.580956827951785e-008 -4.440892098500626e-016 0.000000000000000e+000
