---- AnyBody Output File ---------------------------------
Study: Main.Studies.MotionOptimization
Operation: Main.Studies.MotionOptimization.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2b.FileName = "..\Input\Subjects\PS\Overground Gait Trials\PS_ngait_og_ss3\PS_ngait_og_ss3-output-euler-leftlegfootpostd.txt"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2b.NumberFormat.Digits = 15
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2b.NumberFormat.Width = 22
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2b.NumberFormat.Style = ScientificNumber
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2b.NumberFormat.FormatStr = "%22.15e"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2b.Search = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2b.Format = 0
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2b.SepSign = " "
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2b.LineSepSign = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2b.Header.TitleSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2b.Header.ConstSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2b.Header.ConstSectionSaveOptionsOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2b.Header.VarSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2b.Header.ColumnNamesOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2b.Header.LinePrefix = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2b.ConstSectionSaveOptionsOnOff = On
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.MotionOptimization.t
col1  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2b.LeftFootPosX
col2  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2b.LeftFootPosY
col3  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2b.LeftFootPosZ
col4  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2b.LeftFootRotZ
col5  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2b.LeftFootRotY
col6  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2b.LeftFootRotX
----------------------------------------------------------
Main.Studies.MotionOptimization.t Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2b.LeftFootPosX Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2b.LeftFootPosY Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2b.LeftFootPosZ Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2b.LeftFootRotZ Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2b.LeftFootRotY Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2b.LeftFootRotX
4.236666666666666e+000 -3.743028935465892e-001 1.582169058412099e-001 9.913954154807426e-002 1.380886496558782e-001 -2.830260092859175e+000 -1.663685748456438e+000
4.244738562091503e+000 -3.790669517502597e-001 1.619472322281432e-001 9.691301890125988e-002 1.396055418553055e-001 -2.842388252343803e+000 -1.656750587727361e+000
4.252810457516340e+000 -3.828966129995372e-001 1.656503207112753e-001 9.436180188876518e-002 1.400123125058896e-001 -2.855690189236684e+000 -1.647305276931961e+000
4.260882352941176e+000 -3.860481467490235e-001 1.692337741316252e-001 9.155120763577861e-002 1.385598873375056e-001 -2.869936821676239e+000 -1.636330256786026e+000
4.268954248366013e+000 -3.887966311161276e-001 1.725943460289589e-001 8.855450299565411e-002 1.345866829339011e-001 -2.885613881107084e+000 -1.625177686995526e+000
4.277026143790850e+000 -3.914038188040213e-001 1.756251090598039e-001 8.545581875253835e-002 1.277413107982155e-001 -2.903490096220866e+000 -1.615232027619251e+000
4.285098039215686e+000 -3.940708774070675e-001 1.782231237817492e-001 8.234825520130946e-002 1.181557912491904e-001 -2.924132870428842e+000 -1.607259498533976e+000
4.293169934640523e+000 -3.968947421413955e-001 1.802998573203018e-001 7.932975838869415e-002 1.065077319691521e-001 -2.947578323833520e+000 -1.600934378137476e+000
4.301241830065360e+000 -3.998490191405887e-001 1.817987306198968e-001 7.649517918377677e-002 9.392825434571295e-002 -2.973189429831515e+000 -1.594976405440690e+000
4.309313725490196e+000 -4.027995109247533e-001 1.827121229295712e-001 7.392642488568792e-002 8.172992717768501e-002 -2.999695779714805e+000 -1.587837610031957e+000
4.317385620915033e+000 -4.055531732342306e-001 1.830848659689933e-001 7.168795727256699e-002 7.100513051962398e-002 -3.025436817338000e+000 -1.578504978460672e+000
4.325457516339870e+000 -4.079254422396297e-001 1.830049651059033e-001 6.982951068310499e-002 6.227427705344413e-002 -3.048772649069995e+000 -1.567001628867663e+000
4.333529411764706e+000 -4.098003895733970e-001 1.825904897720096e-001 6.838795433370212e-002 5.541340148002760e-002 -3.068517562495817e+000 -1.554336709360868e+000
4.341601307189543e+000 -4.111596068402756e-001 1.819735808572318e-001 6.737893636454470e-002 4.993505712317958e-002 -3.084197459186246e+000 -1.541938440404216e+000
4.349673202614380e+000 -4.120710874898677e-001 1.812803222039012e-001 6.677951571146611e-002 4.540479284912902e-002 -3.096021138816104e+000 -1.530991542660799e+000
4.357745098039216e+000 -4.126511488821600e-001 1.806156212631456e-001 6.651604653734022e-002 4.166939762768562e-002 -3.104624321054326e+000 -1.522134250934795e+000
4.365816993464053e+000 -4.130219019073418e-001 1.800619487451773e-001 6.647210297538868e-002 3.880697842745873e-002 -3.110747179613641e+000 -1.515541757119218e+000
4.373888888888890e+000 -4.132806764303417e-001 1.796838640154573e-001 6.651830460281244e-002 3.695991528511300e-002 -3.115007570751997e+000 -1.511104634117055e+000
4.381960784313726e+000 -4.134876302066823e-001 1.795228371363325e-001 6.654974095224228e-002 3.619640949196246e-002 -3.117843143162408e+000 -1.508529433072678e+000
4.390032679738563e+000 -4.136691530770862e-001 1.795828220466834e-001 6.651015372451084e-002 3.642976473290682e-002 -3.119571303455822e+000 -1.507403454856616e+000
4.398104575163400e+000 -4.138302960152124e-001 1.798238369344134e-001 6.639270767431688e-002 3.740667168769862e-002 -3.120469426112689e+000 -1.507269985781743e+000
4.406176470588236e+000 -4.139688452610775e-001 1.801743136056223e-001 6.622290662298916e-002 3.877829321007775e-002 -3.120813458683850e+000 -1.507706807967421e+000
4.414248366013073e+000 -4.140848441221406e-001 1.805547233649827e-001 6.603584669539742e-002 4.021387583013159e-002 -3.120862354898547e+000 -1.508411353121624e+000
4.422320261437910e+000 -4.141823664848870e-001 1.808986672971376e-001 6.585924881307147e-002 4.148720028137110e-002 -3.120818265279394e+000 -1.509271388624594e+000
4.430392156862746e+000 -4.142656403988177e-001 1.811633401914879e-001 6.570834737859535e-002 4.249937403592297e-002 -3.120805488486099e+000 -1.510368215317732e+000
4.438464052287583e+000 -4.143353951569656e-001 1.813280460432935e-001 6.558956751626864e-002 4.324544875222935e-002 -3.120880081408950e+000 -1.511913024039472e+000
4.446535947712420e+000 -4.143882704849626e-001 1.813858706247883e-001 6.550483480979821e-002 4.376160334213619e-002 -3.121051109867656e+000 -1.514165218932473e+000
4.454607843137256e+000 -4.144184668254739e-001 1.813375367111683e-001 6.545221094057221e-002 4.409303054001246e-002 -3.121298122589243e+000 -1.517345126485114e+000
