Time(sec)	Fx	Fy	Fz	Tx	Ty	Tz	GON	GRFz
3.150000	20.220000	27.220000	224.250000	-14.690000	56.750000	-1.940000	2.869200	0.002000	
3.158300	20.050000	24.840000	223.790000	-11.660000	45.940000	1.450000	2.833600	0.001500	
3.166600	18.940000	21.100000	220.330000	-12.190000	32.480000	3.390000	2.798100	0.001100	
3.175000	18.760000	19.090000	217.990000	-19.580000	18.220000	3.110000	2.783000	0.000700	
3.183300	18.380000	17.640000	225.970000	-34.840000	7.120000	0.510000	2.773000	0.000300	
3.191600	16.520000	14.500000	241.040000	-50.320000	2.110000	-2.530000	2.763700	0.000200	
3.200000	13.540000	11.020000	260.230000	-65.080000	2.870000	-5.260000	2.755300	0.000600	
3.208300	9.250000	7.090000	281.200000	-80.470000	5.300000	-8.130000	2.747000	0.001000	
3.216600	3.470000	2.340000	304.140000	-97.080000	8.450000	-11.470000	2.740500	0.001000	
3.225000	-2.210000	-4.410000	326.000000	-113.020000	14.530000	-15.550000	2.734300	0.001000	
3.233300	-7.080000	-11.730000	348.260000	-127.470000	25.320000	-19.330000	2.723600	0.001000	
3.241600	-10.790000	-17.530000	371.540000	-140.570000	40.470000	-22.040000	2.708100	0.001000	
3.250000	-12.100000	-19.200000	386.730000	-150.730000	55.960000	-22.820000	2.692600	0.001000	
3.258300	-11.070000	-17.360000	391.660000	-157.030000	70.870000	-21.840000	2.706800	0.001000	
3.266600	-8.590000	-15.350000	387.190000	-158.680000	84.460000	-20.310000	2.722200	0.001000	
3.275000	-5.080000	-14.630000	376.500000	-156.720000	97.070000	-19.080000	2.725600	0.001000	
3.283300	0.560000	-12.710000	366.330000	-151.880000	109.670000	-17.880000	2.719400	0.001000	
3.291600	7.350000	-7.090000	361.780000	-145.640000	121.360000	-15.690000	2.716300	0.001000	
3.300000	14.270000	0.850000	361.390000	-138.020000	131.640000	-12.420000	2.720900	0.001000	
3.308300	19.230000	6.420000	361.580000	-128.730000	140.050000	-8.790000	2.725400	0.001000	
3.316600	21.960000	7.990000	361.860000	-117.680000	146.880000	-5.410000	2.724300	0.000700	
3.325000	24.010000	7.830000	361.640000	-106.430000	152.880000	-3.190000	2.722300	0.000300	
3.333300	25.950000	7.980000	362.990000	-96.780000	159.100000	-1.710000	2.723400	0.000100	
3.341600	27.140000	9.410000	366.420000	-89.530000	165.850000	-0.920000	2.730100	0.000600	
3.350000	25.680000	10.850000	365.850000	-85.020000	172.520000	-1.000000	2.736700	0.001000	
3.358300	21.450000	11.770000	360.180000	-82.980000	178.910000	-1.990000	2.745400	0.001000	
3.366600	16.210000	9.310000	346.270000	-79.950000	183.530000	-3.840000	2.754100	0.001000	
3.375000	11.690000	6.080000	327.050000	-76.060000	187.200000	-6.600000	2.775900	0.001000	
3.383300	8.290000	4.230000	305.030000	-73.590000	189.000000	-10.340000	2.814200	0.001000	
3.391600	4.800000	2.950000	282.440000	-72.370000	188.300000	-13.970000	2.850400	0.001000	
3.400000	1.120000	2.200000	259.730000	-72.130000	185.580000	-17.390000	2.835000	0.001000	
3.408300	-2.390000	1.290000	239.270000	-70.310000	184.020000	-20.170000	2.819700	0.001000	
3.416600	-4.940000	-1.010000	220.400000	-65.850000	183.250000	-22.410000	2.841000	0.001000	
3.425000	-5.990000	-5.340000	202.880000	-59.110000	180.810000	-23.870000	2.874000	0.001000	
3.433300	-6.200000	-7.530000	191.400000	-53.690000	178.150000	-24.600000	2.901600	0.000900	
3.441600	-5.490000	-6.900000	185.730000	-49.440000	175.730000	-24.310000	2.889700	0.000500	
3.450000	-4.140000	-4.790000	183.050000	-43.920000	175.080000	-22.550000	2.877900	0.000100	
3.458300	-2.290000	-1.850000	182.560000	-36.380000	176.470000	-19.300000	2.886500	0.000300	
3.466600	-0.710000	-0.300000	185.720000	-28.180000	178.020000	-16.200000	2.899000	0.000800	
3.475000	0.800000	-0.580000	189.810000	-21.130000	176.100000	-13.890000	2.904800	0.000800	
3.483300	3.560000	-1.440000	195.070000	-15.430000	171.230000	-11.920000	2.902000	0.000400	
3.491600	8.200000	-0.890000	202.150000	-11.020000	166.400000	-10.150000	2.899200	0.000000	
3.500000	14.090000	1.150000	210.640000	-8.040000	162.030000	-8.740000	2.904000	0.000400	
3.508300	17.350000	3.520000	216.990000	-7.840000	157.110000	-8.920000	2.909400	0.000800	
3.516600	17.860000	5.360000	221.480000	-10.580000	151.040000	-11.060000	2.926700	0.001000	
3.525000	18.130000	6.150000	226.130000	-14.200000	143.270000	-13.540000	2.955100	0.001000	
3.533300	19.960000	7.830000	229.860000	-16.830000	135.020000	-14.140000	2.980200	0.001000	
3.541600	23.080000	10.580000	232.060000	-18.420000	126.540000	-13.080000	2.981900	0.000500	
3.550000	24.870000	13.130000	230.750000	-18.980000	117.900000	-12.170000	2.983500	0.000100	
3.558300	24.130000	14.320000	225.720000	-18.330000	108.630000	-11.800000	2.974900	0.000000	
3.566600	21.240000	14.810000	222.530000	-16.890000	99.270000	-11.710000	2.962200	0.000000	
3.575000	19.980000	15.270000	226.230000	-13.550000	90.470000	-10.920000	2.955200	0.000000	
3.583300	20.910000	16.030000	233.160000	-8.830000	82.950000	-8.940000	2.971000	0.000000	
3.591600	22.070000	17.920000	237.940000	-5.230000	77.920000	-6.940000	2.986800	0.000000	
3.600000	22.470000	21.150000	239.800000	-3.560000	75.590000	-5.570000	2.991800	0.000400	
3.608300	21.460000	25.410000	245.150000	-3.970000	73.600000	-4.940000	2.993900	0.000800	
3.616600	20.230000	30.700000	256.570000	-6.310000	71.090000	-3.710000	2.988100	0.001000	
3.625000	19.480000	36.660000	272.370000	-9.820000	69.190000	-2.420000	2.974800	0.001000	
3.633300	19.840000	42.440000	286.410000	-13.430000	68.200000	-1.550000	2.961600	0.001000	
3.641600	21.050000	47.620000	297.290000	-16.790000	67.730000	-0.930000	2.958800	0.000600	
3.650000	21.420000	50.760000	308.180000	-18.630000	65.900000	-0.190000	2.957500	0.000200	
3.658300	20.420000	51.560000	322.470000	-18.460000	62.040000	0.220000	2.949000	0.000000	
3.666600	18.450000	51.460000	337.610000	-17.440000	57.270000	0.250000	2.935700	0.000000	
3.675000	16.710000	51.450000	346.430000	-15.880000	54.320000	0.330000	2.924200	0.000000	
3.683300	15.570000	51.370000	348.270000	-13.640000	53.030000	0.350000	2.920200	0.000000	
3.691600	14.970000	51.100000	345.200000	-11.160000	51.100000	0.410000	2.916300	0.000000	
3.700000	14.430000	50.870000	338.320000	-8.950000	47.750000	0.870000	2.927200	0.000000	
3.708300	14.660000	50.990000	327.810000	-5.170000	44.530000	1.830000	2.945100	0.000000	
3.716600	16.940000	52.590000	314.210000	0.010000	42.970000	2.510000	2.946200	0.000100	
3.725000	20.230000	56.010000	298.210000	5.490000	41.750000	3.260000	2.904200	0.000500	
3.733300	22.280000	60.420000	283.630000	10.420000	37.360000	4.700000	2.862100	0.000900	
3.741600	22.910000	64.890000	271.350000	15.180000	29.340000	6.740000	2.831100	0.001000	
3.750000	22.070000	66.480000	257.730000	17.780000	18.970000	8.060000	2.803600	0.001000	
3.758300	19.090000	65.700000	242.360000	17.910000	7.420000	9.080000	2.775400	0.001000	
3.766600	14.630000	63.560000	226.130000	16.280000	-5.010000	9.810000	2.746000	0.001000	
3.775000	8.740000	60.830000	209.690000	11.410000	-19.300000	9.950000	2.714100	0.001000	
3.783300	1.300000	57.220000	193.130000	2.900000	-35.430000	9.360000	2.653000	0.001000	
3.791600	-6.600000	50.790000	176.310000	-6.970000	-49.690000	7.580000	2.591900	0.001000	
3.800000	-13.120000	40.920000	157.960000	-16.190000	-59.710000	4.010000	2.524900	0.001000	
3.808300	-18.680000	28.560000	139.090000	-24.940000	-66.840000	-1.170000	2.453200	0.001000	
3.816600	-23.720000	17.200000	123.580000	-31.530000	-72.590000	-6.470000	2.385100	0.001000	
3.825000	-27.630000	7.900000	110.970000	-36.430000	-76.360000	-11.530000	2.335900	0.001000	
3.833300	-29.150000	3.040000	98.920000	-41.890000	-76.520000	-15.200000	2.286700	0.001000	
3.841600	-28.780000	1.800000	86.720000	-48.460000	-73.320000	-17.500000	2.250900	0.001000	
3.850000	-27.290000	-1.180000	76.690000	-52.350000	-68.200000	-19.180000	2.222500	0.001000	
3.858300	-24.750000	-4.580000	68.370000	-54.600000	-63.550000	-20.100000	2.191300	0.001000	
3.866600	-21.810000	-6.160000	61.160000	-55.920000	-59.950000	-20.390000	2.151000	0.001000	
3.875000	-18.570000	-4.850000	53.920000	-56.580000	-56.590000	-20.140000	2.110600	0.001000	
3.883300	-14.760000	-1.070000	46.210000	-56.390000	-52.680000	-19.390000	2.082600	0.001000	
3.891600	-10.570000	3.030000	37.840000	-54.810000	-47.340000	-18.360000	2.055100	0.001000	
3.900000	-7.890000	4.090000	30.270000	-50.320000	-42.510000	-18.210000	2.045000	0.001000	
3.908300	-6.620000	2.260000	23.050000	-43.110000	-37.880000	-18.150000	2.048600	0.001000	
3.916600	-5.940000	3.330000	13.500000	-37.310000	-32.300000	-16.960000	2.051600	0.001000	
3.925000	-5.980000	7.290000	1.720000	-32.950000	-26.040000	-14.750000	2.041600	0.001000	
3.933300	-7.200000	10.050000	0.000000	-28.270000	-20.850000	-12.400000	2.031600	0.001000	
3.941600	-9.110000	9.870000	0.000000	-22.710000	-16.250000	-9.820000	2.031300	0.001000	
3.950000	-9.770000	8.020000	0.000000	-18.150000	-10.320000	-7.670000	2.036500	0.001000	
3.958300	-8.840000	6.030000	0.000000	-15.390000	-3.780000	-6.340000	2.042100	0.001000	
3.966600	-7.280000	3.990000	0.000000	-13.930000	2.680000	-5.560000	2.051300	0.001000	
3.975000	-6.400000	1.810000	0.000000	-12.930000	7.880000	-5.760000	2.060400	0.001000	
3.983300	-6.260000	-0.650000	0.000000	-12.220000	11.660000	-7.360000	2.061400	0.001000	
3.991600	-6.540000	-4.400000	2.020000	-10.590000	14.310000	-9.500000	2.059200	0.001000	
4.000000	-6.130000	-7.590000	9.480000	-9.050000	18.180000	-11.200000	2.074500	0.001000	
4.008300	-4.730000	-8.850000	14.890000	-9.190000	22.170000	-12.730000	2.112000	0.001000	
4.016600	-4.010000	-8.170000	14.030000	-10.580000	23.250000	-13.670000	2.148400	0.001000	
4.025000	-4.750000	-6.370000	5.660000	-12.160000	20.940000	-13.770000	2.158700	0.001000	
4.033300	-6.090000	-6.140000	0.000000	-12.140000	18.120000	-13.500000	2.169000	0.001000	
4.041600	-6.810000	-7.560000	0.000000	-11.150000	15.660000	-13.200000	2.193900	0.001000	
4.050000	-6.210000	-9.170000	0.000000	-9.980000	14.060000	-12.580000	2.232300	0.001000	
4.058300	-3.930000	-8.740000	0.000000	-10.490000	13.660000	-12.150000	2.272600	0.001000	
4.066600	-0.040000	-6.350000	0.000000	-12.320000	14.440000	-11.760000	2.327800	0.001000	
4.075000	4.950000	-3.650000	0.000000	-12.490000	17.450000	-10.550000	2.382900	0.001000	
4.083300	10.770000	-1.890000	0.000000	-9.540000	23.700000	-8.260000	2.427700	0.001000	
4.091600	16.480000	-0.020000	0.000000	-3.710000	32.190000	-5.190000	2.465700	0.001000	
4.100000	22.110000	4.620000	4.990000	2.710000	40.680000	-1.150000	2.499800	0.001000	
4.108300	27.410000	11.310000	17.890000	8.790000	48.980000	3.190000	2.518600	0.001000	
4.116600	31.000000	16.740000	27.980000	12.920000	56.100000	5.860000	2.537500	0.001000	
4.125000	32.410000	19.960000	34.980000	15.590000	61.710000	6.640000	2.581500	0.001000	
4.133300	31.880000	21.740000	37.110000	18.810000	64.970000	7.640000	2.627700	0.001000	
4.141600	29.640000	22.390000	32.570000	21.190000	65.940000	8.270000	2.664400	0.001000	
4.150000	26.280000	21.830000	26.800000	22.130000	63.470000	7.790000	2.676700	0.001000	
4.158300	23.150000	19.310000	25.970000	21.150000	57.490000	6.030000	2.689000	0.001000	
4.166600	20.200000	15.040000	30.010000	17.880000	48.460000	2.900000	2.743200	0.001000	
4.175000	16.090000	12.680000	36.130000	9.070000	41.200000	-2.120000	2.797300	0.001000	
4.183300	11.450000	14.110000	46.170000	-2.900000	36.200000	-7.360000	2.830400	0.001000	
4.191600	7.340000	16.470000	59.670000	-12.350000	33.370000	-10.990000	2.849500	0.001000	
4.200000	4.030000	17.690000	77.760000	-18.970000	33.530000	-14.400000	2.867700	0.001000	
