---- AnyBody Output File ---------------------------------
Study: Main.Studies.MotionOptimization
Operation: Main.Studies.MotionOptimization.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.FileName = "..\Input\Subjects\PS\Overground Gait Trials\PS_ngait_og_ss7\PS_ngait_og_ss7-output-euler-leftlegtd.txt"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.NumberFormat.Digits = 15
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.NumberFormat.Width = 22
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.NumberFormat.Style = ScientificNumber
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.NumberFormat.FormatStr = "%22.15e"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.Search = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.Format = 0
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.SepSign = " "
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.LineSepSign = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.Header.TitleSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.Header.ConstSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.Header.ConstSectionSaveOptionsOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.Header.VarSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.Header.ColumnNamesOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.Header.LinePrefix = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.ConstSectionSaveOptionsOnOff = On
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.MotionOptimization.t
col1  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.HipFlexion
col2  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.HipAbduction
col3  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.HipExternalRotation
col4  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.KneeFlexion
col5  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.AnklePlantarFlexion
col6  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.SubTalarEversion
----------------------------------------------------------
Main.Studies.MotionOptimization.t Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.HipFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.HipAbduction Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.HipExternalRotation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.KneeFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.AnklePlantarFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.SubTalarEversion
5.028333333333333e+000 4.923333823693910e-001 2.034997229642463e-001 1.994670826092494e-001 8.817449053486767e-002 -1.320031951702877e-002 2.900908936756252e-001
5.036390804597701e+000 4.969138388788413e-001 2.006780317869228e-001 1.972746454837259e-001 1.081960670545820e-001 -9.222469034014308e-003 3.015534654714622e-001
5.044448275862069e+000 4.995130254776459e-001 1.979010661856375e-001 1.944405708680243e-001 1.276181209835658e-001 -7.394930399436768e-003 3.124712322464451e-001
5.052505747126437e+000 4.999744429617665e-001 1.953277118743202e-001 1.908565632244407e-001 1.449711628280724e-001 -8.775334641965943e-003 3.208828322676338e-001
5.060563218390805e+000 4.983731842812496e-001 1.930814764579549e-001 1.865336520593583e-001 1.592323305707068e-001 -1.425001666993728e-002 3.257778705678768e-001
5.068620689655173e+000 4.950932070568600e-001 1.912208759377343e-001 1.815986260756052e-001 1.700932273191889e-001 -2.413004380484519e-002 3.275619597767370e-001
5.076678160919541e+000 4.907654715788786e-001 1.896977130686688e-001 1.763213243764706e-001 1.780367162856911e-001 -3.781120250344718e-002 3.279693840168847e-001
5.084735632183909e+000 4.861708163262102e-001 1.883592679009931e-001 1.711498527337638e-001 1.842496966354363e-001 -5.363533508307568e-002 3.291356858818237e-001
5.092793103448277e+000 4.821101532421478e-001 1.869717639406971e-001 1.666746146420683e-001 1.903505481122623e-001 -6.911674218855277e-002 3.323502931079658e-001
5.100850574712645e+000 4.792331557293808e-001 1.852292441047116e-001 1.635011786096157e-001 1.979566044982993e-001 -8.154498542831967e-002 3.373669677531330e-001
5.108908045977013e+000 4.778476889170439e-001 1.827681727227080e-001 1.620782317567013e-001 2.081977131962506e-001 -8.875463397780221e-002 3.427307655710974e-001
5.116965517241381e+000 4.777732642850115e-001 1.792285716659368e-001 1.625693816371635e-001 2.213457953870779e-001 -8.973383668181847e-002 3.468240788088430e-001
5.125022988505749e+000 4.783101407442357e-001 1.743477875806867e-001 1.648443468791566e-001 2.367078575488049e-001 -8.481547034482213e-002 3.488213210377911e-001
5.133080459770117e+000 4.783809666096314e-001 1.680265825021414e-001 1.685626484918582e-001 2.528270151781175e-001 -7.539511368567223e-002 3.489347703856205e-001
5.141137931034485e+000 4.768365277015293e-001 1.603342093746887e-001 1.732841970247796e-001 2.679180739182918e-001 -6.333287068509969e-002 3.479938581935135e-001
5.149195402298853e+000 4.728048740280474e-001 1.514680391531105e-001 1.785809104135496e-001 2.803746608469414e-001 -5.032847922825198e-002 3.468620277477854e-001
5.157252873563221e+000 4.659340211733742e-001 1.416940575730621e-001 1.840990260050533e-001 2.891745335537230e-001 -3.753527306247549e-002 3.461205138824426e-001
5.165310344827589e+000 4.564499935702303e-001 1.312849432027723e-001 1.895245991314422e-001 2.940642232694710e-001 -2.550376944275773e-002 3.460526863815202e-001
5.173367816091957e+000 4.450243126102991e-001 1.204728017089287e-001 1.945211144851781e-001 2.954744578558300e-001 -1.435547104543663e-002 3.467344459230058e-001
5.181425287356325e+000 4.325185938147763e-001 1.094335883856901e-001 1.987507625944020e-001 2.942379377445590e-001 -4.011575328042596e-003 3.481078590067516e-001
5.189482758620692e+000 4.197258452571041e-001 9.830798699031007e-002 2.019760851349781e-001 2.912807796226947e-001 5.649656619549239e-003 3.500128550741718e-001
