---- AnyBody Output File ---------------------------------
Study: Main.Studies.MotionOptimization
Operation: Main.Studies.MotionOptimization.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.FileName = "..\Input\Subjects\PS\Overground Gait Trials\PS_ngait_og_ss7\PS_ngait_og_ss7-output-euler-trunk.txt"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NumberFormat.Digits = 15
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NumberFormat.Width = 22
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NumberFormat.Style = ScientificNumber
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NumberFormat.FormatStr = "%22.15e"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Search = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Format = 0
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.SepSign = " "
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.LineSepSign = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.TitleSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.ConstSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.ConstSectionSaveOptionsOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.VarSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.ColumnNamesOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.LinePrefix = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.ConstSectionSaveOptionsOnOff = On
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.MotionOptimization.t
col1  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosX
col2  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosY
col3  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosZ
col4  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotX
col5  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotY
col6  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotZ
col7  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxExtension
col8  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxLateralBending
col9  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxRotation
col10  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NeckExtension
----------------------------------------------------------
Main.Studies.MotionOptimization.t Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosX Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosY Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosZ Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotX Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotY Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotZ Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxExtension Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxLateralBending Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxRotation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NeckExtension
5.028333333333333e+000 2.972148048416718e-001 2.241694910612554e-001 1.032740969997900e+000 1.422699194913260e+000 -2.643401869463546e-002 3.112494929163903e+000 -3.013154402713965e-001 1.958728874665133e-001 6.725447107371899e-002 0.000000000000000e+000
5.036390804597701e+000 2.885944743373217e-001 2.225351656445238e-001 1.031585946532672e+000 1.422858514154146e+000 -2.718702709127396e-002 3.109669829160117e+000 -3.013288076334464e-001 1.931724317793997e-001 6.735912547958244e-002 0.000000000000000e+000
5.044448275862069e+000 2.797926472174282e-001 2.208092144472511e-001 1.030468999325066e+000 1.423055298384420e+000 -2.822933150956208e-002 3.106437532250121e+000 -3.010775770209409e-001 1.904010198830004e-001 6.802864565497502e-002 0.000000000000000e+000
5.052505747126437e+000 2.708058211543712e-001 2.189929885210995e-001 1.029407759716628e+000 1.423237453417620e+000 -2.937500336181897e-002 3.102738050995671e+000 -3.002994264553652e-001 1.876062956596777e-001 6.916140027780157e-002 0.000000000000000e+000
5.060563218390805e+000 2.616441793459408e-001 2.170951374902849e-001 1.028426330437269e+000 1.423386289244359e+000 -3.043170498772896e-002 3.098589186318958e+000 -2.987737529141722e-001 1.847827338907248e-001 7.061687272716428e-002 0.000000000000000e+000
5.068620689655173e+000 2.523320234604575e-001 2.151312147328058e-001 1.027554282645054e+000 1.423521921851529e+000 -3.119722561545135e-002 3.094088169662736e+000 -2.963261738891344e-001 1.818661778540358e-001 7.217436237382631e-002 0.000000000000000e+000
5.076678160919541e+000 2.429058233676953e-001 2.131231460950005e-001 1.026825119072094e+000 1.423734678364308e+000 -3.149375639669860e-002 3.089383874702086e+000 -2.928695627906107e-001 1.786922696476977e-001 7.357658845760957e-002 0.000000000000000e+000
5.084735632183909e+000 2.334110783893178e-001 2.110992220842473e-001 1.026274283896999e+000 1.424192024617226e+000 -3.119150010855809e-002 3.084642415838123e+000 -2.884216013306833e-001 1.749872104278165e-001 7.458184939692089e-002 0.000000000000000e+000
5.092793103448277e+000 2.238987413565768e-001 2.090924132490947e-001 1.025936777228268e+000 1.425119698474449e+000 -3.022390897605098e-002 3.080020395102053e+000 -2.831059316781003e-001 1.704009105768311e-001 7.501288065517975e-002 0.000000000000000e+000
5.100850574712645e+000 2.144211102974067e-001 2.071359118033304e-001 1.025844269281780e+000 1.426779543146200e+000 -2.860416766887575e-002 3.075653108780167e+000 -2.771546461643252e-001 1.645537201881845e-001 7.478345796092867e-002 0.000000000000000e+000
5.108908045977013e+000 2.050264005636042e-001 2.052573671197325e-001 1.026021201834047e+000 1.429439062998164e+000 -2.644451118232549e-002 3.071661169403988e+000 -2.709141793819542e-001 1.570957448542258e-001 7.389037767995402e-002 0.000000000000000e+000
5.116965517241381e+000 1.957517581360359e-001 2.034741872727793e-001 1.026479254927463e+000 1.433313394712275e+000 -2.396944512458554e-002 3.068162733513324e+000 -2.648375474405342e-001 1.477942698450444e-001 7.239217136395730e-002 0.000000000000000e+000
5.125022988505749e+000 1.866171765154339e-001 2.017906676271131e-001 1.027211179286417e+000 1.438495617659960e+000 -2.150953936460165e-002 3.065268421924391e+000 -2.594462574749517e-001 1.366254976490745e-001 7.039682762639643e-002 0.000000000000000e+000
5.133080459770117e+000 1.776245327326473e-001 2.001968384361521e-001 1.028187701840309e+000 1.444916622124346e+000 -1.945071405007748e-002 3.063053481796979e+000 -2.552435930791386e-001 1.238187256222152e-001 6.804302822485892e-002 0.000000000000000e+000
5.141137931034485e+000 1.687628941421440e-001 1.986712673172222e-001 1.029360718835628e+000 1.452355936245606e+000 -1.812945310478842e-002 3.061526081567909e+000 -2.525821740909245e-001 1.098207251968010e-001 6.546856935643837e-002 0.000000000000000e+000
5.149195402298853e+000 1.600169157566422e-001 1.971901398064073e-001 1.030671851384527e+000 1.460495649162477e+000 -1.772057952634620e-002 3.060620869031143e+000 -2.515466065939600e-001 9.518745085050843e-002 6.278636510249544e-002 0.000000000000000e+000
