---- AnyBody Output File ---------------------------------
Study: Main.Studies.MotionOptimization
Operation: Main.Studies.MotionOptimization.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.FileName = "..\Input\Subjects\PS\Overground Gait Trials\PS_ngait_og_ss8\PS_ngait_og_ss8-output-euler-rightlegtd.txt"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.NumberFormat.Digits = 15
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.NumberFormat.Width = 22
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.NumberFormat.Style = ScientificNumber
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.NumberFormat.FormatStr = "%22.15e"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Search = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Format = 0
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.SepSign = " "
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.LineSepSign = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.TitleSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.ConstSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.ConstSectionSaveOptionsOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.VarSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.ColumnNamesOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.LinePrefix = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.ConstSectionSaveOptionsOnOff = On
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.MotionOptimization.t
col1  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipFlexion
col2  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipAbduction
col3  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipExternalRotation
col4  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.KneeFlexion
col5  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.AnklePlantarFlexion
col6  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.SubTalarEversion
----------------------------------------------------------
Main.Studies.MotionOptimization.t Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipAbduction Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipExternalRotation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.KneeFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.AnklePlantarFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.SubTalarEversion
3.128333333333333e+000 -1.453156240404456e-001 -1.691541857246381e-001 7.760163966751139e-002 1.216394698265898e-001 2.838632698629696e-001 4.660516350151024e-002
3.136380952380952e+000 -1.504375493535913e-001 -1.660240023599946e-001 7.873343521916654e-002 1.337708663800350e-001 2.876847313355161e-001 3.742455885866285e-002
3.144428571428571e+000 -1.544829060207186e-001 -1.625220475299107e-001 7.987620310763900e-002 1.474322869251324e-001 2.908209200858503e-001 2.721990619691616e-002
3.152476190476190e+000 -1.567894773349260e-001 -1.586291648208011e-001 8.139289058584616e-002 1.632035856423060e-001 2.932112575696215e-001 1.545624484973531e-002
3.160523809523809e+000 -1.567807406964362e-001 -1.543120216678107e-001 8.355426642945936e-002 1.816585854789919e-001 2.947260730213128e-001 1.771500261927853e-003
3.168571428571428e+000 -1.540382905463271e-001 -1.494839290164733e-001 8.650725932696127e-002 2.032887614307467e-001 2.951787808997757e-001 -1.396378887547124e-002
3.176619047619047e+000 -1.483352304759025e-001 -1.439715089871165e-001 9.030136131998752e-002 2.284620161614776e-001 2.943252898298741e-001 -3.167384458726832e-002
3.184666666666665e+000 -1.396212503503788e-001 -1.375163012775056e-001 9.489238352571186e-002 2.574074737609853e-001 2.918378539245581e-001 -5.110259507186060e-002
3.192714285714284e+000 -1.279926589856922e-001 -1.297970975067786e-001 1.001305861783650e-001 2.902159179200646e-001 2.872834041753674e-001 -7.185680326616663e-002
3.200761904761903e+000 -1.136870213819436e-001 -1.204779396355471e-001 1.057727319306019e-001 3.268437204032119e-001 2.801200754358233e-001 -9.349191785224444e-002
3.208809523809522e+000 -9.710726821255139e-002 -1.093078228035234e-001 1.115060927730508e-001 3.670996784402362e-001 2.696985111691342e-001 -1.155617631817785e-001
3.216857142857141e+000 -7.880711530786866e-002 -9.625511315983193e-002 1.169642740362034e-001 4.106251149175023e-001 2.552768407000607e-001 -1.375640941269703e-001
3.224904761904760e+000 -5.937607287016298e-002 -8.160463569139176e-002 1.217619207655726e-001 4.569035947803161e-001 2.360759571914775e-001 -1.588264086950983e-001
3.232952380952379e+000 -3.927671019586174e-002 -6.594567252644623e-002 1.255746757910124e-001 5.052970311564708e-001 2.113898983678425e-001 -1.784331402861931e-001
3.240999999999997e+000 -1.874294000446186e-002 -5.003807503989699e-002 1.282298921345845e-001 5.550732495659598e-001 1.807524347266250e-001 -1.952559923882385e-001
3.249047619047616e+000 2.219353057372403e-003 -3.462654724188496e-002 1.297503825222963e-001 6.054310706835280e-001 1.441373196722926e-001 -2.080623859003311e-001
3.257095238095235e+000 2.375564075866446e-002 -2.028496131791258e-002 1.303394559489911e-001 6.555492477559961e-001 1.021546878760377e-001 -2.156801143499487e-001
3.265142857142854e+000 4.604107628931707e-002 -7.314715167213048e-003 1.303388507745661e-001 7.046407679769952e-001 5.620022527381801e-002 -2.172691326390928e-001
3.273190476190473e+000 6.914629126994044e-002 4.295538240548291e-003 1.301796027430996e-001 7.519819969182343e-001 8.516524852216843e-003 -2.126730144946902e-001
3.281238095238092e+000 9.294470730585615e-002 1.481874175276499e-002 1.303053537580300e-001 7.969313709309341e-001 -3.784756013898877e-002 -2.026691708862012e-001
3.289285714285711e+000 1.171086792580263e-001 2.464021755874635e-002 1.310587678513587e-001 8.389753361728144e-001 -7.923588629664671e-002 -1.889710842894890e-001
