---- AnyBody Output File ---------------------------------
Study: Main.Studies.MotionOptimization
Operation: Main.Studies.MotionOptimization.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.FileName = "..\Input\Subjects\PS\Overground Gait Trials\PS_ngait_og_ss9\PS_ngait_og_ss9-output-euler-rightarm.txt"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.NumberFormat.Digits = 15
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.NumberFormat.Width = 22
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.NumberFormat.Style = ScientificNumber
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.NumberFormat.FormatStr = "%22.15e"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.Search = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.Format = 0
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.SepSign = " "
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.LineSepSign = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.Header.TitleSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.Header.ConstSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.Header.ConstSectionSaveOptionsOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.Header.VarSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.Header.ColumnNamesOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.Header.LinePrefix = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.ConstSectionSaveOptionsOnOff = On
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.MotionOptimization.t
col1  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.SternoClavicularProtraction
col2  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.SternoClavicularElevation
col3  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.SternoClavicularAxialRotation
col4  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.GlenohumeralFlexion
col5  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.GlenohumeralExternalRotation
col6  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.GlenohumeralAbduction
col7  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.ElbowFlexion
col8  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.ElbowPronation
col9  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.WristFlexion
col10  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.WristAbduction
----------------------------------------------------------
Main.Studies.MotionOptimization.t Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.SternoClavicularProtraction Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.SternoClavicularElevation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.SternoClavicularAxialRotation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.GlenohumeralFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.GlenohumeralExternalRotation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.GlenohumeralAbduction Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.ElbowFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.ElbowPronation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.WristFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.WristAbduction
4.161666666666666e+000 -5.542391937934212e-001 3.024516833412427e-001 -3.490658504406519e-001 3.597223520160404e-001 1.206574328689639e-001 2.447022697664459e-001 7.726656961988880e-001 3.332000937312528e-008 -2.220446049250313e-016 0.000000000000000e+000
4.169729729729729e+000 -5.518465124236457e-001 3.025952903198355e-001 -3.490667881361231e-001 3.590388290783677e-001 1.159677982339735e-001 2.434751057860737e-001 7.776369124741509e-001 -2.580956827951785e-008 2.220446049250313e-016 0.000000000000000e+000
4.177792792792793e+000 -5.496363819307508e-001 3.024852327850613e-001 -3.490667559767277e-001 3.574410903830623e-001 1.115482785977776e-001 2.423386621038455e-001 7.818670433629938e-001 0.000000000000000e+000 0.000000000000000e+000 0.000000000000000e+000
4.185855855855856e+000 -5.475463735818128e-001 3.023523235442234e-001 -3.490667132090106e-001 3.548588766516110e-001 1.072871918960352e-001 2.413568111905872e-001 7.852250289490151e-001 0.000000000000000e+000 0.000000000000000e+000 0.000000000000000e+000
4.193918918918919e+000 -5.458958314982452e-001 3.021942503220416e-001 -3.490666529505109e-001 3.514829386509635e-001 1.030466772483397e-001 2.406730783330121e-001 7.873104339429168e-001 0.000000000000000e+000 2.220446049250313e-016 0.000000000000000e+000
4.201981981981982e+000 -5.449172504911632e-001 3.019377533785925e-001 -3.490665855841917e-001 3.475049672620567e-001 9.863740083006452e-002 2.403530329973147e-001 7.877840129648535e-001 0.000000000000000e+000 0.000000000000000e+000 0.000000000000000e+000
4.210045045045045e+000 -5.446835252590375e-001 3.014485927735968e-001 -3.490665206508850e-001 3.430794726249555e-001 9.385490496798657e-002 2.403553057213209e-001 7.864548785100509e-001 -2.107342425544702e-008 -2.220446049250313e-016 0.000000000000000e+000
4.218108108108108e+000 -5.450822888830671e-001 3.005634590956998e-001 -3.490664651474070e-001 3.383076295422385e-001 8.854255171024036e-002 2.405223253860738e-001 7.833107491127546e-001 0.000000000000000e+000 0.000000000000000e+000 0.000000000000000e+000
4.226171171171171e+000 -5.458583651331109e-001 2.991209757780979e-001 -3.490664227825031e-001 3.332363071119735e-001 8.266819978394596e-002 2.406004090449149e-001 7.785008565045636e-001 -1.490116119384766e-008 0.000000000000000e+000 0.000000000000000e+000
4.234234234234235e+000 -5.466977413549833e-001 2.969707057885240e-001 -3.490663943759008e-001 3.278593954404983e-001 7.636767052221669e-002 2.402850325437183e-001 7.723019382098861e-001 0.000000000000000e+000 -2.220446049250313e-016 0.000000000000000e+000
4.242297297297298e+000 -5.473047021688537e-001 2.939754052369681e-001 -3.490663788659464e-001 3.221314866812401e-001 6.993303285042253e-002 2.392702923875354e-001 7.650610023345844e-001 0.000000000000000e+000 0.000000000000000e+000 0.000000000000000e+000
4.250360360360361e+000 -5.474465602953668e-001 2.900376857196600e-001 -3.490663741790159e-001 3.159926505727535e-001 6.375083089740366e-002 2.372968019230983e-001 7.571234311643293e-001 0.000000000000000e+000 0.000000000000000e+000 0.000000000000000e+000
4.258423423423424e+000 -5.469697629910496e-001 2.851511389008028e-001 -3.490663774875490e-001 3.093830307526768e-001 5.821194343444364e-002 2.342004541934746e-001 7.487897755564681e-001 0.000000000000000e+000 0.000000000000000e+000 0.000000000000000e+000
4.266486486486487e+000 -5.458077467273955e-001 2.794424711833408e-001 -3.490663848091078e-001 3.022504672086068e-001 5.364503995578688e-002 2.299413954474887e-001 7.403003139830193e-001 0.000000000000000e+000 -4.440892098500626e-016 0.000000000000000e+000
4.274549549549550e+000 -5.439997070581326e-001 2.731817650715394e-001 -3.490663906597923e-001 2.945735980186914e-001 5.030213740064319e-002 2.245990698674905e-001 7.318026407562495e-001 0.000000000000000e+000 0.000000000000000e+000 0.000000000000000e+000
4.282612612612613e+000 -5.417123806241886e-001 2.667651585040165e-001 -3.490663888937444e-001 2.863961727430824e-001 4.836309033164023e-002 2.183563720615131e-001 7.232979652248058e-001 -1.490116119384766e-008 4.440892098500626e-016 0.000000000000000e+000
4.290675675675677e+000 -5.392342471001457e-001 2.606664478361662e-001 -3.490663747564464e-001 2.778423233898570e-001 4.792265843980437e-002 2.114886537366645e-001 7.146169476855447e-001 0.000000000000000e+000 0.000000000000000e+000 0.000000000000000e+000
