---- AnyBody Output File ---------------------------------
Study: Main.Studies.MotionOptimization
Operation: Main.Studies.MotionOptimization.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2b.FileName = "..\Input\Subjects\PS\Overground Gait Trials\PS_rightturn6\PS_rightturn6-output-euler-leftlegfootpostd.txt"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2b.NumberFormat.Digits = 15
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2b.NumberFormat.Width = 22
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2b.NumberFormat.Style = ScientificNumber
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2b.NumberFormat.FormatStr = "%22.15e"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2b.Search = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2b.Format = 0
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2b.SepSign = " "
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2b.LineSepSign = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2b.Header.TitleSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2b.Header.ConstSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2b.Header.ConstSectionSaveOptionsOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2b.Header.VarSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2b.Header.ColumnNamesOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2b.Header.LinePrefix = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2b.ConstSectionSaveOptionsOnOff = On
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.MotionOptimization.t
col1  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2b.LeftFootPosX
col2  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2b.LeftFootPosY
col3  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2b.LeftFootPosZ
col4  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2b.LeftFootRotZ
col5  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2b.LeftFootRotY
col6  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2b.LeftFootRotX
----------------------------------------------------------
Main.Studies.MotionOptimization.t Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2b.LeftFootPosX Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2b.LeftFootPosY Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2b.LeftFootPosZ Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2b.LeftFootRotZ Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2b.LeftFootRotY Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2b.LeftFootRotX
5.020000000000000e+000 -6.558162648591648e-001 1.480960970935474e-001 9.883270177573945e-002 -2.340431946766688e-001 -2.242007375418289e-001 1.680731127930282e+000
5.028118279569892e+000 -6.386781043051699e-001 1.440709880490294e-001 1.004556956057791e-001 -2.541440020389640e-001 -2.465107158484370e-001 1.666603379134535e+000
5.036236559139784e+000 -6.228235557594789e-001 1.400375913002253e-001 1.020036395607402e-001 -2.758005199595630e-001 -2.662342582365742e-001 1.652054249894555e+000
5.044354838709676e+000 -6.083538776234683e-001 1.360724228668555e-001 1.033538465223044e-001 -2.985933260749767e-001 -2.825509353596563e-001 1.638251891230939e+000
5.052473118279568e+000 -5.953352690652447e-001 1.322377191586134e-001 1.044044705137853e-001 -3.218859119486212e-001 -2.947161561367269e-001 1.626246673948806e+000
5.060591397849461e+000 -5.837792099490553e-001 1.285817112885123e-001 1.050836908650109e-001 -3.449644489281307e-001 -3.022077097044820e-001 1.616750086424142e+000
5.068709677419353e+000 -5.736349353088885e-001 1.251371915300943e-001 1.053531132295369e-001 -3.672196872713571e-001 -3.049060422893000e-001 1.610055071081270e+000
5.076827956989245e+000 -5.647936333928371e-001 1.219195224570738e-001 1.052014140583852e-001 -3.882992343344674e-001 -3.032409697000271e-001 1.606101972354672e+000
5.084946236559137e+000 -5.571062883506849e-001 1.189277958277949e-001 1.046318582514334e-001 -4.081824885107667e-001 -2.981898705281312e-001 1.604585332355838e+000
5.093064516129029e+000 -5.504089695960291e-001 1.161501815879194e-001 1.036512531668694e-001 -4.271673871295157e-001 -2.910469957325361e-001 1.604996994319971e+000
5.101182795698922e+000 -5.445461642099866e-001 1.135708294675531e-001 1.022667396390096e-001 -4.457656173003953e-001 -2.830107472606076e-001 1.606586271160373e+000
5.109301075268814e+000 -5.393879549270670e-001 1.111741718446294e-001 1.004898153046823e-001 -4.645232167594829e-001 -2.747638846801666e-001 1.608309233991334e+000
5.117419354838706e+000 -5.348387805236861e-001 1.089449607500526e-001 9.834159084905488e-002 -4.838313448508773e-001 -2.662354091692416e-001 1.608858960423365e+000
5.125537634408598e+000 -5.308331058710479e-001 1.068691735829167e-001 9.585590763997681e-002 -5.038136721053829e-001 -2.566374956989472e-001 1.606823753719801e+000
5.133655913978490e+000 -5.273158479146206e-001 1.049412396660874e-001 9.308303865990304e-002 -5.243292697564944e-001 -2.447869945801147e-001 1.601010751804136e+000
5.141774193548383e+000 -5.242160257367621e-001 1.031700477376549e-001 9.009570589736128e-002 -5.450217952179586e-001 -2.296473148385922e-001 1.590938415424492e+000
5.149892473118275e+000 -5.214336877032357e-001 1.015703881911569e-001 8.699118146740904e-002 -5.652983514426734e-001 -2.108582874912779e-001 1.577302815520308e+000
5.158010752688167e+000 -5.188557956044985e-001 1.001476000203258e-001 8.388355541997226e-002 -5.842687142607086e-001 -1.889167742221907e-001 1.562045340703534e+000
5.166129032258059e+000 -5.163927205550627e-001 9.890023184608446e-002 8.089155270131748e-002 -6.008455664218363e-001 -1.649179475009623e-001 1.547813123071904e+000
5.174247311827951e+000 -5.140088172680906e-001 9.784090919579175e-002 7.812910839038378e-002 -6.141003430888241e-001 -1.401811578163348e-001 1.537022924425473e+000
5.182365591397844e+000 -5.117286145396016e-001 9.700447804853946e-002 7.569652124659171e-002 -6.236756343640961e-001 -1.160843968957070e-001 1.531021171491112e+000
