---- AnyBody Output File ---------------------------------
Study: Main.Studies.MotionOptimization
Operation: Main.Studies.MotionOptimization.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.FileName = "..\Input\Subjects\PS\Overground Gait Trials\PS_rightturn6\PS_rightturn6-output-euler-leftlegtd-2dofstj.txt"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.NumberFormat.Digits = 15
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.NumberFormat.Width = 22
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.NumberFormat.Style = ScientificNumber
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.NumberFormat.FormatStr = "%22.15e"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.Search = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.SepSign = " "
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.LineSepSign = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.Header.TitleSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.Header.ConstSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.Header.VarSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.Header.ColumnNamesOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.Header.LinePrefix = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.ConstSectionSaveOptionsOnOff = On
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.MotionOptimization.t
col1  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.HipFlexion
col2  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.HipAbduction
col3  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.HipExternalRotation
col4  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.KneeFlexion
col5  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.AnklePlantarFlexion
col6  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.SubTalarEversion
col7  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.SubTalarRotation
----------------------------------------------------------
Main.Studies.MotionOptimization.t Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.HipFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.HipAbduction Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.HipExternalRotation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.KneeFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.AnklePlantarFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.SubTalarEversion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.SubTalarRotation
5.020000000000000e+000 4.113254649278498e-001 2.421954036726963e-001 1.048350913418098e-002 9.033647662296376e-002 -6.630904742980968e-003 2.637762915601697e-001 6.091511599681576e-003
5.028118279569892e+000 4.090925868406007e-001 2.470416342411448e-001 1.266799550268375e-002 6.572848852267534e-002 -7.790265706229783e-003 2.536400660975196e-001 -4.116390638246426e-003
5.036236559139784e+000 4.083260004445451e-001 2.511741519835784e-001 1.405280306461024e-002 4.657784086986411e-002 -7.569959270559600e-003 2.418667745581642e-001 -1.512902448501530e-002
5.044354838709676e+000 4.090687871265669e-001 2.544895877273650e-001 1.380779845984732e-002 3.327461686911746e-002 -6.352117751479276e-003 2.295951874448729e-001 -2.630258618244530e-002
5.052473118279568e+000 4.113250999697255e-001 2.569155900435673e-001 1.125838487553838e-002 2.592845598452538e-002 -4.593592582264436e-003 2.181495317676484e-001 -3.703334271095304e-002
5.060591397849461e+000 4.148933387075929e-001 2.584252695942142e-001 6.078578989519716e-003 2.425895308425214e-002 -2.777479897513870e-003 2.086495091219656e-001 -4.674767388230228e-002
5.068709677419353e+000 4.193610179683334e-001 2.590530554251729e-001 -1.662815041999563e-003 2.761200681935987e-002 -1.275731686324102e-003 2.016799142739764e-001 -5.490697711433601e-002
5.076827956989245e+000 4.241231241919394e-001 2.589114366373440e-001 -1.152450060892406e-002 3.499449263934350e-002 -1.921573142046635e-004 1.972240977160117e-001 -6.111372812283644e-002
5.084946236559137e+000 4.284568424489940e-001 2.582042956861570e-001 -2.278911000994619e-002 4.517830602190340e-002 7.204305824673872e-004 1.947806270679575e-001 -6.522846993140585e-002
5.093064516129029e+000 4.316581604819809e-001 2.572127573024772e-001 -3.464416782755950e-002 5.687762477816937e-002 1.953285460284129e-003 1.935340069487089e-001 -6.740192284171465e-002
5.101182795698922e+000 4.331837086169814e-001 2.562416526791154e-001 -4.637019556457900e-002 6.892556613760403e-002 3.925808913283975e-003 1.925358396538446e-001 -6.803873408444705e-002
5.109301075268814e+000 4.327321938104776e-001 2.555460558127236e-001 -5.743991381798883e-002 8.037635300753854e-002 6.602116902506585e-003 1.908771085329601e-001 -6.772030524491823e-002
5.117419354838706e+000 4.302501407189881e-001 2.552712418464456e-001 -6.753033378210446e-002 9.052742269762101e-002 9.246741486853949e-003 1.878154214953426e-001 -6.708264606478132e-002
5.125537634408598e+000 4.258979088148570e-001 2.554379460351979e-001 -7.651491895563249e-002 9.891095634714335e-002 1.045570680697251e-002 1.828533308611153e-001 -6.668644070258800e-002
5.133655913978490e+000 4.200153347797423e-001 2.559723942291139e-001 -8.447417326419546e-002 1.052889001193859e-001 8.511039084185332e-003 1.758272648411770e-001 -6.692512896669012e-002
5.141774193548383e+000 4.130880438437269e-001 2.567364126925664e-001 -9.168926618041697e-002 1.096521085091917e-001 2.008365207326845e-003 1.670509428181058e-001 -6.793428674668589e-002
5.149892473118275e+000 4.056956570178209e-001 2.575313813534566e-001 -9.854236685953909e-002 1.122319352616286e-001 -9.499251271518025e-003 1.574182683910371e-001 -6.944545848580908e-002
5.158010752688167e+000 3.984526021712086e-001 2.581002100265017e-001 -1.053326322338334e-001 1.135369386515922e-001 -2.523340219856365e-002 1.482638017371556e-001 -7.065709536160836e-002
5.166129032258059e+000 3.919781378074543e-001 2.581451384242992e-001 -1.121431094764765e-001 1.143970172119606e-001 -4.344753114493028e-002 1.408923060130791e-001 -7.031089783297384e-002
5.174247311827951e+000 3.868967232518154e-001 2.573555942973052e-001 -1.188424514630182e-001 1.159563187437513e-001 -6.192227615201677e-002 1.359651557928806e-001 -6.708145146345990e-002
5.182365591397844e+000 3.838132655947296e-001 2.554534227659218e-001 -1.251330189323629e-001 1.195414474170882e-001 -7.835194665129441e-002 1.331653497147343e-001 -6.018481089043704e-002
