---- AnyBody Output File ---------------------------------
Study: Main.Studies.MotionOptimization
Operation: Main.Studies.MotionOptimization.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.FileName = "..\Input\Subjects\PS\Overground Gait Trials\PS_rightturn6\PS_rightturn6-output-euler-rightarm.txt"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.NumberFormat.Digits = 15
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.NumberFormat.Width = 22
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.NumberFormat.Style = ScientificNumber
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.NumberFormat.FormatStr = "%22.15e"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.Search = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.Format = 0
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.SepSign = " "
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.LineSepSign = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.Header.TitleSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.Header.ConstSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.Header.ConstSectionSaveOptionsOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.Header.VarSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.Header.ColumnNamesOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.Header.LinePrefix = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.ConstSectionSaveOptionsOnOff = On
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.MotionOptimization.t
col1  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.SternoClavicularProtraction
col2  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.SternoClavicularElevation
col3  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.SternoClavicularAxialRotation
col4  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.GlenohumeralFlexion
col5  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.GlenohumeralExternalRotation
col6  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.GlenohumeralAbduction
col7  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.ElbowFlexion
col8  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.ElbowPronation
col9  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.WristFlexion
col10  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.WristAbduction
----------------------------------------------------------
Main.Studies.MotionOptimization.t Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.SternoClavicularProtraction Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.SternoClavicularElevation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.SternoClavicularAxialRotation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.GlenohumeralFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.GlenohumeralExternalRotation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.GlenohumeralAbduction Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.ElbowFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.ElbowPronation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.WristFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.WristAbduction
5.020000000000000e+000 -5.534578541136461e-001 2.549495061668967e-001 -3.490658503156478e-001 5.967676058010851e-002 2.686757287515151e-001 2.168759640816584e-001 6.926618730029356e-001 -2.107342425544702e-008 4.440892098500626e-016 0.000000000000000e+000
5.028118279569892e+000 -5.529632967174448e-001 2.562940288224369e-001 -3.490658396433095e-001 6.090387907179751e-002 2.645834183588877e-001 2.191380009501405e-001 6.976048945487354e-001 2.980232238769531e-008 -2.220446049250313e-016 0.000000000000000e+000
5.036236559139784e+000 -5.522561957010566e-001 2.573583821186820e-001 -3.490658450782386e-001 6.167301011931747e-002 2.599924433042311e-001 2.214524796943441e-001 7.028931495708086e-001 0.000000000000000e+000 -2.220446049250313e-016 0.000000000000000e+000
5.044354838709676e+000 -5.513161049094963e-001 2.581451256348397e-001 -3.490658522860013e-001 6.199654856233394e-002 2.550743546157474e-001 2.237991890801678e-001 7.084562836013691e-001 0.000000000000000e+000 0.000000000000000e+000 0.000000000000000e+000
5.052473118279568e+000 -5.502138101974209e-001 2.586959165741889e-001 -3.490658606314820e-001 6.190953352420547e-002 2.500396653345917e-001 2.261791415072007e-001 7.141923062702293e-001 -2.580956827951785e-008 -4.440892098500626e-016 0.000000000000000e+000
5.060591397849461e+000 -5.490555265407483e-001 2.590699118629107e-001 -3.490658688019742e-001 6.146237867734361e-002 2.451212623632698e-001 2.285937953115376e-001 7.199867434373140e-001 0.000000000000000e+000 0.000000000000000e+000 0.000000000000000e+000
5.068709677419353e+000 -5.479690806386042e-001 2.593381807615138e-001 -3.490658754008423e-001 6.072577268686419e-002 2.405331534617630e-001 2.310459971887700e-001 7.256867028265355e-001 0.000000000000000e+000 0.000000000000000e+000 0.000000000000000e+000
5.076827956989245e+000 -5.470796045122804e-001 2.595768560149758e-001 -3.490658792987769e-001 5.978762710473107e-002 2.364137793720184e-001 2.335410003696258e-001 7.310830322163032e-001 0.000000000000000e+000 2.220446049250313e-016 0.000000000000000e+000
5.084946236559137e+000 -5.464782453986934e-001 2.598545235835692e-001 -3.490658799991759e-001 5.874376879558607e-002 2.327920858003192e-001 2.360824545797382e-001 7.359191791831869e-001 0.000000000000000e+000 -2.220446049250313e-016 0.000000000000000e+000
5.093064516129029e+000 -5.462131402560772e-001 2.602230377054910e-001 -3.490658778099735e-001 5.769137220318399e-002 2.296190131146486e-001 2.386663675639426e-001 7.399250531968206e-001 0.000000000000000e+000 4.440892098500626e-016 0.000000000000000e+000
5.101182795698922e+000 -5.463027285063126e-001 2.607138313255784e-001 -3.490658736427227e-001 5.672011182136449e-002 2.268243751912536e-001 2.412780899267772e-001 7.428710283777457e-001 0.000000000000000e+000 -4.440892098500626e-016 0.000000000000000e+000
5.109301075268814e+000 -5.467439283260505e-001 2.613258310066826e-001 -3.490658685904385e-001 5.589674784971455e-002 2.243259670951707e-001 2.438915226497806e-001 7.446161331254056e-001 2.580956827951785e-008 -2.220446049250313e-016 0.000000000000000e+000
5.117419354838706e+000 -5.475096027600742e-001 2.620068462115384e-001 -3.490658635819677e-001 5.525868904518583e-002 2.219947429954913e-001 2.464718959924300e-001 7.451110299925308e-001 0.000000000000000e+000 0.000000000000000e+000 0.000000000000000e+000
5.125537634408598e+000 -5.485441795377536e-001 2.626566284713883e-001 -3.490658592554690e-001 5.482663460386439e-002 2.196391126183308e-001 2.489835671244035e-001 7.443646454638683e-001 1.490116119384766e-008 2.220446049250313e-016 0.000000000000000e+000
5.133655913978490e+000 -5.497541730011637e-001 2.631539439476520e-001 -3.490658559703175e-001 5.461113987168154e-002 2.170447366264180e-001 2.513900972161751e-001 7.424383072816345e-001 0.000000000000000e+000 -4.440892098500626e-016 0.000000000000000e+000
5.141774193548383e+000 -5.509929378406452e-001 2.633668458689613e-001 -3.490658538378209e-001 5.459025018316321e-002 2.140393083566710e-001 2.536328099029227e-001 7.394845589887187e-001 0.000000000000000e+000 -4.440892098500626e-016 0.000000000000000e+000
5.149892473118275e+000 -5.520599645306051e-001 2.631403466831275e-001 -3.490658527608677e-001 5.468445996825277e-002 2.105341802480269e-001 2.556021369758019e-001 7.357714777950262e-001 0.000000000000000e+000 4.440892098500626e-016 0.000000000000000e+000
