---- AnyBody Output File ---------------------------------
Study: Main.Studies.MotionOptimization
Operation: Main.Studies.MotionOptimization.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.FileName = "..\Input\Subjects\PS\Overground Gait Trials\PS_rightturn6\PS_rightturn6-output-euler-rightlegtd-2dofstj.txt"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.NumberFormat.Digits = 15
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.NumberFormat.Width = 22
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.NumberFormat.Style = ScientificNumber
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.NumberFormat.FormatStr = "%22.15e"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Search = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.SepSign = " "
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.LineSepSign = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.TitleSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.ConstSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.VarSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.ColumnNamesOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.LinePrefix = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.ConstSectionSaveOptionsOnOff = On
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.MotionOptimization.t
col1  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipFlexion
col2  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipAbduction
col3  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipExternalRotation
col4  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.KneeFlexion
col5  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.AnklePlantarFlexion
col6  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.SubTalarEversion
col7  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.SubTalarRotation
----------------------------------------------------------
Main.Studies.MotionOptimization.t Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipAbduction Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipExternalRotation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.KneeFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.AnklePlantarFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.SubTalarEversion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.SubTalarRotation
5.020000000000000e+000 -4.750079710182397e-002 -1.354090165994548e-001 7.444989470989222e-002 6.462546531213005e-002 2.091525198017988e-001 1.001052986264227e-001 -9.466807643854613e-002
5.028118279569892e+000 -5.604019156237326e-002 -1.367423408347925e-001 6.535096577026675e-002 6.292836602183015e-002 2.139378713921316e-001 9.744522966012514e-002 -9.234889865283957e-002
5.036236559139784e+000 -6.410398921131717e-002 -1.377006050379586e-001 5.702508884636820e-002 6.216995764466423e-002 2.188820603516642e-001 9.419604448096887e-002 -9.030819865761219e-002
5.044354838709676e+000 -7.163532426145322e-002 -1.382485000777367e-001 4.974323876036765e-002 6.246311801229823e-002 2.239884161940309e-001 9.017379983843224e-002 -8.860951452571952e-002
5.052473118279568e+000 -7.858461330336256e-002 -1.383802801284106e-001 4.365809238428796e-002 6.380448440251008e-002 2.292556557630883e-001 8.532783787379637e-002 -8.725383540408083e-002
5.060591397849461e+000 -8.501582552034354e-002 -1.380823282979742e-001 3.872141533122682e-002 6.605626543062772e-002 2.346669011675118e-001 7.978920959162041e-002 -8.623371460939211e-002
5.068709677419353e+000 -9.112112784956751e-002 -1.373339770686370e-001 3.465773216306374e-002 6.894464182940915e-002 2.401801087673795e-001 7.388087920875894e-002 -8.554413026919394e-002
5.076827956989245e+000 -9.720788892721570e-002 -1.361235742717382e-001 3.100414001725238e-002 7.208917938400847e-002 2.457210310020389e-001 6.804234357138886e-002 -8.516043760281500e-002
5.084946236559137e+000 -1.036291026255045e-001 -1.344721250567276e-001 2.723819105336923e-002 7.508508740261956e-002 2.511863685519243e-001 6.270391642046108e-002 -8.504614111132614e-002
5.093064516129029e+000 -1.106680729292335e-001 -1.324441410716306e-001 2.296158282315210e-002 7.761831992096953e-002 2.564647201926114e-001 5.815318076027018e-002 -8.520148023235552e-002
5.101182795698922e+000 -1.184316326095401e-001 -1.301322686980839e-001 1.804995807107546e-002 7.956665094997258e-002 2.614705188659861e-001 5.439177799441470e-002 -8.568453586566482e-002
5.109301075268814e+000 -1.267943921701088e-001 -1.276223481129730e-001 1.270174848974094e-002 8.104906394105547e-002 2.661706093590527e-001 5.103591896345554e-002 -8.658922912562894e-002
5.117419354838706e+000 -1.354140075372882e-001 -1.249619957562227e-001 7.380401337254621e-003 8.239591357471983e-002 2.705844888718743e-001 4.741171943747879e-002 -8.804297323635391e-002
5.125537634408598e+000 -1.438183759052714e-001 -1.221597664050991e-001 2.652534252962829e-003 8.403161775028464e-002 2.747551482362939e-001 4.289326385130766e-002 -9.022017533708304e-002
5.133655913978490e+000 -1.515207118844673e-001 -1.192104434912287e-001 -1.032414653184864e-003 8.632666606471801e-002 2.787090436644903e-001 3.723712201605924e-002 -9.328727336875131e-002
5.141774193548383e+000 -1.581040831554908e-001 -1.161049670078456e-001 -3.488114729107913e-003 8.951549112197757e-002 2.824385407665712e-001 3.061691116839948e-002 -9.728368630901629e-002
5.149892473118275e+000 -1.632569244397673e-001 -1.128049085044658e-001 -4.785418070395439e-003 9.372016455118093e-002 2.859246822645971e-001 2.339904750116420e-002 -1.020608330617077e-001
5.158010752688167e+000 -1.667617578375985e-001 -1.092072237076913e-001 -5.160772933692709e-003 9.903816464689710e-002 2.891675306040311e-001 1.591676577540798e-002 -1.073433109861357e-001
