---- AnyBody Output File ---------------------------------
Study: Main.Studies.MotionOptimization
Operation: Main.Studies.MotionOptimization.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.FileName = "..\Input\Subjects\PS\Overground Gait Trials\PS_rightturn6\PS_rightturn6-output-euler-trunk.txt"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NumberFormat.Digits = 15
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NumberFormat.Width = 22
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NumberFormat.Style = ScientificNumber
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NumberFormat.FormatStr = "%22.15e"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Search = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Format = 0
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.SepSign = " "
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.LineSepSign = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.TitleSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.ConstSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.ConstSectionSaveOptionsOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.VarSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.ColumnNamesOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.LinePrefix = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.ConstSectionSaveOptionsOnOff = On
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.MotionOptimization.t
col1  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosX
col2  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosY
col3  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosZ
col4  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotX
col5  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotY
col6  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotZ
col7  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxExtension
col8  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxLateralBending
col9  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxRotation
col10  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NeckExtension
----------------------------------------------------------
Main.Studies.MotionOptimization.t Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosX Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosY Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosZ Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotX Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotY Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotZ Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxExtension Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxLateralBending Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxRotation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NeckExtension
5.020000000000000e+000 -1.028174332167671e+000 3.277054534698978e-003 1.046195550386699e+000 1.479548293694747e+000 -2.893253401750218e-002 -2.533832927915115e-001 -2.790454473823388e-001 1.756169523996486e-001 1.915220547394122e-002 0.000000000000000e+000
5.028118279569892e+000 -1.021881999788644e+000 3.995887874233251e-003 1.045367087209628e+000 1.476758035172719e+000 -2.994045074172536e-002 -2.614691740970022e-001 -2.806086028772937e-001 1.787821234634303e-001 1.916882035046117e-002 0.000000000000000e+000
5.036236559139784e+000 -1.015556998584018e+000 4.747959230210441e-003 1.044519728272134e+000 1.474141447314415e+000 -3.094155966157097e-002 -2.693016978024153e-001 -2.822279656973089e-001 1.817101305802149e-001 1.900177872713416e-002 0.000000000000000e+000
5.044354838709676e+000 -1.009209658185137e+000 5.532828747817895e-003 1.043663198664911e+000 1.471724132746781e+000 -3.197398449414424e-002 -2.768077051968474e-001 -2.839794659913780e-001 1.843958414806799e-001 1.866538561707353e-002 0.000000000000000e+000
5.052473118279568e+000 -1.002849762140916e+000 6.355348504308090e-003 1.042804929427231e+000 1.469517722554031e+000 -3.302092151221325e-002 -2.839199421603904e-001 -2.858732448888874e-001 1.868648352821195e-001 1.818593438396658e-002 0.000000000000000e+000
5.060591397849461e+000 -9.964794363498609e-001 7.222878595208189e-003 1.041947059338481e+000 1.467538410525663e+000 -3.409966316007229e-002 -2.906649936448264e-001 -2.879411567005307e-001 1.891284960297145e-001 1.767296140557318e-002 0.000000000000000e+000
5.068709677419353e+000 -9.900898443353927e-001 8.141745025161183e-003 1.041085848677122e+000 1.465796821211176e+000 -3.527138707154398e-002 -2.971813965241746e-001 -2.902341291933971e-001 1.911872122446411e-001 1.731991780294482e-002 0.000000000000000e+000
5.076827956989245e+000 -9.836599359221598e-001 9.113965210711530e-003 1.040213093986412e+000 1.464283464487443e+000 -3.663541236299661e-002 -3.036965507293499e-001 -2.928039034969930e-001 1.930446736639058e-001 1.736400838513645e-002 0.000000000000000e+000
5.084946236559137e+000 -9.771583862028902e-001 1.013547642327459e-002 1.039319090530279e+000 1.462951194942979e+000 -3.830403655815884e-002 -3.104801220454269e-001 -2.956709654361256e-001 1.947286946758793e-001 1.802887432450807e-002 0.000000000000000e+000
5.093064516129029e+000 -9.705489399675114e-001 1.119722164642698e-002 1.038395615805031e+000 1.461707619683922e+000 -4.036219353630632e-002 -3.177852761062377e-001 -2.987908996795942e-001 1.963083384198751e-001 1.946832052447746e-002 0.000000000000000e+000
5.101182795698922e+000 -9.637976430953199e-001 1.228870856476694e-002 1.037438204117175e+000 1.460433659473828e+000 -4.282846825525910e-002 -3.257937318197950e-001 -3.020356754242619e-001 1.978841821469997e-001 2.172376851055819e-002 0.000000000000000e+000
5.109301075268814e+000 -9.568790071586558e-001 1.340097323267469e-002 1.036448597217119e+000 1.459025423182775e+000 -4.563180532425881e-002 -3.345875590034710e-001 -3.051924756132625e-001 1.995431214993088e-001 2.471014762715084e-002 0.000000000000000e+000
5.117419354838706e+000 -9.497788917836962e-001 1.452655177086304e-002 1.035436294923321e+000 1.457431914944364e+000 -4.861231585206460e-002 -3.441489488668150e-001 -3.079805305359184e-001 2.013100948703735e-001 2.822964198869931e-002 0.000000000000000e+000
5.125537634408598e+000 -9.424952577463450e-001 1.565843143660062e-002 1.034416419718590e+000 1.455659799019404e+000 -5.154651613277439e-002 -3.543731167161711e-001 -3.100903612766536e-001 2.031404638539460e-001 3.199731697831890e-002 0.000000000000000e+000
5.133655913978490e+000 -9.350381387126402e-001 1.679033606376314e-002 1.033405495858743e+000 1.453752434771526e+000 -5.418059356920502e-002 -3.650868082757455e-001 -3.112274819898217e-001 2.049460886235899e-001 3.566934889095339e-002 0.000000000000000e+000
5.141774193548383e+000 -9.274279889978121e-001 1.791577897439029e-002 1.032420026631982e+000 1.451779348839134e+000 -5.626047175336568e-002 -3.760709652541831e-001 -3.111418159048669e-001 2.066027073790241e-001 3.887812176825397e-002 0.000000000000000e+000
