Time(sec)	Fx	Fy	Fz	Tx	Ty	Tz	GON	GRFz
4.333333	23.5	37.59	340.1	-36.14	154.27	-28.43	2.6584	0.001
4.341733	20.51	33.56	336.38	-34.77	153.63	-29.8	2.6675	0.0008
4.350033	18.1	30.21	335.45	-31.82	154.88	-30.63	2.6808	0.0003
4.358333	17.99	27.43	336.58	-27.79	157.02	-30.57	2.6937	0
4.366733	19.79	24.98	339.88	-22.71	159.48	-29.66	2.7041	0
4.375033	21.72	22.85	342.05	-17.18	161.64	-27.94	2.7145	0
4.383333	23.49	21.49	339.94	-11.66	164.32	-25.43	2.7013	0
4.391733	26.11	21.23	334.55	-5.42	167.98	-21.88	2.6807	0
4.400033	30.05	23.78	336.47	-0.58	171.13	-17.51	2.6667	0
4.408333	34.99	28.89	345.04	2.15	173.55	-12.81	2.6737	0
4.416733	38.79	33.57	353.74	3.71	174.3	-8.87	2.6807	0
4.425033	40.92	37.01	360.81	4.67	173.16	-5.83	2.6715	0
4.433333	41.67	41.38	366.84	3.89	170.52	-3.31	2.6616	0
4.441733	42.44	47.29	371.15	1.44	168.05	-1.25	2.6688	0.0002
4.450033	43.03	52.89	373.18	-1.53	165.96	-0.22	2.698	0.0006
4.458333	42.34	56.47	373.47	-5.1	163.7	-1.03	2.7262	0.001
4.466733	40.27	57.96	372.18	-9.49	160.96	-3.68	2.7301	0.0006
4.475033	36.66	57.25	370.83	-15.3	155.68	-7.7	2.7341	0.0002
4.483333	31.95	54.62	370.24	-21.62	148.14	-12.46	2.7358	0.0002
4.491733	27.1	52.19	368.72	-28	139.22	-17.07	2.7354	0.0006
4.500033	22.9	49.48	364.37	-33.04	129.61	-21.24	2.7332	0.001
4.508333	18.99	45.92	358.54	-35.57	119.97	-25.06	2.7181	0.001
4.516733	15.1	42.64	353.48	-35.26	110.92	-28.05	2.703	0.001
4.525033	11.42	41.34	349.72	-33.18	102.29	-29.68	2.6928	0.0007
4.533333	8.87	41.26	341.3	-31.05	91.95	-29.34	2.6859	0.0003
4.541733	8.04	42.69	326.87	-27.7	81.95	-26.96	2.6797	0
4.550033	8.74	46.8	309.15	-23.71	72.73	-23.07	2.6746	0
4.558333	9.83	52.45	292.32	-20	63.85	-19.08	2.6694	0
4.566733	10.68	58.17	277.48	-16.84	54.73	-15.61	2.659	0
4.575033	9.58	59.13	261.99	-12.02	43.37	-13.28	2.6482	0
4.583333	7	56.05	244.11	-7	28.93	-11.99	2.6149	0
4.591733	4.9	51.09	222.7	-2.95	12.94	-10.43	2.561	0
4.600033	3.77	46.49	202.81	1.26	-1.19	-8.36	2.507	0
4.608333	3.27	43.16	186.29	4.67	-12.74	-6.46	2.4999	0
4.616733	3.05	41.69	173.27	5.46	-21.11	-5.59	2.4928	0
4.625033	3.28	41	161.21	4.17	-26.71	-5.27	2.4487	0.0003
4.633333	2.78	36.3	147.72	6.3	-29.96	-3.79	2.3798	0.0007
4.641733	3.33	31.8	133.51	9.84	-29.62	-0.05	2.3307	0.0009
4.650033	5.03	29.08	118.45	12.44	-26.28	5.04	2.3236	0.0005
4.658333	6.03	28.36	103.46	11.71	-22.38	8.78	2.3164	0.0001
4.666733	5.02	28.21	89.33	8.43	-18.94	10.3	2.2883	0
4.675033	2.13	26.29	78.68	4.74	-16.62	10.05	2.255	0
4.683333	-2.11	20.61	69.2	3.16	-16.5	9.37	2.216	0
4.691733	-7.83	11.7	60.35	3.23	-18.38	8.4	2.1683	0
4.700033	-14.05	5.22	53.57	-1.36	-21.47	5.7	2.1207	0
4.708333	-20.35	2.45	49.23	-11.92	-25.65	0.86	2.1098	0
4.716733	-25.27	2.56	44.91	-25.22	-29.93	-5.02	2.1038	0
4.725033	-28.97	3.14	40.82	-37.74	-33.41	-10.56	2.0893	0
4.733333	-30.24	3.75	41.38	-47.4	-34.39	-15.02	2.0594	0
4.741733	-28.39	5.7	44.69	-54.22	-31.91	-17.83	2.0315	0
4.750033	-23.91	9.14	49.55	-58.78	-26.48	-19.21	2.0248	0
4.758333	-19.37	13.36	52.93	-62.86	-21.06	-20.51	2.0181	0
4.766733	-14.57	17.45	55.79	-65.64	-16.01	-21.98	2.0182	0
4.775033	-9	21.29	58.18	-66.28	-10.35	-23.6	2.0213	0
4.783333	-3.99	24.09	62.58	-65.33	-4.13	-25.52	2.0239	0
4.791733	0.36	24.8	68.6	-61.48	2.89	-27.07	2.0235	0
4.800033	2.7	22	71.12	-54.42	9.41	-27.8	2.0231	0
4.808333	2.45	15.91	68.05	-45.13	14.64	-28.07	2.0173	0
4.816733	-0.23	10.21	60.54	-39.83	16.61	-29.12	2.0098	0
4.825033	-2.69	5.27	52.14	-36.54	17.96	-29.79	2.0082	0
4.833333	-4.42	0.97	45.52	-32.41	19.33	-29.51	2.0169	0
4.841733	-5.42	-2.78	44.22	-24.72	20.49	-27.58	2.0256	0
4.850033	-5.96	-6.08	46.86	-14.98	21.09	-24.44	2.031	0
4.858333	-6.11	-8.26	50.1	-7.65	20.91	-21.77	2.0361	0
4.866733	-5.74	-7.43	54.66	-5.1	19.54	-20.78	2.0592	0
4.875033	-4.59	-3.45	61.8	-6.15	17.71	-21.04	2.105	0
4.883333	-2.06	0.18	72.25	-3.1	18.61	-20.66	2.1426	0
4.891733	1.61	3.5	83.91	3.77	21.48	-19.29	2.1589	0
4.900033	5.49	7	90.4	10.63	24.2	-17.03	2.1752	0
4.908333	8.92	10.83	88.35	13.85	25.94	-14.58	2.1905	0
4.916733	12.25	12.33	81.45	15.16	28.11	-12.88	2.2048	0
4.925033	15.68	11.36	73.83	17.8	30.99	-11.14	2.2153	0
4.933333	19.13	9.1	66.49	21.83	33.52	-9.01	2.2189	0
4.941733	22.26	6.97	59.38	26.16	33.64	-6.51	2.2224	0
4.950033	24.85	4.83	51.34	29.72	30.68	-4.04	2.243	0
4.958333	27.43	5.02	45.68	30.83	26.14	-1.58	2.2667	0
4.966733	30.48	7.41	46.25	30.27	21.62	0.39	2.2994	0
4.975033	32.87	8.92	51.57	28.31	17.01	0.91	2.3434	0
4.983333	33.27	9.47	58.08	24.64	10.82	0.42	2.3875	0
4.991733	31.64	9.6	65.35	19.16	2.79	-0.84	2.3933	0
5.000033	28.36	9.47	72.86	16.29	-3.85	-0.67	2.3958	0
5.008333	23.52	7.54	79.36	15.97	-7.77	0.51	2.4207	0
5.016733	18.55	5.77	87.07	14.22	-8.52	1.36	2.4664	0
5.025033	13.41	1.99	95.18	12.52	-6.68	1.32	2.512	0
5.033333	8.39	-3.28	103.77	11.49	-2.58	0.66	2.5157	0.0005
5.041733	5.32	-5.37	114.73	11.75	3.34	0.94	2.5194	0.0009
5.050033	5.23	-1.45	129.43	13.07	11.17	3.07	2.5523	0.0007
5.058333	6.48	4.37	141.42	14.41	19.27	5.06	2.5908	0.0003
5.066733	8.62	10.38	149.72	11.18	25.31	4.2	2.6133	0
5.075033	11.55	16.89	155.89	4.57	29.72	1.46	2.6016	0
5.083333	13.7	22.42	160.11	0.3	32.7	-0.35	2.5899	0
5.091733	14.8	26.59	161.95	-0.87	34.18	-0.98	2.5704	0
5.100033	14.92	28.64	159.83	-2.69	33.58	-2.51	2.5501	0
5.108333	13.38	27.02	153.35	-6.02	31.45	-5.54	2.5363	0
5.116733	8.91	20.72	141.9	-10.59	27.26	-10.07	2.5322	0
5.125033	1.77	12.79	131.3	-15.01	22.08	-14.11	2.528	0
5.133333	-6.63	4.52	122.28	-18.33	16.61	-16.76	2.5308	0
5.141733	-13.55	-2.46	113.68	-19.92	11.61	-17.49	2.5336	0
5.150033	-18.84	-8.62	103.09	-21.53	6.42	-17.73	2.5457	0.0062
5.158333	-22.15	-12.66	96.8	-24.25	0.6	-18.34	2.5679	0.0192
5.166733	-23.79	-14.22	97.72	-25.04	-5.12	-17.74	2.5786	0.0357
5.175033	-24.25	-14.18	104.53	-24	-11.1	-16.04	2.5647	0.06
5.183333	-23.01	-12.91	115.83	-21.61	-17.29	-13.47	2.5508	0.0842
5.191733	-18.68	-9.32	132.25	-18.19	-23.13	-10.03	2.5607	0.1227
5.200033	-14	-4.39	155.58	-19.86	-25.5	-7.7	2.5765	0.1648
5.208333	-11.8	-0.09	185.69	-29.17	-25.07	-8.17	2.5736	0.2046
5.216733	-10.48	2.75	221.46	-41.58	-21.42	-10.16	2.5427	0.2411
5.225033	-8.67	1.94	255.45	-51.07	-13.63	-11.43	2.5117	0.2776
5.233333	-6.43	-2.87	286.07	-57.38	-1.59	-11.76	2.5029	0.2765
5.241733	-6.29	-9.43	308.28	-63.75	12.73	-11.66	2.497	0.2703
5.250033	-7.63	-16.35	323.8	-70.15	29.74	-10.96	2.5049	0.2649
5.258333	-9.28	-22.17	335.54	-77.62	48.42	-10.2	2.5275	0.2605
5.266733	-8.86	-25.7	343.84	-81.68	64.3	-8.58	2.5501	0.2562
5.275033	-6.18	-26.97	348.28	-81.48	76.87	-5.91	2.549	0.2664
5.283333	-2.83	-25.9	347.03	-78.19	85.38	-3.09	2.5469	0.2772
5.291733	-0.56	-21.62	341.3	-76.73	89.36	-1.51	2.5282	0.2884
5.300033	-0.82	-16.07	333.55	-79.1	88.43	-1.56	2.4965	0.3
5.308333	-0.82	-10.87	330.5	-82.23	84.84	-2.69	2.4665	0.3112
5.316733	-0.24	-5.72	331	-86.28	79.53	-5.18	2.478	0.3153
5.325033	0.05	-1.46	329.62	-90.74	74.97	-9.08	2.4896	0.3195
5.333333	-0.84	0.78	324.05	-94.79	71.97	-13.94	2.4889	0.321
5.341733	-2.65	-0.31	321.26	-96.33	71.54	-18.3	2.4865	0.3222
5.350033	-5.31	-4.21	325.52	-98.29	74.16	-22.27	2.4926	0.3251
5.358333	-8.11	-9.56	333.2	-100.9	79.74	-25.78	2.5136	0.3311
5.366733	-8.67	-12.65	337.23	-102.45	88.53	-28.37	2.5346	0.337
5.375033	-6.78	-13.22	337.27	-102.65	100.57	-29.98	2.5418	0.346
5.383333	-4.28	-12.34	333.91	-101.26	114.7	-30.08	2.5464	0.3556
5.391733	-1.61	-10.72	329.59	-97.73	129.41	-28.05	2.5591	0.3648
5.400033	0.5	-9.55	327.25	-92.47	141.75	-25.41	2.5821	0.3736
5.408333	1.55	-7.9	320.95	-87.87	149.78	-24.12	2.6052	0.3823
5.416733	1.95	-5.34	309.55	-84.29	153.85	-24.12	2.5776	0.3868
5.425033	2.51	-2.67	297.13	-81.29	155.74	-24.34	2.5457	0.391
5.433333	2.3	-1.64	288.31	-78.57	155.58	-24.86	2.5576	0.3908
5.441733	1.68	-1.71	283.32	-76.48	153.92	-24.96	2.5834	0.3892
5.450033	2.34	-2.05	283.02	-75.03	151.24	-24.71	2.6031	0.3872
5.458333	3.76	-3.11	286.76	-74.33	147.62	-24.57	2.6035	0.3839
5.466733	5.21	-4.77	290.08	-74.21	146.2	-23.93	2.6039	0.3805
5.475033	6.94	-6.65	292.04	-74.55	147.89	-22.31	2.614	0.377
5.483333	10.47	-5.76	297.99	-71.71	153.9	-18.36	2.6259	0.3734
5.491733	14.46	-2.38	307.92	-65.6	162.69	-13.05	2.6351	0.3703
5.500033	18.18	2.41	319.48	-58.75	172.16	-7.53	2.6384	0.3682
5.508333	20.16	6.42	328.9	-54.65	178.58	-4.23	2.6417	0.3662
5.516733	20.39	9.35	336.65	-52.24	182.06	-2.86	2.6216	0.366
5.525033	19.71	11.11	345.1	-48.31	183.16	-1.63	2.5993	0.366
5.533333	19.55	12.76	355.78	-42.6	181.74	0.38	2.5882	0.3662
5.541733	20.25	15.23	364.51	-36.84	179.1	2.52	2.5938	0.3666
5.550033	19.93	15.68	364.19	-35.4	174.05	2.85	2.5971	0.3674
5.558333	18.56	13.95	355.95	-38.31	166.31	1.28	2.5936	0.369
5.566733	17.21	11.29	345.56	-42.39	157.69	-0.89	2.59	0.3706
5.575033	17	9.34	336.54	-43.82	151.37	-1.94	2.6079	0.3728
5.583333	17.79	8.64	328.49	-44.12	147.72	-2.2	2.6341	0.3753
5.591733	19.4	9.88	319.8	-46.55	146.22	-3.01	2.6449	0.3779
5.600033	21.22	12.43	310.88	-50.32	146.01	-4.2	2.6227	0.3807
5.608333	21.99	14.44	306.52	-52.53	144.44	-4.92	2.6004	0.3834
5.616733	21.6	15.56	308.35	-52.51	141	-4.91	2.599	0.3853
5.625033	21.71	17.47	312.5	-50.3	138.18	-3.4	2.6028	0.387
5.633333	22.25	20.23	315.25	-46.48	136.59	-0.42	2.6047	0.3883
5.641733	23.1	22.84	318.67	-42.49	135.39	2.68	2.6039	0.3891
5.650033	24.27	24.58	323.46	-38.34	133.68	5.27	2.6031	0.3899
5.658333	25.8	25.36	329.59	-33.91	131.31	7.33	2.6095	0.3904
5.666733	26.7	25.9	335.05	-28.62	129.33	8.71	2.6169	0.3909
5.675033	27.84	27.15	339.15	-23.6	129.06	9.19	2.6365	0.3923
5.683333	29.69	28.97	340.75	-19.79	130.19	9	2.6608	0.3941
5.691733	30.54	29.55	341.81	-17.68	130.27	7.37	2.685	0.3959
5.700033	30.06	28.69	343.78	-17.66	129.16	4.01	2.6802	0.3969
5.708333	28.14	27.51	347.5	-19.19	128.17	-0.09	2.6742	0.3978
5.716733	24.86	26.39	352.16	-21.73	127.62	-4.43	2.659	0.397
5.725033	22.38	25.96	357.73	-22.98	126.56	-7.4	2.6416	0.3959
5.733333	22.3	26.14	365.81	-24.3	124.82	-9	2.6313	0.3954
5.741733	24.07	27.2	373.76	-25.63	122.89	-8.84	2.6397	0.3967
5.750033	26.57	29.6	379.81	-25.9	121.58	-6.71	2.648	0.398
5.758333	29.64	33.28	384.7	-25.23	120.92	-2.97	2.6663	0.3988
5.766733	32.83	37.42	392.26	-27.35	119.85	-0.86	2.6845	0.3996
5.775033	36.38	41.91	399.59	-31.37	117.91	0.03	2.6914	0.3984
5.783333	40.13	46.67	404.89	-35.57	114.23	0.91	2.686	0.3951
5.791733	41.74	51.02	406.78	-40.9	109.07	1.17	2.6812	0.3918
5.800033	41.25	54.82	404.74	-46.97	102.81	0.84	2.6831	0.389
5.808333	39.29	56.96	398.8	-51.87	96.82	-0.26	2.6851	0.3862
5.816733	36.53	57.16	391.85	-55.71	90.59	-2.58	2.6879	0.3824
5.825033	33.61	56.16	384.91	-59.23	82.11	-5.5	2.6912	0.3778
