Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.HipFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.HipAbduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.HipExternalRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.KneeFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.AnklePlantarFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.SubTalarEversion
 1.000000000000000e+000, 3.613610708948838e-002,-6.216639048906947e-002, 2.723679933308659e-001, 2.552901463339989e-001,-3.933952181554219e-001,-1.004907579396928e-001
 1.008333333333333e+000, 2.233975019384538e-002,-6.251979188357160e-002, 2.747337970060996e-001, 2.416400914004811e-001,-3.947021539185034e-001,-9.770082791752753e-002
 1.016666666666667e+000, 8.561675416834072e-003,-6.299444296504397e-002, 2.770935235744428e-001, 2.280274746502894e-001,-3.960515962269421e-001,-9.527134651427542e-002
 1.025000000000000e+000,-5.232333924982804e-003,-6.358998800791094e-002, 2.794555538394619e-001, 2.144392683989424e-001,-3.974444959065511e-001,-9.325000502660674e-002
 1.033333333333333e+000,-1.907724244541249e-002,-6.430264195074198e-002, 2.818385022546028e-001, 2.008680818984536e-001,-3.988820804504730e-001,-9.169463015737416e-002
 1.041666666666667e+000,-3.300058906929466e-002,-6.512742183850251e-002, 2.842744917961698e-001, 1.873202582638439e-001,-4.003647215121934e-001,-9.065293837130532e-002
 1.050000000000000e+000,-4.700983137595370e-002,-6.605958927425548e-002, 2.868019802207885e-001, 1.738270090612153e-001,-4.018975345580254e-001,-9.017056400884850e-002
 1.058333333333333e+000,-6.109241019204311e-002,-6.709521565633647e-002, 2.894650832690868e-001, 1.604459182272551e-001,-4.034921609547647e-001,-9.028550646798252e-002
 1.066666666666667e+000,-7.522523117440542e-002,-6.823098672846673e-002, 2.923188005853719e-001, 1.472549591220040e-001,-4.051517774829886e-001,-9.102253160547762e-002
 1.075000000000000e+000,-8.937633277201156e-002,-6.946474091114441e-002, 2.954122274301264e-001, 1.343513601461722e-001,-4.068846016650515e-001,-9.239969869161958e-002
 1.083333333333333e+000,-1.035046910760104e-001,-7.079479706887271e-002, 2.987706294347648e-001, 1.218491261365688e-001,-4.087142085680940e-001,-9.441674868162797e-002
 1.091666666666667e+000,-1.175623447448139e-001,-7.221776649692524e-002, 3.023873745243292e-001, 1.098715178740306e-001,-4.106574642418088e-001,-9.704256395952392e-002
 1.100000000000000e+000,-1.314929525674945e-001,-7.372690878843691e-002, 3.062035650838111e-001, 9.854649296733374e-002,-4.127386548774032e-001,-1.002015688750882e-001
 1.108333333333333e+000,-1.452346578966710e-001,-7.530791494046119e-002, 3.101105857549483e-001, 8.799918694602163e-002,-4.149800500467136e-001,-1.037698163831456e-001
 1.116666666666667e+000,-1.587239149435286e-001,-7.693399328581196e-002, 3.139669620221908e-001, 7.834638876787047e-002,-4.173939132542273e-001,-1.075876035874667e-001
 1.125000000000000e+000,-1.718997390833007e-001,-7.856249996369513e-002, 3.176260043325926e-001, 6.969445059658239e-002,-4.199756105722828e-001,-1.114852812985728e-001
 1.133333333333333e+000,-1.847069923326250e-001,-8.013510086860887e-002, 3.209608354543805e-001, 6.213963009872133e-002,-4.227017477971836e-001,-1.153140604375388e-001
 1.141666666666667e+000,-1.970986276955679e-001,-8.158191061722908e-002, 3.238777373940527e-001, 5.576818439691765e-002,-4.255315787591600e-001,-1.189713542384499e-001
 1.150000000000000e+000,-2.090366896143224e-001,-8.282870880469417e-002, 3.263199654017647e-001, 5.065568306608202e-002,-4.284078440655401e-001,-1.224131873158203e-001
 1.158333333333333e+000,-2.204898089254857e-001,-8.380528569390289e-002, 3.282684448049797e-001, 4.686750916356286e-002,-4.312575911208055e-001,-1.256530281685195e-001
 1.166666666666667e+000,-2.314278480219087e-001,-8.445221374590295e-002, 3.297411120558855e-001, 4.446147190742424e-002,-4.339943510962379e-001,-1.287515436742254e-001
 1.175000000000000e+000,-2.418188025980347e-001,-8.472352793400106e-002, 3.307893205830916e-001, 4.349147695182801e-002,-4.365198703554318e-001,-1.318041571406099e-001
 1.183333333333333e+000,-2.516280914357000e-001,-8.458515487561291e-002, 3.314923123386065e-001, 4.401287090207585e-002,-4.387247507161567e-001,-1.349307652816619e-001
 1.191666666666667e+000,-2.608152323534607e-001,-8.401131326157318e-002, 3.319519067980349e-001, 4.609077142071303e-002,-4.404899423186219e-001,-1.382664002137404e-001
 1.200000000000000e+000,-2.693276308674414e-001,-8.298082103088911e-002, 3.322872800177696e-001, 4.980954961218020e-002,-4.416893386571253e-001,-1.419515217167243e-001
 1.208333333333333e+000,-2.770957006677307e-001,-8.147389296346841e-002, 3.326304140452226e-001, 5.527970214271832e-002,-4.421830938226210e-001,-1.461333827890061e-001
 1.216666666666667e+000,-2.840304047330132e-001,-7.947460491871583e-002, 3.331078359874154e-001, 6.264199628708644e-002,-4.418518683796647e-001,-1.509187949919990e-001
 1.225000000000000e+000,-2.900268511410570e-001,-7.697005141552649e-002, 3.338409372990790e-001, 7.206320073810101e-002,-4.405452475550669e-001,-1.564203719868003e-001
 1.233333333333333e+000,-2.949677021661658e-001,-7.395734791627318e-002, 3.349239297961382e-001, 8.373179604402466e-002,-4.381094250984624e-001,-1.627053691466413e-001
 1.241666666666667e+000,-2.987290969727250e-001,-7.044646786811382e-002, 3.364126506944407e-001, 9.784837504912212e-002,-4.343719620349206e-001,-1.697880264508247e-001
 1.250000000000000e+000,-3.011879790325975e-001,-6.646047107619491e-002, 3.383158037627059e-001, 1.146121296127372e-001,-4.291320943221006e-001,-1.776136081795997e-001
 1.258333333333333e+000,-3.022308621696537e-001,-6.203305963359784e-002, 3.405947720033253e-001, 1.342030582069590e-001,-4.221497984988956e-001,-1.860489724395753e-001
 1.266666666666667e+000,-3.017619474960481e-001,-5.720547927990816e-002, 3.431711797800837e-001, 1.567611873354341e-001,-4.131361668751589e-001,-1.948882230015973e-001
 1.275000000000000e+000,-2.997084637408044e-001,-5.202323517748031e-002, 3.459379776656359e-001, 1.823656886186146e-001,-4.017509816478936e-001,-2.038739384428588e-001
 1.283333333333333e+000,-2.960230218893497e-001,-4.653213101464537e-002, 3.487704529373097e-001, 2.110180499344955e-001,-3.876141402067734e-001,-2.127190466275383e-001
 1.291666666666667e+000,-2.906836177494571e-001,-4.077469389016497e-002, 3.515366420627828e-001, 2.426326460628364e-001,-3.703341836224767e-001,-2.211136286932449e-001
 1.300000000000000e+000,-2.836920092757044e-001,-3.478889784640638e-002, 3.541102246272611e-001, 2.770340767867880e-001,-3.495649859951442e-001,-2.287098538853585e-001
 1.308333333333333e+000,-2.750718747113776e-001,-2.860543284037709e-002, 3.563891939469679e-001, 3.139573928672232e-001,-3.250390497364850e-001,-2.351556984548464e-001
 1.316666666666667e+000,-2.648679757162451e-001,-2.225144730929984e-002, 3.583111496674625e-001, 3.530498358064363e-001,-2.967289617095171e-001,-2.400453069022235e-001
 1.325000000000000e+000,-2.531439696556191e-001,-1.574821859496889e-002, 3.598629208601772e-001, 3.938876310620422e-001,-2.649035226709768e-001,-2.429917870554134e-001
 1.333333333333333e+000,-2.399776401632818e-001,-9.112056395341073e-003, 3.610769081437257e-001, 4.360202643059031e-001,-2.301556553005272e-001,-2.436782757162850e-001
 1.341666666666667e+000,-2.254564165481473e-001,-2.355986931095844e-003, 3.620195124484616e-001, 4.790224233183563e-001,-1.933231380230850e-001,-2.419235861609224e-001
 1.350000000000000e+000,-2.096758475594395e-001, 4.510725057327081e-003, 3.627710964271320e-001, 5.225178510502302e-001,-1.553005842029011e-001,-2.377876060619311e-001
 1.358333333333333e+000,-1.927406023587441e-001, 1.147251332317745e-002, 3.634105233406835e-001, 5.661722052640992e-001,-1.170559855831296e-001,-2.315048729075978e-001
 1.366666666666667e+000,-1.747638411666912e-001, 1.850643536318608e-002, 3.639972572502752e-001, 6.096775107400339e-001,-7.952057855237819e-002,-2.235065247098273e-001
 1.375000000000000e+000,-1.558648961407048e-001, 2.557918151190664e-002, 3.645649049555749e-001, 6.527412377701629e-001,-4.358279804519218e-002,-2.143568434038217e-001
 1.383333333333333e+000,-1.361641502934455e-001, 3.264799844232758e-002, 3.651228908821372e-001, 6.950837213107513e-001,-1.007619569499953e-002,-2.047080634070992e-001
 1.391666666666667e+000,-1.157762956905541e-001, 3.966258207231488e-002, 3.656619171866928e-001, 7.364417668945235e-001, 2.022452103229502e-002,-1.952613680124817e-001
 1.400000000000000e+000,-9.480474301376467e-002, 4.656614710690121e-002, 3.661594834122964e-001, 7.765731183895902e-001, 4.660895808057140e-002,-1.867284307897670e-001
 1.408333333333333e+000,-7.333868470384451e-002, 5.329539514547754e-002, 3.665848173464413e-001, 8.152578502842713e-001, 6.845027109012034e-002,-1.797907025388519e-001
 1.416666666666667e+000,-5.145230593698106e-002, 5.978111501703576e-002, 3.669036167497824e-001, 8.522956191737022e-001, 8.524221163612403e-002,-1.750594479406401e-001
 1.425000000000000e+000,-2.920577669699228e-002, 6.595102372835737e-002, 3.670821048481178e-001, 8.874985452164477e-001, 9.664991918931314e-002,-1.730383403776034e-001
 1.433333333333333e+000,-6.648503749364244e-003, 7.173371600752199e-002, 3.670891251790917e-001, 9.206799566155082e-001, 1.025683679432794e-001,-1.740874660742342e-001
 1.441666666666667e+000, 1.617600070650169e-002, 7.706204961283603e-002, 3.668959327117367e-001, 9.516426583596475e-001, 1.031711081676913e-001,-1.783964868569264e-001
 1.450000000000000e+000, 3.922663920703574e-002, 8.187656815192912e-002, 3.664747503761361e-001, 9.801742453157727e-001, 9.891920933291132e-002,-1.859820209566920e-001
