Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile3.HipFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile3.HipAbduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile3.HipExternalRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile3.KneeFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile3.AnklePlantarFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile3.SubTalarEversion
 2.291666666666667e+000, 5.955485404823179e-001,-6.270827790270772e-003, 3.033333557993389e-001,-2.618444656671855e-001, 1.423143462095880e-001,-2.768691274892906e-001
 2.300000000000000e+000, 5.920462032250891e-001,-9.501947933810984e-003, 2.943971938453198e-001,-2.145405628158998e-001, 1.511346084465024e-001,-2.799008528423466e-001
 2.308333333333333e+000, 5.888011368073803e-001,-1.213181111929162e-002, 2.844160285251259e-001,-1.712976130771028e-001, 1.601002416965266e-001,-2.806690900588363e-001
 2.316666666666666e+000, 5.862494525856833e-001,-1.416287532968386e-002, 2.739760796530205e-001,-1.332892258662105e-001, 1.684940554155133e-001,-2.795708718870673e-001
 2.325000000000000e+000, 5.847393997583033e-001,-1.568633759321059e-002, 2.637167211885699e-001,-1.014720752105534e-001, 1.756818929151925e-001,-2.771564686112186e-001
 2.333333333333333e+000, 5.844782637674537e-001,-1.685612584770868e-002, 2.542059966984240e-001,-7.648615197404818e-002, 1.812159382781921e-001,-2.739801593067682e-001
 2.341666666666666e+000, 5.855146437218914e-001,-1.784557743216864e-002, 2.458556306578360e-001,-5.862143868469311e-002, 1.848893420519762e-001,-2.704696286799232e-001
 2.350000000000000e+000, 5.877506878528194e-001,-1.880708400848463e-002, 2.388882958638438e-001,-4.783595252784644e-002, 1.867435456815142e-001,-2.668487969915300e-001
 2.358333333333333e+000, 5.909759765086239e-001,-1.984492870707588e-002, 2.333611916336436e-001,-4.380932019963878e-002, 1.870207660340593e-001,-2.631725764321626e-001
 2.366666666666667e+000, 5.948947330201210e-001,-2.101062488681182e-002, 2.291858407324025e-001,-4.597951188634443e-002, 1.861547454768032e-001,-2.592915837314047e-001
 2.375000000000000e+000, 5.991608615120910e-001,-2.230676239910090e-002, 2.261827253938941e-001,-5.359722252332902e-002, 1.847098837333291e-001,-2.549521660601977e-001
 2.383333333333333e+000, 6.034044375373857e-001,-2.370190237196246e-002, 2.241195098731970e-001,-6.576977343234222e-002, 1.833379459336531e-001,-2.498541000455835e-001
 2.391666666666667e+000, 6.072592744784704e-001,-2.514968624388669e-002, 2.227444503845812e-001,-8.151451065125755e-002, 1.827175079945345e-001,-2.437152191327065e-001
 2.400000000000000e+000, 6.103947944818878e-001,-2.660811331380009e-002, 2.218145943693238e-001,-9.982681430517769e-002, 1.834755563067173e-001,-2.363250221413309e-001
 2.408333333333333e+000, 6.125512537718161e-001,-2.805420447471407e-002, 2.211222444686496e-001,-1.197628498306445e-001, 1.860925709532333e-001,-2.275858677895838e-001
 2.416666666666667e+000, 6.135706827090247e-001,-2.949220837525135e-002, 2.205164325071742e-001,-1.405251418166572e-001, 1.908078337676379e-001,-2.175398148178156e-001
 2.425000000000000e+000, 6.134149562973901e-001,-3.095652892140910e-002, 2.199117114653826e-001,-1.615301712215238e-001, 1.975528315368878e-001,-2.063743303197497e-001
 2.433333333333333e+000, 6.121666154985439e-001,-3.251028642043496e-002, 2.192817531019110e-001,-1.824394542289203e-001, 2.059341251883614e-001,-1.943993059436779e-001
 2.441666666666666e+000, 6.100117693596885e-001,-3.424008152777014e-002, 2.186413019092482e-001,-2.031468861599644e-001, 2.152709146603600e-001,-1.820033553242364e-001
 2.450000000000000e+000, 6.072066998554496e-001,-3.624857064548404e-002, 2.180216864767854e-001,-2.237266648915083e-001, 2.246813825775381e-001,-1.696098771891025e-001
 2.458333333333333e+000, 6.040326868053556e-001,-3.864564493651224e-002, 2.174474660529152e-001,-2.443536700877730e-001, 2.332042930163837e-001,-1.576407235107410e-001
 2.466666666666666e+000, 6.007465098618832e-001,-4.153699924296173e-002, 2.169234024959391e-001,-2.652133997579477e-001, 2.399332338977230e-001,-1.464811459345255e-001
 2.475000000000000e+000, 5.975356227548500e-001,-4.500958700112290e-002, 2.164358241508128e-001,-2.864208010456233e-001, 2.441369066121959e-001,-1.364436388131135e-001
 2.483333333333333e+000, 5.944870285643081e-001,-4.911638525561424e-002, 2.159636750236529e-001,-3.079645716260709e-001, 2.453423821192169e-001,-1.277359195130418e-001
 2.491666666666667e+000, 5.915771491902210e-001,-5.386479300942892e-002, 2.154907110168489e-001,-3.296875443672444e-001, 2.433636318386316e-001,-1.204436873759705e-001
 2.500000000000000e+000, 5.886852201917495e-001,-5.921273072727917e-002, 2.150127418314523e-001,-3.513059148642008e-001, 2.382682511363618e-001,-1.145465749156783e-001
 2.508333333333333e+000, 5.856260959744821e-001,-6.507555400941145e-002, 2.145400266217499e-001,-3.724571690237726e-001, 2.303119902895450e-001,-1.099236373697887e-001
 2.516666666666667e+000, 5.821907377387262e-001,-7.133607358884397e-002, 2.140932230448646e-001,-3.927616180540491e-001, 2.198473693732438e-001,-1.064376412846329e-001
 2.525000000000000e+000, 5.781839002771402e-001,-7.785804594450596e-002, 2.136993888255260e-001,-4.118724547808662e-001, 2.072749144972127e-001,-1.039331521216776e-001
 2.533333333333333e+000, 5.734497975250000e-001,-8.449571246012821e-002, 2.133854415896331e-001,-4.295079731661464e-001, 1.930099123848911e-001,-1.022622184227426e-001
 2.541666666666667e+000, 5.678840964228185e-001,-9.110131912773656e-002, 2.131731238458618e-001,-4.454638988846231e-001, 1.774674013475245e-001,-1.012931118679296e-001
 2.550000000000000e+000, 5.614348403734604e-001,-9.753060123493196e-002, 2.130792694164196e-001,-4.596117114232214e-001, 1.610524365911098e-001,-1.009164259464178e-001
 2.558333333333333e+000, 5.540966489448915e-001,-1.036467513411972e-001, 2.131218605406263e-001,-4.718891425131875e-001, 1.441507824267333e-001,-1.010516347918848e-001
 2.566666666666666e+000, 5.459010018990794e-001,-1.093238684668845e-001, 2.133262160522125e-001,-4.822861845859410e-001, 1.271188303855156e-001,-1.016502853177776e-001
 2.575000000000000e+000, 5.369037675589081e-001,-1.144515591212458e-001, 2.137245957038855e-001,-4.908278754469731e-001, 1.102730850856095e-001,-1.026902961258146e-001
 2.583333333333333e+000, 5.271726419057350e-001,-1.189417450317389e-001, 2.143483129659323e-001,-4.975573614362189e-001, 9.388112176237552e-002,-1.041620336666258e-001
 2.591666666666667e+000, 5.167783675334139e-001,-1.227360351865656e-001, 2.152175443491273e-001,-5.025243961098209e-001, 7.815657543208923e-002,-1.060519906988284e-001
 2.600000000000000e+000, 5.057906782559847e-001,-1.258107126639536e-001, 2.163341682960238e-001,-5.057808820998944e-001, 6.325909817997379e-002,-1.083295260521093e-001
 2.608333333333333e+000, 4.942763873594215e-001,-1.281777535820896e-001, 2.176782513625910e-001,-5.073808947128121e-001, 4.929781765374749e-002,-1.109394945264785e-001
 2.616666666666667e+000, 4.822972038925630e-001,-1.298816340256077e-001, 2.192066925162235e-001,-5.073823537067140e-001, 3.633710188998493e-002,-1.137992179667608e-001
 2.625000000000000e+000, 4.699065694794172e-001,-1.309915632399099e-001, 2.208534996038702e-001,-5.058485872542203e-001, 2.440170468282506e-002,-1.168110518242287e-001
 2.633333333333333e+000, 4.571484502333282e-001,-1.315929349608815e-001, 2.225351520416445e-001,-5.028507172129061e-001, 1.348889709000621e-002,-1.198619536678185e-001
 2.641666666666667e+000, 4.440579911205692e-001,-1.317765618102718e-001, 2.241591766804116e-001,-4.984697287551291e-001, 3.576876986083863e-003,-1.228376947258889e-001
 2.650000000000000e+000, 4.306615927517636e-001,-1.316285709624863e-001, 2.256324386360510e-001,-4.927952714545436e-001,-5.374958544060506e-003,-1.256572704323727e-001
 2.658333333333333e+000, 4.169835795116870e-001,-1.312246520360301e-001, 2.268760184915468e-001,-4.859278129278556e-001,-1.341178945649101e-002,-1.282371994633145e-001
 2.666666666666667e+000, 4.030480089965671e-001,-1.306268088304419e-001, 2.278308951238385e-001,-4.779747323869468e-001,-2.058604920117118e-002,-1.305191991222015e-001
 2.675000000000000e+000, 3.888838156548698e-001,-1.298837149819041e-001, 2.284641081522309e-001,-4.690488300543265e-001,-2.695192479050260e-002,-1.324655273519163e-001
 2.683333333333333e+000, 3.745279837719253e-001,-1.290310162999684e-001, 2.287732459502710e-001,-4.592655157266811e-001,-3.256337693879548e-002,-1.340633054816645e-001
 2.691666666666666e+000, 3.600249095297001e-001,-1.280920440780371e-001, 2.287891657193645e-001,-4.487379017369549e-001,-3.747429725126968e-002,-1.353354000282819e-001
