Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.HipFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.HipAbduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.HipExternalRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.KneeFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.AnklePlantarFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.SubTalarEversion
  4.575000000000000e+00,  5.774497509440037e-01,  6.218645999340389e-02,  2.563069420397584e-01, -1.052465193061658e-01,  1.425259841027321e-01, -9.006999911758810e-02
  4.583333333333334e+00,  5.755273645521268e-01,  6.182178112948500e-02,  2.557325627096900e-01, -1.002093143162871e-01,  1.520194670204384e-01, -8.862311664042816e-02
  4.591666666666667e+00,  5.730197179687737e-01,  6.102925583143826e-02,  2.544569935089228e-01, -9.385558732479550e-02,  1.628956797551765e-01, -8.699701635013346e-02
  4.600000000000001e+00,  5.699118184274901e-01,  5.977922830038884e-02,  2.527981832482413e-01, -8.649808483161138e-02,  1.748854970853585e-01, -8.534324730076785e-02
  4.608333333333333e+00,  5.662023068370803e-01,  5.803008150726230e-02,  2.510884989619615e-01, -7.839239630458643e-02,  1.876097570438288e-01, -8.380474625491111e-02
  4.616666666666667e+00,  5.619167499488591e-01,  5.573464780246207e-02,  2.496596758258285e-01, -6.969971640560517e-02,  2.005788491564075e-01, -8.252190495404650e-02
  4.625000000000000e+00,  5.570812720272552e-01,  5.284247305821088e-02,  2.488002840945888e-01, -6.053931184068590e-02,  2.132575532883398e-01, -8.160350843262533e-02
  4.633333333333334e+00,  5.517436181736548e-01,  4.931371926180872e-02,  2.487383167084583e-01, -5.095691735915776e-02,  2.250794761447311e-01, -8.114657718438127e-02
  4.641666666666667e+00,  5.459453523642164e-01,  4.512688893046657e-02,  2.496036074888457e-01, -4.099163671795187e-02,  2.355259208249083e-01, -8.120452753698390e-02
  4.650000000000000e+00,  5.397149915923325e-01,  4.028785530532342e-02,  2.514212609852649e-01, -3.069836940483154e-02,  2.441675718877007e-01, -8.178011004939764e-02
  4.658333333333333e+00,  5.330732541200577e-01,  3.483580368451777e-02,  2.541261898227759e-01, -2.014466120531364e-02,  2.506806836374196e-01, -8.283060715452996e-02
  4.666666666666667e+00,  5.260132735368661e-01,  2.883936027067735e-02,  2.575710735340266e-01, -9.459066945240305e-03,  2.548904972922515e-01, -8.425431604543634e-02
  4.675000000000000e+00,  5.185183390060122e-01,  2.239516871852576e-02,  2.615565269634521e-01,  1.193685387698960e-03,  2.567580341790877e-01, -8.591497860170881e-02
  4.683333333333334e+00,  5.105653089309689e-01,  1.562073220315341e-02,  2.658535875984223e-01,  1.161049845290541e-02,  2.563747167361937e-01, -8.765725815213088e-02
  4.691666666666666e+00,  5.021441662362608e-01,  8.648419513067163e-03,  2.702327162712564e-01,  2.158338826526248e-02,  2.539252943279097e-01, -8.933507231936377e-02
  4.700000000000000e+00,  4.932689602494959e-01,  1.617874858078183e-03,  2.744849705033515e-01,  3.092103709807533e-02,  2.496556423881685e-01, -9.082977731808989e-02
  4.708333333333334e+00,  4.839752725625830e-01, -5.332639299265862e-03,  2.784320325148019e-01,  3.945014791183721e-02,  2.438540183753607e-01, -9.205462292227302e-02
  4.716666666666667e+00,  4.743267339889546e-01, -1.207039321003034e-02,  2.819363912118273e-01,  4.704228634801656e-02,  2.368167246433810e-01, -9.296062685119917e-02
  4.725000000000001e+00,  4.643979168133928e-01, -1.847457809926190e-02,  2.848995275260527e-01,  5.360016957392864e-02,  2.288405574675520e-01, -9.352625458918647e-02
  4.733333333333333e+00,  4.542701191723449e-01, -2.443777428354843e-02,  2.872673351852921e-01,  5.907355660926290e-02,  2.201967918873921e-01, -9.375750614157369e-02
  4.741666666666667e+00,  4.440086552660408e-01, -2.987098414597367e-02,  2.890267535617884e-01,  6.343724830449357e-02,  2.111314081061646e-01, -9.367752224327221e-02
  4.750000000000000e+00,  4.336504533430759e-01, -3.470751308201470e-02,  2.902039550273007e-01,  6.668237548640479e-02,  2.018598507668316e-01, -9.332112748067964e-02
