Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisPosX,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisPosY,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisPosZ,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisRotVec[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisRotVec[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisRotVec[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.SacrumPelvis[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.SacrumPelvis[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.SacrumPelvis[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L5Sacrum[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L5Sacrum[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L5Sacrum[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L4L5[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L4L5[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L4L5[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L3L4[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L3L4[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L3L4[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L2L3[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L2L3[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L2L3[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L1L2[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L1L2[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L1L2[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T12L1[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T12L1[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T12L1[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T1C7[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T1C7[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T1C7[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C7C6[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C7C6[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C7C6[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C6C5[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C6C5[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C6C5[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C5C4[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C5C4[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C5C4[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C4C3[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C4C3[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C4C3[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C3C2[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C3C2[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C3C2[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C2C1,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C1C0
  4.575000000000000e+00,  5.922099530092251e-01,  1.460114397481745e-01,  9.973820689571155e-01, -6.512565040007429e-02,  2.242266666869470e+00,  2.125511189079744e+00, -1.059451418069390e-03,  4.583143397445350e-15, -4.437036456569420e-03, -3.394660717879135e-03, -1.352638351283694e-03, -1.421701184785628e-02, -5.994588542849835e-03, -2.981443272942101e-03, -2.510564189460142e-02, -8.625047692183160e-03, -4.672055847144072e-03, -3.612213868156160e-02, -1.112605175989726e-02, -6.339844029898547e-03, -4.659647099848203e-02, -1.361540958184367e-02, -7.865173935159633e-03, -5.702202824541566e-02, -1.491005731339542e-02, -9.518094853748712e-03, -6.244407883248054e-02,  0.000000000000000e+00,  6.938893903907228e-16, -3.053113317719180e-16,  3.330669073875470e-16, -5.828670879282072e-16, -1.942890293094024e-16,  4.440892098500626e-16, -1.665334536937735e-15, -2.275957200481571e-15, -4.440892098500626e-16,  1.249000902703301e-15,  2.303712776097200e-15, -1.110223024625156e-16, -4.718447854656914e-16, -1.471045507628332e-15,  2.220446049250313e-16,  1.110223024625157e-16, -4.718447854656915e-16, -3.885780586188047e-16,  3.608224830031759e-16
  4.583333333333334e+00,  5.821070043465274e-01,  1.472064512691350e-01,  9.959348066483783e-01, -6.730429938783890e-02,  2.243773705046496e+00,  2.126758263611688e+00, -1.011833381568823e-03, -3.667208547964797e-15, -4.403789474112134e-03, -3.242084511724884e-03, -1.354645260284596e-03, -1.411048291841638e-02, -5.725156144936483e-03, -2.985866839165903e-03, -2.491752380180688e-02, -8.237386843533550e-03, -4.678987774605394e-03, -3.585147331222011e-02, -1.062598094043130e-02, -6.349250454033632e-03, -4.624732082372522e-02, -1.300345224298921e-02, -7.876843490687367e-03, -5.659475873980391e-02, -1.423991081939332e-02, -9.532216847400098e-03, -6.197618157396135e-02,  0.000000000000000e+00,  2.775557561562891e-16,  4.718447854656915e-16,  6.661338147750939e-16, -8.049116928532385e-16, -8.326672684688674e-17,  0.000000000000000e+00,  6.383782391594650e-16,  3.053113317719180e-16, -2.220446049250313e-16,  2.498001805406602e-16,  1.665334536937735e-16,  5.551115123125783e-16, -1.637578961322106e-15, -1.609823385706477e-15, -3.330669073875470e-16,  1.387778780781446e-16, -2.220446049250313e-16,  9.159339953157541e-16,  3.885780586188048e-16
  4.591666666666667e+00,  5.719242107864390e-01,  1.484592718086033e-01,  9.946290294720419e-01, -6.925696045103759e-02,  2.244872472225529e+00,  2.128502945027694e+00, -9.537699413238052e-04,  5.929289787846428e-15, -4.371972099967180e-03, -3.056039473339912e-03, -1.344825843402574e-03, -1.400853469477524e-02, -5.396621558347474e-03, -2.964223186677667e-03, -2.473749471961008e-02, -7.764689433592905e-03, -4.645071196659996e-03, -3.559244645677302e-02, -1.001621551797033e-02, -6.303226643272933e-03, -4.591318398138888e-02, -1.225725708276433e-02, -7.819746616515589e-03, -5.618586166984453e-02, -1.342276223939230e-02, -9.463120668643753e-03, -6.152840372991673e-02,  2.220446049250313e-16, -2.220446049250313e-16,  6.383782391594650e-16, -2.220446049250313e-16,  5.551115123125783e-16,  8.049116928532385e-16,  1.110223024625157e-16, -1.110223024625157e-15, -1.165734175856415e-15,  2.220446049250313e-16, -7.216449660063518e-16, -6.106226635438361e-16,  2.220446049250313e-16,  6.938893903907228e-16,  1.942890293094024e-16, -9.992007221626409e-16,  2.026157019940911e-15,  1.942890293094024e-15, -1.360023205165817e-15,  1.165734175856414e-15
  4.600000000000001e+00,  5.616788676553155e-01,  1.497673616759279e-01,  9.934796491001031e-01, -7.098870407113410e-02,  2.245551674212826e+00,  2.130824560867418e+00, -8.843929370457392e-04, -6.897266185930484e-15, -4.343037346869607e-03, -2.833743870983223e-03, -1.322328522476859e-03, -1.391582287418380e-02, -5.004072558089390e-03, -2.914635293526156e-03, -2.457377608510048e-02, -7.199887725430499e-03, -4.567364735372231e-03, -3.535688716512712e-02, -9.287638324735156e-03, -6.197781233194176e-03, -4.560931958956263e-02, -1.136566704597789e-02, -7.688931648996750e-03, -5.581401024930448e-02, -1.244639362788260e-02, -9.304814027315433e-03, -6.112119409299895e-02,  3.330669073875470e-16, -7.216449660063518e-16, -8.326672684688674e-16, -3.330669073875470e-16,  5.828670879282072e-16,  1.942890293094024e-16,  0.000000000000000e+00, -7.771561172376096e-16,  5.828670879282072e-16, -3.330669073875469e-16,  2.081668171172168e-15,  1.804112415015879e-15,  4.440892098500626e-16, -1.748601263784622e-15, -3.191891195797325e-15,  1.110223024625157e-16, -5.828670879282072e-16, -4.718447854656915e-16, -1.748601263784622e-15,  9.714451465470120e-16
  4.608333333333333e+00,  5.513914057712298e-01,  1.511278257443902e-01,  9.924999311338983e-01, -7.249882548623196e-02,  2.245787393695146e+00,  2.133810456948027e+00, -8.026368411634887e-04,  7.577278234515486e-15, -4.318520086357873e-03, -2.571783574923803e-03, -1.286265644131542e-03, -1.383726544370455e-02, -4.541480175537947e-03, -2.835146621627128e-03, -2.443505250947864e-02, -6.534307205093423e-03, -4.442802407580229e-03, -3.515729090474751e-02, -8.429059498979083e-03, -6.028753773754143e-03, -4.535184642497078e-02, -1.031498863613004e-02, -7.479237157770133e-03, -5.549892969171712e-02, -1.129580941559051e-02, -9.051050782625832e-03, -6.077615348707428e-02,  3.330669073875471e-16, -3.108624468950439e-15, -4.024558464266193e-15, -3.330669073875470e-16,  4.135580766728708e-15,  3.996802888650564e-15,  0.000000000000000e+00, -1.942890293094023e-16, -8.326672684688673e-17, -4.440892098500625e-16,  6.383782391594649e-16,  9.714451465470118e-16,  0.000000000000000e+00, -8.604228440844961e-16, -1.221245327087672e-15,  4.440892098500625e-16,  0.000000000000000e+00, -5.273559366969493e-16,  3.330669073875470e-16,  9.992007221626409e-16
  4.616666666666667e+00,  5.410848051298782e-01,  1.525373313188833e-01,  9.917008020422673e-01, -7.378369601347859e-02,  2.245547258164793e+00,  2.137551305993138e+00, -7.073488051583349e-04, -4.211911932356958e-15, -4.299967313603737e-03, -2.266464664405300e-03, -1.236030909316851e-03, -1.377781923613106e-02, -4.002321362621488e-03, -2.724420785700946e-03, -2.433007720137683e-02, -5.758562474354454e-03, -4.269290037285053e-03, -3.500625184135289e-02, -7.428372159649993e-03, -5.793302528974705e-03, -4.515701058208880e-02, -9.090406162280438e-03, -7.187137701567431e-03, -5.526050101463553e-02, -9.954785132748434e-03, -8.697564597361093e-03, -6.051505335498509e-02, -3.330669073875470e-16,  2.442490654175344e-15,  2.942091015256665e-15,  1.110223024625157e-16,  2.775557561562891e-17,  1.942890293094024e-16,  3.330669073875470e-16, -2.803313137178520e-15, -2.747801985947262e-15,  6.661338147750939e-16, -8.604228440844963e-16, -1.026956297778270e-15, -3.330669073875470e-16,  1.554312234475219e-15,  1.387778780781446e-16, -3.330669073875470e-16,  0.000000000000000e+00,  6.383782391594650e-16,  1.582067810090848e-15,  2.220446049250313e-16
  4.625000000000000e+00,  5.307833626912044e-01,  1.539925883253387e-01,  9.910906898354602e-01, -7.483779020492630e-02,  2.244795723381721e+00,  2.142134422721837e+00, -5.974736681014014e-04, -3.858028024855494e-15, -4.288853641998039e-03, -1.914406226164432e-03, -1.171524115183620e-03, -1.374220916118163e-02, -3.380625807254188e-03, -2.582236921611426e-03, -2.426719381914643e-02, -4.864063414621295e-03, -4.046481520501943e-03, -3.491577487754256e-02, -6.274495312477376e-03, -5.490957845776722e-03, -4.504029802367749e-02, -7.678359353555661e-03, -6.812050631535838e-03, -5.511767503106428e-02, -8.408471103726748e-03, -8.243650374940016e-03, -6.035864648465412e-02, -6.661338147750938e-16,  5.079270337660090e-15,  3.358424649491098e-15, -4.440892098500626e-16,  6.106226635438361e-16,  9.714451465470120e-16,  1.110223024625157e-16, -1.665334536937735e-15, -1.221245327087672e-15,  1.110223024625157e-16,  0.000000000000000e+00,  1.082467449009528e-15, -3.330669073875469e-16,  2.081668171172168e-15,  9.992007221626407e-16, -1.110223024625157e-16, -1.471045507628332e-15, -9.992007221626409e-16,  1.193489751472043e-15,  5.273559366969493e-16
  4.633333333333334e+00,  5.205114263770912e-01,  1.554911226876817e-01,  9.906750699036571e-01, -7.565291768617288e-02,  2.243505009552508e+00,  2.147622432709863e+00, -4.725349037018119e-04,  1.507822813664077e-14, -4.286403018166709e-03, -1.514081389731630e-03, -1.093186282737765e-03, -1.373435694986262e-02, -2.673697228126748e-03, -2.409567114284002e-03, -2.425332769825884e-02, -3.846930601194093e-03, -3.775900157973060e-03, -3.489582422482846e-02, -4.962424616435090e-03, -5.123786799055759e-03, -4.501456228255909e-02, -6.072724190922666e-03, -6.356540348813670e-03, -5.508618114050914e-02, -6.650160995218007e-03, -7.692411443212890e-03, -6.032415793619116e-02,  2.220446049250313e-16, -2.414735078559715e-15, -2.386979502944086e-15, -6.661338147750938e-16,  1.970645868709652e-15,  1.276756478318930e-15,  8.881784197001250e-16, -4.551914400963141e-15, -4.857225732735059e-15, -3.330669073875470e-16,  2.220446049250313e-15,  1.776356839400250e-15,  1.110223024625157e-16,  1.082467449009528e-15,  1.831867990631508e-15,  0.000000000000000e+00, -2.969846590872294e-15, -2.192690473634684e-15,  7.771561172376096e-16,  2.553512956637860e-15
  4.641666666666667e+00,  5.102917379794298e-01,  1.570320737726691e-01,  9.904565895660536e-01, -7.621641302977898e-02,  2.241665887235279e+00,  2.154036428393103e+00, -3.330555363763075e-04,  1.547374536229256e-14, -4.293472225283768e-03, -1.067166013396172e-03, -1.002015065853864e-03, -1.375700787972023e-02, -1.884495002262976e-03, -2.208610361084959e-03, -2.429332668953203e-02, -2.711422002362425e-03, -3.460991877741330e-03, -3.495337499834836e-02, -3.497652722380639e-03, -4.696465412962478e-03, -4.508880104710719e-02, -4.280222258348742e-03, -5.826407902036561e-03, -5.517703018634662e-02, -4.687215526086472e-03, -7.050867981482938e-03, -6.042364554044955e-02, -2.220446049250313e-16, -1.165734175856414e-15, -9.714451465470120e-16,  0.000000000000000e+00, -3.608224830031759e-16,  7.494005416219807e-16, -2.220446049250313e-16,  2.498001805406602e-15,  1.276756478318930e-15,  7.771561172376096e-16, -9.714451465470120e-16, -1.304512053934559e-15, -1.110223024625157e-16,  9.992007221626409e-16,  1.332267629550188e-15, -1.110223024625157e-16, -1.082467449009528e-15, -1.970645868709653e-15,  3.691491556878645e-15, -3.191891195797324e-15
  4.650000000000000e+00,  5.001441726682372e-01,  1.586161538477388e-01,  9.904349068999480e-01, -7.651320493556282e-02,  2.239297287488343e+00,  2.161345225032447e+00, -1.808081772392499e-04, -2.573637744912166e-14, -4.310477512781120e-03, -5.793398416242054e-04, -8.996224141834771e-04, -1.381149568378954e-02, -1.023048918768820e-03, -1.982919671350344e-03, -2.438954601551033e-02, -1.471968535077501e-03, -3.107324405282672e-03, -3.509181590542545e-02, -1.898795078555327e-03, -4.216548929264790e-03, -4.526738564777624e-02, -2.323634049564175e-03, -5.231026280527194e-03, -5.539557154635583e-02, -2.544581317668501e-03, -6.330362777848235e-03, -6.066296733120240e-02,  6.661338147750939e-16, -4.440892098500626e-15, -4.024558464266192e-15, -2.220446049250313e-16,  1.471045507628332e-15,  1.887379141862766e-15,  0.000000000000000e+00, -7.494005416219805e-16, -7.216449660063516e-16,  3.330669073875469e-16, -1.026956297778270e-15, -1.804112415015879e-15,  0.000000000000000e+00, -3.330669073875470e-16,  1.221245327087672e-15, -5.551115123125783e-16,  3.663735981263017e-15,  3.275157922644212e-15, -1.443289932012704e-15, -2.775557561562891e-16
  4.658333333333333e+00,  4.900849708391483e-01,  1.602449405464254e-01,  9.906062993848861e-01, -7.653063145880851e-02,  2.236451223941764e+00,  2.169462877130299e+00, -1.882980733974699e-05,  2.331470179297946e-14, -4.337359833531025e-03, -6.033387298931505e-05, -7.882485619813078e-04, -1.389763116566653e-02, -1.065428252862884e-04, -1.737432899391136e-03, -2.454165157646462e-02, -1.532944159192749e-04, -2.722635580657550e-03, -3.531066624153210e-02, -1.977451797244253e-04, -3.694537372056287e-03, -4.554969599018108e-02, -2.419889528551161e-04, -4.583421753617954e-03, -5.574104638539835e-02, -2.649989436297419e-04, -5.546659662620059e-03, -6.104129231801873e-02,  0.000000000000000e+00,  1.221245327087672e-15,  5.273559366969494e-16,  5.551115123125784e-16, -7.216449660063518e-16, -6.661338147750940e-16,  0.000000000000000e+00,  3.330669073875470e-16, -2.775557561562891e-16, -5.551115123125783e-16,  3.608224830031759e-16,  6.106226635438361e-16, -2.220446049250313e-16, -8.326672684688674e-16, -1.387778780781446e-16,  5.551115123125783e-16,  1.249000902703301e-15,  1.665334536937735e-16, -2.720046410331634e-15,  6.106226635438362e-16
  4.666666666666667e+00,  4.801262890611995e-01,  1.619199854400645e-01,  9.909636961882872e-01, -7.626285125397471e-02,  2.233210478319976e+00,  2.178255221369294e+00,  1.488042793202768e-04, -1.924156814908087e-14, -4.373595044427233e-03,  4.767939643496624e-04, -6.706353785349229e-04, -1.401373488195825e-02,  8.419644475633030e-04, -1.478193588147024e-03, -2.474667766459944e-02,  1.211423179996551e-03, -2.316395907791039e-03, -3.560565892963756e-02,  1.562699417419522e-03, -3.143281939968416e-03, -4.593022767345740e-02,  1.912339892051841e-03, -3.899537444229426e-03, -5.620671874056752e-02,  2.094178454329008e-03, -4.719052316686126e-03, -6.155124403581565e-02,  2.220446049250313e-16, -1.609823385706477e-15, -1.221245327087672e-15, -4.440892098500625e-16,  2.775557561562891e-16,  5.273559366969493e-16,  0.000000000000000e+00,  5.551115123125783e-17,  8.326672684688674e-16,  6.661338147750940e-16, -3.608224830031759e-16, -7.771561172376097e-16,  2.220446049250314e-16,  5.551115123125784e-17, -9.992007221626411e-16,  1.110223024625157e-16,  0.000000000000000e+00,  1.221245327087672e-15,  3.053113317719180e-16, -9.992007221626409e-16
