Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile3.HipFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile3.HipAbduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile3.HipExternalRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile3.KneeFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile3.AnklePlantarFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile3.SubTalarEversion
 2.066666666666667e+000, 3.612843217542449e-001, 3.493211023153897e-002, 5.775260509766104e-001, 1.431529431792177e-001,-9.608341594380418e-002, 1.072003224349589e-003
 2.075000000000000e+000, 3.645070290437911e-001, 3.680267184300612e-002, 5.664400006460824e-001, 1.660280467127061e-001,-8.579193812334182e-002, 1.838667692523122e-002
 2.083333333333334e+000, 3.674775161647635e-001, 3.819049529725227e-002, 5.553569273404900e-001, 1.890568911441013e-001,-7.352058568202934e-002, 3.649589864278036e-002
 2.091666666666667e+000, 3.701254727412784e-001, 3.902588615868452e-002, 5.444903132155488e-001, 2.118113132962775e-001,-5.962417026945525e-002, 5.504472831091190e-002
 2.100000000000000e+000, 3.723881818155943e-001, 3.926529908797294e-002, 5.340021160774907e-001, 2.339887183530567e-001,-4.461926377486329e-002, 7.368326306850143e-002
 2.108333333333333e+000, 3.742046030180164e-001, 3.888689404165291e-002, 5.240068944090165e-001, 2.553869657266979e-001,-2.912686371608590e-002, 9.207070822205224e-002
 2.116666666666667e+000, 3.755064401100139e-001, 3.788552328054351e-002, 5.145831223322848e-001, 2.758675539030571e-001,-1.379501741131735e-002, 1.098821350957332e-001
 2.125000000000000e+000, 3.762089467255418e-001, 3.626893893863281e-002, 5.057888125993891e-001, 2.953163734638771e-001, 7.756192741661099e-004, 1.268123666047913e-001
 2.133333333333334e+000, 3.762057388814448e-001, 3.405540579972466e-002, 4.976758721727645e-001, 3.136120009973364e-001, 1.408445610459198e-002, 1.425813324144959e-001
 2.141666666666667e+000, 3.753719290260605e-001, 3.127217826869577e-002, 4.902988386817713e-001, 3.306083718259568e-001, 2.575801742194154e-002, 1.569466590970624e-001
 2.150000000000000e+000, 3.735767163346618e-001, 2.795452142034538e-002, 4.837168885524458e-001, 3.461343030931166e-001, 3.555604782972670e-002, 1.697216443728651e-001
 2.158333333333334e+000, 3.707024602026113e-001, 2.414514655160560e-002, 4.779894940657275e-001, 3.600085750683832e-001, 4.336099458687340e-002, 1.807914765326589e-001
 2.166666666666667e+000, 3.666651099566067e-001, 1.989404585751786e-002, 4.731672616818879e-001, 3.720655936781627e-001, 4.915530858146401e-002, 1.901210554068308e-001
 2.175000000000000e+000, 3.614309880914952e-001, 1.525860059017137e-002, 4.692817199086471e-001, 3.821833092266626e-001, 5.299371375723484e-002, 1.977516512082019e-001
 2.183333333333334e+000, 3.550262404034123e-001, 1.030336580130631e-002, 4.663374607648236e-001, 3.903049382007654e-001, 5.497745289610114e-002, 2.037886353627672e-001
 2.191666666666667e+000, 3.475379348038282e-001, 5.099151509823319e-003, 4.643080960310565e-001, 3.964497626885275e-001, 5.523436299510962e-002, 2.083852387289885e-001
 2.200000000000000e+000, 3.391038147525693e-001,-2.793714043314299e-004, 4.631344066057478e-001, 4.007122217794687e-001, 5.390569331990789e-002, 2.117267418378749e-001
 2.208333333333334e+000, 3.299013529280158e-001,-5.754266873842617e-003, 4.627312376184515e-001, 4.032511777340502e-001, 5.113916319179600e-002, 2.140170425837491e-001
 2.216666666666667e+000, 3.201259487008368e-001,-1.124596086696417e-002, 4.629957525345668e-001, 4.042714683223451e-001, 4.708532546194480e-002, 2.154665636990382e-001
 2.225000000000000e+000, 3.099714315404541e-001,-1.667420402302544e-002, 4.638204645751780e-001, 4.040011343805713e-001, 4.189652144480526e-002, 2.162811637267689e-001
 2.233333333333333e+000, 2.996116893432615e-001,-2.196017467614819e-002, 4.651058297375024e-001, 4.026679456174014e-001, 3.572796403823381e-002, 2.166525964083705e-001
 2.241666666666667e+000, 2.891865062529450e-001,-2.702927602813143e-002, 4.667706962232930e-001, 4.004791841019157e-001, 2.873899984209576e-002, 2.167504381123674e-001
 2.250000000000000e+000, 2.787930567614147e-001,-3.181422888271168e-002, 4.687587412903906e-001, 3.976078969353976e-001, 2.109008866620385e-002, 2.167141607654688e-001
 2.258333333333334e+000, 2.684836943932240e-001,-3.625860476450882e-002, 4.710393652096317e-001, 3.941872275878200e-001, 1.293486718143797e-002, 2.166468469938202e-001
 2.266666666666667e+000, 2.582697057298775e-001,-4.032068339031669e-002, 4.736036011775826e-001, 3.903118441291307e-001, 4.412655640005148e-003, 2.166142531026641e-001
 2.275000000000000e+000, 2.481291911370853e-001,-4.397669110503233e-002, 4.764574255546743e-001, 3.860436298505522e-001,-4.354964157620451e-003, 2.166485296692584e-001
