Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.PelvisPosX,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.PelvisPosY,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.PelvisPosZ,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.PelvisRotX,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.PelvisRotY,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.PelvisRotZ,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.PelvisThoraxExtension,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.PelvisThoraxLateralBending,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.PelvisThoraxRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.SkullThoraxFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.SkullThoraxLateralBending,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.SkullThoraxRotation
 2.066666666666667e+000, 8.641658617224369e-001, 1.604154826814402e-001, 9.519570835149974e-001,-1.556820679854206e+000,-2.925141384927954e+000, 2.623923940877626e-002,-5.263291306060116e-001, 2.544930206986506e-002,-9.662773318731896e-002, 0.000000000000000e+000, 0.000000000000000e+000, 8.326672684688674e-017
 2.075000000000000e+000, 8.525146352650257e-001, 1.607584205670865e-001, 9.503241404371777e-001,-1.556308354527197e+000,-2.924308259337341e+000, 2.576577021913185e-002,-5.240067789405799e-001, 2.865919116601836e-002,-1.005505515812174e-001,-5.551115123125783e-017, 0.000000000000000e+000, 2.775557561562891e-017
 2.083333333333334e+000, 8.407682368813471e-001, 1.611594282209240e-001, 9.489062354242449e-001,-1.556013073192249e+000,-2.923802878218277e+000, 2.530725485814900e-002,-5.214200314102589e-001, 3.217412380396947e-002,-1.045428959843400e-001, 5.551115123125780e-017, 2.220446049250312e-016, 8.326672684688670e-017
 2.091666666666667e+000, 8.289450512150702e-001, 1.616233305630680e-001, 9.477249861788862e-001,-1.555937546008300e+000,-2.923620948858252e+000, 2.476968736822816e-002,-5.186377046829868e-001, 3.597324214042325e-002,-1.085069550826079e-001, 0.000000000000000e+000,-1.110223024625157e-016,-8.326672684688674e-017
 2.100000000000000e+000, 8.170653756158983e-001, 1.621543741162495e-001, 9.468004331391856e-001,-1.556086107536741e+000,-2.923746053474809e+000, 2.405419388121022e-002,-5.157409818173337e-001, 4.003059058694363e-002,-1.123460247861887e-001, 2.775557561562891e-017, 3.330669073875469e-016, 5.551115123125782e-017
 2.108333333333333e+000, 8.051507628450378e-001, 1.627560518373060e-001, 9.461498610118743e-001,-1.556464695018977e+000,-2.924151872606785e+000, 2.306667100932147e-002,-5.128172920573881e-001, 4.431517374124452e-002,-1.159710882057525e-001,-2.775557561562891e-017,-2.220446049250313e-016,-2.775557561562891e-017
 2.116666666666667e+000, 7.932230008077555e-001, 1.634309491585879e-001, 9.457866668966944e-001,-1.557080086614344e+000,-2.924803266870747e+000, 2.172629001429538e-002,-5.099547298117512e-001, 4.879129455184907e-002,-1.193052312194037e-001, 8.326672684688673e-017, 0.000000000000000e+000,-2.775557561562891e-017
 2.125000000000000e+000, 7.813028067453524e-001, 1.641805862531631e-001, 9.457194163681564e-001,-1.557938504340401e+000,-2.925657283198194e+000, 1.997228985484600e-002,-5.072359206942109e-001, 5.341940378077525e-002,-1.222858731430113e-001, 5.551115123125784e-017, 2.220446049250314e-016, 2.775557561562892e-017
 2.133333333333334e+000, 7.694087690035113e-001, 1.650052980744990e-001, 9.459510572398047e-001,-1.559044318482364e+000,-2.926665411861851e+000, 1.776986290603855e-002,-5.047318373659412e-001, 5.815737696473169e-002,-1.248660582768516e-001, 2.775557561562891e-017, 1.110223024625157e-016, 4.163336342344337e-017
 2.141666666666667e+000, 7.575569536486561e-001, 1.659042120660162e-001, 9.464782461422320e-001,-1.560399224633867e+000,-2.927778479160141e+000, 1.511501842607288e-002,-5.024955197552281e-001, 6.296169317129964e-002,-1.270157066335905e-001, 5.551115123125782e-017, 2.220446049250313e-016, 4.163336342344336e-017
