Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisPosX,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisPosY,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisPosZ,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisRotVec[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisRotVec[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisRotVec[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.SacrumPelvis[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.SacrumPelvis[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.SacrumPelvis[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L5Sacrum[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L5Sacrum[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L5Sacrum[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L4L5[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L4L5[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L4L5[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L3L4[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L3L4[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L3L4[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L2L3[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L2L3[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L2L3[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L1L2[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L1L2[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L1L2[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T12L1[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T12L1[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T12L1[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T1C7[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T1C7[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T1C7[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C7C6[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C7C6[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C7C6[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C6C5[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C6C5[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C6C5[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C5C4[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C5C4[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C5C4[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C4C3[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C4C3[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C4C3[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C3C2[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C3C2[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C3C2[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C2C1,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C1C0
  2.066666666666667e+00,  8.651344027798699e-01,  1.546160905901507e-01,  9.468004107707463e-01, -2.586576374680899e-01, -2.128083431130161e+00, -2.084709172311106e+00,  1.201782739808622e-03, -4.204989268112916e-15, -1.049800311641349e-02,  3.850714236323148e-03, -2.211787343161897e-03, -3.363736947974470e-02,  6.799927698600174e-03, -4.875152688955446e-03, -5.939980647635952e-02,  9.783774196439899e-03, -7.639583765657577e-03, -8.546477545587346e-02,  1.262077405269333e-02, -1.036669318863793e-02, -1.102469863710800e-01,  1.544456305575610e-02, -1.286085977457294e-02, -1.349137957470946e-01,  1.691313940703830e-02, -1.556365876256591e-02, -1.477423367152431e-01, -6.661338147750939e-16,  8.604228440844963e-16,  2.775557561562891e-17,  2.220446049250313e-16, -1.110223024625157e-16,  1.110223024625157e-15, -4.440892098500626e-16, -2.498001805406602e-16, -2.775557561562891e-16, -6.661338147750940e-16,  3.358424649491099e-15,  2.525757381022232e-15,  1.110223024625157e-16, -3.885780586188048e-16, -9.159339953157541e-16,  3.330669073875470e-16, -3.164135620181696e-15, -1.665334536937735e-15,  8.604228440844963e-16,  1.110223024625157e-15
  2.075000000000000e+00,  8.535325354803183e-01,  1.549669248138795e-01,  9.454239737778507e-01, -2.603077799280007e-01, -2.127895672360339e+00, -2.084464929505116e+00,  1.285712362500004e-03, -3.899676445906182e-15, -1.046747731497143e-02,  4.119638878227407e-03, -2.357273191686150e-03, -3.353955967243921e-02,  7.274818331633169e-03, -5.195828059431236e-03, -5.922708537139366e-02,  1.046704950869993e-02, -8.142096509478487e-03, -8.521626335912830e-02,  1.350217862711151e-02, -1.104858838062686e-02, -1.099264132507948e-01,  1.652317427804523e-02, -1.370681501656677e-02, -1.345214971646491e-01,  1.809431247763546e-02, -1.658739737302127e-02, -1.473127356582177e-01, -2.220446049250313e-16,  3.608224830031759e-16,  5.828670879282072e-16,  4.440892098500625e-16, -2.386979502944086e-15, -2.525757381022231e-15, -3.330669073875470e-16,  1.332267629550188e-15,  1.693090112553364e-15,  3.330669073875470e-16,  1.387778780781446e-16, -7.216449660063518e-16, -4.440892098500627e-16,  3.330669073875470e-16,  7.771561172376097e-16,  3.330669073875470e-16, -8.881784197001252e-16, -1.443289932012704e-15, -7.216449660063518e-16,  1.582067810090848e-15
  2.083333333333333e+00,  8.418300758955303e-01,  1.553736825911274e-01,  9.442824502638860e-01, -2.618118235405039e-01, -2.127775371481707e+00, -2.084449099176839e+00,  1.371806943078287e-03, -1.484930148369097e-15, -1.043446121795454e-02,  4.395500409701810e-03, -2.504141887160467e-03, -3.343377053885598e-02,  7.761958730458629e-03, -5.519551458009831e-03, -5.904027367477083e-02,  1.116794985284057e-02, -8.649385650578861e-03, -8.494747763992676e-02,  1.440631896183718e-02, -1.173696500495229e-02, -1.095796877681367e-01,  1.762960819030918e-02, -1.456081108610718e-02, -1.340971948549827e-01,  1.930595381285732e-02, -1.762086664677563e-02, -1.468480877372620e-01, -4.440892098500626e-16,  3.969047313034935e-15,  2.192690473634684e-15,  9.992007221626409e-16, -3.275157922644212e-15, -2.581268532253489e-15, -2.220446049250313e-16,  2.775557561562891e-17, -4.718447854656915e-16,  1.110223024625157e-16, -4.163336342344338e-16,  2.220446049250314e-16,  2.220446049250313e-16, -3.608224830031759e-16,  8.049116928532385e-16, -4.440892098500626e-16,  3.663735981263017e-15,  2.914335439641036e-15, -2.498001805406602e-15, -1.110223024625157e-15
  2.091666666666667e+00,  8.300442542117128e-01,  1.558408481389161e-01,  9.433908014899446e-01, -2.632591964711253e-01, -2.127746384687871e+00, -2.084718252062789e+00,  1.459545350402771e-03,  1.082472423208765e-15, -1.039976760512703e-02,  4.676629038829954e-03, -2.648698985616621e-03, -3.332260636218846e-02,  8.258400230598041e-03, -5.838179706506172e-03, -5.884397025735728e-02,  1.188223267383326e-02, -9.148690462112564e-03, -8.466503517950803e-02,  1.532772228865772e-02, -1.241450712601953e-02, -1.092153455005751e-01,  1.875716753979587e-02, -1.540136593345887e-02, -1.336513341572685e-01,  2.054072933863470e-02, -1.863806993212766e-02, -1.463598315069208e-01, -4.440892098500626e-16,  3.053113317719180e-15,  2.137179322403426e-15,  2.220446049250314e-16, -2.747801985947263e-15, -2.747801985947263e-15, -1.110223024625157e-16,  2.192690473634684e-15,  2.525757381022231e-15,  1.110223024625157e-16, -1.054711873393899e-15, -8.049116928532385e-16,  3.330669073875470e-16, -1.110223024625157e-15, -1.582067810090848e-15,  2.220446049250313e-16,  1.110223024625157e-15,  7.494005416219807e-16,  1.110223024625157e-15,  2.498001805406602e-16
  2.100000000000000e+00,  8.181945039306228e-01,  1.563726385051088e-01,  9.427623085394397e-01, -2.647512596591375e-01, -2.127818872491182e+00, -2.085336681111970e+00,  1.548520376815008e-03,  3.455584976050649e-15, -1.036437735753253e-02,  4.961720003718695e-03, -2.787305037241352e-03, -3.320921005042198e-02,  8.761838769474587e-03, -6.143690843188542e-03, -5.864372514075609e-02,  1.260658287349437e-02, -9.627440168801517e-03, -8.437692138010135e-02,  1.626211223076085e-02, -1.306415656710185e-02, -1.088436873765581e-01,  1.990061914737689e-02, -1.620731728288271e-02, -1.331965207434802e-01,  2.179290826881117e-02, -1.961339755419273e-02, -1.458617712740873e-01, -4.440892098500626e-16,  1.304512053934559e-15,  9.714451465470120e-16, -4.440892098500626e-16,  1.137978600240785e-15,  5.273559366969494e-16,  3.330669073875470e-16, -1.720845688168993e-15, -1.748601263784622e-15, -1.110223024625157e-16,  7.771561172376096e-16,  1.554312234475219e-15, -1.110223024625157e-16, -1.415534356397075e-15, -1.221245327087672e-15,  2.220446049250313e-16,  2.692290834716005e-15,  1.609823385706477e-15, -8.326672684688674e-17, -2.053912595556540e-15
  2.108333333333333e+00,  8.063017712820789e-01,  1.569727836794942e-01,  9.424077089501472e-01, -2.663913801917926e-01, -2.127988807423516e+00, -2.086368740196741e+00,  1.638388190498779e-03, -2.872715168658424e-15, -1.032938429868105e-02,  5.249671609347520e-03, -2.916644826036788e-03, -3.309708639824260e-02,  9.270328877750990e-03, -6.428777572295001e-03, -5.844572739765358e-02,  1.333820129960053e-02, -1.007418390926895e-02, -8.409204111436519e-02,  1.720587796607568e-02, -1.367037484199683e-02, -1.084762004135737e-01,  2.105554430078681e-02, -1.695938817801878e-02, -1.327468117518934e-01,  2.305765172926472e-02, -2.052352137037191e-02, -1.453693008273962e-01,  0.000000000000000e+00, -9.714451465470120e-17, -6.106226635438361e-16, -4.440892098500625e-16,  1.096345236817342e-15,  1.249000902703301e-15, -1.110223024625157e-16,  1.249000902703301e-16, -5.551115123125783e-17,  5.551115123125784e-16, -7.494005416219808e-16, -1.637578961322106e-15,  0.000000000000000e+00, -1.804112415015880e-16,  1.137978600240786e-15,  0.000000000000000e+00,  9.298117831235686e-16,  5.551115123125783e-17, -2.775557561562891e-16, -2.498001805406602e-16
  2.116666666666667e+00,  7.943874819370961e-01,  1.576443251123833e-01,  9.423343963904488e-01, -2.682762717105341e-01, -2.128238993168293e+00, -2.087870381024417e+00,  1.728807383319298e-03,  3.955187487501965e-15, -1.029592659924920e-02,  5.539389926557200e-03, -3.033912052862965e-03, -3.298988229619682e-02,  9.781938799724813e-03, -6.687254336756667e-03, -5.825641702606085e-02,  1.407430853119570e-02, -1.047922863700005e-02, -8.381966028756130e-02,  1.815543412528114e-02, -1.422000876825424e-02, -1.081248373503682e-01,  2.221755543533213e-02, -1.764126085664261e-02, -1.323168342432047e-01,  2.433015495516790e-02, -2.134869432734929e-02, -1.448984380700364e-01,  1.110223024625157e-16, -3.191891195797325e-16,  3.608224830031759e-16,  6.661338147750939e-16, -5.551115123125783e-16, -2.775557561562891e-16,  1.110223024625157e-16, -1.651456749129920e-15, -1.970645868709653e-15, -2.220446049250313e-16,  2.164934898019055e-15,  1.554312234475219e-15,  1.110223024625157e-16, -1.804112415015879e-15, -1.082467449009528e-15,  4.440892098500625e-16,  5.412337245047637e-16,  1.387778780781445e-16,  3.469446951953613e-16,  2.498001805406602e-16
  2.125000000000000e+00,  7.824722474057286e-01,  1.583893922979281e-01,  9.425457724952814e-01, -2.704890274604795e-01, -2.128542171489480e+00, -2.089880598863027e+00,  1.819366868398451e-03,  3.858042481427402e-15, -1.026509841047826e-02,  5.829557763784986e-03, -3.136898459978841e-03, -3.289110358898398e-02,  1.029434252342882e-02, -6.914253763771845e-03, -5.808198495294817e-02,  1.481155788917813e-02, -1.083494695971427e-02, -8.356868644025912e-02,  1.910646359313090e-02, -1.470270819615662e-02, -1.078010886459918e-01,  2.338136951858656e-02, -1.824009498268393e-02, -1.319206495672032e-01,  2.560463256666685e-02, -2.207337760331208e-02, -1.444645814026870e-01,  3.330669073875470e-16, -1.776356839400251e-15, -1.609823385706477e-15, -1.110223024625157e-16, -4.718447854656915e-16,  1.942890293094024e-16,  2.220446049250313e-16,  1.332267629550188e-15,  6.938893903907228e-16,  4.440892098500626e-16, -8.465450562766819e-16, -4.440892098500626e-16, -9.992007221626409e-16,  2.386979502944087e-15,  1.859623566247137e-15,  4.440892098500627e-16,  9.575673587391977e-16,  6.106226635438362e-16, -3.663735981263017e-15,  8.326672684688674e-17
  2.133333333333334e+00,  7.705748569973881e-01,  1.592090026733180e-01,  9.430406959225072e-01, -2.730923320822383e-01, -2.128864525370178e+00, -2.092414679944913e+00,  1.909531294017878e-03,  4.718469178216785e-16, -1.023786571805974e-02,  6.118459763991696e-03, -3.224027001611375e-03, -3.280384545742333e-02,  1.080451092150042e-02, -7.106299778231533e-03, -5.792789691909333e-02,  1.554559104808077e-02, -1.113589171115272e-02, -8.334698371096194e-02,  2.005334426102815e-02, -1.511108147940802e-02, -1.075150988023014e-01,  2.454010654379159e-02, -1.874672052236057e-02, -1.315706719702741e-01,  2.687355035816762e-02, -2.268647401818904e-02, -1.440813255044892e-01,  0.000000000000000e+00,  1.804112415015880e-16, -2.220446049250314e-16,  2.220446049250313e-16, -1.804112415015879e-16, -5.273559366969494e-16, -1.110223024625157e-16, -4.996003610813204e-16,  4.718447854656915e-16, -1.110223024625157e-16,  2.178812685826870e-15,  1.665334536937735e-15,  2.220446049250313e-16, -1.124100812432971e-15, -1.026956297778270e-15,  5.551115123125783e-16, -1.831867990631508e-15, -1.665334536937735e-15,  4.024558464266191e-16, -6.938893903907226e-16
  2.141666666666667e+00,  7.587119130110866e-01,  1.601029892111361e-01,  9.438131336196603e-01, -2.761192845839163e-01, -2.129167965012782e+00, -2.095463020484448e+00,  1.998664861975085e-03,  8.687534384667297e-15, -1.021496343917063e-02,  6.404058722682119e-03, -3.294375531482634e-03, -3.273046269995733e-02,  1.130884652022961e-02, -7.261359813986526e-03, -5.779831123327307e-02,  1.627123194250154e-02, -1.137887776873307e-02, -8.316053509780758e-02,  2.098939916050354e-02, -1.544080649914950e-02, -1.072745857066479e-01,  2.568559562855611e-02, -1.915577548000090e-02, -1.312763461503192e-01,  2.812796050300657e-02, -2.318149471566905e-02, -1.437590131408445e-01,  1.110223024625156e-16, -2.428612866367530e-15, -1.304512053934559e-15, -4.440892098500625e-16,  1.207367539279858e-15, -5.551115123125781e-17,  4.440892098500626e-16, -6.522560269672795e-16, -3.885780586188048e-16, -4.440892098500626e-16,  1.720845688168993e-15,  1.582067810090848e-15,  0.000000000000000e+00, -1.054711873393899e-15, -1.165734175856414e-15,  0.000000000000000e+00, -5.551115123125781e-17, -4.163336342344336e-16,  6.383782391594650e-16, -1.498801083243961e-15
