Time(sec),PM,AM,AL,PL,GON,GRFz
1.806670,14.528429,15.605992,12.029920,9.730784,60.561880,0.000769,
1.815003,14.162941,13.842215,11.083036,7.990032,58.497279,0.000014,
1.823337,12.718970,12.351737,11.233903,6.660490,55.077385,0.000577,
1.831670,11.405072,11.278400,11.770587,5.816773,52.426561,0.000958,
1.840003,11.581983,10.559305,11.627584,5.275306,51.815174,-0.000369,
1.848337,11.483686,10.078085,11.287738,4.762682,50.182930,-0.000979,
1.856670,10.492800,9.721785,11.242285,4.265446,46.365826,-0.000117,
1.865003,10.017192,9.505350,11.537865,4.125979,42.522648,0.000150,
1.873337,9.817142,10.156546,11.819040,4.667091,39.328836,-0.000037,
1.881670,9.071123,12.394435,11.747491,6.081149,36.497989,-0.000026,
1.890003,7.310394,16.316341,11.309794,8.323134,33.344097,0.000019,
1.898337,5.654671,20.544205,10.881127,10.812122,30.496872,-0.000002,
1.906670,5.590543,23.245263,10.941567,12.769196,28.842204,-0.000045,
1.915003,5.680243,24.827632,11.375048,14.113156,26.482200,0.000040,
1.923337,5.308172,26.454327,12.010714,15.466750,22.627325,0.000134,
1.931670,6.643455,29.734266,12.818201,18.460092,19.788968,-0.000400,
1.940003,9.220000,35.320000,13.480000,23.330000,18.044000,-0.001000,
1.948337,10.608402,43.078916,13.518186,29.242499,15.490218,-0.000528,
1.956670,10.645843,53.152626,12.882209,36.235315,11.976331,0.000168,
1.965003,9.089407,63.621451,13.696690,43.756797,8.686002,0.000190,
1.973337,4.917922,69.594637,20.897159,50.126782,7.931026,-0.000537,
1.981670,0.830600,71.954436,33.042079,55.983762,8.470641,-0.000985,
1.990003,0.265597,74.981639,44.599060,62.864193,7.713143,-0.000264,
1.998337,0.860044,80.237649,51.747296,69.762970,6.735973,-0.000089,
2.006670,2.239571,83.873033,53.517978,73.423670,6.179631,-0.000822,
2.015003,6.569952,78.523711,51.271568,69.607100,5.644768,-0.001167,
2.023337,11.639915,67.633775,45.850766,60.645913,5.449794,-0.000947,
2.031670,14.321751,58.184641,38.121077,51.219813,6.123936,-0.000565,
2.040003,15.453767,50.705356,29.857488,42.639844,7.663100,-0.000200,
2.048337,16.487646,44.723543,22.975225,35.693352,9.980530,0.000003,
2.056670,18.221693,39.578862,18.805648,30.640876,12.579592,-0.000008,
2.065003,19.150469,33.958582,16.610812,25.888478,13.523423,0.000030,
2.073337,19.224722,28.354814,15.527631,21.417821,12.455762,0.000093,
2.081670,21.972782,26.749352,15.367351,20.811921,12.531642,-0.000451,
2.090003,27.450000,29.060000,16.100000,24.010000,14.168000,-0.001000,
2.098337,33.085194,32.042369,17.628559,28.055842,15.915660,-0.000530,
2.106670,35.706876,31.177848,19.398380,28.757847,16.794200,0.000416,
2.115003,36.043997,26.076670,20.982862,25.823872,16.598978,0.001008,
2.123337,39.194461,21.316947,22.267816,23.644784,15.931144,0.000639,
2.131670,45.451378,18.393544,23.489485,23.459688,15.918880,-0.000117,
2.140003,52.877289,16.605777,24.425438,24.232933,16.992475,-0.000265,
2.148337,62.352427,15.509105,23.363215,25.119002,17.334556,0.000309,
2.156670,75.634698,13.812569,20.330746,25.598359,17.042430,0.000984,
2.165003,94.445491,9.533655,17.608637,25.599492,18.681673,0.000561,
2.173337,114.120062,5.073228,14.961795,25.699918,20.930414,-0.000095,
2.181670,129.775528,3.399584,11.500478,26.557920,21.638624,0.000140,
2.190003,142.564829,4.041871,7.841323,28.353740,21.246192,0.000748,
2.198337,154.271593,6.169376,4.759052,31.217603,20.464463,0.001040,
2.206670,166.174965,8.968238,2.936161,35.139387,19.966012,0.000494,
2.215003,175.868935,11.763506,2.381335,39.095062,20.123141,-0.000185,
2.223337,181.435567,14.652393,3.187777,42.759310,20.494694,-0.000216,
2.231670,184.113804,18.688982,5.875842,47.383578,19.779356,0.000440,
2.240003,186.220000,23.640000,8.640000,52.570000,18.880000,0.001000,
2.248337,189.624177,28.262212,8.721908,56.697713,19.700012,0.000500,
