time(sec),semimem,bifem,vasmed,vaslat,rf,medgas,latgas,tfl,tibant,peronl,soleus,addmagnus,gmax,gmed, sartorius
3.316667,0.000107,0.001552,-0.000040,-0.001520,0.001291,-0.005636,-0.004563,0.001709,0.001540,-0.000876,-0.002958,0.000268,0.000442,-0.000069,0.000128,
3.317500,0.003985,0.016624,-0.003986,-0.040725,0.006842,-0.037888,-0.049430,0.028718,-0.009358,-0.003327,-0.056544,0.008483,0.000013,0.001424,0.003762,
3.318333,0.001007,0.026393,-0.000911,-0.137039,0.010306,-0.105159,-0.059225,0.036931,0.011170,-0.004365,-0.112134,0.003708,0.001008,0.004572,-0.001591,
3.319167,0.000636,0.050818,-0.001500,-0.214127,0.006810,-0.077771,-0.100378,0.031260,0.010253,-0.009172,-0.143031,0.013253,0.005697,0.000222,0.002227,
3.320000,0.002873,0.082708,-0.001939,-0.187861,0.004908,-0.116573,-0.133569,-0.000629,0.001857,0.007431,-0.210267,0.018047,0.011777,0.012180,-0.000652,
3.320833,-0.000520,0.098851,-0.000552,-0.163005,0.007045,-0.106076,-0.192571,-0.018120,-0.040024,0.027593,-0.163841,0.001760,-0.002587,-0.033402,0.003353,
3.321667,0.004345,0.116481,-0.003290,-0.130925,0.017498,-0.078498,-0.195793,-0.022713,-0.023899,-0.008046,-0.065688,-0.012258,0.000131,0.011946,-0.000407,
3.322500,-0.000691,0.096071,0.001746,-0.105398,0.009566,-0.041029,-0.149532,-0.005380,-0.056176,-0.088654,-0.058459,-0.020192,-0.008000,-0.003750,0.001190,
3.323333,0.003143,0.011684,-0.002687,-0.078809,0.013154,0.041711,-0.044056,0.023373,-0.045803,-0.066381,0.057913,-0.018987,-0.008219,0.008779,0.001277,
3.324167,-0.001244,-0.031696,0.000957,-0.053888,0.007508,0.065486,0.034545,0.041443,-0.022115,0.009023,0.185492,-0.007875,-0.008920,-0.000971,-0.001825,
3.325000,0.002627,-0.066558,-0.001056,-0.026471,0.008646,0.073154,0.127294,0.023521,-0.003906,0.043555,0.208948,-0.002263,-0.005984,0.003014,0.003175,
3.325833,0.002549,-0.108451,-0.000180,-0.003347,0.010151,0.024716,0.140634,0.002734,-0.013622,0.027898,0.089248,-0.000467,-0.011158,0.002427,-0.000053,
3.326667,0.001420,-0.144228,0.000685,0.009030,0.009117,0.001635,0.074092,-0.004574,-0.014647,0.046725,-0.102018,0.001794,-0.018942,-0.005779,0.003292,
3.327500,0.001222,-0.094366,0.000012,0.025292,0.012708,0.079268,0.056742,-0.038827,0.007668,0.064013,-0.093220,-0.013023,-0.013461,0.009219,-0.002204,
3.328333,-0.004150,-0.010560,0.002074,0.067121,0.002301,0.114615,0.089030,-0.075447,0.000391,0.045112,0.044252,-0.015763,-0.011030,-0.003692,-0.000825,
3.329167,-0.000964,0.007740,-0.001521,0.094577,-0.005177,0.087209,0.103959,-0.044234,0.018626,0.016557,0.178580,0.002277,-0.002789,0.008591,-0.002950,
3.330000,-0.003719,0.030765,0.002351,0.134272,-0.015072,0.063859,0.020038,0.029181,0.005641,-0.024717,0.057549,0.003570,-0.000778,-0.007794,-0.001256,
3.330833,0.000097,0.036737,-0.001874,0.125866,-0.013505,0.086658,-0.053184,0.091855,0.003738,-0.045614,-0.057907,0.006737,0.013328,-0.001118,-0.000322,
3.331667,-0.002337,0.035009,0.002283,0.044742,-0.017876,0.042518,-0.045070,0.052082,0.015709,-0.089939,-0.008020,0.009802,0.019402,-0.002966,-0.002439,
