Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.HipFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.HipAbduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.HipExternalRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.KneeFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.AnklePlantarFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftLeg.SubTalarEversion
  2.291666666666667e+00,  1.355574850700505e-01, -1.088400366133180e-01, -7.279027647501954e-03, -1.575801231194996e-01,  2.055824016665858e-02, -1.094043151458230e-01
  2.300000000000000e+00,  1.229678801436821e-01, -1.114937739965238e-01, -1.152350366460938e-02, -1.492788484297115e-01,  1.578284322073819e-02, -1.068442303280657e-01
  2.308333333333333e+00,  1.105861908643362e-01, -1.142562514910501e-01, -1.551903310589886e-02, -1.420216904750458e-01,  1.068744665061629e-02, -1.046180692887195e-01
  2.316666666666666e+00,  9.843051512019245e-02, -1.170470565237662e-01, -1.923605665349956e-02, -1.358779961862717e-01,  5.325870769147306e-03, -1.028220911763174e-01
  2.325000000000000e+00,  8.651401662859257e-02, -1.197787520877140e-01, -2.263827302584804e-02, -1.309069999065239e-01, -2.064061874101613e-04, -1.015597935779994e-01
  2.333333333333333e+00,  7.484649477666894e-02, -1.223670490929780e-01, -2.568016303272084e-02, -1.271610648752282e-01, -5.778295589451351e-03, -1.009473112025788e-01
  2.341666666666666e+00,  6.343758160581571e-02, -1.247384152925664e-01, -2.830120126027452e-02, -1.246910659393248e-01, -1.123422006073017e-02, -1.011182086698795e-01
  2.350000000000000e+00,  5.229988396718550e-02, -1.268345036303096e-01, -3.042102758906384e-02, -1.235510374220424e-01, -1.639921444218718e-02, -1.022159778564516e-01
  2.358333333333333e+00,  4.145245528987123e-02, -1.286137862535663e-01, -3.193787108995646e-02, -1.238023237191570e-01, -2.107709970169869e-02, -1.043784476986137e-01
  2.366666666666667e+00,  3.092561361689259e-02, -1.300511498604784e-01, -3.273062288943194e-02, -1.255186331401204e-01, -2.504789497608630e-02, -1.077225382807583e-01
  2.375000000000000e+00,  2.076689195049125e-02, -1.311359648184358e-01, -3.266424581129319e-02, -1.287919133386307e-01, -2.806860290802458e-02, -1.123323036973894e-01
  2.383333333333333e+00,  1.104705594568578e-02, -1.318680541535824e-01, -3.159566138720743e-02, -1.337377735666623e-01, -2.987845994373057e-02, -1.182508326281959e-01
  2.391666666666667e+00,  1.865813388666857e-03, -1.322510881116039e-01, -2.937632412701175e-02, -1.404989484200352e-01, -3.020649621244849e-02, -1.254794976990748e-01
  2.400000000000000e+00, -6.642504065879021e-03, -1.322844103810930e-01, -2.585008733923001e-02, -1.492460654248116e-01, -2.877911940850994e-02, -1.339878134125531e-01
  2.408333333333333e+00, -1.430466794398619e-02, -1.319548620378357e-01, -2.084865105648398e-02, -1.601755121285883e-01, -2.532957553529079e-02, -1.437230406792426e-01
  2.416666666666667e+00, -2.090924424863989e-02, -1.312292498504297e-01, -1.419116262046326e-02, -1.735029856466778e-01, -1.960995462326404e-02, -1.546018089730161e-01
  2.425000000000000e+00, -2.621446072451552e-02, -1.300482071078235e-01, -5.694824449392156e-03, -1.894507564756866e-01, -1.139942789255137e-02, -1.664897987032563e-01
  2.433333333333333e+00, -2.996197503323409e-02, -1.283238339168324e-01,  4.803207698993209e-03, -2.082293110143331e-01, -5.037233241546757e-04, -1.791944793469259e-01
  2.441666666666666e+00, -3.189400053187093e-02, -1.259433631803915e-01,  1.741840682228642e-02, -2.300175867243353e-01,  1.324774478896333e-02, -1.924708254232564e-01
  2.450000000000000e+00, -3.177207506384135e-02, -1.227784194476709e-01,  3.219204619375404e-02, -2.549462249274666e-01,  2.999673516712684e-02, -2.060143718431854e-01
  2.458333333333333e+00, -2.939675184058106e-02, -1.186973943676219e-01,  4.906840120878666e-02, -2.830840546509383e-01,  4.984607929835683e-02, -2.194350848281561e-01
  2.466666666666666e+00, -2.462773772082184e-02, -1.135788724541049e-01,  6.787850334807542e-02, -3.144248722239217e-01,  7.285857280055426e-02, -2.322313830938195e-01
  2.475000000000000e+00, -1.740227306649941e-02, -1.073255647479638e-01,  8.833528390967255e-02, -3.488743774833813e-01,  9.906493556668115e-02, -2.437894227315568e-01
  2.483333333333333e+00, -7.746513573882092e-03, -9.987823820463237e-02,  1.100472983026046e-01, -3.862422508041066e-01,  1.284598661078870e-01, -2.534303520630667e-01
  2.491666666666667e+00,  4.223344104928715e-03, -9.122725466971193e-02,  1.325420406082753e-01, -4.262419552656238e-01,  1.609939769330917e-01, -2.604623483614625e-01
  2.500000000000000e+00,  1.831524299322834e-02, -8.141755934010231e-02,  1.553153259778553e-01, -4.685045293568139e-01,  1.965124559201827e-01, -2.642846442667631e-01
  2.508333333333333e+00,  3.428068294516365e-02, -7.054608737739421e-02,  1.778637368042423e-01, -5.125933042295278e-01,  2.347138759386070e-01, -2.644338162791940e-01
  2.516666666666667e+00,  5.183877822618400e-02, -5.875605768453318e-02,  1.997149814334094e-01, -5.580214824072296e-01,  2.750976489462673e-01, -2.606371958815254e-01
  2.525000000000000e+00,  7.070021270244529e-02, -4.622548872552690e-02,  2.204588644993295e-01, -6.042691019112665e-01,  3.169314707202968e-01, -2.529134334003968e-01
  2.533333333333333e+00,  9.058827986528158e-02, -3.316511325264360e-02,  2.397536639307581e-01, -6.508057629131966e-01,  3.592655407215726e-01, -2.415289246932813e-01
  2.541666666666667e+00,  1.112550749678385e-01, -1.980797043943139e-02,  2.573417228328377e-01, -6.971120321764153e-01,  4.009739319676930e-01, -2.270269909552986e-01
  2.550000000000000e+00,  1.324920371566892e-01, -6.402151124562439e-03,  2.730538481364302e-01, -7.427017731580150e-01,  4.408044564433318e-01, -2.101776300747740e-01
  2.558333333333333e+00,  1.541345686970433e-01,  6.802049560273637e-03,  2.868036017829623e-01, -7.871346195950439e-01,  4.775176631481883e-01, -1.918904429171280e-01
