Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.HipFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.HipAbduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.HipExternalRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.KneeFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.AnklePlantarFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.SubTalarEversion
  2.291666666666667e+00,  6.381126740425508e-01, -1.277103616881092e-02,  4.383222874663751e-02, -1.685194271634887e-01,  2.333253882779876e-01, -1.370723084613871e-01
  2.300000000000000e+00,  6.373262708550496e-01, -9.722080333718353e-03,  2.402617235235951e-02, -1.273893487250915e-01,  2.353406187221102e-01, -1.232864512627109e-01
  2.308333333333333e+00,  6.372915142194696e-01, -6.354094513116415e-03,  5.440531965278379e-03, -9.091681264463983e-02,  2.369151718271769e-01, -1.098919937721041e-01
  2.316666666666666e+00,  6.381568395640260e-01, -2.998083346426483e-03, -1.127778894534284e-02, -5.974924244694264e-02,  2.379606271319841e-01, -9.761414859073003e-02
  2.325000000000000e+00,  6.399356795997519e-01,  1.628261996744484e-05, -2.571298203574989e-02, -3.428331402270565e-02,  2.384647674348888e-01, -8.698757001558274e-02
  2.333333333333333e+00,  6.425254114402283e-01,  2.410405268064686e-03, -3.769580472361225e-02, -1.467273411935743e-02,  2.384914157366636e-01, -7.828993892994597e-02
  2.341666666666666e+00,  6.457425751713569e-01,  3.986734624588983e-03, -4.725534894629545e-02, -8.640389172903555e-04,  2.381744822324627e-01, -7.155910718279372e-02
  2.350000000000000e+00,  6.493579058042511e-01,  4.637602216407632e-03, -5.454596064407011e-02,  7.363645977055214e-03,  2.377101479136040e-01, -6.665750100205765e-02
  2.358333333333333e+00,  6.531234456753119e-01,  4.339273155008039e-03, -5.978117532776121e-02,  1.036684239559036e-02,  2.373491816691370e-01, -6.334141648136597e-02
  2.366666666666667e+00,  6.567913127372599e-01,  3.138901891329260e-03, -6.318836058197579e-02,  8.614662856453816e-03,  2.373890354660602e-01, -6.131499444066852e-02
  2.375000000000000e+00,  6.601258069449983e-01,  1.139520023730967e-03, -6.498638863988419e-02,  2.670693575992078e-03,  2.381623953413149e-01, -6.026842397061508e-02
  2.383333333333333e+00,  6.629110847113174e-01, -1.516011813695206e-03, -6.538366345152760e-02, -6.825475194368964e-03,  2.400182355386839e-01, -5.990226656394584e-02
  2.391666666666667e+00,  6.649580071367326e-01, -4.663575280583698e-03, -6.458879119882539e-02, -1.918295405309960e-02,  2.432926408504155e-01, -5.993966151649487e-02
  2.400000000000000e+00,  6.661139759021547e-01, -8.139151596630700e-03, -6.282072219297005e-02, -3.369562561603285e-02,  2.482662655288299e-01, -6.013366097903373e-02
  2.408333333333333e+00,  6.662766146427437e-01, -1.180067070652258e-02, -6.030517605237253e-02, -4.969174755807689e-02,  2.551075246178017e-01, -6.027941104187257e-02
  2.416666666666667e+00,  6.654079931986098e-01, -1.554718101785846e-02, -5.725492678077678e-02, -6.659184728937251e-02,  2.638111652517889e-01, -6.023554459538817e-02
  2.425000000000000e+00,  6.635444996595976e-01, -1.933202236919285e-02, -5.384453834039568e-02, -8.396059116198405e-02,  2.741523566907895e-01, -5.994615579097686e-02
  2.433333333333333e+00,  6.607986175347847e-01, -2.316651596625929e-02, -5.019258748131006e-02, -1.015363921048038e-01,  2.856737472004566e-01, -5.944606013911254e-02
  2.441666666666666e+00,  6.573500435958178e-01, -2.711297629435405e-02, -4.635917449741732e-02, -1.192298152513935e-01,  2.977113543665353e-01, -5.884480320800933e-02
  2.450000000000000e+00,  6.534248033542753e-01, -3.126950715838528e-02, -4.236030761453831e-02, -1.370910016934746e-01,  3.094572216421534e-01, -5.830166380337173e-02
  2.458333333333333e+00,  6.492640143071219e-01, -3.574997724534223e-02, -3.819277554321888e-02, -1.552532268859644e-01,  3.200509345170044e-01, -5.799931272297854e-02
  2.466666666666666e+00,  6.450873529068822e-01, -4.066144819393491e-02, -3.385759072283691e-02, -1.738649478035006e-01,  3.286838862464765e-01, -5.811402130365106e-02
  2.475000000000000e+00,  6.410580032136206e-01, -4.608170297720071e-02, -2.937363252985137e-02, -1.930247828574715e-01,  3.346962095576705e-01, -5.878302353733036e-02
  2.483333333333333e+00,  6.372569471845737e-01, -5.204066962701948e-02, -2.477790095758534e-02, -2.127333796359387e-01,  3.376440353143919e-01, -6.008475064943557e-02
  2.491666666666667e+00,  6.336682878032833e-01, -5.851269475302967e-02, -2.014050757665774e-02, -2.328628067949057e-01,  3.373487649934960e-01, -6.198158325152221e-02
  2.500000000000000e+00,  6.301913403922988e-01, -6.541663188962010e-02, -1.553494241501741e-02, -2.531712544831234e-01,  3.338522795016921e-01, -6.439034641935844e-02
  2.508333333333333e+00,  6.266616910342419e-01, -7.263146647165786e-02, -1.104734032111825e-02, -2.733303865246651e-01,  3.273814698610712e-01, -6.716978917437234e-02
