Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisPosX,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisPosY,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisPosZ,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisRotVec[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisRotVec[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisRotVec[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.SacrumPelvis[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.SacrumPelvis[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.SacrumPelvis[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L5Sacrum[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L5Sacrum[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L5Sacrum[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L4L5[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L4L5[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L4L5[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L3L4[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L3L4[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L3L4[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L2L3[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L2L3[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L2L3[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L1L2[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L1L2[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L1L2[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T12L1[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T12L1[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T12L1[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T1C7[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T1C7[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T1C7[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C7C6[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C7C6[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C7C6[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C6C5[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C6C5[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C6C5[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C5C4[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C5C4[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C5C4[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C4C3[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C4C3[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C4C3[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C3C2[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C3C2[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C3C2[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C2C1,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C1C0
  2.291666666666667e+00,  3.222702310268939e-02,  1.624397818231283e-01,  9.735343731419305e-01,  1.068631600214112e-02,  2.121717388492893e+00,  2.094287808921662e+00, -4.680924180880299e-04,  1.095477903436067e-15,  6.341414375144968e-04, -1.499846917865142e-03,  1.343609829820569e-03,  2.031895932925096e-03, -2.648560753807448e-03,  2.961542887478818e-03,  3.588099398456758e-03, -3.810764100644559e-03,  4.640871047129069e-03,  5.162577583902730e-03, -4.915770919963957e-03,  6.297527162395238e-03,  6.659569600406319e-03, -6.015632133500172e-03,  7.812675873411227e-03,  8.149590681849610e-03, -6.587640228348168e-03,  9.454563959788428e-03,  8.924510380450232e-03,  4.440892098500626e-16, -5.233660727022027e-15, -3.066991105526995e-15,  0.000000000000000e+00,  4.638650574761982e-15,  5.315192730392937e-15,  0.000000000000000e+00, -4.046242507715903e-15, -4.787836793695988e-15, -1.110223024625157e-16, -1.908195823574488e-17,  1.665334536937735e-16, -1.110223024625157e-16,  5.535502611841991e-15,  3.150257832373882e-15,  1.110223024625157e-16, -1.359155843427829e-15,  1.415534356397075e-15, -1.929879867024198e-15,  3.427813588530171e-15
  2.300000000000000e+00,  2.418618498661267e-02,  1.625233525182405e-01,  9.720746402991518e-01,  8.035295849049386e-03,  2.124657177447563e+00,  2.092062954410675e+00, -5.150787702096613e-04,  1.733422480457350e-15,  6.218050069768480e-04, -1.650399100913525e-03,  1.291681785827866e-03,  1.992367932454787e-03, -2.914418954848869e-03,  2.847084712250149e-03,  3.518297401017555e-03, -4.193282374743579e-03,  4.461509933098503e-03,  5.062146077609466e-03, -5.409207973139128e-03,  6.054139342307437e-03,  6.530015982020364e-03, -6.619471458251614e-03,  7.510730347686530e-03,  7.991050562215343e-03, -7.248896791067911e-03,  9.089162485096216e-03,  8.750895164828545e-03, -6.661338147750939e-16,  4.068793912903601e-15,  4.579669976578771e-15,  3.330669073875470e-16, -3.210973154033070e-15, -8.326672684688674e-16,  0.000000000000000e+00,  6.163472510145596e-15,  3.899658373995862e-15, -5.551115123125783e-16, -1.370084601326482e-14, -1.147693051706256e-14,  3.330669073875470e-16,  4.737529812892660e-15,  4.454769886308441e-15, -1.110223024625157e-16,  3.851086116668512e-16, -2.289834988289385e-15,  1.635844237846129e-15, -6.245004513516506e-16
  2.308333333333333e+00,  1.606187623188587e-02,  1.626221625987393e-01,  9.705096364048966e-01,  5.521772905353192e-03,  2.127793087762084e+00,  2.089890986285209e+00, -5.603597716727532e-04, -3.592178739948895e-15,  6.065844116668641e-04, -1.795487053331359e-03,  1.243442663525156e-03,  1.943598582495675e-03, -3.170627939943226e-03,  2.740757543166424e-03,  3.432176221077279e-03, -4.561917302696982e-03,  4.294890471802802e-03,  4.938234439808883e-03, -5.884735927916268e-03,  5.828041574744914e-03,  6.370173701134609e-03, -7.201394678781530e-03,  7.230234761378400e-03,  7.795444953891363e-03, -7.886153314123588e-03,  8.749718803549718e-03,  8.536690016352964e-03, -4.440892098500626e-16,  4.511148399277687e-15,  4.787836793695988e-15,  5.551115123125783e-16, -1.460203485903477e-15, -1.720845688168993e-15, -4.440892098500627e-16,  2.524022657546255e-16,  3.747002708109904e-16,  2.220446049250313e-16, -4.306451029112424e-16, -4.163336342344337e-16, -2.220446049250313e-16,  3.930016034825456e-15,  4.093947403305264e-15, -3.330669073875470e-16, -2.844079138863975e-15, -2.942091015256665e-15,  7.186091999233923e-16,  3.441691376337985e-15
  2.316666666666666e+00,  7.848754069088984e-03,  1.627445686182190e-01,  9.688562297095513e-01,  3.180272780467658e-03,  2.131029317287922e+00,  2.087846555247646e+00, -6.022974563949854e-04, -8.894794885955171e-16,  5.886879889770723e-04, -1.929862456013384e-03,  1.199217496339356e-03,  1.886255431048474e-03, -3.407919768583552e-03,  2.643277808773613e-03,  3.330914673236719e-03, -4.903334119607826e-03,  4.142135339020496e-03,  4.792538755566404e-03, -6.325153339183644e-03,  5.620757298132092e-03,  6.182230656429831e-03, -7.740351675458151e-03,  6.973079083426216e-03,  7.565451278952866e-03, -8.476358086267179e-03,  8.438520074179870e-03,  8.284826945004365e-03, -6.661338147750938e-16,  3.711224036417881e-15,  1.137978600240785e-15,  2.220446049250312e-16, -1.195224474948019e-15,  1.540434446667404e-15,  2.220446049250313e-16, -3.320477573454105e-15, -3.413935800722356e-15,  0.000000000000000e+00,  4.504209505373779e-15,  1.845745778439322e-15,  0.000000000000000e+00, -4.471032918895722e-15, -1.817990202823693e-15, -2.220446049250313e-16,  4.614798126967300e-15,  1.984523656517467e-15, -2.670389950831797e-15, -8.326672684688674e-16
  2.325000000000000e+00, -4.611963674019393e-04,  1.628982401971498e-01,  9.671332068668953e-01,  1.036841900058699e-03,  2.134270678021646e+00,  2.086015480111721e+00, -6.390958724868101e-04, -2.081668234622220e-17,  5.684063086613452e-04, -2.047770776731477e-03,  1.159080154261871e-03,  1.821269512594558e-03, -3.616132584891939e-03,  2.554808331034756e-03,  3.216156859558791e-03, -5.202911890116990e-03,  4.003499684089785e-03,  4.627424568162314e-03, -6.711599640671070e-03,  5.432632742682807e-03,  5.969238327465269e-03, -8.213261993483616e-03,  6.739692845043977e-03,  7.304803759129066e-03, -8.994236002717326e-03,  8.156086097162292e-03,  7.999395248240683e-03,  0.000000000000000e+00,  3.363195139050035e-15,  3.441691376337985e-15, -3.330669073875470e-16, -2.367463863839347e-15, -2.400857290751901e-15,  3.330669073875469e-16,  3.338150068865619e-15,  3.358424649491098e-15,  0.000000000000000e+00, -1.888680184469748e-15, -1.915134717478395e-15, -1.110223024625157e-16, -4.972151163018523e-16, -5.273559366969494e-16,  1.110223024625157e-16, -3.561604136614882e-15, -8.465450562766819e-16,  2.501471252358555e-15,  3.455569164145799e-15
  2.333333333333333e+00, -8.879132824782185e-03,  1.630890799445066e-01,  9.653603635742782e-01, -8.917837477605234e-04,  2.137434132125246e+00,  2.084485340436486e+00, -6.689949443210868e-04, -4.131081456086632e-15,  5.461208564523071e-04, -2.143572436841908e-03,  1.122800497456161e-03,  1.749863171644008e-03, -3.785307528079631e-03,  2.474841842839046e-03,  3.090061302750777e-03, -5.446321749339246e-03,  3.878188596629817e-03,  4.445997572225475e-03, -7.025591028223803e-03,  5.262589238122417e-03,  5.735202966788399e-03, -8.597506237439958e-03,  6.528737854124174e-03,  7.018405011327656e-03, -9.415016858797979e-03,  7.900797450001225e-03,  7.685763717823631e-03,  1.110223024625157e-16,  1.579248884442386e-15, -1.137978600240785e-15, -1.110223024625157e-16, -3.343137398859053e-15, -3.316791286067655e-15, -3.330669073875471e-16, -3.762181538524701e-16, -3.469446951953615e-16,  5.551115123125784e-16,  8.384135399830408e-16,  7.910339050454242e-16, -2.220446049250313e-16, -1.187743479957870e-15,  1.582067810090848e-15, -1.110223024625157e-16, -1.613401252875679e-15, -4.371503159461554e-15,  5.316276932565422e-15, -1.318389841742373e-15
  2.341666666666666e+00, -1.741937260706239e-02,  1.633204376238515e-01,  9.635577572290979e-01, -2.598745763417359e-03,  2.140456796398701e+00,  2.083337621015316e+00, -6.904184498810832e-04, -2.004256198646782e-15,  5.223105744054622e-04, -2.212216955620824e-03,  1.089845192581426e-03,  1.673571019140927e-03, -3.906526017938098e-03,  2.402202787526275e-03,  2.955337952968265e-03, -5.620731593938924e-03,  3.764359926393995e-03,  4.252156859245616e-03, -7.250574475007373e-03,  5.108127040121493e-03,  5.485154285012285e-03, -8.872827783949938e-03,  6.337112942202303e-03,  6.712410100335658e-03, -9.716517890655071e-03,  7.668901232196855e-03,  7.350672684902873e-03,  0.000000000000000e+00,  4.250072516143177e-17, -1.387778780781446e-17,  0.000000000000000e+00,  1.152290068917594e-15,  1.151856388048600e-15, -4.440892098500626e-16,  1.071191746415678e-16, -2.525757381022231e-15,  5.551115123125783e-16, -1.698294282981294e-15,  9.020562075079397e-16,  1.110223024625157e-16,  1.892583312290697e-15,  1.915134717478395e-15, -6.661338147750939e-16,  4.325966668217163e-16, -2.303712776097200e-15, -5.499073418846478e-16,  6.938893903907228e-17
  2.350000000000000e+00, -2.609892070501482e-02,  1.635927841092045e-01,  9.617452529249587e-01, -4.086045257382313e-03,  2.143299494812146e+00,  2.082642328947167e+00, -7.020598558178153e-04, -1.509209470661070e-16,  4.975398729516096e-04, -2.249517980244510e-03,  1.059444283714537e-03,  1.594201521155380e-03, -3.972395426821193e-03,  2.335194052249058e-03,  2.815180357624916e-03, -5.715504869705582e-03,  3.659354221165033e-03,  4.050497323205126e-03, -7.372829146430988e-03,  4.965637349246993e-03,  5.225019556961598e-03, -9.022435880394504e-03,  6.160341053584068e-03,  6.394072477488984e-03, -9.880351764261584e-03,  7.454979503684024e-03,  7.002065309337622e-03,  1.110223024625156e-16,  4.787836793695987e-16,  3.150257832373881e-15, -2.220446049250313e-16,  4.659033575604710e-15,  1.762479051592436e-15,  0.000000000000000e+00, -4.067926551165613e-16, -1.665334536937735e-16,  3.330669073875470e-16, -3.541004295337657e-15, -3.580469254416130e-15, -1.110223024625157e-16, -2.762547135493065e-16,  2.470246229790973e-15,  1.110223024625157e-16,  2.635044960008770e-15,  2.539635168830046e-15, -1.647553621308973e-15,  1.817990202823694e-15
  2.358333333333333e+00, -3.493650646402353e-02,  1.639037932106625e-01,  9.599423337534678e-01, -5.362383388883961e-03,  2.145946641248635e+00,  2.082454760625656e+00, -7.029162196805095e-04, -8.899131697724991e-16,  4.724245827290570e-04, -2.252261914243068e-03,  1.030701966512871e-03,  1.513727902761135e-03, -3.977240905257552e-03,  2.271841132960671e-03,  2.673073009949686e-03, -5.722476571316812e-03,  3.560077344198282e-03,  3.846032472558152e-03, -7.381822431541838e-03,  4.830921511871958e-03,  4.961266057556553e-03, -9.033441335240693e-03,  5.993213362781536e-03,  6.071306414513904e-03, -9.892403694210848e-03,  7.252728768108275e-03,  6.648608406780911e-03,  1.110223024625157e-16,  1.526122977990596e-15,  1.720845688168993e-15, -4.440892098500627e-16, -2.395653120323971e-15, -5.065392549852278e-15,  0.000000000000000e+00,  2.165368578888049e-15,  2.067790383364354e-15,  2.220446049250313e-16, -4.025859506873175e-15, -1.137978600240785e-15, -3.330669073875470e-16, -1.027823659516258e-16, -2.969846590872294e-15,  1.110223024625157e-16, -1.441988889405721e-15,  1.595945597898663e-15,  2.052611552949557e-15, -1.054711873393899e-15
  2.366666666666667e+00, -4.395111868282100e-02,  1.642486783251585e-01,  9.581680686345373e-01, -6.441541942692933e-03,  2.148403813255316e+00,  2.082813997884140e+00, -6.922897618062774e-04,  7.615436275179689e-16,  4.475798846740628e-04, -2.218212954090404e-03,  1.002702199830960e-03,  1.434121307209889e-03, -3.917114276004601e-03,  2.210124920402971e-03,  2.532496727000527e-03, -5.635966039164031e-03,  3.463365260373509e-03,  3.643770526449463e-03, -7.270226450526789e-03,  4.699686024246827e-03,  4.700354238647714e-03, -8.896876718969432e-03,  5.830403373813860e-03,  5.752017833465149e-03, -9.742853565487465e-03,  7.055703129399187e-03,  6.298959649292840e-03, -1.110223024625157e-16, -9.861902960928148e-16, -8.465450562766819e-16,  2.220446049250314e-16, -7.138387103644563e-15, -7.160938508832261e-15, -1.110223024625157e-16,  6.315260814293566e-15,  6.397660179402465e-15, -2.220446049250313e-16, -5.138250935843302e-15, -5.204170427930420e-15, -1.110223024625157e-16, -1.939420846142070e-15,  8.187894806610529e-16,  2.220446049250313e-16, -1.929879867024198e-15, -4.315992008230296e-15,  4.852021562307129e-15,  5.953570969552400e-15
