---- AnyBody Output File ---------------------------------
Study: Main.Studies.MotionOptimization
Operation: Main.Studies.MotionOptimization.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.UpdData = 1743
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.FileName = "..\Trials\jw_2legsquat1\FullBody-jw_2legsquat1-euler-rightlegtd.txt"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.NumberFormat.Digits = 15
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.NumberFormat.Width = 23
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.NumberFormat.Style = ScientificNumber
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.NumberFormat.FormatStr = "%23.15e"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Values = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Search = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Format = 0
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.SepSign = " "
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.SepSpaceAutoOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.LineSepSign = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.TitleSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.ConstSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.ConstSectionSaveOptionsOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.VarSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.ColumnNamesOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.LinePrefix = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.ShortenNamesOnOff = Off
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.ColumnIDString = "col"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.ConstSectionSaveOptionsOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.SuppressTimeColumnOnOff = Off
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.MotionOptimization.t
col1  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipFlexion
col2  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipAbduction
col3  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipExternalRotation
col4  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.KneeFlexion
col5  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.AnklePlantarFlexion
col6  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.SubTalarEversion
----------------------------------------------------------
Main.Studies.MotionOptimization.t Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipAbduction Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipExternalRotation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.KneeFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.AnklePlantarFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.SubTalarEversion
1.091666666666667e+000 -1.188638244587950e-001 7.041815430228526e-003 4.596326111116840e-001 1.965174750099790e-001 -1.227140008240713e-001 -2.485936144153229e-002
1.100000000000000e+000 -1.187546032538252e-001 7.100129548339940e-003 4.595515393615216e-001 1.964831523017918e-001 -1.227683817238088e-001 -2.488371316357131e-002
1.108333333333333e+000 -1.187161227042053e-001 7.139324790453872e-003 4.594449746194685e-001 1.964148023086534e-001 -1.228392198335426e-001 -2.494296520767448e-002
1.116666666666667e+000 -1.187424307078293e-001 7.162696327960294e-003 4.593117585240389e-001 1.963145390781890e-001 -1.229242542334239e-001 -2.502347004749869e-002
1.125000000000000e+000 -1.188176126464544e-001 7.176904248042293e-003 4.591523415714154e-001 1.961888526796069e-001 -1.230202403567835e-001 -2.510559992257812e-002
1.133333333333333e+000 -1.189192260930859e-001 7.190055397781725e-003 4.589683313351395e-001 1.960471167311189e-001 -1.231234940022459e-001 -2.516568305932626e-002
1.141666666666667e+000 -1.190222940758457e-001 7.210532865383534e-003 4.587618368067474e-001 1.959001780615364e-001 -1.232307610787735e-001 -2.517983281941355e-002
1.150000000000000e+000 -1.191035433233108e-001 7.245784623219453e-003 4.585350348415461e-001 1.957589167660990e-001 -1.233393877735611e-001 -2.512881293221010e-002
1.158333333333333e+000 -1.191453190117952e-001 7.301146011260862e-003 4.582899743094329e-001 1.956323755353355e-001 -1.234471893985611e-001 -2.500202127386714e-002
1.166666666666667e+000 -1.191390637369793e-001 7.378614747606704e-003 4.580282654196471e-001 1.955251539926302e-001 -1.235525302780119e-001 -2.479917271984752e-002
1.175000000000000e+000 -1.190870312458099e-001 7.476240197919370e-003 4.577510969982093e-001 1.954362049640346e-001 -1.236548093659698e-001 -2.453046710205425e-002
1.183333333333333e+000 -1.190008304319225e-001 7.588991701534376e-003 4.574604681296798e-001 1.953610982937629e-001 -1.237553414626129e-001 -2.421666904226236e-002
1.191666666666667e+000 -1.188977915444907e-001 7.710548494251901e-003 4.571609813641668e-001 1.952956826104467e-001 -1.238579230610606e-001 -2.388851652004093e-002
1.200000000000000e+000 -1.187971676522842e-001 7.834570795358431e-003 4.568600185435947e-001 1.952377141260113e-001 -1.239683088448919e-001 -2.358272787594323e-002
1.208333333333333e+000 -1.187169047657351e-001 7.955013823857993e-003 4.565655725752724e-001 1.951859020155300e-001 -1.240925610249225e-001 -2.333351276842969e-002
1.216666666666667e+000 -1.186707162036855e-001 8.066420800439733e-003 4.562837486813006e-001 1.951383639690428e-001 -1.242350077180877e-001 -2.316348004331010e-002
1.225000000000000e+000 -1.186653068795406e-001 8.165000140642809e-003 4.560178851318921e-001 1.950925043774921e-001 -1.243970426824371e-001 -2.307911000197702e-002
1.233333333333333e+000 -1.186981461628222e-001 8.249947932612134e-003 4.557693342848153e-001 1.950467233093126e-001 -1.245773827663006e-001 -2.307205475713878e-002
1.241666666666667e+000 -1.187569167668081e-001 8.323728973385070e-003 4.555386795708502e-001 1.950023304402335e-001 -1.247730012045148e-001 -2.312342887984949e-002
1.250000000000000e+000 -1.188218201877825e-001 8.390863272344173e-003 4.553258827612737e-001 1.949632607263691e-001 -1.249795923661266e-001 -2.320741510626007e-002
1.258333333333333e+000 -1.188700879022851e-001 8.456266994501416e-003 4.551296126181305e-001 1.949337657016085e-001 -1.251918009831358e-001 -2.329412702961164e-002
1.266666666666667e+000 -1.188809135136990e-001 8.524014323352702e-003 4.549471424047661e-001 1.949159908054151e-001 -1.254038246609237e-001 -2.335338533053258e-002
1.275000000000000e+000 -1.188396485138603e-001 8.596345350432300e-003 4.547749407867932e-001 1.949083777866123e-001 -1.256099447421641e-001 -2.335883743726371e-002
1.283333333333333e+000 -1.187399816061752e-001 8.673307649339934e-003 4.546098539076033e-001 1.949062231469053e-001 -1.258051145134113e-001 -2.329219174255258e-002
1.291666666666667e+000 -1.185834277879885e-001 8.753683640265297e-003 4.544510694532026e-001 1.949049192628715e-001 -1.259863953136950e-001 -2.314797553171777e-002
1.300000000000000e+000 -1.183775254466210e-001 8.836418802366186e-003 4.543018756628974e-001 1.949031678551019e-001 -1.261545509513114e-001 -2.293678426149046e-002
1.308333333333333e+000 -1.181345919545282e-001 8.921065427109021e-003 4.541693715203303e-001 1.949029082650589e-001 -1.263140134336048e-001 -2.268369618185468e-002
1.316666666666667e+000 -1.178709848232570e-001 9.007020207822292e-003 4.540616024498982e-001 1.949063028408253e-001 -1.264708896289754e-001 -2.242141365950953e-002
1.325000000000000e+000 -1.176051505739388e-001 9.092773240850560e-003 4.539840537041676e-001 1.949133695467292e-001 -1.266305997530266e-001 -2.218162848134271e-002
1.333333333333333e+000 -1.173536707015609e-001 9.176153263146025e-003 4.539378364205643e-001 1.949223857371336e-001 -1.267964181324882e-001 -2.198805710274452e-002
1.341666666666667e+000 -1.171263088681344e-001 9.255563659929411e-003 4.539204159114145e-001 1.949326275811525e-001 -1.269692429777769e-001 -2.185316526651780e-002
1.350000000000000e+000 -1.169245858027884e-001 9.327012566751947e-003 4.539254010496200e-001 1.949462507514412e-001 -1.271465435806229e-001 -2.177703532275012e-002
1.358333333333333e+000 -1.167287834293087e-001 9.403624925121479e-003 4.539559354658039e-001 1.949789367489702e-001 -1.273321451583005e-001 -2.176056360061945e-002
1.366666666666667e+000 -1.165210120756349e-001 9.486591919451559e-003 4.540076158421835e-001 1.950442084897597e-001 -1.275236105640172e-001 -2.179128416304163e-002
1.375000000000000e+000 -1.162769458507300e-001 9.581996165746620e-003 4.540776584238582e-001 1.951585949455376e-001 -1.277207910858030e-001 -2.185358316002502e-002
1.383333333333333e+000 -1.159745829096883e-001 9.694337675509868e-003 4.541619535189300e-001 1.953365310702195e-001 -1.279237083260491e-001 -2.192968181340252e-002
1.391666666666667e+000 -1.155984818227386e-001 9.825021762365660e-003 4.542556410182437e-001 1.955885440958234e-001 -1.281319233421978e-001 -2.200407845926494e-002
1.400000000000000e+000 -1.151423137538590e-001 9.971778187587210e-003 4.543538903417478e-001 1.959199150230269e-001 -1.283436587692644e-001 -2.206663528727303e-002
1.408333333333333e+000 -1.146096133039344e-001 1.012890939251099e-002 4.544519520406111e-001 1.963301619320047e-001 -1.285558642299490e-001 -2.211293887038399e-002
1.416666666666667e+000 -1.140120267977164e-001 1.028834143186330e-002 4.545449421122744e-001 1.968145441326595e-001 -1.287656209565687e-001 -2.214296894218102e-002
1.425000000000000e+000 -1.133651076040796e-001 1.044136592961809e-002 4.546287616281168e-001 1.973677833084984e-001 -1.289720066506865e-001 -2.216058664961093e-002
1.433333333333333e+000 -1.126834384678916e-001 1.058039626705898e-002 4.547017818590886e-001 1.979877558185552e-001 -1.291771045033668e-001 -2.217370137437496e-002
1.441666666666666e+000 -1.119766483533238e-001 1.070016810575769e-002 4.547656955129861e-001 1.986772688914576e-001 -1.293855866048723e-001 -2.219293607609886e-002
1.450000000000000e+000 -1.112468885447882e-001 1.079829656492670e-002 4.548244747912553e-001 1.994436102918509e-001 -1.296032101203983e-001 -2.222770284029199e-002
1.458333333333333e+000 -1.104883701403490e-001 1.087504401936568e-002 4.548814498231201e-001 2.002956831341193e-001 -1.298346670187007e-001 -2.228031491903886e-002
1.466666666666667e+000 -1.096886859350624e-001 1.093239675626334e-002 4.549365879424304e-001 2.012402576483569e-001 -1.300815976595882e-001 -2.234124621235517e-002
1.475000000000000e+000 -1.088305408968163e-001 1.097299255963447e-002 4.549861855375006e-001 2.022804961106070e-001 -1.303420879266192e-001 -2.238909198568376e-002
1.483333333333333e+000 -1.078929221855884e-001 1.099956474856545e-002 4.550250055367294e-001 2.034183336736176e-001 -1.306123860234666e-001 -2.239622669602755e-002
1.491666666666667e+000 -1.068522651856481e-001 1.101509700268899e-002 4.550492356677543e-001 2.046584240830174e-001 -1.308896586676049e-001 -2.233756808578249e-002
1.500000000000000e+000 -1.056849762181150e-001 1.102294951864913e-002 4.550580341845269e-001 2.060093896051079e-001 -1.311735034153392e-001 -2.219717975549814e-002
1.508333333333333e+000 -1.043489414453299e-001 1.101947331077136e-002 4.550506651206431e-001 2.074865638101636e-001 -1.314644438564359e-001 -2.196062584652287e-002
1.516666666666667e+000 -1.028695399628121e-001 1.101917994597290e-002 4.550325706289186e-001 2.090898798115801e-001 -1.317682601754530e-001 -2.164600767162368e-002
1.525000000000000e+000 -1.012272535901127e-001 1.101549895093390e-002 4.550017610689042e-001 2.108269532044273e-001 -1.320877300370448e-001 -2.125157068931662e-002
1.533333333333333e+000 -9.941696632548856e-002 1.100373565954693e-002 4.549546330455307e-001 2.127007765011967e-001 -1.324279620687282e-001 -2.078155543171388e-002
1.541666666666667e+000 -9.746588497217856e-002 1.098357505317882e-002 4.548906058650047e-001 2.147100635848615e-001 -1.327974789628455e-001 -2.025164216957691e-002
1.550000000000000e+000 -9.537369220787385e-002 1.095091756623390e-002 4.548081823720681e-001 2.168645049985249e-001 -1.332066044381133e-001 -1.967101542103260e-002
1.558333333333333e+000 -9.314308068243785e-002 1.090542484881785e-002 4.547093146798337e-001 2.191780633337753e-001 -1.336665939220348e-001 -1.904975741087981e-002
1.566666666666666e+000 -9.076950672862461e-002 1.084908035157639e-002 4.545973077857751e-001 2.216682474021174e-001 -1.341867957891778e-001 -1.839225346305275e-002
1.575000000000000e+000 -8.824147389291752e-002 1.078539292077463e-002 4.544745337741638e-001 2.243522272394003e-001 -1.347726465902788e-001 -1.769393316864702e-002
1.583333333333333e+000 -8.554205014297965e-002 1.071838768007094e-002 4.543409097054169e-001 2.272440620336144e-001 -1.354251142361680e-001 -1.694043570255928e-002
1.591666666666667e+000 -8.265035222244603e-002 1.065199519576909e-002 4.541944578970997e-001 2.303547164664471e-001 -1.361417361757843e-001 -1.611027975917118e-002
1.600000000000000e+000 -7.954364234097727e-002 1.058963512505429e-002 4.540327171184641e-001 2.336928094869274e-001 -1.369181778125892e-001 -1.517910200038700e-002
1.608333333333333e+000 -7.620057553933241e-002 1.053372933710017e-002 4.538535881785968e-001 2.372642565324940e-001 -1.377495143070220e-001 -1.412390003566055e-002
1.616666666666667e+000 -7.260459914349399e-002 1.048532424909521e-002 4.536556312221652e-001 2.410716748377907e-001 -1.386311049935197e-001 -1.292740329716312e-002
1.625000000000000e+000 -6.874648836899480e-002 1.044391804340550e-002 4.534379559101583e-001 2.451142479774905e-001 -1.395587572256670e-001 -1.158164171508262e-002
1.633333333333333e+000 -6.462568000828302e-002 1.040747256677954e-002 4.531999396168578e-001 2.493878677327129e-001 -1.405284409506989e-001 -1.008924482160364e-002
1.641666666666667e+000 -6.025043280771017e-002 1.037249694108366e-002 4.529410218469360e-001 2.538852574512355e-001 -1.415364335069722e-001 -8.461695364650957e-003
1.650000000000000e+000 -5.563687582503815e-002 1.033400410023044e-002 4.526601572096669e-001 2.585958081730791e-001 -1.425801283087221e-001 -6.715093299063315e-003
1.658333333333333e+000 -5.080635234302295e-002 1.028562857697213e-002 4.523551403346849e-001 2.635061821807015e-001 -1.436589880308422e-001 -4.866081550553171e-003
1.666666666666667e+000 -4.578086297970568e-002 1.022021350430657e-002 4.520225875177379e-001 2.686026961913223e-001 -1.447747578995416e-001 -2.929410833031377e-003
1.675000000000000e+000 -4.057812064421760e-002 1.013039863386700e-002 4.516581596644163e-001 2.738742255500001e-001 -1.459303843749421e-001 -9.153843803336372e-004
1.683333333333333e+000 -3.520783321653711e-002 1.000884781014078e-002 4.512564367055877e-001 2.793143782113686e-001 -1.471283747303195e-001 1.173471150658723e-003
1.691666666666666e+000 -2.966971528573733e-002 9.848441001304664e-003 4.508106597333837e-001 2.849229533877949e-001 -1.483698079569384e-001 3.344728907120832e-003
1.700000000000000e+000 -2.395310474748925e-002 9.642839768606137e-003 4.503124806928573e-001 2.907068185993629e-001 -1.496543670468023e-001 5.616088299891635e-003
1.708333333333333e+000 -1.803808283768231e-002 9.387367450574224e-003 4.497516320193606e-001 2.966801503065377e-001 -1.509809940005440e-001 8.012915806081555e-003
1.716666666666666e+000 -1.189887864784485e-002 9.079525608676420e-003 4.491157854416646e-001 3.028628334322890e-001 -1.523484718786809e-001 1.056395013430549e-002
1.725000000000000e+000 -5.509656553225094e-003 8.718877169586969e-003 4.483918833914121e-001 3.092764776347157e-001 -1.537557325362077e-001 1.329564143916437e-002
