---- AnyBody Output File ---------------------------------
Study: Main.Studies.MotionOptimization
Operation: Main.Studies.MotionOptimization.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.UpdData = 1301
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.FileName = "..\Trials\jw_ngait_og3\FullBody-jw_ngait_og3-euler-rightfoot.txt"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.NumberFormat.Digits = 15
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.NumberFormat.Width = 23
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.NumberFormat.Style = ScientificNumber
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.NumberFormat.FormatStr = "%23.15e"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.Values = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.Search = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.Format = 0
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.SepSign = " "
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.SepSpaceAutoOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.LineSepSign = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.Header.TitleSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.Header.ConstSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.Header.ConstSectionSaveOptionsOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.Header.VarSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.Header.ColumnNamesOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.Header.LinePrefix = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.Header.ShortenNamesOnOff = Off
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.Header.ColumnIDString = "col"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.ConstSectionSaveOptionsOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.SuppressTimeColumnOnOff = Off
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.MotionOptimization.t
col1  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.FootPosX
col2  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.FootPosY
col3  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.FootPosZ
col4  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.FootRotX
col5  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.FootRotY
col6  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.FootRotZ
col7  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.FootGlobalToeLateralContactNodePosX
col8  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.FootGlobalToeLateralContactNodePosY
col9  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.FootGlobalToeLateralContactNodePosZ
col10  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.FootGlobalToeMedialContactNodePosX
col11  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.FootGlobalToeMedialContactNodePosY
col12  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.FootGlobalToeMedialContactNodePosZ
----------------------------------------------------------
Main.Studies.MotionOptimization.t Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.FootPosX Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.FootPosY Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.FootPosZ Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.FootRotX Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.FootRotY Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.FootRotZ Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.FootGlobalToeLateralContactNodePosX Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.FootGlobalToeLateralContactNodePosY Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.FootGlobalToeLateralContactNodePosZ Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.FootGlobalToeMedialContactNodePosX Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.FootGlobalToeMedialContactNodePosY Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.FootGlobalToeMedialContactNodePosZ
1.858333333333333e+000 1.088310079129520e+000 2.400338663067061e-001 1.482094881790863e-001 1.190348129669144e+000 2.590719747594186e-001 -3.107655281907941e+000 9.396533271677494e-001 2.860514437251338e-001 8.535472613824932e-002 9.084250087376795e-001 2.271914822196371e-001 5.265246992487911e-002
1.866666666666667e+000 1.054652903657957e+000 2.400598921818040e-001 1.408434790200870e-001 1.194605440866077e+000 1.984515699451424e-001 -3.107727284741513e+000 9.025096961261598e-001 2.858711012166763e-001 8.679770235627542e-002 8.693128418550625e-001 2.268489492941145e-001 5.640864263444662e-002
1.875000000000000e+000 1.020738261217156e+000 2.401093016328751e-001 1.342414879721274e-001 1.199684384105893e+000 1.382554839670906e-001 -3.108592108320281e+000 8.656970918838088e-001 2.858359662129645e-001 8.909199844430195e-002 8.306489665107361e-001 2.266677070262761e-001 6.116555014714922e-002
1.883333333333333e+000 9.867734236676523e-001 2.401885284544104e-001 1.284860837008354e-001 1.205709536535569e+000 7.867357793959573e-002 -3.110401665206817e+000 8.294286929170414e-001 2.859781995804778e-001 9.224922167224507e-002 7.926537622541126e-001 2.266879591968006e-001 6.692310132534125e-002
1.891666666666667e+000 9.529568505236435e-001 2.403089358861363e-001 1.236389108195829e-001 1.212904755977183e+000 1.991670761210429e-002 -3.113265826293870e+000 7.938978008116902e-001 2.863235913660471e-001 9.625207762751470e-002 7.555293175806014e-001 2.269401885306388e-001 7.365536405946271e-002
1.900000000000000e+000 9.194816137816110e-001 2.404855274762426e-001 1.197390299602555e-001 1.221584612652471e+000 -3.776461919361096e-002 -3.117251372303476e+000 7.592796928749769e-001 2.868890626604411e-001 1.010514697468902e-001 7.194627753772477e-001 2.274425067055905e-001 8.130658261302309e-002
1.908333333333333e+000 8.865386264227113e-001 2.407357198893269e-001 1.167997920361809e-001 1.232126639254724e+000 -9.407208755059715e-002 -3.122377500788899e+000 7.257325571455477e-001 2.876806377670206e-001 1.065649879061850e-001 6.846280460082883e-001 2.281988601980833e-001 8.978768766896865e-002
1.916666666666667e+000 8.543189392000405e-001 2.410781222816146e-001 1.148049255621038e-001 1.244918249756704e+000 -1.486563165491153e-001 -3.128605413840080e+000 6.933978891546461e-001 2.886917275651421e-001 1.126768535034497e-001 6.511861746980414e-001 2.291978905360525e-001 9.897302119151887e-002
1.925000000000000e+000 8.230141965536607e-001 2.415308657779774e-001 1.137034753785507e-001 1.260264176439302e+000 -2.011216840996242e-001 -3.135828658965115e+000 6.624007979725880e-001 2.899029003337121e-001 1.192398022900525e-001 6.192838257976623e-001 2.304140494124255e-001 1.086973249542967e-001
1.933333333333333e+000 7.928145408643750e-001 2.421090246799334e-001 1.134060231411626e-001 1.278271567072042e+000 -2.510314499730644e-001 -3.143861067749198e+000 6.328501839825544e-001 2.912819720450839e-001 1.260786006731577e-001 5.890499119779817e-001 2.318091090145773e-001 1.187536271494273e-001
1.941666666666667e+000 7.639035795702578e-001 2.428206372792578e-001 1.137831902636918e-001 1.298731941199578e+000 -2.979190048962608e-001 -3.152432210028550e+000 6.048387898663951e-001 2.927850968465657e-001 1.329955275266983e-001 5.605900530741104e-001 2.333345594072523e-001 1.288938946436614e-001
1.950000000000000e+000 7.364510230658861e-001 2.436618918882662e-001 1.146686581203513e-001 1.321042495095403e+000 -3.413029316230225e-001 -3.161194044797186e+000 5.784429016823064e-001 2.943586046361210e-001 1.397773287320780e-001 5.339799021073860e-001 2.349339227866651e-001 1.388342710801370e-001
1.958333333333334e+000 7.106040656962537e-001 2.446127585500039e-001 1.158677787107830e-001 1.344203428584088e+000 -3.807051247618587e-001 -3.169744269571255e+000 5.537211708731289e-001 2.959419109819077e-001 1.462033002825888e-001 5.092586834806223e-001 2.365451771017466e-001 1.482662401953855e-001
1.966666666666667e+000 6.864790346835820e-001 2.456349236292354e-001 1.171714564307955e-001 1.366915628884680e+000 -4.156715791717089e-001 -3.177667811318889e+000 5.307121689759405e-001 2.974716103746928e-001 1.520542588033925e-001 4.864248168742891e-001 2.381037742777080e-001 1.568741117917309e-001
1.975000000000000e+000 6.641552881956404e-001 2.466738908605789e-001 1.183733224643646e-001 1.387773531446675e+000 -4.457957681449023e-001 -3.184589829475776e+000 5.094312322254950e-001 2.988864450037493e-001 1.571223113607030e-001 4.654359767078088e-001 2.395466635701489e-001 1.643575261598182e-001
1.983333333333333e+000 6.436730981787614e-001 2.476659576644204e-001 1.192870400695957e-001 1.405504080226836e+000 -4.707424163670511e-001 -3.190224833762800e+000 4.898681455225938e-001 3.001324044860513e-001 1.612212378423177e-001 4.462152029685039e-001 2.408171906403664e-001 1.704552247739356e-001
1.991666666666667e+000 6.250358645643162e-001 2.485485276487265e-001 1.197605628090610e-001 1.419174577598523e+000 -4.902676456401796e-001 -3.194405412537976e+000 4.719872249656288e-001 3.011669616694907e-001 1.641968403836769e-001 4.286622931896132e-001 2.418699270988319e-001 1.749649636915237e-001
2.000000000000000e+000 6.082152136603053e-001 2.492704618896099e-001 1.196853694336840e-001 1.428306155167179e+000 -5.042321594724917e-001 -3.197083449212441e+000 4.557301998527867e-001 3.019616795895759e-001 1.659360406494662e-001 4.126671477389752e-001 2.426741423043333e-001 1.777555993187832e-001
2.008333333333333e+000 5.931565103282557e-001 2.497992745890177e-001 1.190003811999350e-001 1.432877208002711e+000 -5.126054139872116e-001 -3.198309811458413e+000 4.410206935296598e-001 3.025030016596509e-001 1.663731460166839e-001 3.981207978974222e-001 2.432151192891970e-001 1.787701803642061e-001
