---- AnyBody Output File ---------------------------------
Study: Main.Studies.MotionOptimization
Operation: Main.Studies.MotionOptimization.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.UpdData = 963
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.FileName = "..\Trials\jw_2legsquat1\FullBody-jw_2legsquat1-euler-rightfoot.txt"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.NumberFormat.Digits = 15
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.NumberFormat.Width = 23
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.NumberFormat.Style = ScientificNumber
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.NumberFormat.FormatStr = "%23.15e"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.Values = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.Search = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.Format = 0
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.SepSign = " "
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.SepSpaceAutoOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.LineSepSign = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.Header.TitleSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.Header.ConstSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.Header.ConstSectionSaveOptionsOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.Header.VarSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.Header.ColumnNamesOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.Header.LinePrefix = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.Header.ShortenNamesOnOff = Off
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.Header.ColumnIDString = "col"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.ConstSectionSaveOptionsOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.SuppressTimeColumnOnOff = Off
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.MotionOptimization.t
col1  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.FootPosX
col2  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.FootPosY
col3  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.FootPosZ
col4  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.FootRotX
col5  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.FootRotY
col6  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.FootRotZ
col7  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.FootGlobalToeLateralContactNodePosX
col8  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.FootGlobalToeLateralContactNodePosY
col9  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.FootGlobalToeLateralContactNodePosZ
col10  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.FootGlobalToeMedialContactNodePosX
col11  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.FootGlobalToeMedialContactNodePosY
col12  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.FootGlobalToeMedialContactNodePosZ
----------------------------------------------------------
Main.Studies.MotionOptimization.t Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.FootPosX Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.FootPosY Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.FootPosZ Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.FootRotX Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.FootRotY Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.FootRotZ Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.FootGlobalToeLateralContactNodePosX Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.FootGlobalToeLateralContactNodePosY Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.FootGlobalToeLateralContactNodePosZ Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.FootGlobalToeMedialContactNodePosX Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.FootGlobalToeMedialContactNodePosY Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.FootGlobalToeMedialContactNodePosZ
1.091666666666667e+00 -1.347895235453148e-01 2.652798939940039e-01 8.469905085791971e-02 1.374079399344323e+00 9.819889302435225e-02 -1.511509112986099e+00 -1.716105522820929e-01 1.089132778342027e-01 3.727758751020726e-02 -1.083174505013400e-01 7.361205875331717e-02 2.120169048390433e-02
1.100000000000000e+00 -1.347894558379258e-01 2.652856358024718e-01 8.469773033954812e-02 1.374008149631658e+00 9.819022309802761e-02 -1.511485384144051e+00 -1.716090139651207e-01 1.089172790823811e-01 3.728086468484365e-02 -1.083159577336679e-01 7.361779726913131e-02 2.120097403148663e-02
1.108333333333333e+00 -1.347984462452931e-01 2.653031430708125e-01 8.470184030879042e-02 1.373945319018226e+00 9.816916967806200e-02 -1.511416768178427e+00 -1.716092120889761e-01 1.089308612035143e-01 3.729109285470045e-02 -1.083145001966121e-01 7.363571456355883e-02 2.120820328371868e-02
1.116666666666666e+00 -1.348147457145190e-01 2.653301890763565e-01 8.471004544559198e-02 1.373883571123066e+00 9.813594317905228e-02 -1.511312676744555e+00 -1.716111024939790e-01 1.089521081624896e-01 3.730724035987508e-02 -1.083134583526364e-01 7.366334093494845e-02 2.122189235176257e-02
1.125000000000000e+00 -1.348348304341404e-01 2.653627049034687e-01 8.472003359247895e-02 1.373808035668787e+00 9.809529876360434e-02 -1.511192083913375e+00 -1.716146136588609e-01 1.089777803273998e-01 3.732694439353038e-02 -1.083136215354504e-01 7.369639027103667e-02 2.123858901740812e-02
1.133333333333333e+00 -1.348563943053101e-01 2.653974608567548e-01 8.472856722532505e-02 1.373711606785920e+00 9.803844496546410e-02 -1.511058624868592e+00 -1.716182081940184e-01 1.090043212208096e-01 3.734864629922573e-02 -1.083136617223646e-01 7.373097191076441e-02 2.125664545111894e-02
1.141666666666667e+00 -1.348739738939383e-01 2.654287330264329e-01 8.473282583113387e-02 1.373571810604226e+00 9.797784065625548e-02 -1.510942966489576e+00 -1.716219670529986e-01 1.090275799224404e-01 3.736863789274658e-02 -1.083150358059184e-01 7.376131092248592e-02 2.127050154949169e-02
1.150000000000000e+00 -1.348846313687573e-01 2.654530827010227e-01 8.473012082002554e-02 1.373380253265430e+00 9.791206695591592e-02 -1.510854525258876e+00 -1.716246871208657e-01 1.090443420948183e-01 3.738483427687834e-02 -1.083169774631079e-01 7.378361695364841e-02 2.127761765718800e-02
1.158333333333333e+00 -1.348860138128520e-01 2.654678501232096e-01 8.471870887258562e-02 1.373131870800723e+00 9.784337219148531e-02 -1.510801880225660e+00 -1.716255235909903e-01 1.090523365652885e-01 3.739537919034976e-02 -1.083190115450846e-01 7.379513720251676e-02 2.127574233026262e-02
1.166666666666667e+00 -1.348772544719039e-01 2.654719563592408e-01 8.469798375042342e-02 1.372828605511070e+00 9.777351712912741e-02 -1.510787230989647e+00 -1.716238958985999e-01 1.090506611809519e-01 3.739930775263119e-02 -1.083206144799127e-01 7.379484749304299e-02 2.126396054051108e-02
1.175000000000000e+00 -1.348591512705939e-01 2.654661117129505e-01 8.466861253305900e-02 1.372478945579785e+00 9.770313197847513e-02 -1.510806247045053e+00 -1.716196556254511e-01 1.090399524998207e-01 3.739680247733115e-02 -1.083213816030167e-01 7.378362377179665e-02 2.124294667668648e-02
1.183333333333333e+00 -1.348340434572620e-01 2.654527310259704e-01 8.463255984229079e-02 1.372098042921929e+00 9.763171531784698e-02 -1.510849382129468e+00 -1.716131654746006e-01 1.090223495639545e-01 3.738921182564850e-02 -1.083211501122002e-01 7.376412199647944e-02 2.121499014448161e-02
1.191666666666667e+00 -1.348054252307231e-01 2.654355361533792e-01 8.459292582330320e-02 1.371707746591206e+00 9.755808627751117e-02 -1.510904185192739e+00 -1.716052753407833e-01 1.090012019849969e-01 3.737881651568524e-02 -1.083200554769778e-01 7.374034690962750e-02 2.118374587770069e-02
1.200000000000000e+00 -1.347773739308060e-01 2.654189245724400e-01 8.455351386804101e-02 1.371334034721916e+00 9.748081251605423e-02 -1.510957471456673e+00 -1.715971733617181e-01 1.089805214022869e-01 3.736844868868865e-02 -1.083184909032973e-01 7.371698629550413e-02 2.115368057672504e-02
1.208333333333333e+00 -1.347538099902901e-01 2.654071881433707e-01 8.451813256134560e-02 1.371000871948240e+00 9.739855274557585e-02 -1.510997058474831e+00 -1.715901130478269e-01 1.089642407970764e-01 3.736102286198444e-02 -1.083169735687401e-01 7.369859794690606e-02 2.112921699664795e-02
1.216666666666667e+00 -1.347377001244176e-01 2.654036800708052e-01 8.448978225772023e-02 1.370723671065188e+00 9.731045525923609e-02 -1.511013492443936e+00 -1.715850939565565e-01 1.089554224599609e-01 3.735896165325966e-02 -1.083159703486029e-01 7.368874887974003e-02 2.111374699498737e-02
1.225000000000000e+00 -1.347304787464657e-01 2.654101424218376e-01 8.446999727373462e-02 1.370506285128453e+00 9.721646512609694e-02 -1.511001559857102e+00 -1.715826146240883e-01 1.089556372611454e-01 3.736362945875803e-02 -1.083157439834028e-01 7.368931955276017e-02 2.110887072626066e-02
1.233333333333333e+00 -1.347318755848737e-01 2.654264043501132e-01 8.445858692208892e-02 1.370342307275797e+00 9.711738137535852e-02 -1.510960975985493e+00 -1.715825662343524e-01 1.089646999058377e-01 3.737500556310237e-02 -1.083162556812034e-01 7.370018963671454e-02 2.111414668981020e-02
1.241666666666666e+00 -1.347401059978350e-01 2.654505054537861e-01 8.445382088482138e-02 1.370218490495997e+00 9.701480873105117e-02 -1.510896106557361e+00 -1.715842709761326e-01 1.089808017660020e-01 3.739172013008756e-02 -1.083171505052197e-01 7.371936972316756e-02 2.112733743558369e-02
