---- AnyBody Output File ---------------------------------
Study: Main.Studies.MotionOptimization
Operation: Main.Studies.MotionOptimization.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.UpdData = 963
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.FileName = "..\Trials\jw_2legsquat1\FullBody-jw_2legsquat1-euler-rightlegtd.txt"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.NumberFormat.Digits = 15
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.NumberFormat.Width = 23
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.NumberFormat.Style = ScientificNumber
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.NumberFormat.FormatStr = "%23.15e"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Values = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Search = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Format = 0
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.SepSign = " "
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.SepSpaceAutoOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.LineSepSign = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.TitleSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.ConstSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.ConstSectionSaveOptionsOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.VarSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.ColumnNamesOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.LinePrefix = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.ShortenNamesOnOff = Off
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.ColumnIDString = "col"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.ConstSectionSaveOptionsOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.SuppressTimeColumnOnOff = Off
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.MotionOptimization.t
col1  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipFlexion
col2  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipAbduction
col3  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipExternalRotation
col4  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.KneeFlexion
col5  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.AnklePlantarFlexion
col6  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.SubTalarEversion
----------------------------------------------------------
Main.Studies.MotionOptimization.t Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipAbduction Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipExternalRotation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.KneeFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.AnklePlantarFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.SubTalarEversion
1.091666666666667e+00 -1.190270848062666e-01 -1.694623594150402e-02 4.642251715470965e-01 1.813963830863116e-01 -9.431214599950279e-02 -1.706946212898378e-02
1.100000000000000e+00 -1.189326385114637e-01 -1.689292673876563e-02 4.641445481656645e-01 1.813567905897412e-01 -9.436618159925363e-02 -1.709127205203587e-02
1.108333333333333e+00 -1.188987851143250e-01 -1.686305756906692e-02 4.640315482377331e-01 1.812855150705552e-01 -9.443516421805047e-02 -1.714196255972919e-02
1.116666666666666e+00 -1.189261413200112e-01 -1.685214578012717e-02 4.638883865255680e-01 1.811833455498960e-01 -9.451725230816527e-02 -1.721079657753516e-02
1.125000000000000e+00 -1.190118918589408e-01 -1.685849358166802e-02 4.637262841665727e-01 1.810476347310215e-01 -9.460198023130481e-02 -1.727328197499620e-02
1.133333333333333e+00 -1.190981165581540e-01 -1.685617686508833e-02 4.635198059403393e-01 1.809149663514563e-01 -9.470901518132172e-02 -1.732407202980778e-02
1.141666666666667e+00 -1.191964929082378e-01 -1.685281352732715e-02 4.633004423799714e-01 1.807690664440008e-01 -9.481278029634063e-02 -1.732296600433155e-02
1.150000000000000e+00 -1.192736078196352e-01 -1.683435959605917e-02 4.630630176084739e-01 1.806294327966771e-01 -9.491865477822439e-02 -1.725798151380720e-02
1.158333333333333e+00 -1.193122144158425e-01 -1.679474448532070e-02 4.628103052980504e-01 1.805050742149228e-01 -9.502479673293723e-02 -1.711926858920690e-02
1.166666666666667e+00 -1.193042195266657e-01 -1.673146889355714e-02 4.625443254521625e-01 1.804004437274085e-01 -9.512967960742111e-02 -1.690698702011825e-02
1.175000000000000e+00 -1.192519961558704e-01 -1.664624322130037e-02 4.622660387571790e-01 1.803143707432110e-01 -9.523256873374694e-02 -1.663131062200448e-02
1.183333333333333e+00 -1.191668920692664e-01 -1.654414698845663e-02 4.619766350686124e-01 1.802423236441005e-01 -9.533445117640822e-02 -1.631250747189626e-02
1.191666666666667e+00 -1.190656716971612e-01 -1.643187608862839e-02 4.616794742204532e-01 1.801800312477574e-01 -9.543868509601972e-02 -1.598038936662174e-02
1.200000000000000e+00 -1.189668683732074e-01 -1.631641628838931e-02 4.613804926787895e-01 1.801250979772565e-01 -9.555056691834503e-02 -1.567049339664482e-02
1.208333333333333e+00 -1.188877362855947e-01 -1.620451284345048e-02 4.610863504575867e-01 1.800760942343510e-01 -9.567577285489427e-02 -1.541594168559734e-02
1.216666666666667e+00 -1.188415132097130e-01 -1.610208409197544e-02 4.608022403304227e-01 1.800310633549468e-01 -9.581838974069433e-02 -1.523870764293543e-02
1.225000000000000e+00 -1.188348136340339e-01 -1.601295457393070e-02 4.605311935533031e-01 1.799873901919869e-01 -9.597974586882828e-02 -1.514525606137925e-02
1.233333333333333e+00 -1.188655174407970e-01 -1.593753852650082e-02 4.602748815662266e-01 1.799434299073948e-01 -9.615865360269936e-02 -1.512778575112830e-02
1.241666666666666e+00 -1.189222317773545e-01 -1.587267196283992e-02 4.600347298214937e-01 1.799003374628214e-01 -9.635229448788293e-02 -1.516835491789177e-02
1.250000000000000e+00 -1.189864580565317e-01 -1.581293462868572e-02 4.598119062446707e-01 1.798617856018246e-01 -9.655663149483909e-02 -1.524234453505882e-02
1.258333333333333e+00 -1.190368455619439e-01 -1.575244308610646e-02 4.596064485256278e-01 1.798317372875231e-01 -9.676659301608860e-02 -1.532117896978788e-02
1.266666666666667e+00 -1.190538241078431e-01 -1.568628037921038e-02 4.594169135900180e-01 1.798121168127022e-01 -9.697662977394597e-02 -1.537589107345816e-02
1.275000000000000e+00 -1.190235212591596e-01 -1.561163782022468e-02 4.592407459251427e-01 1.798012951627638e-01 -9.718121023800821e-02 -1.538103436347200e-02
1.283333333333333e+00 -1.189397897177802e-01 -1.552824962923705e-02 4.590753192980848e-01 1.797946677744090e-01 -9.737538897046143e-02 -1.531876473115425e-02
