---- AnyBody Output File ---------------------------------
Study: Main.Studies.MotionOptimization
Operation: Main.Studies.MotionOptimization.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.UpdData = 1091
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.FileName = "..\Trials\jw_chairrise1\FullBody-jw_chairrise1-euler-trunk.txt"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NumberFormat.Digits = 15
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NumberFormat.Width = 23
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NumberFormat.Style = ScientificNumber
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NumberFormat.FormatStr = "%23.15e"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Values = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Search = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Format = 0
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.SepSign = " "
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.SepSpaceAutoOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.LineSepSign = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.TitleSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.ConstSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.ConstSectionSaveOptionsOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.VarSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.ColumnNamesOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.LinePrefix = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.ShortenNamesOnOff = Off
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.ColumnIDString = "col"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.ConstSectionSaveOptionsOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.SuppressTimeColumnOnOff = Off
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.MotionOptimization.t
col1  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosX
col2  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosY
col3  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosZ
col4  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotX
col5  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotY
col6  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotZ
col7  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxExtension
col8  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxLateralBending
col9  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxRotation
col10  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NeckLateralBending
col11  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NeckRotation
col12  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NeckExtension
----------------------------------------------------------
Main.Studies.MotionOptimization.t Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosX Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosY Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosZ Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotX Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotY Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotZ Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxExtension Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxLateralBending Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxRotation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NeckLateralBending Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NeckRotation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NeckExtension
4.250000000000000e-001 -7.554073069844062e-001 5.609812058754964e-001 6.139945544848302e-001 1.591266497545657e+000 -3.198555815657636e-001 -8.939344617348856e-001 -7.489982091651095e-001 -1.105731645646372e-001 -1.223252971198223e-001 2.775557561562891e-017 -2.220446049250313e-016 0.000000000000000e+000
4.333333333333334e-001 -7.554262525773368e-001 5.610071842196176e-001 6.140169689213555e-001 1.591308971459717e+000 -3.202726964007989e-001 -8.940837047329064e-001 -7.492708191121577e-001 -1.104041811344711e-001 -1.221873082396655e-001 0.000000000000000e+000 -1.110223024625156e-016 -1.110223024625156e-016
4.416666666666667e-001 -7.554447562815516e-001 5.610349096064655e-001 6.140422618681949e-001 1.591335016699357e+000 -3.206986887240149e-001 -8.942378245360163e-001 -7.495475110307770e-001 -1.102240941357927e-001 -1.220089962596668e-001 1.665334536937735e-016 4.440892098500626e-016 0.000000000000000e+000
4.500000000000000e-001 -7.554630863529829e-001 5.610640520115952e-001 6.140685048108492e-001 1.591340410153775e+000 -3.211118068608867e-001 -8.943891385017529e-001 -7.497971278822804e-001 -1.100334150779111e-001 -1.217924573266726e-001 2.775557561562890e-017 -2.220446049250312e-016 -1.110223024625156e-016
4.583333333333333e-001 -7.554820083433473e-001 5.610940376788912e-001 6.140940057974522e-001 1.591327286682403e+000 -3.215024887242099e-001 -8.945330899491673e-001 -7.500060464403457e-001 -1.098408806015160e-001 -1.215450809789268e-001 -1.942890293094024e-016 -4.440892098500625e-016 0.000000000000000e+000
4.666666666666667e-001 -7.555025626198199e-001 5.611240860873830e-001 6.141170925256766e-001 1.591300247651127e+000 -3.218639156194101e-001 -8.946658098467474e-001 -7.501662754700025e-001 -1.096577670237410e-001 -1.212815698805470e-001 -4.996003610813203e-016 -4.440892098500625e-016 0.000000000000000e+000
4.750000000000000e-001 -7.555258064581584e-001 5.611533690436786e-001 6.141365121615227e-001 1.591265668935384e+000 -3.221935489117458e-001 -8.947850352962072e-001 -7.502772789867909e-001 -1.094957290438987e-001 -1.210214575170759e-001 -1.942890293094024e-016 1.110223024625156e-016 1.110223024625156e-016
4.833333333333333e-001 -7.555525178778957e-001 5.611811565743723e-001 6.141516511663998e-001 1.591230667227372e+000 -3.224936623416053e-001 -8.948902971224865e-001 -7.503458111739872e-001 -1.093644843104245e-001 -1.207857947773967e-001 -5.551115123125783e-016 -1.110223024625157e-016 2.220446049250313e-016
4.916666666666666e-001 -7.555830678158344e-001 5.612069063976780e-001 6.141624875772375e-001 1.591202029094642e+000 -3.227702781803474e-001 -8.949824860830423e-001 -7.503834676020825e-001 -1.092705959306871e-001 -1.205942432531650e-001 -1.387778780781445e-016 1.110223024625156e-016 1.110223024625156e-016
5.000000000000000e-001 -7.556174559328202e-001 5.612303227709840e-001 6.141694171471712e-001 1.591185520029860e+000 -3.230313407812258e-001 -8.950634020690553e-001 -7.504035001914885e-001 -1.092175891096538e-001 -1.204627337020703e-001 -2.775557561562891e-017 1.110223024625157e-016 0.000000000000000e+000
5.083333333333333e-001 -7.556553640689350e-001 5.612514041433829e-001 6.141730793357106e-001 1.591185672216995e+000 -3.232849472301507e-001 -8.951352892955260e-001 -7.504180011660721e-001 -1.092068697349739e-001 -1.204017857358965e-001 8.326672684688673e-017 2.220446049250313e-016 2.220446049250313e-016
5.166666666666666e-001 -7.556961798152344e-001 5.612704617688658e-001 6.141742311523454e-001 1.591205668571351e+000 -3.235379939144898e-001 -8.952002371428172e-001 -7.504359030133382e-001 -1.092385225087669e-001 -1.204154589568246e-001 -8.326672684688675e-017 1.110223024625157e-016 2.220446049250314e-016
5.250000000000000e-001 -7.557390445413394e-001 5.612880765316684e-001 6.141736695731982e-001 1.591247088368007e+000 -3.237953737063097e-001 -8.952597661959209e-001 -7.504619323098710e-001 -1.093114913304763e-001 -1.205008484004154e-001 2.498001805406602e-016 2.220446049250313e-016 0.000000000000000e+000
5.333333333333333e-001 -7.557829827810982e-001 5.613049867430989e-001 6.141721509262067e-001 1.591309826777972e+000 -3.240596396032522e-001 -8.953147984298195e-001 -7.504963224381869e-001 -1.094238057976919e-001 -1.206485742975476e-001 -2.775557561562891e-016 0.000000000000000e+000 2.220446049250313e-016
5.416666666666666e-001 -7.558271183980612e-001 5.613219484114610e-001 6.141702529412000e-001 1.591392432177503e+000 -3.243307616694526e-001 -8.953657503794745e-001 -7.505348755875739e-001 -1.095734617348856e-001 -1.208445759161094e-001 -5.551115123125783e-017 -1.110223024625157e-016 0.000000000000000e+000
5.499999999999999e-001 -7.558708327064447e-001 5.613396434076696e-001 6.141682631720595e-001 1.591492571063309e+000 -3.246060811240084e-001 -8.954124287701334e-001 -7.505695620995788e-001 -1.097589964160814e-001 -1.210727130371555e-001 3.608224830031757e-016 0.000000000000000e+000 -1.110223024625156e-016
5.583333333333334e-001 -7.559137110039760e-001 5.613586581743607e-001 6.141662366737011e-001 1.591607237582640e+000 -3.248811239745821e-001 -8.954538612854001e-001 -7.505902998339147e-001 -1.099786382706560e-001 -1.213172621625228e-001 2.498001805406602e-016 -1.110223024625156e-016 -1.110223024625156e-016
