---- AnyBody Output File ---------------------------------
Study: Main.Studies.MotionOptimization
Operation: Main.Studies.MotionOptimization.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.UpdData = 1301
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.FileName = "..\Trials\jw_ngait_og3\FullBody-jw_ngait_og3-euler-rightlegtd.txt"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.NumberFormat.Digits = 15
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.NumberFormat.Width = 23
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.NumberFormat.Style = ScientificNumber
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.NumberFormat.FormatStr = "%23.15e"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Values = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Search = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Format = 0
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.SepSign = " "
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.SepSpaceAutoOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.LineSepSign = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.TitleSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.ConstSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.ConstSectionSaveOptionsOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.VarSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.ColumnNamesOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.LinePrefix = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.ShortenNamesOnOff = Off
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.ColumnIDString = "col"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.ConstSectionSaveOptionsOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.SuppressTimeColumnOnOff = Off
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.MotionOptimization.t
col1  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipFlexion
col2  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipAbduction
col3  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipExternalRotation
col4  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.KneeFlexion
col5  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.AnklePlantarFlexion
col6  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.SubTalarEversion
----------------------------------------------------------
Main.Studies.MotionOptimization.t Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipAbduction Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipExternalRotation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.KneeFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.AnklePlantarFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.SubTalarEversion
1.858333333333333e+000 3.970064204002478e-001 3.312844949833771e-002 3.779388685211872e-001 8.250445991521026e-001 -7.360545018692029e-002 3.086661579711817e-001
1.866666666666667e+000 4.008037232897512e-001 3.211504159662404e-002 3.783113470511479e-001 7.750043814818204e-001 -8.191004020030229e-002 2.967741460442886e-001
1.875000000000000e+000 4.028109757994333e-001 3.158034809244992e-002 3.800608661494166e-001 7.228093726015658e-001 -8.920331965653341e-002 2.840572553884969e-001
1.883333333333333e+000 4.030610571350727e-001 3.155189399361813e-002 3.834198700184604e-001 6.688429419281923e-001 -9.563584835218947e-002 2.704259994885644e-001
1.891666666666667e+000 4.016391478459480e-001 3.202672997736533e-002 3.886109070325385e-001 6.135438614486921e-001 -1.013442770208954e-001 2.556910845409257e-001
1.900000000000000e+000 3.986823774457219e-001 3.297288073895888e-002 3.958446335871769e-001 5.574200948748601e-001 -1.064447487793895e-001 2.395637096139476e-001
1.908333333333333e+000 3.943731585878362e-001 3.432800314409112e-002 4.053016201539221e-001 5.010619812557061e-001 -1.110352859811448e-001 2.216737908224475e-001
1.916666666666667e+000 3.889686553689293e-001 3.600674344121324e-002 4.171165193876853e-001 4.451530195340573e-001 -1.151974054691063e-001 2.016167328235700e-001
1.925000000000000e+000 3.827595614783839e-001 3.789362566329824e-002 4.313039668364408e-001 3.904682884358914e-001 -1.189999320714066e-001 1.790459889856114e-001
1.933333333333333e+000 3.760851302099154e-001 3.985541898026801e-002 4.477071159856525e-001 3.378582509817091e-001 -1.224925831220364e-001 1.538018959468963e-001
1.941666666666667e+000 3.693086731384467e-001 4.175366826484583e-002 4.659291063375369e-001 2.882132137044246e-001 -1.257011098925746e-001 1.260559919279632e-001
1.950000000000000e+000 3.627902130233208e-001 4.346718827373408e-002 4.852943829527509e-001 2.424135180139130e-001 -1.286272070226825e-001 9.642293901983977e-002
1.958333333333334e+000 3.568533461712876e-001 4.491730372037517e-002 5.048635695930966e-001 2.012723892407542e-001 -1.312563191193172e-001 6.599255943148459e-002
1.966666666666667e+000 3.517533129664554e-001 4.608653205769842e-002 5.235200370129619e-001 1.654807421811710e-001 -1.335706411162182e-001 3.624512196140644e-002
1.975000000000000e+000 3.476560637572278e-001 4.702250012031262e-002 5.401212224019671e-001 1.355639928608720e-001 -1.355597294274435e-001 8.845948727327109e-003
1.983333333333333e+000 3.446350992844428e-001 4.782384268884909e-002 5.536738443736586e-001 1.118572132505949e-001 -1.372193121470815e-001 -1.463062905127281e-002
1.991666666666667e+000 3.426850224895956e-001 4.861233774003249e-002 5.634748429537542e-001 9.449833062103413e-002 -1.385351854270612e-001 -3.295865648861884e-002
2.000000000000000e+000 3.417432865001820e-001 4.950078913355327e-002 5.691768812697228e-001 8.343340007419750e-002 -1.394595855736857e-001 -4.541956471188023e-002
2.008333333333333e+000 3.417099216568101e-001 5.056570961776541e-002 5.707761483054653e-001 7.842582769769983e-002 -1.398904859963551e-001 -5.183429108950611e-002
2.016666666666667e+000 3.424602258671938e-001 5.183021286660661e-002 5.685520260425894e-001 7.906547213706792e-002 -1.396599521818147e-001 -5.249410247283384e-002
2.025000000000000e+000 3.438520654039716e-001 5.325977186644537e-002 5.629938933372942e-001 8.478215799015795e-002 -1.385348940619064e-001 -4.804070252189155e-002
2.033333333333333e+000 3.457312507671610e-001 5.477073335588334e-002 5.547310663403229e-001 9.487157488299623e-002 -1.362323125200724e-001 -3.933419312204768e-002
2.041666666666667e+000 3.479371828598895e-001 5.624693529203473e-002 5.444610183097143e-001 1.085355292396900e-001 -1.324475518005469e-001 -2.732045241292335e-002
2.050000000000000e+000 3.503113158235270e-001 5.755756115868937e-002 5.328724003980756e-001 1.249326201267834e-001 -1.268909848104802e-001 -1.290378368057361e-002
2.058333333333334e+000 3.527094171150846e-001 5.857196424133848e-002 5.205745844392837e-001 1.432343673780781e-001 -1.193289042814116e-001 3.153966623443015e-003
