---- AnyBody Output File ---------------------------------
Study: Main.Studies.MotionOptimization
Operation: Main.Studies.MotionOptimization.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.UpdData = 1773
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.FileName = "..\Trials\jw_stairupf1\FullBody-jw_stairupf1-euler-rightfoot.txt"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.NumberFormat.Digits = 15
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.NumberFormat.Width = 23
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.NumberFormat.Style = ScientificNumber
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.NumberFormat.FormatStr = "%23.15e"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.Values = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.Search = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.Format = 0
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.SepSign = " "
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.SepSpaceAutoOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.LineSepSign = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.Header.TitleSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.Header.ConstSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.Header.ConstSectionSaveOptionsOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.Header.VarSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.Header.ColumnNamesOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.Header.LinePrefix = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.Header.ShortenNamesOnOff = Off
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.Header.ColumnIDString = "col"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.ConstSectionSaveOptionsOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.SuppressTimeColumnOnOff = Off
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.MotionOptimization.t
col1  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.FootPosX
col2  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.FootPosY
col3  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.FootPosZ
col4  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.FootRotX
col5  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.FootRotY
col6  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.FootRotZ
col7  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.FootGlobalToeLateralContactNodePosX
col8  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.FootGlobalToeLateralContactNodePosY
col9  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.FootGlobalToeLateralContactNodePosZ
col10  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.FootGlobalToeMedialContactNodePosX
col11  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.FootGlobalToeMedialContactNodePosY
col12  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.FootGlobalToeMedialContactNodePosZ
----------------------------------------------------------
Main.Studies.MotionOptimization.t Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.FootPosX Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.FootPosY Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.FootPosZ Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.FootRotX Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.FootRotY Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.FootRotZ Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.FootGlobalToeLateralContactNodePosX Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.FootGlobalToeLateralContactNodePosY Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.FootGlobalToeLateralContactNodePosZ Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.FootGlobalToeMedialContactNodePosX Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.FootGlobalToeMedialContactNodePosY Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFileRightFoot.FootGlobalToeMedialContactNodePosZ
5.958333333333333e+000 1.116332350231006e-001 2.627941431531532e-001 7.548188509926158e-001 1.206057254115680e+000 1.490797740986742e-001 3.085414080443840e+000 -3.958397854991917e-002 3.217773479715574e-001 7.076974071133731e-001 -7.986812679954101e-002 2.660795177031231e-001 6.797804836664407e-001
5.966666666666667e+000 1.003020781996921e-001 2.625050882690899e-001 7.554710271265938e-001 1.205121786961595e+000 1.321701063611063e-001 3.082816482989820e+000 -5.153968865732975e-002 3.219488622810230e-001 7.110119428618597e-001 -9.242597905353178e-002 2.664035216278009e-001 6.836725591653373e-001
5.975000000000000e+000 8.877750850170878e-002 2.621686593254760e-001 7.558359068744920e-001 1.203835758279404e+000 1.151206266586506e-001 3.079544746284595e+000 -6.360853013470698e-002 3.221852605238289e-001 7.140914771382820e-001 -1.051257896871609e-001 2.668305008783512e-001 6.873224043975930e-001
5.983333333333333e+000 7.711355549456003e-002 2.618206137260858e-001 7.559754297126584e-001 1.202582464888283e+000 9.807241543150536e-002 3.075852998210840e+000 -7.574162339140778e-002 3.224744808857090e-001 7.169562383957658e-001 -1.179038898318247e-001 2.673303600750054e-001 6.907668371011095e-001
5.991666666666666e+000 6.536017708409382e-002 2.614882173235689e-001 7.559389575640413e-001 1.201653368609587e+000 8.115601652677396e-002 3.071951438768029e+000 -8.789556382425966e-002 3.228043952449818e-001 7.196195576730193e-001 -1.307033193259970e-001 2.678760258647096e-001 6.940307746289083e-001
6.000000000000000e+000 5.356347939767930e-002 2.611914477614930e-001 7.557645036247818e-001 1.201256945259022e+000 6.448689028234433e-002 3.068010065447371e+000 -1.000319782955610e-001 3.231634523632987e-001 7.220895778440101e-001 -1.434737520118987e-001 2.684439228820415e-001 6.971295918408278e-001
6.008333333333333e+000 4.176599413827884e-002 2.609442666842805e-001 7.554801498926614e-001 1.201528376873578e+000 4.816433319270641e-002 3.064162781461579e+000 -1.121167783625590e-001 3.235412307405938e-001 7.243705529314227e-001 -1.561709263408087e-001 2.690143518568002e-001 7.000710254328622e-001
6.016666666666667e+000 3.000676848424390e-002 2.607558531429292e-001 7.551055343009557e-001 1.202540149568981e+000 3.227473946972648e-002 3.060511995058997e+000 -1.241194928098781e-001 3.239287966910994e-001 7.264634431123148e-001 -1.687559522531713e-001 2.695716111853788e-001 7.028562750522818e-001
6.025000000000000e+000 1.832133265949132e-002 2.606316059106114e-001 7.546533890067879e-001 1.204313281596535e+000 1.689751845870569e-002 3.057132961020690e+000 -1.360127501711761e-001 3.243188206309708e-001 7.283660505587402e-001 -1.811946651844269e-001 2.701038302430271e-001 7.054805773383481e-001
6.033333333333333e+000 6.741955565036067e-003 2.605739062971477e-001 7.541311575417453e-001 1.206829461056230e+000 2.111194430382213e-003 3.054077884973524e+000 -1.477716338987634e-001 3.247054536517472e-001 7.300731046359115e-001 -1.934568210173592e-001 2.706025061679632e-001 7.079337671784237e-001
6.041666666666666e+000 -4.701713370893471e-003 2.605827306988617e-001 7.535426060408423e-001 1.210044561796662e+000 -1.200099328317572e-002 3.051380654839714e+000 -1.593728917529108e-001 3.250839172426097e-001 7.315763110171139e-001 -2.055150848336867e-001 2.710616520701001e-001 7.102008953514903e-001
6.050000000000000e+000 -1.598179963642979e-002 2.606561992136509e-001 7.528892379447455e-001 1.213902235851578e+000 -2.534611641100115e-002 3.049062547241129e+000 -1.707941889740110e-001 3.254498690018658e-001 7.328642768294865e-001 -2.173439813002342e-001 2.714766408183459e-001 7.122627481147065e-001
6.058333333333333e+000 -2.707124735333201e-002 2.607910633950700e-001 7.521713381782401e-001 1.218344307263743e+000 -3.781844900076470e-002 3.047137544322507e+000 -1.820133809111926e-001 3.257988347162249e-001 7.339225157204150e-001 -2.289188801665738e-001 2.718431831056357e-001 7.140963383170202e-001
6.066666666666666e+000 -3.794284343174947e-002 2.609830975573581e-001 7.513886330299373e-001 1.223315973923195e+000 -4.929954222864530e-002 3.045615728340680e+000 -1.930077345970078e-001 3.261259562233519e-001 7.347338410038674e-001 -2.402150622814065e-001 2.721568174890980e-001 7.156756199764112e-001
6.074999999999999e+000 -4.856846084917198e-002 2.612274178673788e-001 7.505406657053515e-001 1.228766852402984e+000 -5.966141586974683e-002 3.044504920739627e+000 -2.037532635481571e-001 3.264260293570833e-001 7.352791888503963e-001 -2.512070254678182e-001 2.724128624465116e-001 7.169725290918939e-001
6.083333333333333e+000 -5.891873505537078e-002 2.615187430185439e-001 7.496269253453167e-001 1.234649539255632e+000 -6.877162138178283e-002 3.043811311355289e+000 -2.142243712034639e-001 3.266936905263374e-001 7.355386251392886e-001 -2.618681611953091e-001 2.726066156195727e-001 7.179581497534040e-001
6.091666666666667e+000 -6.896309337903206e-002 2.618515479032014e-001 7.486467770917056e-001 1.240916443215091e+000 -7.649947308812077e-002 3.043539105388336e+000 -2.243937041853139e-001 3.269236845854198e-001 7.354924296468676e-001 -2.721706880198267e-001 2.727337109568647e-001 7.186039103108237e-001
6.100000000000000e+000 -7.866991725533459e-002 2.622200239506489e-001 7.475993471889220e-001 1.247515665437728e+000 -8.272400402430868e-002 3.043689005150487e+000 -2.342320086365825e-001 3.271111451431576e-001 7.351224597495755e-001 -2.820856528106625e-001 2.727905537693563e-001 7.188830754135928e-001
6.108333333333333e+000 -8.800685828831158e-002 2.626177357014587e-001 7.464834604839871e-001 1.254386895628171e+000 -8.734397551475381e-002 3.044255533476107e+000 -2.437080560985225e-001 3.272517609066286e-001 7.344138958296282e-001 -2.915830653003828e-001 2.727746829231940e-001 7.187727008669889e-001
